LossAfter,Time-Sampling,LossBefore,train-MinReturn,ItrTime,n_timesteps,train-EnvExecTime,Time-Optimization,train-MaxReturn,Time,train-StdReturn,train-AverageDiscountedReturn,Itr,train-AverageReturn,train-NumTrajs,Time-SampleProc,train-PolicyExecTime
-3.5510578,25.587851524353027,-0.0042618895,-157.99649805157455,27.194594144821167,10000,10.79611349105835,1.563852071762085,137.77524568017512,27.194603443145752,63.651234242881415,-27.772143197523093,0,-68.74563793128719,100,0.042044639587402344,14.10464072227478
-1.5046852,26.063073873519897,-0.02428598,5.00240637971653,27.186132192611694,20000,10.980098724365234,1.081878662109375,206.4407896531503,54.53963804244995,46.30468773298237,90.0951287257867,1,148.39072509115857,100,0.03966927528381348,14.383412599563599
-0.37331733,25.613171815872192,-0.0031732789,16.33409207808273,26.723984241485596,30000,10.803015947341919,1.0718867778778076,211.25435904723324,81.32431364059448,35.694990525196346,94.39010902358001,2,157.3251380226841,100,0.03823542594909668,14.126570224761963
-0.9061154,25.797464609146118,0.0030358643,-90.28697087638685,26.902786254882812,40000,10.970863103866577,1.0720102787017822,206.6338059477163,108.29025220870972,38.42001101640778,103.33138372628702,3,174.25042310520993,100,0.0327000617980957,14.134819507598877
-4.663749,25.697791576385498,0.032990217,-93.38770145532051,26.790693044662476,50000,10.891637086868286,1.0550785064697266,203.5000596574997,135.15497851371765,29.2551910317764,110.49271670565328,4,186.94911892728538,100,0.03695106506347656,14.11259913444519
-4.2151475,25.776769161224365,-0.0017891967,-143.39609129173513,26.906778573989868,60000,11.018234252929688,1.0897767543792725,199.0591973711904,162.11810874938965,55.70249266697098,101.86908863348262,5,170.47595771288735,100,0.03939986228942871,14.078756332397461
-0.8232671,26.388882160186768,-0.011445642,-164.58799370499116,27.988864183425903,70000,11.442479848861694,1.555077075958252,197.04327218399098,190.20176720619202,77.75039628238066,69.96042712842603,6,105.10272659399148,100,0.044059038162231445,14.256918668746948
-2.2783835,26.081058502197266,-0.0100119235,-73.39403981231429,27.212797164916992,80000,11.302623748779297,1.0726525783538818,145.95604429229675,217.50732231140137,44.840985092289124,53.255213088491,7,68.84130032595245,100,0.05679798126220703,14.087948083877563
-1.4783664,26.211159229278564,-0.0022959656,-185.72878030007786,27.35947895050049,90000,11.431921005249023,1.111088514328003,87.26389563747051,244.92979907989502,67.31016658593428,12.207800132383737,8,-2.119856692903504,100,0.03644680976867676,14.09001350402832
-0.4081128,26.277746438980103,0.003460791,-198.88334213228865,27.40517020225525,100000,11.546478748321533,1.080838918685913,65.07682983184527,272.40725588798523,95.36449643706896,-35.133751052111556,9,-81.26073466171327,100,0.04587507247924805,14.037619829177856
-0.42195606,26.18098020553589,0.0030793701,-194.66452093118738,27.316158294677734,110000,11.484100580215454,1.0928955078125,62.042686814750226,299.7826235294342,101.6578141358115,-31.87751623798305,10,-78.54303909380471,100,0.04155540466308594,14.004762649536133
-0.30488193,26.271010875701904,0.0014166259,-196.66700450679735,27.38349461555481,120000,11.498342275619507,1.0692152976989746,67.3410290555682,327.2351565361023,74.18927674798815,-2.703338382327289,11,-25.86052545594845,100,0.042609453201293945,14.081860780715942
-0.35496283,26.204697608947754,0.0023794922,-193.68328777663325,27.516359329223633,130000,11.480769634246826,1.2666926383972168,66.12668252794596,354.8403718471527,62.33660569262151,10.482689098733983,12,-4.894333070080672,100,0.04407763481140137,14.03110408782959
-0.6057983,25.96961760520935,-0.02288172,-178.72395277403373,27.304417848587036,140000,11.406660556793213,1.2883720397949219,74.14193285258088,382.25074434280396,38.4804166041979,22.740781126707134,13,14.113179072572477,100,0.04446983337402344,13.866773128509521
-0.9560918,25.877264499664307,0.007293567,-32.33565752900761,27.31286644935608,150000,11.312671899795532,1.3910109996795654,67.74990503276574,409.65338468551636,29.004185419991565,28.03216519542339,14,21.608131004929692,100,0.04261970520019531,13.866747856140137
-1.294285,25.90319538116455,0.0011783264,-30.144092971842014,27.612802028656006,160000,11.429432153701782,1.674462080001831,72.05956099711044,437.35304164886475,27.299279250740565,20.975636374774965,15,11.653015488516742,100,0.03433084487915039,13.787476062774658
-1.1473135,25.88284182548523,0.0005725403,-66.57573586765587,27.47725200653076,170000,11.379231929779053,1.5228066444396973,59.97946612722857,464.9093060493469,23.261232829319923,12.0487810356449,16,-1.1801124724902674,100,0.07036423683166504,13.809840679168701
-1.0278274,26.13659358024597,0.0043707765,-160.6369776718095,27.277904272079468,180000,11.46942138671875,1.0892479419708252,65.78379786392104,492.2455837726593,27.262616634236103,10.906404430756805,17,-3.7900344845897167,100,0.05140519142150879,13.973280191421509
-0.68309003,26.22619605064392,0.009079681,-176.839654736639,27.34358286857605,190000,11.516713857650757,1.0702872276306152,57.57499182327191,519.6520383358002,28.90372176940897,6.406714132841493,18,-9.414283228938746,100,0.04638481140136719,14.005954027175903
-0.9288712,26.196314334869385,0.010748483,-119.86514594085921,27.36694884300232,200000,11.503068208694458,1.1071739196777344,44.24748933136959,547.0842568874359,18.208750972416578,5.2046075107722265,19,-10.274828742645457,100,0.06102395057678223,14.00870156288147
-0.74090946,25.823581218719482,-0.0035853027,-193.56214709943893,27.49307084083557,210000,11.43120265007019,1.6256604194641113,1.9768472200575595,574.6436967849731,23.19757316486845,2.25263071460763,20,-13.931291844174437,100,0.0430760383605957,13.705909013748169
-0.35251725,25.692509412765503,0.009260474,-35.37794307050884,27.269038438796997,220000,11.354393482208252,1.5331335067749023,28.56486312851993,601.9959201812744,12.443279609506432,6.626409347053298,21,-7.999269690897071,100,0.04248642921447754,13.658534049987793
