train-StdReturn,LossAfter,train-AverageReturn,train-MinReturn,Itr,Time-Sampling,LossBefore,Time-Optimization,Time,train-MaxReturn,train-EnvExecTime,ItrTime,train-PolicyExecTime,n_timesteps,Time-SampleProc,train-AverageDiscountedReturn,train-NumTrajs
32.49923899174912,-0.014642385,-26.461447169529528,-105.70058237264463,0,11.641893863677979,-1.419072e-05,0.5445747375488281,12.284126281738281,50.13255069439927,2.6003692150115967,12.284123182296753,8.77796220779419,10000,0.09708619117736816,-16.400193043449107,100
32.01111807252733,-0.015353424,-28.2415878033037,-106.97058632844563,1,16.855347394943237,-1.4207583e-05,0.34370994567871094,29.68509268760681,63.045903665702674,3.870690107345581,17.3662269115448,12.615987062454224,20000,0.15120720863342285,-18.87460806370228,100
30.979527194713295,-0.014483629,-20.788126846247334,-100.75914622295286,2,20.925877332687378,-1.4178932e-05,0.26451539993286133,50.98791217803955,85.31825322214554,4.814450740814209,21.29558777809143,15.674785137176514,30000,0.1030426025390625,-13.996978642593652,100
36.049482733501925,-0.014047314,-23.705913140722775,-132.56652789770715,3,14.967825174331665,-1.4174906e-05,0.2755303382873535,66.37493944168091,83.77972012241565,3.1982812881469727,15.376368284225464,11.446964502334595,40000,0.13053131103515625,-14.52778976038545,100
31.699233037740775,-0.013650675,-24.735209005163803,-99.7666122801063,4,15.151819944381714,-1.4139248e-05,0.4004943370819092,82.06333947181702,57.403389908076036,3.2139170169830322,15.682478427886963,11.584840536117554,50000,0.12932968139648438,-15.157610464878395,100
31.85438220430409,-0.0135689,-18.310578009969273,-97.19816555902261,5,20.630823135375977,-1.4129861e-05,0.48587775230407715,103.3462643623352,75.09496723291711,4.548476934432983,21.274348497390747,15.631928205490112,60000,0.15674686431884766,-11.3813852322164,100
31.37292615487278,-0.013094163,-17.25580299122039,-100.55291272173787,6,23.33597421646118,-1.4113116e-05,0.48082780838012695,127.36688899993896,81.26576458990625,4.958855867385864,24.003515481948853,17.89018940925598,70000,0.18554353713989258,-11.27056948362582,100
32.8097457491493,-0.011649214,-20.540801685263297,-115.20234329717513,7,20.54017448425293,-1.4106844e-05,0.585329532623291,148.66159987449646,60.9023774584724,4.654396295547485,21.27980351448059,15.430789709091187,80000,0.15323638916015625,-12.187332256310825,100
35.150302140701385,-0.01262764,-23.13235464801609,-93.62534741931266,8,23.867887258529663,-1.4097983e-05,0.5666735172271729,173.32258796691895,69.98322880521148,5.061624526977539,24.644861698150635,18.31318473815918,90000,0.2008965015411377,-14.049145627825597,100
30.766456440191792,-0.013386174,-16.631776936658962,-127.44389935488674,9,20.313109636306763,-1.4078008e-05,0.4767110347747803,194.2377462387085,56.190484973878924,4.73278284072876,20.892998695373535,15.136192321777344,100000,0.10166072845458984,-10.916391958271111,100
35.762683362415565,-0.013949059,-17.44549753031488,-98.35065246199392,10,21.385911226272583,-1.4086894e-05,0.44558215141296387,216.18203258514404,89.62375392004743,4.868036985397339,21.932053089141846,16.053094387054443,110000,0.0990607738494873,-10.853262516097605,100
31.409516817039368,-0.011839877,-18.18167475092985,-95.7270168186057,11,21.19186520576477,-1.4066354e-05,0.5573515892028809,238.10883927345276,61.8232214096627,4.751115560531616,21.911722898483276,15.994853973388672,120000,0.1620011329650879,-11.00057608446877,100
31.72284712104638,-0.0115989335,-12.016974799197277,-96.00997319186503,12,22.813825130462646,-1.4046784e-05,0.5137841701507568,261.61410450935364,63.340401839783894,4.905234336853027,23.493730068206787,17.398313283920288,130000,0.16376733779907227,-8.079320462628026,100
33.48919981423138,-0.012406169,-15.826315251567973,-102.16569822327703,13,23.258442163467407,-1.4031535e-05,0.6240160465240479,285.7520718574524,111.1059143962852,5.072883605957031,24.12250590324402,17.69881319999695,140000,0.23927855491638184,-9.867021224425557,100
33.95434837471394,-0.013086434,-14.476211586724755,-105.62325712945565,14,21.618856191635132,-1.4014621e-05,0.5256268978118896,308.10420966148376,85.4760157360676,4.897062063217163,22.334301710128784,16.261000871658325,150000,0.18450164794921875,-9.680767858284417,100
36.723227906435824,-0.01349942,-4.272459639402588,-83.95944528127842,15,21.749257564544678,-1.4008165e-05,0.44454121589660645,330.5200526714325,89.86532891615283,4.849231958389282,22.39328360557556,16.42507815361023,160000,0.1985783576965332,-3.201245279606285,100
29.259241184102095,-0.013368786,-15.810811894772723,-83.94425868096495,16,22.14818572998047,-1.3967909e-05,0.4750022888183594,353.4089505672455,76.33226037865238,4.9898436069488525,22.875765800476074,16.647229433059692,170000,0.24956870079040527,-10.10434616942587,100
32.00187485523609,-0.01290301,-13.34549903769253,-86.60798117993608,17,21.166085720062256,-1.3937732e-05,0.41327738761901855,375.1271336078644,70.50612996649134,4.758775472640991,21.704195261001587,15.96047854423523,180000,0.12380838394165039,-7.675698246463863,100
32.12043662601662,-0.0114022605,-9.290086183507576,-109.39254468547206,18,22.07477641105652,-1.3888665e-05,0.5346276760101318,398.0038335323334,63.93116075088749,4.759127855300903,22.86093497276306,16.861202001571655,190000,0.23881220817565918,-6.149996185646376,100
35.56990750802029,-0.013153446,-3.767501694159571,-96.9438017737372,19,21.092195510864258,-1.3856138e-05,0.5047564506530762,419.7631952762604,104.67096122173113,4.716196298599243,21.743594884872437,15.929092407226562,200000,0.14585280418395996,-2.51438802112682,100
36.75338067833116,-0.011260751,-7.042959818060066,-96.19777060423795,20,21.87016725540161,-1.3856535e-05,0.48688673973083496,442.2830686569214,70.505855729352,4.955653667449951,22.502005100250244,16.461119174957275,210000,0.14371609687805176,-3.214161289632157,100
