LossBefore,Itr,train-MinReturn,train-MaxReturn,Time,Time-Sampling,LossAfter,train-NumTrajs,Time-SampleProc,ItrTime,train-StdReturn,train-AverageReturn,train-EnvExecTime,Time-Optimization,train-PolicyExecTime,n_timesteps,train-AverageDiscountedReturn
-1.419854e-05,0,-123.73127130567453,75.70530627360071,6.079562187194824,5.3302764892578125,0.03431099,100,0.044074058532714844,6.079556941986084,32.11487549498002,-43.81367656306578,1.8371644020080566,0.7048125267028809,3.3261501789093018,10000,-26.939905481297597
-1.41924e-05,1,-114.03415695734517,16.51797306260232,12.204540252685547,5.433084487915039,0.0058972924,100,0.12224245071411133,6.0998451709747314,27.584645866194748,-35.958446546722655,1.8632874488830566,0.544090747833252,3.3961446285247803,20000,-22.81209260179698
-1.42125455e-05,2,-102.03324103916546,18.836097401670187,18.314637660980225,5.522754192352295,-0.010953092,100,0.06859159469604492,6.0826122760772705,28.079591653472367,-36.148116614107614,1.8853862285614014,0.49065732955932617,3.459571361541748,30000,-22.637134712223414
-1.4206624e-05,3,-133.74062189831653,29.9679646047961,24.53039526939392,5.582069158554077,-0.014286591,100,0.07058525085449219,6.1946775913238525,30.427078702552347,-37.09787331076295,1.8928093910217285,0.5361714363098145,3.512394428253174,40000,-23.156373147685986
-1.4224958e-05,4,-110.91141575796757,46.27854756880276,31.203198432922363,5.9791741371154785,-0.011768829,100,0.07341742515563965,6.6488001346588135,29.85260216058837,-27.000530254730062,1.994361400604248,0.5950384140014648,3.7888476848602295,50000,-17.407448778580964
-1.41927285e-05,5,-90.82669587623353,37.74011893145629,38.696046352386475,6.823843717575073,-0.013400865,100,0.07944416999816895,7.475486755371094,26.560506025956943,-28.257275597030894,2.2377243041992188,0.5718746185302734,4.362159967422485,60000,-18.062697331526444
-1.4175182e-05,6,-128.2806829234377,41.75999956063568,47.21167778968811,7.744219541549683,-0.012250854,100,0.05828213691711426,8.498763799667358,27.89451502956127,-26.20650385901425,2.465406894683838,0.6956872940063477,5.034497976303101,70000,-16.875830087073567
-1.4164566e-05,7,-93.93343128082374,45.421019013541056,56.879964113235474,9.045598030090332,-0.015947653,100,0.11498188972473145,9.64633560180664,25.71136758246468,-25.819963760029772,2.898254632949829,0.48546671867370605,5.875720262527466,80000,-16.74951747234789
-1.4148921e-05,8,-108.66772756072545,27.608878402154847,66.0582447052002,8.527371644973755,-0.013806251,100,0.08907747268676758,9.152076244354248,27.085510287110875,-24.934309942417663,2.7500264644622803,0.5323178768157959,5.517996311187744,90000,-15.57768020947025
-1.4155078e-05,9,-96.01585305605386,39.914718124762835,75.46096134185791,8.911851167678833,-0.012321173,100,0.06825995445251465,9.378164052963257,26.839174138817288,-22.961000979845036,2.8721930980682373,0.3973970413208008,5.76856803894043,100000,-15.016840500482566
-1.4118565e-05,10,-97.06509346092936,61.306131111996564,83.2154815196991,7.282965183258057,-0.0141821075,100,0.0448153018951416,7.73614239692688,26.052707187461774,-24.475652870078708,2.3359711170196533,0.40793657302856445,4.7213122844696045,110000,-15.348897412384297
-1.407576e-05,11,-90.53113806949881,58.47031750714748,91.15648674964905,7.444769859313965,-0.01414016,100,0.033954620361328125,7.923900604248047,28.046883178179208,-20.014376541344117,2.3853399753570557,0.44495654106140137,4.8229522705078125,120000,-12.285869931008538
-1.407702e-05,12,-84.54679813116358,36.161969475274844,99.7592511177063,7.882068872451782,-0.013330311,100,0.07091951370239258,8.58595323562622,25.517679645217097,-19.6505029622972,2.5112149715423584,0.6324601173400879,5.1170830726623535,130000,-12.268109164213902
-1.4051005e-05,13,-76.55739719938586,41.90795741063452,113.60722875595093,12.981448888778687,-0.014727576,100,0.06281232833862305,13.817361116409302,26.60907501780398,-22.77878258559589,4.151525974273682,0.7726237773895264,8.452499389648438,140000,-14.919008086164892
-1.402727e-05,14,-75.83032787018894,30.45394967352982,125.60862827301025,11.45000410079956,-0.015678639,100,0.08098554611206055,11.966129541397095,21.507302768889183,-14.5328182234584,3.589695453643799,0.434844970703125,7.524262189865112,150000,-9.081368112621
-1.4000469e-05,15,-97.89758755633287,44.49242899533328,133.85308527946472,7.778580665588379,-0.013209676,100,0.04740095138549805,8.226267099380493,22.790364257220798,-15.17811614795056,2.4714019298553467,0.39987850189208984,5.041876792907715,160000,-9.433918140090588
-1.4000344e-05,16,-97.2949795483539,36.16111988371048,141.75114607810974,7.385822057723999,-0.015332809,100,0.07451939582824707,7.879615306854248,26.67627331639014,-13.1749856745966,2.3947572708129883,0.4190223217010498,4.750498056411743,170000,-8.271299633965052
-1.3973749e-05,17,-97.98943801137943,54.83854408118105,152.28986144065857,9.492352485656738,-0.014590913,100,0.0818934440612793,10.520362138748169,25.283688925977856,-13.680789860234437,3.0071871280670166,0.9455039501190186,6.183592081069946,180000,-8.902218918804646
-1.3975571e-05,18,-96.53306721723882,43.177646888326656,168.2149374485016,14.836369276046753,-0.0155494865,100,0.1441328525543213,15.880141973495483,25.581015373035264,-14.360133261792503,4.592830419540405,0.8990497589111328,9.81782579421997,190000,-8.85065541777734
-1.396134e-05,19,-107.9640618163993,71.70563836349177,177.03356432914734,8.248652935028076,-0.01460251,100,0.049678802490234375,8.757139682769775,28.62046935500992,-13.424193171146419,2.5983784198760986,0.45816969871520996,5.401150941848755,200000,-9.126181521628725
-1.3954023e-05,20,-107.28280870968742,67.04118575838338,186.61094570159912,9.052815675735474,-0.015610804,100,0.05211305618286133,9.559677839279175,29.194122963975772,-14.462984805522147,2.825007438659668,0.45430874824523926,5.945672273635864,210000,-9.857419535119668
