Time,train-NumTrajs,n_timesteps,ItrTime,Time-Optimization,Time-SampleProc,train-AverageReturn,train-EnvExecTime,train-MinReturn,train-StdReturn,LossBefore,train-MaxReturn,LossAfter,train-AverageDiscountedReturn,Time-Sampling,train-PolicyExecTime,Itr
6.524715423583984,100,10000,6.524711608886719,0.5533721446990967,0.06416797637939453,8.504848874218975,2.021103620529175,-10.869078160462966,7.983812529678986,-1.4187525e-05,27.2913363753176,0.029624913,5.17500913954784,5.90683913230896,3.6912319660186768,0
12.984904766082764,100,20000,6.441816329956055,0.21882319450378418,0.0887000560760498,5.198409401497654,2.0574734210968018,-5.830304309747263,5.981805057433436,-1.4203669e-05,22.205133136569092,0.028225156,2.930781735650769,6.129587411880493,3.8685882091522217,1
19.400747776031494,100,30000,6.4045188426971436,0.2096695899963379,0.12575626373291016,7.429088450324377,2.081758499145508,-5.59801402664546,7.749517132276839,-1.4228147e-05,22.134844216092915,-0.008000147,4.244858751582126,6.068798065185547,3.783308744430542,2
25.76759648323059,100,40000,6.355950117111206,0.25986528396606445,0.049521446228027344,11.563562616168626,2.04939603805542,-8.918487409928668,8.059686618041388,-1.4218533e-05,27.822484361932336,-0.00940086,7.140019007793339,6.04583740234375,3.7844462394714355,3
32.249841928482056,100,50000,6.47087025642395,0.24140119552612305,0.05453991889953613,17.700875656162783,2.1274302005767822,-5.254986826101354,7.599399675689115,-1.4187921e-05,29.96191185665029,-0.007518532,12.08852094435344,6.174567461013794,3.8266632556915283,4
38.800159215927124,100,60000,6.538761854171753,0.24287939071655273,0.03926253318786621,22.828415129354852,2.187838315963745,4.694917904555051,6.093232418212948,-1.41438895e-05,30.422968938483013,-0.011766933,15.815153305924948,6.256035089492798,3.8584349155426025,5
45.41709041595459,100,70000,6.606374740600586,0.2230379581451416,0.05908942222595215,25.099705216621846,2.2473366260528564,12.98600864447224,3.6528456811432286,-1.4105315e-05,31.73808565662029,-0.0064485427,18.120327430227874,6.324020624160767,3.8697445392608643,6
52.08738827705383,100,80000,6.659812688827515,0.2623894214630127,0.045084238052368164,27.11429392858177,2.2391648292541504,17.350462689890307,2.618361638618662,-1.4047787e-05,32.817753022064075,-0.008341576,20.224121896575106,6.3519017696380615,3.9041388034820557,7
59.17781114578247,100,90000,7.078457832336426,0.2545280456542969,0.043189287185668945,26.640046908363797,2.3889718055725098,15.347158652065657,2.6864034892907225,-1.3975296e-05,31.334922673884858,-0.006497468,20.167989606075366,6.7804718017578125,4.171148300170898,8
65.80614304542542,100,100000,6.616495132446289,0.24462890625,0.04265475273132324,27.301953064855237,2.2336156368255615,18.99590302190302,1.9590766150964838,-1.3905436e-05,32.076408438588395,-0.007657448,21.14762989255272,6.328839063644409,3.892345428466797,9
72.40121984481812,100,110000,6.583697319030762,0.24829888343811035,0.03992104530334473,27.970157289954056,2.2418646812438965,24.27782401296043,1.4727010643180787,-1.3830508e-05,30.777724452216997,-0.007148635,21.793203372057974,6.295262098312378,3.839794397354126,10
78.99586534500122,100,120000,6.585033893585205,0.23786497116088867,0.05385231971740723,28.043361609837742,2.222184658050537,24.784215984360046,1.526252301635806,-1.3751208e-05,31.234734602958074,-0.004489045,21.90592105836445,6.293073892593384,3.8664729595184326,11
86.20416903495789,100,130000,7.196789264678955,0.24247026443481445,0.08385276794433594,28.383388854415927,2.4426770210266113,25.08133051368828,1.3934393057587013,-1.3653477e-05,32.27992304341914,-0.004189694,22.337886572888188,6.870226860046387,4.204593896865845,12
92.93552088737488,100,140000,6.719252347946167,0.22289276123046875,0.042615413665771484,28.461247398030878,2.2843501567840576,23.948917917428584,1.2650443674128888,-1.3551909e-05,30.88875378320877,-0.0040648417,22.500220481027004,6.453445672988892,3.959535598754883,13
99.54456949234009,100,150000,6.5975892543792725,0.2519042491912842,0.04559731483459473,28.39795135433517,2.2450063228607178,22.81371517533757,1.5804990679921582,-1.346117e-05,31.40272027102402,-0.0030858438,22.422251818550244,6.299746513366699,3.8475561141967773,14
106.7563202381134,100,160000,7.1994593143463135,0.2572460174560547,0.04542827606201172,28.68898201866882,2.465672254562378,25.35717963842938,1.3214373359788603,-1.3375113e-05,32.629745024363636,-0.0020444628,22.745630075788014,6.896463871002197,4.204991579055786,15
113.38736248016357,100,170000,6.6189422607421875,0.23447775840759277,0.0428924560546875,28.80127240708513,2.258427143096924,25.42857681745504,1.424525455013201,-1.3280749e-05,31.922747791795288,-0.0025154748,22.808329417970327,6.341261148452759,3.876145839691162,16
119.99007892608643,100,180000,6.592602252960205,0.22825241088867188,0.038843631744384766,28.900252962612356,2.263404607772827,25.056461442374502,1.3517313737050043,-1.3199527e-05,31.775080385917434,-0.000945436,22.92671599176176,6.325176000595093,3.854950189590454,17
126.59305500984192,100,190000,6.592733144760132,0.2506103515625,0.04280829429626465,28.77875643585141,2.2291626930236816,26.055046102132174,1.1911566325829877,-1.314707e-05,31.568582413046144,-0.0019401575,22.791129316430688,6.299007177352905,3.8677494525909424,18
133.15589666366577,100,200000,6.55139684677124,0.23972558975219727,0.03996109962463379,29.05997356048962,2.224760055541992,25.84701601298085,1.1936223072405325,-1.3087584e-05,31.856312778854637,-0.003622236,23.085379053783,6.271416902542114,3.8331656455993652,19
139.8207836151123,100,210000,6.650927782058716,0.23872995376586914,0.05952119827270508,28.930717752642657,2.257052183151245,25.947164246808374,1.1907396592586221,-1.3024683e-05,31.78470529168425,-0.0015374273,23.04562433267665,6.3524391651153564,3.886898994445801,20
