train-NumTrajs,train-AverageReturn,Time-Optimization,Time-Sampling,train-StdReturn,Itr,train-MinReturn,train-PolicyExecTime,n_timesteps,ItrTime,train-EnvExecTime,train-AverageDiscountedReturn,LossBefore,LossAfter,Time,Time-SampleProc,train-MaxReturn
100,9.719316838093775,2.2250053882598877,22.842723608016968,7.887751875840386,0,-4.9883492062440045,14.041539907455444,10000,25.243348121643066,8.126229286193848,6.26420405371167,-6.1035155e-09,0.03267419,25.243359088897705,0.17377638816833496,25.093074315721474
100,5.542720070810801,1.5216665267944336,22.586747646331787,6.8135395810226616,1,-7.35012877105916,13.819143533706665,20000,24.221466064453125,8.09569239616394,3.215796957209149,0.008471167,-0.005003494,49.56922674179077,0.11130952835083008,24.338535472646857
100,12.564709695690468,1.4031672477722168,22.67068648338318,8.012080182939334,2,-6.647122442619071,13.789082765579224,30000,24.18435001373291,8.197868824005127,7.602299093137657,6.1035155e-09,-0.005166293,73.85078763961792,0.1083531379699707,28.312336690262736
100,17.99033632964888,1.700429916381836,22.871719121932983,6.757734025895725,3,-3.72282755210251,13.94002079963684,40000,24.682908058166504,8.249577760696411,10.590521609201298,1.2207031e-08,-0.0048190122,98.66679096221924,0.10902571678161621,29.47624807431096
100,22.96425143782988,1.5215160846710205,22.92484974861145,5.010127676120845,4,0.6835006555004128,13.820586204528809,50000,24.583747625350952,8.421478509902954,14.921831510561415,1.525879e-08,-0.006175003,123.33145046234131,0.13540053367614746,31.004280042117127
100,24.294647710974164,1.29459547996521,23.216053247451782,3.691602961885589,5,4.949447297648358,13.982826232910156,60000,24.67858338356018,8.543437480926514,16.106935907838196,-9.155274e-09,-0.005352623,148.06572270393372,0.16657328605651855,30.555874355470085
100,25.975655167288632,1.0632922649383545,23.40804171562195,2.7732721191875433,6,16.972851469651626,14.01802110671997,70000,24.642334699630737,8.701109647750854,18.05695358309636,-0.0027957489,-0.00357005,172.76397442817688,0.16895771026611328,31.167465751617982
100,25.809687559732,1.0598373413085938,23.705509662628174,3.925286608455537,7,-1.2320985748717332,14.203453540802002,80000,24.87579846382141,8.808654308319092,18.112808169520385,-1.2207031e-08,-0.0043827514,197.70393109321594,0.10968923568725586,31.919832065687633
100,26.188265636643294,1.0467028617858887,23.586503744125366,2.655171448853577,8,19.740249333413743,14.031846284866333,90000,24.751938104629517,8.855094909667969,18.48510982976501,3.0517577e-09,-0.0036891464,222.51407051086426,0.1180276870727539,30.453062271540205
100,26.00234381298878,1.0925917625427246,23.702468872070312,2.714896323470308,9,19.245705638026834,14.148563146591187,100000,24.9032142162323,8.865605115890503,18.684034505312496,-9.155274e-09,-0.0048556398,247.4833950996399,0.10751819610595703,32.131047743831886
100,26.947606878406127,1.0851545333862305,23.84579825401306,2.360887164604373,10,20.05857678891648,14.246259450912476,110000,25.044351816177368,8.90510630607605,19.736978513724114,-6.1035155e-09,-0.0037886964,272.58754229545593,0.11272978782653809,32.18792085801158
100,27.587533977040763,1.0782959461212158,23.77021288871765,2.2230131570574203,11,21.775673761227164,14.191549062728882,120000,24.959439992904663,8.896239519119263,20.452302388904982,9.155274e-09,-0.001068779,297.6127986907959,0.11019086837768555,32.75657610144946
100,27.23249126383395,1.0759928226470947,23.761441946029663,2.054864269818536,12,21.779423345556232,14.135794878005981,130000,24.967883110046387,8.934393167495728,20.3109355114599,-8.392334e-09,-0.0018044265,322.6408200263977,0.12974214553833008,31.544780902331905
100,26.652018025954927,1.0761144161224365,23.738184452056885,2.2337235070299726,13,19.77448057267483,14.094364166259766,140000,24.93249249458313,8.954339742660522,20.028928706224946,3.0517577e-09,-0.006514871,347.63612723350525,0.11759185791015625,32.229304906204895
100,27.648940479669683,1.040496826171875,23.719285488128662,2.1204139787211576,14,20.596034303181938,14.133155345916748,150000,24.88818383216858,8.903977394104004,21.056415528613016,-5.340576e-09,-0.0033983842,372.58949422836304,0.12772035598754883,32.05239432401375
100,28.03062910962152,1.0577738285064697,23.72365164756775,2.2918241508934942,15,21.183101362483118,14.11706805229187,160000,24.900720357894897,8.917986631393433,21.295830663457068,-1.5258789e-09,-0.0018521027,397.55084109306335,0.11871981620788574,32.306335790630975
100,28.40522135854043,1.081653118133545,23.79339098930359,1.967842034992293,16,22.698291940741814,14.13410496711731,170000,25.024487733840942,8.969208717346191,21.61558867434631,1.5258789e-09,-0.0032084961,422.63979721069336,0.14878344535827637,32.4425404321401
100,28.41368326744839,1.0644819736480713,23.747263431549072,2.063461119945291,17,19.746820630835035,14.100221395492554,180000,24.925302028656006,8.946624517440796,21.594247559786098,-2.2888185e-09,-0.0045887823,447.6295437812805,0.11289525032043457,32.065802007615304
100,28.738447708503045,1.0545167922973633,23.788482904434204,2.240628597078624,18,20.276047821591856,14.154306650161743,190000,24.962668657302856,8.949320077896118,22.163968501387767,1.5258789e-09,-0.0013684174,472.64864110946655,0.11910104751586914,33.31802328422429
100,28.21240861679449,1.0993232727050781,23.867132902145386,2.695405302398397,19,13.591077278647429,14.17098593711853,200000,25.082350730895996,9.01632308959961,21.73458950387615,-6.1035155e-09,-0.00225213,497.79144501686096,0.11528658866882324,32.24302388611688
100,29.017152744481304,1.0930140018463135,23.85177707672119,3.0762288929350876,20,4.500375926467723,14.14253306388855,210000,25.051066398620605,9.019777774810791,22.43575159701608,-1.5258789e-09,-0.004094058,522.9108147621155,0.10557746887207031,33.98908801570533
