train-NumTrajs,Itr,train-AverageReturn,train-StdReturn,LossAfter,Time,Time-SampleProc,LossBefore,train-AverageDiscountedReturn,Time-Sampling,train-MinReturn,Time-Optimization,n_timesteps,ItrTime,train-PolicyExecTime,train-MaxReturn,train-EnvExecTime
100,17,28.01393142235617,1.5773577231337934,-0.002341278,118.94221997261047,0.06442499160766602,-6.778569e-05,22.411496415289122,6.119875907897949,23.930967045975112,0.22852277755737305,180000,6.413092374801636,3.735377311706543,31.83392092236878,2.184281349182129
100,18,28.75430722887782,1.4710438946783002,-0.0029738513,126.88674426078796,0.04418492317199707,-6.765036e-05,23.11141118433197,7.66732931137085,23.80190280605929,0.22063493728637695,190000,7.932485103607178,4.6536900997161865,31.889894832476827,2.767462730407715
100,19,28.65267093052225,1.6344104943005526,-0.0021622782,138.0193145275116,0.06234240531921387,-6.7475106e-05,22.918070771989072,10.87403392791748,23.112236773032965,0.1874866485595703,200000,11.12407660484314,6.630587577819824,31.67634626284513,3.905916213989258
100,20,28.69355688411564,1.712891766676897,-0.0013462543,143.7298092842102,0.03822588920593262,-6.728255e-05,23.004276321701305,5.441065788269043,23.2893225983022,0.22238636016845703,210000,5.701923370361328,3.3184568881988525,32.28993164340508,1.9405651092529297
100,21,28.115321516538426,1.9170765341304277,-0.0042659575,149.47663497924805,0.07860589027404785,-6.708615e-05,22.563763827510282,5.464073419570923,23.705375385646917,0.19479036331176758,220000,5.7376930713653564,3.335955858230591,32.432141076942365,1.9408447742462158
100,22,28.837816774507683,1.5897544105052739,-0.0020681752,155.2250349521637,0.041724443435668945,-6.690347e-05,23.075110564912908,5.493655443191528,23.97407747129656,0.20403528213500977,230000,5.739641427993774,3.379852771759033,32.0172102839656,1.934330701828003
100,23,28.5179201837512,1.48715431775042,-0.003019969,161.5565288066864,0.03227567672729492,-6.664846e-05,22.80764673173923,6.036245107650757,23.906097798858507,0.25342535972595215,240000,6.32217001914978,3.67497181892395,32.18277655040443,2.16306209564209
100,24,29.10010537266308,1.768349133687533,-0.004268923,168.97467255592346,0.09139585494995117,-6.634899e-05,23.366806414526668,7.08060359954834,24.699840404131358,0.2256321907043457,250000,7.407325506210327,4.360402345657349,32.31544942421414,2.4922025203704834
100,25,29.00211567704861,1.7033210105708576,-0.0019697377,176.24747252464294,0.056844234466552734,-6.607315e-05,23.341643195884718,6.973787546157837,23.99931964664715,0.23127341270446777,260000,7.262291193008423,4.264989376068115,32.92086775057488,2.483043909072876
100,26,29.17927510470484,1.5914251209981232,-0.0012746264,185.59404921531677,0.10861086845397949,-6.579188e-05,23.428568473177837,9.018009185791016,25.49180411039567,0.20847511291503906,270000,9.33530879020691,5.678750514984131,34.20515300359362,3.061816453933716
100,27,29.158499331522016,1.637307610902443,-0.0019034387,191.78115940093994,0.04062223434448242,-6.552263e-05,23.409777144476493,5.902315139770508,25.501983043028957,0.23510456085205078,280000,6.178284645080566,3.658393144607544,33.53201561410583,2.0461905002593994
100,28,29.16675818933011,1.9680661957815866,-0.0025532425,197.79227375984192,0.04044675827026367,-6.523894e-05,23.438894577466602,5.745420932769775,24.091094940050255,0.2146456241607666,290000,6.000762939453125,3.517180919647217,33.0629991704002,2.0358774662017822
100,29,29.24025598711179,1.4820425401597055,-0.0016896393,208.42440795898438,0.03558683395385742,-6.4945e-05,23.438467874230458,10.382736682891846,23.142102749911416,0.20352840423583984,300000,10.622054815292358,6.343652009963989,32.31491036890542,3.7158467769622803
100,30,29.415043882585437,1.4203453754617759,-0.00067731424,218.67863702774048,0.05686759948730469,-6.464846e-05,23.651387260789946,9.938724040985107,25.41806288000892,0.2468109130859375,310000,10.245405912399292,6.056293725967407,32.594010306073194,3.572234869003296
100,31,29.668184213627907,1.5298773506180408,0.011707068,228.28593635559082,0.21715521812438965,-6.443952e-05,23.878668169302063,9.124112606048584,25.94573730448276,0.2566087245941162,320000,9.598317384719849,5.620050430297852,33.03447224717039,3.215296506881714
100,32,29.305470980621656,1.699588411177869,-0.0016330788,234.2868676185608,0.03930306434631348,-6.4277636e-05,23.59482883078619,5.7375383377075195,24.503096806872687,0.21467804908752441,330000,5.991748809814453,3.536078453063965,32.950130912354574,2.01279354095459
100,33,29.015353894462372,1.8629924620704106,-0.0022191436,240.19268774986267,0.040344953536987305,-6.413369e-05,23.28293305212914,5.642780303955078,23.074834901607606,0.21337342262268066,340000,5.896792411804199,3.456193685531616,33.62480764814378,2.002394199371338
100,34,28.932243793528443,3.909375817496159,-0.0014227751,246.0550456047058,0.04093647003173828,-6.397007e-05,23.32795300023174,5.594161033630371,3.9243140796144216,0.2182765007019043,350000,5.853583335876465,3.414069890975952,33.34079825221488,1.9961707592010498
100,35,29.860283903235583,1.5011570392379483,-0.0021855799,251.98896861076355,0.033692121505737305,-6.379516e-05,23.973065201544568,5.6764843463897705,26.452057502008678,0.21341156959533691,360000,5.923766613006592,3.4311933517456055,33.38393202529401,2.0572848320007324
100,36,29.55614840093977,1.8484946893674048,-0.00011716089,259.08172488212585,0.049048423767089844,-6.3590494e-05,23.595285771140194,6.790957927703857,22.343307444230827,0.23947763442993164,370000,7.081655025482178,4.13390588760376,33.75923870555613,2.435025215148926
100,37,29.730914018848754,1.7331460402768768,-0.0026349756,266.2157096862793,0.047182321548461914,-6.337118e-05,23.727051451855463,6.827214002609253,23.514014787560082,0.24742865562438965,380000,7.1221091747283936,4.133190393447876,34.8053192533613,2.4742918014526367
100,38,29.944802854437842,1.9710884095936436,-0.0018333364,273.5119547843933,0.05301070213317871,-6.315366e-05,23.908904037148858,6.989874601364136,25.10704708960656,0.24056553840637207,390000,7.283782005310059,4.274451494216919,35.28061530191723,2.491103172302246
100,39,30.132986090124994,1.9296512515021724,-0.0017027855,281.6823296546936,0.0566105842590332,-6.2944964e-05,24.057920429289265,7.82811975479126,22.672601051895246,0.27424001693725586,400000,8.15930461883545,4.867537260055542,33.71360283986162,2.7096142768859863
100,40,30.115353514531012,1.5621211932445782,-0.002384106,289.16155195236206,0.037573814392089844,-6.271911e-05,23.943488780327506,7.14557409286499,26.40545006104345,0.28209495544433594,410000,7.465571880340576,4.331680774688721,34.53316175431959,2.577035903930664
