Itr,train-AverageReturn,Time-Optimization,train-EnvExecTime,train-MinReturn,Time-SampleProc,train-NumTrajs,LossAfter,n_timesteps,Time-Sampling,train-AverageDiscountedReturn,train-MaxReturn,train-PolicyExecTime,train-StdReturn,LossBefore,Time,ItrTime
0,-32.29830389470259,0.5471076965332031,2.1120529174804688,-107.0483053301893,0.050275564193725586,100,0.041320954,10000,6.040386438369751,-21.493636266261177,50.3046587009183,3.7374942302703857,31.432809776219383,-1.419835e-05,6.6380531787872314,6.638049602508545
1,-29.3028562427271,0.2797126770019531,2.031013250350952,-100.55797698553232,0.06423664093017578,100,0.0021258697,20000,5.7818357944488525,-18.967940651653663,39.727836306669694,3.555330991744995,32.52421335564774,-1.4213381e-05,12.782445192337036,6.126157522201538
2,-20.460707866271875,0.40996837615966797,2.009150266647339,-95.52640138487602,0.08088350296020508,100,-0.013037849,30000,5.708459854125977,-13.365715103279213,97.98351531588222,3.5106799602508545,33.04589096157183,-1.4258866e-05,18.993894815444946,6.199676752090454
3,-22.978065161897693,0.4251086711883545,2.119032382965088,-138.5493527795939,0.08351016044616699,100,-0.017563872,40000,6.02382755279541,-15.153209550931875,54.22833454294349,3.7074835300445557,34.27938701231175,-1.4236303e-05,25.54719567298889,6.535508632659912
4,-19.15078730433178,0.3383901119232178,2.1330840587615967,-131.21505562122837,0.11409258842468262,100,-0.017091092,50000,6.0853962898254395,-12.79058735295314,66.51977196076021,3.7562835216522217,37.27963525051037,-1.4229806e-05,32.09748125076294,6.538136005401611
5,-15.108895657938174,0.3505222797393799,1.9928889274597168,-95.35715975774826,0.08542037010192871,100,-0.014368385,60000,5.689026832580566,-9.798867552801351,71.62536161388252,3.5008065700531006,30.907428315191805,-1.4186491e-05,38.23377084732056,6.125540494918823
6,-17.902437166868864,0.3212404251098633,1.967104196548462,-102.08133922684634,0.1339244842529297,100,-0.016715452,70000,5.5789408683776855,-11.389318835784973,57.3703281769509,3.427201271057129,29.56073049752294,-1.4175783e-05,44.27748465538025,6.034451246261597
7,-17.167153460401924,0.35913586616516113,2.1138477325439453,-133.46046664745003,0.06739068031311035,100,-0.014695363,80000,6.041352033615112,-10.75467688729063,50.999018954724406,3.7300095558166504,31.27705602727207,-1.4148111e-05,50.75668382644653,6.468225002288818
8,-10.88083501666671,0.29745912551879883,2.0637242794036865,-97.56304147185898,0.03990030288696289,100,-0.017377673,90000,5.836453199386597,-7.177606694028571,75.75924531598976,3.581549644470215,32.218404797724524,-1.4108249e-05,56.94573426246643,6.174043893814087
9,-18.37369806387397,0.26222944259643555,2.082240343093872,-100.8360840994123,0.03983712196350098,100,-0.017775731,100000,5.947812795639038,-12.139912541880967,42.76027537028409,3.672842502593994,28.84042281866375,-1.4123273e-05,63.20963978767395,6.250272035598755
10,-17.045888181919867,0.25132250785827637,2.0661051273345947,-83.3822681174604,0.053483009338378906,100,-0.017818835,110000,5.945638656616211,-11.2904673507422,47.14138882804062,3.6799376010894775,25.561001908986245,-1.4090517e-05,69.479984998703,6.251883506774902
11,-8.455762573262255,0.24127531051635742,2.038465738296509,-111.92994780924366,0.04303407669067383,100,-0.015937466,120000,5.864845275878906,-4.842518132570112,53.02763682101409,3.6356921195983887,30.253896626909867,-1.4090098e-05,75.6462504863739,6.149988174438477
