train-PolicyExecTime,train-MinReturn,train-AverageReturn,LossAfter,n_timesteps,Time-Optimization,ItrTime,train-AverageDiscountedReturn,Time-SampleProc,LossBefore,Time,Itr,Time-Sampling,train-MaxReturn,train-StdReturn,train-EnvExecTime,train-NumTrajs
14.252054452896118,12.61050823853756,24.060463120504632,-0.22364898,20000,1.537386417388916,25.947230100631714,18.512323109662248,0.2518315315246582,0.011609388,50.057721853256226,1,24.148163318634033,31.744670696377398,3.5206578197466767,9.152289390563965,100
14.123252868652344,23.407737029786045,26.83711188608073,-0.06198943,30000,1.0650489330291748,25.272765636444092,20.258446434534363,0.11391901969909668,-0.001252417,75.39283514022827,2,24.09306812286377,30.675866571785132,1.6441638952308377,9.233402252197266,100
14.235755681991577,23.75870188973041,27.616312441061627,-0.085929416,40000,1.0634028911590576,25.34653353691101,21.652564538837087,0.10725212097167969,0.0026358292,100.80510902404785,3,24.175229787826538,30.05364455519982,1.1803318628056167,9.207699060440063,100
14.040125846862793,23.666273415135976,27.49449449610139,-0.044682506,50000,1.0441632270812988,25.04781723022461,22.49878822392141,0.10324931144714355,0.0050820718,125.91519403457642,4,23.8994243144989,29.77865871934762,1.2271535719428046,9.121640682220459,100
13.937161684036255,20.253315260657928,27.18649693987019,-0.1060949,60000,1.0570805072784424,24.98442840576172,22.042525065981717,0.1437065601348877,-0.0031736756,150.9575593471527,5,23.78290820121765,30.58295656380651,1.9956507368131537,9.101785898208618,100
14.030837774276733,25.770553760925267,27.228510267997716,-0.20431697,70000,1.0443074703216553,25.069961071014404,21.399994367424842,0.10522842407226562,-0.001808197,176.08868980407715,6,23.919835567474365,32.05759293630502,0.85969297842884,9.160358190536499,100
13.941884994506836,25.261579384873308,26.98399502770092,-0.3340276,80000,1.065251111984253,25.033432483673096,20.412164909654333,0.12218427658081055,0.0050562867,201.18188786506653,7,23.8447527885437,28.762115951504576,0.8109131271757855,9.169574975967407,100
14.040972232818604,23.297421103941737,26.98764948634211,-0.38922036,90000,1.0696945190429688,25.156113862991333,20.61937696526684,0.18404865264892578,0.007802614,226.39844965934753,8,23.900296449661255,29.240441117922234,1.0039443453197816,9.120938062667847,100
13.798932313919067,16.239875675502937,26.907871277658145,-0.80111015,100000,1.3473892211914062,25.099852323532104,20.276982955979623,0.19303560256958008,-0.001739331,251.55812978744507,9,23.557410955429077,32.50217732077504,2.02974790318533,9.02591872215271,100
13.652874231338501,11.871310222023547,26.124881795557062,-1.0290935,110000,1.682854175567627,25.035483837127686,18.695304093748735,0.14176678657531738,-0.0023808228,276.6548821926117,10,23.208853006362915,30.87510128076313,3.473424893199494,8.827480792999268,100
13.626995086669922,-7.318498961861698,22.84648027246336,-0.2833669,120000,1.1056053638458252,24.20109796524048,14.861404079845274,0.11404132843017578,0.007390076,300.9133770465851,11,22.980750560760498,30.422384429221438,7.748089005227997,8.622790813446045,100
