Iteration	TimestepsThisBatch	Time	PoolSize	MaxEpReturn	TimestepsSoFar	LastEpReturn	Episodes
0	1000	11.630789756774902	2000	238.57401122349282	2000	116.75029050313968	62
1	1000	21.937239408493042	3000	238.57401122349282	3000	182.80740384084214	74
2	1000	32.04899978637695	4000	238.57401122349282	4000	224.11918109559	85
3	1000	41.42628812789917	5000	238.57401122349282	5000	103.9060287863809	97
4	1000	50.63859415054321	6000	238.57401122349282	6000	201.89411697811363	109
5	1000	59.9102041721344	7000	253.66330084213857	7000	101.64600900434746	121
6	1000	69.28521418571472	8000	297.05428111414267	8000	158.40816448369588	130
7	1000	79.15340781211853	9000	1156.6261232710667	9000	1156.6261232710667	134
8	1000	89.57663989067078	10000	1156.6261232710667	10000	298.64936918972654	140
9	1000	99.6286506652832	11000	1156.6261232710667	11000	324.5639777191383	150
10	1000	108.66425466537476	12000	1156.6261232710667	12000	302.90471769349415	158
11	1000	118.0570592880249	13000	1156.6261232710667	13000	287.89806996401575	167
12	1000	128.77984738349915	14000	1156.6261232710667	14000	243.53788206049433	176
13	1000	139.25117707252502	15000	1156.6261232710667	15000	368.9993009847472	185
14	1000	151.74409794807434	16000	1156.6261232710667	16000	282.83591673326833	192
15	1000	163.39191246032715	17000	1156.6261232710667	17000	139.1940377204639	200
16	1000	174.5249252319336	18000	1156.6261232710667	18000	408.1950390813385	208
17	1000	185.45834016799927	19000	1156.6261232710667	19000	437.7436582964659	215
18	1000	196.09017395973206	20000	1156.6261232710667	20000	442.8266168803325	221
19	1000	206.24686312675476	21000	1156.6261232710667	21000	303.6569696515713	227
20	1000	217.08686709403992	22000	1156.6261232710667	22000	325.0739496093914	234
21	1000	227.72679471969604	23000	1156.6261232710667	23000	452.9145810572894	240
22	1000	239.0257818698883	24000	1156.6261232710667	24000	454.57212594853473	246
23	1000	250.86530232429504	25000	1156.6261232710667	25000	351.7142238322236	254
24	1000	263.5260853767395	26000	1156.6261232710667	26000	342.0060768477968	262
25	1000	275.44008135795593	27000	1156.6261232710667	27000	371.67348427781684	270
26	1000	287.6362671852112	28000	1156.6261232710667	28000	391.81700113828833	277
27	1000	299.87296438217163	29000	1156.6261232710667	29000	395.8476090768819	284
28	1000	313.66639852523804	30000	1156.6261232710667	30000	400.4793815532473	291
29	1000	325.7171514034271	31000	1156.6261232710667	31000	400.96571105644273	298
30	1000	339.6846103668213	32000	1156.6261232710667	32000	429.219888679206	304
31	1000	353.3021516799927	33000	1156.6261232710667	33000	420.49369237030385	311
32	1000	366.63063192367554	34000	1156.6261232710667	34000	475.03626813647406	317
