Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	Episodes	LastEpReturn	TimestepsSoFar
0	13.418281555175781	1000	2000	-4.877580610721621	5	-4.877580610721621	2000
1	26.891754627227783	1000	3000	-0.9240533066798902	8	-0.9240533066798902	3000
2	36.72141933441162	1000	4000	15.987885280219931	9	15.987885280219931	4000
3	46.65059018135071	1000	5000	151.67594312997372	10	151.67594312997372	5000
4	57.76232171058655	1000	6000	151.67594312997372	12	0.17696770103268455	6000
5	71.00734901428223	1000	7000	180.71144399866932	17	2.6417596768203317	7000
6	84.92388939857483	1000	8000	214.21282772649536	18	214.21282772649536	8000
7	98.9029746055603	1000	9000	363.7021350117429	19	363.7021350117429	9000
8	109.51836633682251	1000	10000	363.7021350117429	20	337.6891744499729	10000
9	119.60013127326965	1000	11000	363.7021350117429	21	264.0582975084714	11000
10	130.05481147766113	1000	12000	519.9739421209758	22	519.9739421209758	12000
11	142.53366112709045	1000	13000	519.9739421209758	23	495.33013776820155	13000
12	156.28641271591187	1000	14000	519.9739421209758	24	349.65075492108843	14000
13	170.15724539756775	1000	15000	519.9739421209758	25	488.53779223028295	15000
14	183.97640085220337	1000	16000	594.7966437585969	26	594.7966437585969	16000
15	194.20211386680603	1000	17000	594.7966437585969	27	454.0388370632413	17000
16	204.27026629447937	1000	18000	603.0400912237449	28	603.0400912237449	18000
17	214.84546446800232	1000	19000	603.0710118667669	29	603.0710118667669	19000
18	227.5584478378296	1000	20000	603.0710118667669	30	582.9904014391825	20000
19	241.7786693572998	1000	21000	603.0710118667669	31	474.10385282432276	21000
20	255.99100399017334	1000	22000	658.7250977855293	32	658.7250977855293	22000
21	267.4134328365326	1000	23000	658.7250977855293	33	642.2980354154752	23000
22	277.31134271621704	1000	24000	658.7250977855293	34	451.6729749928315	24000
23	287.79426741600037	1000	25000	727.5187427261159	35	727.5187427261159	25000
24	299.66119861602783	1000	26000	727.5187427261159	36	623.9393328433775	26000
25	313.5994565486908	1000	27000	727.5187427261159	37	721.2254962339762	27000
26	327.6431200504303	1000	28000	727.5187427261159	38	726.0950227665544	28000
27	341.45463490486145	1000	29000	727.5187427261159	39	711.3654278080442	29000
28	355.3003327846527	1000	30000	727.5187427261159	40	705.1963361355392	30000
29	365.87894439697266	1000	31000	750.0988068655628	41	750.0988068655628	31000
30	375.76196098327637	1000	32000	750.0988068655628	42	736.1707603589697	32000
31	386.5291745662689	1000	33000	750.0988068655628	43	691.1013651976974	33000
32	399.06542801856995	1000	34000	759.4910296715288	44	759.4910296715288	34000
33	413.160941362381	1000	35000	759.4910296715288	45	572.8663149468869	35000
34	427.13788533210754	1000	36000	759.4910296715288	46	593.1136541940658	36000
35	441.0573732852936	1000	37000	787.7952565067327	47	787.7952565067327	37000
36	454.6352496147156	1000	38000	787.7952565067327	48	764.7673515956653	38000
37	465.25613379478455	1000	39000	793.2291371153983	49	793.2291371153983	39000
38	475.26586413383484	1000	40000	803.8558657348549	50	803.8558657348549	40000
39	486.03829979896545	1000	41000	845.1846692607978	51	845.1846692607978	41000
40	498.47489070892334	1000	42000	845.1846692607978	52	792.1080082943736	42000
41	512.544059753418	1000	43000	846.1584225574894	53	846.1584225574894	43000
42	524.0751307010651	1000	44000	846.1584225574894	54	845.0950536129511	44000
43	534.1184196472168	1000	45000	857.0342248145217	55	857.0342248145217	45000
44	544.4631452560425	1000	46000	857.0342248145217	56	842.3373991467247	46000
45	556.8705399036407	1000	47000	959.5859272226721	57	959.5859272226721	47000
46	571.1605610847473	1000	48000	959.5859272226721	58	930.6331316569177	48000
47	585.1769831180573	1000	49000	959.5859272226721	59	935.5486287832439	49000
48	599.1273157596588	1000	50000	968.4078806001016	60	968.4078806001016	50000
49	612.1899967193604	1000	51000	990.8577383595413	61	990.8577383595413	51000
50	622.10822057724	1000	52000	990.8577383595413	62	982.4069050914383	52000
51	632.0625393390656	1000	53000	990.8577383595413	63	889.840311334794	53000
52	643.4406201839447	1000	54000	990.8577383595413	64	948.5371433309406	54000
53	656.821545124054	1000	55000	990.8577383595413	65	769.2414907109232	55000
54	670.6433780193329	1000	56000	990.8577383595413	66	905.2541009939538	56000
55	684.6673469543457	1000	57000	990.8577383595413	67	950.621781569783	57000
56	694.8320798873901	1000	58000	1008.4158469553856	68	1008.4158469553856	58000
57	704.6931340694427	1000	59000	1008.4158469553856	69	533.3614917181623	59000
58	715.665177822113	1000	60000	1008.4158469553856	70	909.6580924901533	60000
59	728.5158116817474	1000	61000	1008.4158469553856	71	962.3393030170155	61000
60	742.7312262058258	1000	62000	1008.4158469553856	72	985.1450451632776	62000
61	756.6053447723389	1000	63000	1008.4158469553856	73	902.9164288960757	63000
62	766.9209506511688	1000	64000	1008.4158469553856	75	154.53377671308553	64000
63	776.877742767334	1000	65000	1008.4158469553856	76	594.9700386273131	65000
64	787.8161110877991	1000	66000	1018.5640529959181	77	1018.5640529959181	66000
65	800.6471197605133	1000	67000	1018.5640529959181	78	643.093380717205	67000
66	814.8150224685669	1000	68000	1018.5640529959181	79	994.3677344976627	68000
67	828.2078704833984	1000	69000	1018.5640529959181	80	805.9486038582156	69000
68	841.7979326248169	1000	70000	1018.5640529959181	81	998.8064119512005	70000
69	854.0922150611877	1000	71000	1101.5853281759776	82	1101.5853281759776	71000
70	863.9790482521057	1000	72000	1101.5853281759776	83	1081.103727241503	72000
71	874.239625453949	1000	73000	1101.5853281759776	84	1060.4356515579575	73000
72	885.6447319984436	1000	74000	1101.5853281759776	85	1065.117440741854	74000
73	899.8583092689514	1000	75000	1119.4196315375948	86	1119.4196315375948	75000
74	913.9884679317474	1000	76000	1119.4196315375948	87	1117.812268973962	76000
75	927.9024538993835	1000	77000	1119.4196315375948	88	1097.6672379597592	77000
76	941.8664524555206	1000	78000	1140.6702581983254	89	1140.6702581983254	78000
77	956.1634225845337	1000	79000	1153.0770211342465	90	1153.0770211342465	79000
78	966.5677120685577	1000	80000	1211.0204281721408	91	1211.0204281721408	80000
79	976.505028963089	1000	81000	1211.0204281721408	92	1171.8357205361867	81000
80	987.2367107868195	1000	82000	1211.0204281721408	93	1195.5087373419065	82000
81	999.9422090053558	1000	83000	1211.0204281721408	94	1147.8748392288262	83000
82	1013.9604637622833	1000	84000	1211.0204281721408	95	1164.9646550141235	84000
83	1027.9976675510406	1000	85000	1229.977015110927	96	1229.977015110927	85000
84	1038.451453447342	1000	86000	1229.977015110927	97	1186.7717916138918	86000
85	1048.229062795639	1000	87000	1296.8868324905745	98	1296.8868324905745	87000
86	1059.0015075206757	1000	88000	1344.9020013511642	100	1091.3564975027646	88000
87	1071.5827779769897	1000	89000	1344.9020013511642	101	965.1759335865848	89000
88	1085.5495011806488	1000	90000	1344.9020013511642	102	1267.1179975494883	90000
89	1099.539665222168	1000	91000	1358.9240050990356	103	1358.9240050990356	91000
