train-MaxReturn,Time-Optimization,LossAfter,ItrTime,Time-SampleProc,train-MinReturn,train-PolicyExecTime,LossBefore,Itr,Time,n_timesteps,train-EnvExecTime,train-AverageReturn,Time-Sampling,train-AverageDiscountedReturn,train-StdReturn,train-NumTrajs
31.29549673416666,0.3227355480194092,-0.0050150356,9.150448322296143,0.03881645202636719,18.207459697615093,5.3574419021606445,-1.3877528e-06,8,58.63266706466675,90000,3.1560075283050537,26.17279565168688,8.788685321807861,19.81687051005082,2.583644772575859,100
31.29299915295597,0.33322882652282715,-0.0054362197,5.6691365242004395,0.050779104232788086,18.489946317755322,3.2161738872528076,-1.3858753e-06,9,64.31529831886292,100000,1.8902828693389893,26.304232326580426,5.283227205276489,20.362201062467413,2.8126330691301256,100
31.73417559694448,0.3615407943725586,-0.0015445614,7.626003265380859,0.0657799243927002,17.403223102018575,4.398822069168091,-1.3793051e-06,10,71.9537763595581,110000,2.5623867511749268,26.89986970544807,7.198173999786377,21.180350778218532,2.647703991974602,100
32.48904779604069,0.3284785747528076,-0.004904299,5.618151664733887,0.03304457664489746,19.40824512930033,3.196640968322754,-1.3763884e-06,11,77.58197069168091,120000,1.8872358798980713,26.98581149411249,5.25597882270813,21.229371252342688,2.4941666981021533,100
32.02513834552965,0.3902277946472168,-0.0037122003,5.759403228759766,0.06846880912780762,21.93020562184133,3.223971128463745,-1.3767954e-06,12,83.35554313659668,130000,1.8986756801605225,27.497599967178576,5.300337314605713,21.773981581627904,1.99178008505725,100
31.871415789853078,0.3497917652130127,-0.0025199107,5.619659900665283,0.09956550598144531,21.57832710589139,3.121788263320923,-1.3750409e-06,13,88.9868311882019,140000,1.8732783794403076,27.29169755467868,5.166541337966919,21.637230002631032,2.2424092054258047,100
31.85451456131636,0.3727865219116211,-0.004374221,5.75319242477417,0.11269497871398926,16.760478450228426,3.190648317337036,-1.364648e-06,14,94.75175261497498,150000,1.9008285999298096,27.41008407293306,5.267431974411011,21.839729241172325,2.483708922790897,100
32.97256997171206,0.4203298091888428,-0.0030878913,6.771337032318115,0.09059405326843262,20.93890870500374,3.818638563156128,-1.3622603e-06,15,101.53798699378967,160000,2.2276463508605957,27.898523424198892,6.259056568145752,22.129495176408973,2.239949660925558,100
32.41930090549135,0.4085121154785156,-0.0017648557,7.245187520980835,0.07324028015136719,23.99219750652634,4.094922304153442,-1.3557546e-06,16,108.798095703125,170000,2.443446159362793,28.139988186924153,6.7594053745269775,22.3370257150864,1.8288317686366902,100
32.308725760514506,0.31510400772094727,-0.0017926564,6.742874383926392,0.109649658203125,22.865600077033072,3.8181838989257812,-1.3515095e-06,17,115.55702710151672,180000,2.294288396835327,28.436639513877818,6.317874193191528,22.74198213993574,1.8609177888191677,100
