train-MaxReturn,train-AverageDiscountedReturn,train-NumTrajs,Itr,LossBefore,train-AverageReturn,ItrTime,train-PolicyExecTime,train-EnvExecTime,LossAfter,Time-Sampling,Time-SampleProc,Time-Optimization,Time,train-MinReturn,n_timesteps,train-StdReturn
160.59050301058673,33.802474729068564,100,0,-1.4184808e-05,44.924007852123125,6.294064283370972,2.8124704360961914,2.1812517642974854,0.02830477,5.1559014320373535,0.13716793060302734,1.0007755756378174,6.294067859649658,-228.14474471979952,10000,75.0062456766958
153.64372504532216,50.356945676695496,100,1,-1.4211706e-05,74.4019259878641,5.390313386917114,2.655280590057373,2.169179916381836,0.0076652206,4.978885173797607,0.03168678283691406,0.37929511070251465,11.69838285446167,-150.22635231447518,20000,55.9157798863539
163.26895488284674,57.80048035521734,100,2,-1.4241708e-05,87.89794917396016,5.536422967910767,2.8433010578155518,2.213148593902588,-0.0056142835,5.224991321563721,0.02646636962890625,0.2847561836242676,17.256157636642456,-123.81795922697837,30000,50.97407701565589
170.70675325691946,70.30591424320545,100,3,-1.4240947e-05,109.01622184022659,5.697618007659912,2.985297203063965,2.2395472526550293,-0.004949246,5.402014493942261,0.043387413024902344,0.2514312267303467,22.97582983970642,-9.47138796404259,40000,29.766526641250007
192.47368771099204,74.73855975560723,100,4,-1.4248589e-05,117.77163790006948,6.533208131790161,3.5208349227905273,2.437624216079712,-0.0051658154,6.167957544326782,0.04547715187072754,0.31955742835998535,29.51694631576538,-6.270294048561965,50000,29.801400973368644
189.35613576884828,81.2158337720511,100,5,-1.4206541e-05,131.40550624662617,6.162334680557251,3.279092788696289,2.3601911067962646,-0.0062973937,5.829662084579468,0.02732563018798828,0.305065393447876,35.68669939041138,76.35543920749897,60000,23.337525977821485
207.591919045096,84.7823959509638,100,6,-1.419262e-05,138.231633059011,5.962393522262573,3.15405535697937,2.309293746948242,-0.007945552,5.66208815574646,0.0276486873626709,0.2724602222442627,41.65658521652222,32.66457387415491,70000,30.654826041479616
206.04917746002462,94.18901744222188,100,7,-1.4176351e-05,157.6236422781837,6.171065807342529,3.305171251296997,2.356084108352661,-0.005703937,5.859002590179443,0.025792598724365234,0.28609633445739746,47.834972858428955,32.23051503861525,80000,26.709125110276844
211.68682672698964,97.27293574804045,100,8,-1.4161382e-05,163.51569533489626,6.998141050338745,3.7144525051116943,2.719698429107666,-0.008896278,6.653168201446533,0.03237271308898926,0.31238579750061035,54.842679262161255,86.43558089698226,90000,26.850326798141708
210.20433139499156,104.80360534790658,100,9,-1.4133395e-05,179.56020164816738,6.6080005168914795,3.439194679260254,2.592092990875244,-0.0057080146,6.242674112319946,0.03158903121948242,0.3334789276123047,61.46152114868164,81.71104732031196,100000,20.92825684017011
217.05757645380598,107.69824915631958,100,10,-1.40903e-05,184.12325356334404,6.566600799560547,3.4193363189697266,2.596669912338257,-0.00560423,6.219177961349487,0.02965402603149414,0.3175210952758789,68.03941321372986,123.56054198218456,110000,17.8002816303445
220.27356553064436,111.55281045602338,100,11,-1.4072948e-05,192.28836084764944,6.831387758255005,3.5985586643218994,2.697211980819702,-0.003503126,6.507750988006592,0.029250144958496094,0.2941608428955078,74.8820366859436,121.30747797663486,120000,16.701557221118698
223.90323490544085,115.47181400668264,100,12,-1.4049357e-05,198.5566129467955,6.996865749359131,3.6557793617248535,2.771390438079834,-0.00382804,6.638918399810791,0.0594027042388916,0.29830217361450195,81.88841938972473,144.50386971636132,130000,14.170598441254281
227.08384674646967,116.06468201027239,100,13,-1.4094783e-05,201.3202960024597,7.32219123840332,3.7461037635803223,2.928272247314453,-0.0046579493,6.903629302978516,0.04393744468688965,0.37434816360473633,89.22257089614868,148.88953470189753,140000,15.841288942514913
225.55405379666306,117.35098426248327,100,14,-1.3999506e-05,204.19937236718243,8.394555568695068,4.398918151855469,3.390411853790283,-0.0034855267,8.034093141555786,0.034221649169921875,0.3259620666503906,97.63204550743103,175.23845899814012,150000,10.91370495736983
232.07461518303592,118.95063468232819,100,15,-1.3962326e-05,208.18007730297796,7.655395746231079,3.9790685176849365,3.1008999347686768,-0.0048889457,7.308791637420654,0.03460574150085449,0.31174492835998535,105.29801321029663,183.22198903520365,160000,11.11624492168929
231.115191683658,119.01522817776056,100,16,-1.39204685e-05,208.5191380396701,8.260886192321777,4.278936386108398,3.2877724170684814,-0.004629168,7.811973333358765,0.06383371353149414,0.38466596603393555,113.56920576095581,157.57386372794554,170000,14.766186113359426
233.91170978032267,120.51939928847793,100,17,-1.3915935e-05,213.18820177727378,9.612253904342651,5.0573625564575195,3.9207873344421387,-0.00551815,9.25840425491333,0.03602790832519531,0.3174574375152588,123.1979832649231,163.63142980017068,180000,11.41309425700497
234.8070025292082,121.32565844232482,100,18,-1.3876232e-05,215.5058348504391,7.641271591186523,3.9909255504608154,3.064891815185547,-0.0048961104,7.281838417053223,0.03807568550109863,0.32108163833618164,130.8508813381195,185.06460063481973,190000,9.805208743307967
236.3922648212659,122.75721308141627,100,19,-1.38288915e-05,217.98600933723614,10.099299907684326,5.339642524719238,4.116090774536133,-0.0036755532,9.752030611038208,0.030234813690185547,0.3168056011199951,140.9615204334259,183.89200500168369,200000,9.944249000202898
233.6359442787854,123.61313144200474,100,20,-1.3792413e-05,220.69244622113993,8.839417457580566,4.606722831726074,3.5797886848449707,-0.004633239,8.447665691375732,0.04089713096618652,0.35028696060180664,149.8144736289978,192.1766730948121,210000,8.17724064206963
