train-StdReturn,train-PolicyExecTime,train-AverageReturn,train-NumTrajs,train-MaxReturn,train-MinReturn,n_timesteps,Time-Sampling,Time,LossAfter,Time-SampleProc,LossBefore,ItrTime,train-EnvExecTime,Time-Optimization,Itr,train-AverageDiscountedReturn
4.889361448018009,3.9199905395507812,-1.774746976907087,100,13.853442417219432,-10.548504536103755,10000,6.155324220657349,6.6968770027160645,0.009026979,0.13536477088928223,-1.4194249e-05,6.6968748569488525,2.034081220626831,0.4058647155761719,0,-1.1657837967506923
8.297990608558703,3.8950047492980957,1.8072855233829264,100,29.60103208963863,-10.190638794385094,20000,6.202521085739136,13.226280212402344,0.0003761723,0.07925295829772949,-1.4220543e-05,6.510226488113403,2.1063034534454346,0.22821879386901855,1,1.376109419413476
9.816968648372207,3.8879358768463135,8.975183704460513,100,28.32717842621061,-10.101703563830824,30000,6.2017741203308105,19.73536491394043,-0.0037655206,0.08005261421203613,-1.42681265e-05,6.498715162277222,2.112057685852051,0.21663117408752441,2,5.458277735218173
9.106482501960409,3.886807918548584,16.770657924946065,100,29.39784988217085,-3.0531544697240354,40000,6.178666114807129,26.207974433898926,-0.0059582773,0.04470992088317871,-1.426448e-05,6.462437629699707,2.0913891792297363,0.2387540340423584,3,11.187175421134638
8.176468562731541,3.865788698196411,20.686784744813018,100,29.590928315290565,-4.31316588962736,50000,6.190481185913086,32.68883419036865,-0.004959245,0.04177284240722656,-1.4236048e-05,6.469894647598267,2.1245436668395996,0.23726439476013184,4,14.594970433938363
4.55556589486474,3.9461605548858643,24.42326760366245,100,30.931744224494665,2.3799405125938558,60000,6.355355501174927,39.35676074028015,-0.0057463846,0.07442951202392578,-1.4191861e-05,6.656682014465332,2.2006258964538574,0.2265939712524414,5,18.18071747944622
4.663192235594886,4.008930444717407,24.39128224165204,100,31.735335832649678,6.473025567533592,70000,6.397262811660767,46.042943239212036,-0.006103124,0.03854799270629883,-1.4141032e-05,6.675572872161865,2.182082176208496,0.2394258975982666,6,18.191772917999344
2.8137387482126304,4.030755996704102,26.120825723748865,100,31.068388799268146,17.241923475464294,80000,6.504327058792114,52.85959720611572,-0.005123,0.04463982582092285,-1.4078446e-05,6.805709362030029,2.2658419609069824,0.25635266304016113,7,19.621801701037274
2.1244142244973343,4.173646688461304,26.87465656014912,100,30.85927389762204,18.95825300138447,90000,6.753983020782471,59.91363859176636,-0.0025499114,0.054691314697265625,-1.4015033e-05,7.041719198226929,2.3637771606445312,0.23270368576049805,8,20.40920534754283
2.577471821504986,3.9272406101226807,26.667417565035624,100,31.832825589627678,15.412195051822794,100000,6.330460548400879,66.52720427513123,-0.005208864,0.03694891929626465,-1.3935955e-05,6.602909803390503,2.198331832885742,0.23525214195251465,9,20.509026683674293
2.2140350957643493,3.9180729389190674,27.276723017658746,100,31.744496601594246,18.161322172651236,110000,6.337329387664795,73.13835787773132,-0.0030229946,0.02864670753479004,-1.3866823e-05,6.600359201431274,2.2151148319244385,0.2341306209564209,10,21.183367957945993
2.0724501840537655,3.923720359802246,27.254861472575975,100,30.69361524719887,21.27259262079221,120000,6.3312904834747314,79.79123020172119,-0.0037177892,0.05074191093444824,-1.3797293e-05,6.641302824020386,2.2021870613098145,0.25896239280700684,11,21.30363224787384
1.9731900073930928,4.20442271232605,27.423732035812204,100,32.36658451406183,21.607807261238353,130000,6.804852247238159,86.89652419090271,-0.0019761182,0.04059767723083496,-1.3741491e-05,7.092557907104492,2.380082368850708,0.24673819541931152,12,21.37496000130177
1.9504685104429278,3.9563634395599365,27.51657022255613,100,31.694652498916852,21.209371881155256,140000,6.392574787139893,93.58700704574585,-0.0037874999,0.043155670166015625,-1.3677461e-05,6.678801536560059,2.2337067127227783,0.24277138710021973,13,21.85707931669
2.145595809852579,3.889709711074829,27.465809745526204,100,31.395233335559947,21.070763659931135,150000,6.343512535095215,100.2456305027008,-0.0035760547,0.03531050682067871,-1.3614517e-05,6.6475865840911865,2.2416789531707764,0.2685246467590332,14,21.69980352855362
1.8379629163720557,4.251433849334717,27.856695806649906,100,31.67574145654632,21.714827433743046,160000,6.874849319458008,107.41183352470398,-0.0017847953,0.032340288162231445,-1.3551328e-05,7.154118061065674,2.4038445949554443,0.24669480323791504,15,22.157745546859342
2.075753479415015,3.9213945865631104,27.479819975793347,100,30.722623387023134,21.011914860529746,170000,6.329872369766235,114.03883981704712,-0.0041625747,0.04506564140319824,-1.349849e-05,6.616345167160034,2.2054059505462646,0.2412104606628418,16,21.897176711559542
1.4517355960723946,3.9003798961639404,28.190744657379565,100,31.556480198930608,24.657207916522985,180000,6.319483041763306,120.64805459976196,-0.0035825346,0.03992652893066406,-1.3454955e-05,6.59917140007019,2.2126965522766113,0.23951244354248047,17,22.431390061791657
1.8722921281295073,3.8878536224365234,28.124041922106688,100,31.70887715659413,22.348320289978542,190000,6.29805064201355,127.24354290962219,-0.004252075,0.043161630630493164,-1.3378532e-05,6.5860865116119385,2.2065510749816895,0.24464964866638184,18,22.397474692336903
2.1607491248898696,3.8942840099334717,28.086580506047866,100,32.61304932191439,21.090682226283445,200000,6.291593313217163,133.86078572273254,-0.0022920566,0.08551812171936035,-1.33000185e-05,6.607459783554077,2.1939520835876465,0.23015236854553223,19,22.478983088930725
2.1000509889961427,3.9294052124023438,28.053411130207078,100,32.184980570663484,20.99953738680996,210000,6.377017259597778,140.53406977653503,-0.0027420924,0.04349470138549805,-1.32278665e-05,6.6625330448150635,2.2409420013427734,0.24174714088439941,20,22.497319203068244
