n_timesteps,LossAfter,train-AverageDiscountedReturn,Time-SampleProc,train-AverageReturn,train-MaxReturn,Time-Optimization,Time,Itr,ItrTime,train-NumTrajs,train-StdReturn,LossBefore,train-PolicyExecTime,Time-Sampling,train-EnvExecTime,train-MinReturn
10000,-139.18575,-28.23094933182932,0.13558125495910645,-45.902571992759974,33.96930039368579,2.397369146347046,25.017072439193726,0,25.017064809799194,100,40.16817518477793,1.0681152e-08,13.570968627929688,22.48304533958435,8.249777555465698,-148.98381388906293
20000,0.06747307,-27.230194994735747,0.12774181365966797,-42.79533649880619,39.21259139967153,1.514587163925171,49.52614450454712,1,24.249550342559814,100,36.45686472992853,-1.8310548e-08,13.61786437034607,22.604602336883545,8.293620109558105,-139.80683317945662
30000,0.011750792,-31.543333031946435,0.12607789039611816,-51.25181915363344,24.03746240029736,1.5376510620117188,74.50608515739441,2,24.88009214401245,100,36.16388278973466,2.2888185e-09,14.138506412506104,23.21509051322937,8.382583618164062,-163.4357955758639
40000,-0.0022534302,-31.56174362030286,0.12560391426086426,-51.20346657273869,27.453099353537898,1.6987793445587158,99.59575891494751,3,24.9981746673584,100,34.58546849741091,0.00019350891,14.104618549346924,23.171724557876587,8.35564923286438,-127.5486291951334
50000,-0.009171353,-33.13557733668316,0.12514901161193848,-53.77432780379322,42.881411033967254,1.7217142581939697,124.61509609222412,4,24.927480697631836,100,38.12538880691271,1.2207031e-08,14.064662456512451,23.078590869903564,8.313592910766602,-164.221889288411
60000,-0.0022422608,-35.01360711362983,0.14892363548278809,-57.57153438622818,20.959576328255988,1.6890456676483154,149.3620913028717,5,24.6426682472229,100,36.22941645149338,9.807129e-05,13.846877574920654,22.803709030151367,8.26358437538147,-176.97582019967743
70000,-0.004027005,-40.443758809812486,0.14095616340637207,-66.24218139769299,36.88810448545466,1.7415211200714111,174.34604573249817,6,24.89972758293152,100,40.78655567706804,3.0517577e-09,13.993827104568481,23.015661001205444,8.298293828964233,-166.39348665189846
80000,-0.0044875243,-40.04490974408131,0.13838744163513184,-63.82253208116168,2.8282155068773287,1.8195979595184326,199.28833484649658,7,24.88320279121399,100,36.34267640960798,9.155274e-09,13.923603534698486,22.92352032661438,8.300415754318237,-147.93725740163606
90000,-0.0032268246,-38.60901210344785,0.20494294166564941,-62.22077657935188,18.075645825082137,1.629978895187378,224.5803186893463,8,25.20650625228882,100,34.15973344409799,1.1062622e-08,14.200738668441772,23.369738340377808,8.453039407730103,-148.48185509206905
100000,-0.0020479918,-34.73402885189386,0.18493294715881348,-56.03097861398578,12.845217424594978,1.5243439674377441,249.3474953174591,9,24.700565576553345,100,32.829474300311276,-1.822815e-05,14.010586500167847,22.989511966705322,8.275513410568237,-131.55062650579677
110000,-0.003027842,-35.847212556844354,0.17019033432006836,-58.760515016188066,37.5162271511949,1.6735692024230957,274.04812717437744,10,24.639729261398315,100,39.52570551298688,1.0681152e-08,13.82531189918518,22.79445242881775,8.269899129867554,-149.6266445760154
120000,-0.0023890138,-35.45884860588444,0.14977312088012695,-56.9657967202933,16.538794694668592,1.7644219398498535,298.8814752101898,11,24.7718403339386,100,33.005347167909704,-0.00018852844,13.912004470825195,22.856811046600342,8.250999450683594,-124.80099057569399
130000,-0.004276767,-36.80293823479035,0.16028952598571777,-59.43961661076658,13.576973065019601,1.7260310649871826,323.5731933116913,12,24.63021492958069,100,34.871418033956346,-0.00038580628,13.85106372833252,22.74315094947815,8.199002027511597,-187.08544084643069
140000,-0.0033939308,-35.8706929961924,0.1383967399597168,-57.7345199955716,37.71639463359127,1.6862452030181885,348.2331368923187,13,24.571708917617798,100,39.89300913585769,2.3651124e-08,13.803357601165771,22.745436191558838,8.246520280838013,-147.56200140854227
