LossBefore,train-MaxReturn,train-AverageDiscountedReturn,n_timesteps,train-PolicyExecTime,train-NumTrajs,train-AverageReturn,Itr,train-StdReturn,train-MinReturn,Time-SampleProc,LossAfter,Time,Time-Sampling,ItrTime,train-EnvExecTime,Time-Optimization
-0.009634314,169.1137167589176,-12.82087652436369,10000,13.69619631767273,100,-42.61436573539035,0,99.67236663167151,-192.8789357191736,0.14194703102111816,-1.6035916,26.762482166290283,24.815629243850708,26.762473583221436,10.459971904754639,1.804079294204712
0.013482495,222.45755502703594,92.12364232291026,20000,13.94519591331482,100,150.05918682381127,1,38.31827309836621,87.43388675887675,0.12021279335021973,-0.2514452,53.069984436035156,24.911200046539307,26.11601710319519,10.289937496185303,1.0800538063049316
0.0035876343,196.95354455331747,109.1039862647048,30000,14.3038911819458,100,185.73818990516494,2,7.865436968290484,158.6078995713496,0.14263319969177246,-0.07511403,80.34621047973633,26.0076642036438,27.214443683624268,11.00775671005249,1.063439130783081
0.0017396484,193.71501196340557,111.96539495131198,40000,14.199661254882812,100,189.49884773055612,3,1.818079258838919,184.1792251386559,0.12494230270385742,-0.061987206,107.55029726028442,25.95223307609558,27.143447399139404,11.057090759277344,1.0655035972595215
-0.010129956,193.96249459949163,112.33283719408978,50000,14.102457046508789,100,189.88205585902648,4,2.286422619371732,183.50710826450455,0.10501384735107422,-0.063892014,134.70228791236877,25.930625200271606,27.091439485549927,11.129624843597412,1.05507230758667
0.0020827148,195.94340409324286,114.0941772507526,60000,14.244415998458862,100,193.0848855536908,5,1.4222374554445596,188.74350577407333,0.12013888359069824,-0.0889521,162.12829208374023,26.187923669815063,27.364023447036743,11.244088172912598,1.0552089214324951
-0.03134701,196.62518981377355,114.88007572719725,70000,14.186822891235352,100,194.7291124185118,6,0.8048965704277552,192.0404187421472,0.11645746231079102,-0.061102647,189.58034253120422,26.206623554229736,27.392231464385986,11.321627616882324,1.0683693885803223
-0.053175464,198.262743223812,115.66277776841129,80000,14.21550965309143,100,196.21439440975155,7,0.8583832828055337,194.49402308900932,0.10858774185180664,-0.100574784,217.01293015480042,26.202561616897583,27.37284278869629,11.298348665237427,1.0607328414916992
-0.016740272,194.35612744731716,110.69424632061803,90000,14.190823554992676,100,188.55534548675712,8,2.1548381923028237,181.6403997042622,0.11458969116210938,-0.20848443,244.49889612197876,26.230573654174805,27.421908855438232,11.346964120864868,1.0759968757629395
-0.036574658,198.44902022604015,115.60915777301844,100000,14.144789218902588,100,196.58909437853566,9,0.9356692959198384,193.72955432773162,0.14942312240600586,-0.04740233,271.9160530567169,26.129687547683716,27.352670192718506,11.295228719711304,1.072991132736206
-0.022043347,197.03956019745974,115.06373361831803,110000,14.790580034255981,100,194.8353698171405,10,0.8027595152434501,192.42455378984133,0.14046192169189453,-0.049805347,300.64710116386414,27.408833742141724,28.67112922668457,11.894583225250244,1.1210479736328125
-0.007973681,195.36937092582238,114.31459226840168,120000,14.21229887008667,100,192.08811904378797,11,1.855067666941746,185.4498401300491,0.12360119819641113,-0.07646843,328.25250148773193,26.349329471588135,27.541966199874878,11.42454719543457,1.0683932304382324
-0.027683252,197.11928095963424,115.3463892262697,130000,14.171508312225342,100,194.88288290087138,12,1.1405598669914017,190.88128368847902,0.11134600639343262,-0.05292162,355.72916531562805,26.237818479537964,27.414395093917847,11.376223087310791,1.0645155906677246
-0.01778203,196.9106726930519,114.78966177475293,140000,14.193797826766968,100,195.20002104872714,13,0.7993938431651199,193.13436944226677,0.11064720153808594,-0.041532423,383.24935364723206,26.147424697875977,27.432644605636597,11.262630462646484,1.1738569736480713
0.017026251,198.29842559931836,114.52000611834892,150000,14.134907484054565,100,195.69098180826012,14,1.1135357366543657,192.94619065046498,0.12573480606079102,-0.01643415,410.50275182724,25.903501749038696,27.170310735702515,11.080835819244385,1.139733076095581
0.00290636,196.35058086741162,112.56017212691144,160000,14.132076263427734,100,192.22937471949143,15,2.753189472218708,183.86262696245896,0.10745453834533691,-0.06372363,437.648894071579,25.89360547065735,27.061615228652954,11.071738719940186,1.0594267845153809
0.01454169,199.0504922712507,114.87044422101393,170000,14.360190629959106,100,196.15526461634002,16,1.2710733143495256,192.68418237923163,0.12312436103820801,-0.039280023,465.2009930610657,26.27202320098877,27.484554290771484,11.21509313583374,1.0887525081634521
-0.011576368,199.22497476032228,115.73150704100726,180000,14.258989572525024,100,197.23564658887233,17,0.8465702276898925,195.5247031153816,0.1105039119720459,-0.08727262,492.71256279945374,26.274420738220215,27.444586515426636,11.323137283325195,1.0588366985321045
-0.027882062,202.35003786061853,116.97495658284468,190000,14.275117874145508,100,199.2848188975813,18,1.3703734422246665,194.5736289525085,0.12308788299560547,-0.14988323,520.8334443569183,26.18524932861328,28.05025339126587,11.229068994522095,1.7399277687072754
-0.008554733,209.14655600660197,118.33281888537618,200000,13.869259357452393,100,201.71655047831484,19,3.5017343934089484,192.55881757815277,0.12432599067687988,-0.05907937,547.6290364265442,25.12446665763855,26.729518175125122,10.575706958770752,1.4799673557281494
-0.009311291,215.2010375871959,115.5067708281764,210000,13.943197965621948,100,195.03134008903288,20,10.992782723399364,168.82598510559367,0.1329813003540039,-0.09775432,574.035887002945,25.123157501220703,26.318352937698364,10.497714519500732,1.061410903930664
-0.0067643435,209.14817088810898,112.92375865365364,220000,14.185843706130981,100,190.79277658675727,21,5.395311199687762,177.57176357133795,0.11599326133728027,-0.12442429,601.0760366916656,25.79625391960144,26.973097324371338,10.911275625228882,1.0601508617401123
