train-StdReturn,Time,train-AverageDiscountedReturn,train-MinReturn,LossAfter,train-PolicyExecTime,Time-Optimization,train-AverageReturn,train-NumTrajs,train-EnvExecTime,n_timesteps,LossBefore,Itr,train-MaxReturn,Time-SampleProc,ItrTime,Time-Sampling
30.490715624679286,25.405439615249634,-18.11392559179521,-126.8620199503077,0.038490925,13.509296894073486,2.8347625732421875,-29.05242893011099,100,8.223413705825806,10000,-1.4226006e-05,0,26.16443157503734,0.17990946769714355,25.405426740646362,22.38965344429016
32.8623578030119,50.12711477279663,-16.234570179975247,-115.48997275675453,0.011355139,13.348636150360107,2.085818290710449,-24.828913080744506,100,8.297690153121948,20000,-1.4201303e-05,1,54.688411968325774,0.15520310401916504,24.560279369354248,22.317857265472412
34.08371513827593,74.43396925926208,-20.775688932843586,-118.47327054595323,-0.0065960614,13.450225591659546,1.6267950534820557,-31.999376266319288,100,8.31341814994812,30000,-1.4214855e-05,2,62.9183550059386,0.13344621658325195,24.20855689048767,22.446261167526245
30.368528120073865,98.83472514152527,-16.397497277391654,-124.32478215829667,-0.012337241,13.744536399841309,1.30356764793396,-24.93171754089786,100,8.38926911354065,40000,-1.4216413e-05,3,49.09165468990371,0.1268939971923828,24.248191118240356,22.816903352737427
37.5228184993872,123.59389424324036,-16.65289678100141,-144.34476117773272,-0.01379917,14.064124345779419,1.2639052867889404,-26.671541261516186,100,8.512498378753662,50000,-1.4195862e-05,4,35.57086976078839,0.12270140647888184,24.65550184249878,23.26729655265808
31.699903541224785,148.23030996322632,-18.028118191082743,-106.1450768800838,-0.013668376,14.027584075927734,1.1683452129364014,-26.771630998803793,100,8.477522850036621,60000,-1.4191292e-05,5,58.88125866958699,0.1525273323059082,24.53044104576111,23.207411766052246
28.12722053363673,172.8615665435791,-15.592221905995325,-119.1883729905661,-0.013574601,14.096970319747925,1.1172738075256348,-24.780017189223013,100,8.487359523773193,70000,-1.4191754e-05,6,36.299890482050344,0.13872528076171875,24.54316806793213,23.285346746444702
34.01304138343939,197.5160460472107,-13.18738033720896,-120.77990205510244,-0.013534729,14.134725093841553,1.1036765575408936,-20.4579225999747,100,8.504668712615967,80000,-1.41952705e-05,7,80.88171867891595,0.1252753734588623,24.568660020828247,23.338274478912354
33.27213279211149,222.2161021232605,-17.552627072750322,-110.49103530867181,-0.016131744,14.142168521881104,1.1133615970611572,-28.230927623452377,100,8.564781188964844,90000,-1.4164196e-05,8,92.99699787628266,0.12224364280700684,24.6397545337677,23.40329599380493
27.69685177181041,246.75006079673767,-15.506136556618669,-96.10043131488128,-0.01555616,14.061696767807007,1.090810775756836,-23.242260200266333,100,8.49185824394226,100000,-1.4156398e-05,9,35.95926729993825,0.1204519271850586,24.468618869781494,23.256666660308838
29.237445178290738,271.2936131954193,-13.992309437292374,-104.1526190426696,-0.0134701645,14.047505378723145,1.1090333461761475,-21.337777740512557,100,8.500019311904907,110000,-1.4149736e-05,10,53.367475137845354,0.12034964561462402,24.47977924346924,23.24965214729309
34.62833077626525,296.4334919452667,-13.824886778142186,-135.00640883937905,-0.015597562,14.414681434631348,1.165379524230957,-20.966630486812665,100,8.622149467468262,120000,-1.4088388e-05,11,69.24301446349038,0.15302300453186035,25.072938680648804,23.753764152526855
28.765187989987723,321.05923199653625,-11.71540944992625,-107.08589456328374,-0.015731853,14.129687786102295,1.1065964698791504,-17.93068536334598,100,8.503108978271484,130000,-1.4062649e-05,12,54.544696776427195,0.11990594863891602,24.5580313205719,23.33096671104431
31.687904827714007,345.67803168296814,-14.555822034326281,-99.77174766908205,-0.014453201,14.060428380966187,1.1323113441467285,-22.07250189366755,100,8.536288022994995,140000,-1.4035557e-05,13,56.18508920202703,0.12502360343933105,24.558461904525757,23.300171375274658
27.99498416788769,370.2201278209686,-11.18303483841891,-95.90401789033709,-0.01584369,13.992568016052246,1.105933427810669,-17.226315059329153,100,8.509687662124634,150000,-1.3991465e-05,14,61.519095509448924,0.15955662727355957,24.47479772567749,23.20856213569641
30.431725124063952,394.7902066707611,-14.763191016250296,-122.0670562316487,-0.016391376,14.065211772918701,1.1537437438964844,-22.68267962686734,100,8.471300840377808,160000,-1.3977728e-05,15,41.14156643064059,0.11806297302246094,24.50524663925171,23.23272180557251
29.23366216294619,419.45418071746826,-12.410673398041006,-148.82799625912835,-0.0146244215,14.197798252105713,1.078406572341919,-19.34307096932927,100,8.502907991409302,170000,-1.3949557e-05,16,46.275621004248976,0.11838865280151367,24.59886622428894,23.40129804611206
28.899033388947437,444.02035093307495,-10.738530506372713,-103.70027341377094,-0.016216476,14.068074226379395,1.1286799907684326,-17.26489015289287,100,8.484556436538696,180000,-1.3888639e-05,17,47.65235640616859,0.12212491035461426,24.50124168395996,23.24968671798706
27.5758959255092,468.6629750728607,-12.420701175819863,-93.40826607315564,-0.017076908,14.102678298950195,1.0932793617248535,-20.160231896131403,100,8.526006937026978,190000,-1.3901738e-05,18,39.58285879205019,0.15222430229187012,24.579954147338867,23.333688974380493
29.515001282603727,493.33626794815063,-14.743253325139797,-119.29577811050754,-0.016696231,14.104340314865112,1.0850787162780762,-23.74878731916629,100,8.564991474151611,200000,-1.3877639e-05,19,27.07490359323322,0.15347647666931152,24.61245822906494,23.373176097869873
30.537459276419035,518.0996668338776,-13.22593597798347,-101.31110980460073,-0.014288974,14.262562274932861,1.1153888702392578,-20.690839217186177,100,8.499308586120605,210000,-1.384954e-05,20,41.22396768992666,0.11938095092773438,24.700713396072388,23.465253829956055
