Iteration	TimestepsThisBatch	Time	PoolSize	TimestepsSoFar	Episodes	LastEpReturn	MaxEpReturn
0	1000	12.255929708480835	2000	2000	11	-22.77211923755356	0.6732447450787231
1	1000	23.259689569473267	3000	3000	13	-55.89023213587695	0.6732447450787231
2	1000	35.281468629837036	4000	4000	15	-49.58239408299085	0.6732447450787231
3	1000	47.87758421897888	5000	5000	17	-49.872666551635824	0.6732447450787231
4	1000	62.17618536949158	6000	6000	18	-16.48289632210948	0.6732447450787231
5	1000	73.2719624042511	7000	7000	24	15.322370521876106	15.322370521876106
6	1000	85.58998847007751	8000	8000	27	52.62038316144037	80.33816908843491
7	1000	99.94028377532959	9000	9000	29	-9.732268794449153	209.36567177120202
8	1000	113.34945821762085	10000	10000	32	20.548336229322253	209.36567177120202
9	1000	125.53697061538696	11000	11000	33	197.08844669883135	209.36567177120202
10	1000	139.80144929885864	12000	12000	34	137.39570439563317	209.36567177120202
11	1000	152.3074426651001	13000	13000	35	71.53130215513926	209.36567177120202
12	1000	166.30950355529785	14000	14000	37	31.150762310915876	226.28131199982647
13	1000	179.59461045265198	15000	15000	38	193.2794017411468	226.28131199982647
14	1000	191.18676137924194	16000	16000	39	280.9397523589871	280.9397523589871
15	1000	203.5410599708557	17000	17000	40	433.08562524000865	433.08562524000865
16	1000	217.8212513923645	18000	18000	42	115.14855667891685	433.08562524000865
17	1000	230.0923638343811	19000	19000	44	231.25177473274772	433.08562524000865
18	1000	243.2562906742096	20000	20000	45	557.8031698437459	557.8031698437459
19	1000	257.3541603088379	21000	21000	46	326.0289136719249	557.8031698437459
20	1000	273.14664602279663	22000	22000	47	382.9163174016797	557.8031698437459
21	1000	284.3728425502777	23000	23000	48	477.50964389209724	557.8031698437459
22	1000	295.8888418674469	24000	24000	49	281.1520501037026	557.8031698437459
23	1000	307.7391872406006	25000	25000	51	185.9556612824928	557.8031698437459
24	1000	319.0948603153229	26000	26000	54	84.8992311779156	557.8031698437459
25	1000	330.8520073890686	27000	27000	55	588.1415268040518	588.1415268040518
26	1000	342.3957600593567	28000	28000	56	488.860911770427	588.1415268040518
27	1000	353.9003632068634	29000	29000	57	374.82671524395425	588.1415268040518
28	1000	365.26724195480347	30000	30000	58	384.64365251541125	588.1415268040518
29	1000	376.5528814792633	31000	31000	60	13.236053418863563	588.1415268040518
30	1000	388.07478046417236	32000	32000	62	145.44651616815284	649.889451823883
31	1000	399.61698293685913	33000	33000	63	608.4057644585206	649.889451823883
32	1000	410.607106924057	34000	34000	64	407.69614200182104	649.889451823883
33	1000	422.59928154945374	35000	35000	66	21.559118440605012	649.889451823883
34	1000	434.0625684261322	36000	36000	67	404.49838269298016	649.889451823883
35	1000	445.94113206863403	37000	37000	68	637.3498323186612	649.889451823883
36	1000	457.3556444644928	38000	38000	69	465.4334042720592	649.889451823883
37	1000	468.94336318969727	39000	39000	70	659.1922836095655	659.1922836095655
38	1000	480.1804451942444	40000	40000	71	648.3108980138094	659.1922836095655
39	1000	491.0426187515259	41000	41000	72	673.2928214591834	673.2928214591834
40	1000	502.6068685054779	42000	42000	73	424.9294254469738	673.2928214591834
41	1000	514.4125552177429	43000	43000	74	630.8571897579054	673.2928214591834
42	1000	526.0268168449402	44000	44000	75	412.8496579228873	673.2928214591834
43	1000	537.5811786651611	45000	45000	76	426.46027754977075	673.2928214591834
44	1000	548.9485638141632	46000	46000	78	44.12976007288685	673.2928214591834
45	1000	560.9098694324493	47000	47000	79	558.7457472966453	673.2928214591834
46	1000	572.3194108009338	48000	48000	80	373.64969036719884	673.2928214591834
47	1000	583.7665786743164	49000	49000	81	499.0376260151394	673.2928214591834
48	1000	595.0318264961243	50000	50000	83	33.614416306593085	789.3586638885207
49	1000	606.2023680210114	51000	51000	84	645.7793842750168	789.3586638885207
50	1000	618.2560875415802	52000	52000	85	824.6770816105463	824.6770816105463
51	1000	630.0121603012085	53000	53000	87	147.85386334152912	824.6770816105463
52	1000	642.3121011257172	54000	54000	89	187.94017866597858	824.6770816105463
53	1000	654.041668176651	55000	55000	90	716.060821881973	824.6770816105463
54	1000	664.9760177135468	56000	56000	91	678.0638095494055	824.6770816105463
55	1000	676.2462587356567	57000	57000	92	762.4032047257394	824.6770816105463
