n_timesteps,LossBefore,train-StdReturn,train-EnvExecTime,Itr,LossAfter,train-AverageReturn,ItrTime,Time-SampleProc,train-MinReturn,Time-Optimization,train-AverageDiscountedReturn,train-NumTrajs,train-PolicyExecTime,Time,Time-Sampling,train-MaxReturn
10000,3.6621095e-08,2.9801238987975007,7.983109712600708,0,0.023794312,-1.323630216158581,23.904796838760376,0.14469170570373535,-9.777825899040133,1.568737268447876,-1.0853306442906971,100,13.547199964523315,23.90480375289917,22.190502882003784,6.58341223367472
20000,6.1035155e-09,3.3892169254944045,8.21374797821045,1,0.017869567,-1.225002766980448,24.279832363128662,0.11928987503051758,-8.46778827496927,1.084923267364502,-1.532081457207384,100,14.151483058929443,48.270545959472656,23.074951648712158,5.645406459227897
30000,-3.0517577e-09,2.731450573788762,8.277334690093994,2,-0.0026249755,-2.8715399216515096,24.272344827651978,0.12153029441833496,-9.78808506655085,1.0377895832061768,-2.4205401413979732,100,14.142539501190186,72.60297346115112,23.112256050109863,4.3993418870888
40000,3.0517577e-09,2.7910867439788873,8.202662229537964,3,-0.002937419,-2.2035658279071795,24.125806093215942,0.10871076583862305,-8.755126973187757,1.0950145721435547,-1.8277331010684552,100,14.02031683921814,96.7875919342041,22.921054363250732,7.200684945963511
50000,-2.4414062e-08,3.1486758426652264,8.202754020690918,4,-0.0028853822,-1.5933818860423923,24.276779890060425,0.12216782569885254,-8.53211562146936,1.0830485820770264,-1.5504336564567998,100,14.176073789596558,121.12324905395508,23.070836305618286,6.510373390539549
60000,-1.335144e-09,3.1828492561342148,8.152762651443481,5,-0.0034127822,-0.5983192694910126,24.32832622528076,0.10508060455322266,-6.952404350693853,1.061002254486084,-0.9356917788149869,100,14.317307472229004,145.51208996772766,23.161420583724976,9.500100263205157
70000,1.2207031e-08,3.469584666280337,8.18367314338684,6,-0.0024635254,-0.44246306149772674,24.127920627593994,0.10624241828918457,-9.39115651708589,1.0535423755645752,-0.603901759477823,100,14.093661069869995,169.69784259796143,22.967411279678345,10.530949034397823
80000,-1.8310548e-08,3.8828112718535315,8.136573076248169,7,-0.0029889587,1.3559004982439475,24.207946062088013,0.10944271087646484,-6.056485888982138,1.0736947059631348,0.6719081185606847,100,14.181540966033936,193.96405839920044,23.0241277217865,14.915315002232408
90000,6.4849854e-09,5.721754730551814,8.170391321182251,8,-0.005750117,5.173585095159353,24.14042091369629,0.13787531852722168,-10.205772498027061,1.0680649280548096,3.3198066581119976,100,14.07784652709961,218.15994548797607,22.933571338653564,18.832252195929208
100000,-9.155274e-09,7.823926866383843,8.264255046844482,9,-0.0069125853,10.247650148242544,24.226475715637207,0.11411380767822266,-5.639573331562854,1.1067020893096924,6.6915402749027155,100,14.046514749526978,242.45111989974976,23.005012273788452,27.811409315803242
110000,6.1035155e-09,6.8932086972341615,8.430424213409424,10,-0.0061801756,16.333215614115524,24.299938917160034,0.11577320098876953,-1.737935631944669,1.0725946426391602,10.30420770346781,100,13.978959798812866,266.81119871139526,23.11084747314453,28.2987025469747
120000,6.1035155e-09,6.37689909138342,8.477595329284668,11,-0.0042298464,19.632298884609817,24.490488052368164,0.1455078125,-5.881917986731335,1.073451280593872,12.252170424993697,100,14.107554912567139,291.3598334789276,23.270850658416748,29.94218168404228
130000,-7.629395e-09,4.4081515351341425,8.570623636245728,12,-0.0039837677,24.42214429257497,24.4484703540802,0.11095499992370605,9.592567621832902,1.0766842365264893,15.55559625247086,100,13.996448278427124,315.8678319454193,23.260256052017212,30.79035416678983
140000,1.0681152e-08,5.595442630641705,8.569600582122803,13,-0.005991698,24.23116601318055,24.587324619293213,0.11695218086242676,-0.6982113931763686,1.0719454288482666,15.96441536148998,100,14.12513279914856,340.5215654373169,23.397687673568726,31.192392804317763
150000,-4.577637e-09,3.2970852614183435,8.636844158172607,14,-0.0054249405,26.105369580104387,24.49993324279785,0.11908435821533203,9.94076626815154,1.0600240230560303,17.604333239622388,100,13.996049165725708,365.08247470855713,23.320067167282104,31.04382469524346
160000,9.155274e-09,2.6785147905236153,8.747904062271118,15,-0.0041574524,26.878167287689436,24.765871286392212,0.10718250274658203,18.85361931390917,1.0736100673675537,18.82294359598733,100,14.142549276351929,389.9076955318451,23.58436918258667,31.791957834607633
170000,3.0517577e-09,1.9374132778363824,8.794000625610352,16,-0.0029750976,27.66029848545305,24.706984281539917,0.10914850234985352,21.049188637144166,1.0675015449523926,19.610550553812846,100,14.042903661727905,414.6754367351532,23.5295352935791,31.159039254000813
180000,9.155274e-09,1.47391835216164,8.816538333892822,17,-0.0033241424,28.114514214670834,24.801671266555786,0.16068124771118164,23.887458043121953,1.0656561851501465,20.396024031383945,100,14.06675100326538,439.5402081012726,23.574569940567017,31.768007102403384
190000,6.1035155e-09,1.6183457741500484,8.87714409828186,18,-0.0016130314,28.123826608975474,24.844311237335205,0.11094498634338379,23.957244651371333,1.0537669658660889,20.58471075214733,100,14.114832162857056,464.4405519962311,23.678403854370117,31.589960595939843
200000,-1.5258789e-09,1.5351312054476864,8.888394117355347,19,-0.0020962753,27.949045666828027,24.784849405288696,0.11336159706115723,24.71112784748958,1.04752779006958,20.61429980286261,100,14.044750928878784,489.2835581302643,23.623289346694946,31.45590603347931
210000,-3.967285e-08,1.6423580633009927,8.854501247406006,20,-0.0013152863,27.98824549961176,24.78734588623047,0.10406041145324707,24.57270870571021,1.0626542568206787,20.640708769385828,100,14.067538022994995,514.132878780365,23.61995005607605,32.38323712504296
220000,-3.0517577e-09,1.2523700184780702,8.88579773902893,21,-0.0021762878,28.27339020423579,24.83586883544922,0.11095213890075684,24.9419834737264,1.0622682571411133,21.32804311031434,100,14.075269222259521,539.0282280445099,23.661552906036377,31.245054846215464
230000,6.1035155e-09,1.4656234952612155,8.920733213424683,22,-0.0014207519,28.28512829017286,24.869454383850098,0.1135413646697998,24.271976626565966,1.0625975131988525,21.214113230573908,100,14.069620370864868,563.9588007926941,23.69262194633484,31.998749296500158
240000,-0.00022272339,1.4802787734899012,8.924392461776733,23,-0.0009896423,28.525389887394894,24.917401790618896,0.11778998374938965,25.066637786175672,1.0945024490356445,21.702049608301436,100,14.092909336090088,588.9367506504059,23.704543590545654,31.86416882769577
250000,4.577637e-09,1.8181439781310667,8.922362565994263,24,-0.0026445198,28.46105138599949,24.783742427825928,0.11940312385559082,17.940669970430438,1.069040298461914,21.76430557951377,100,13.981983661651611,613.7793173789978,23.59459638595581,32.02346891653842
260000,-3.0517577e-09,1.460503889848491,8.946846008300781,25,-0.0012115844,28.728763426024262,24.96095085144043,0.11060929298400879,25.383546126761885,1.072336196899414,21.895808954126718,100,14.12628984451294,638.802741765976,23.777250289916992,31.8923369989796
270000,-0.000703479,1.7405854772656029,8.842933893203735,26,-0.00033051148,28.42732023477416,24.792993783950806,0.10932183265686035,22.586589059636538,1.0911180973052979,21.725165077004636,100,14.055305242538452,663.6647877693176,23.591853141784668,31.439118772348625
280000,3.0517577e-09,1.6152509669800656,8.911556482315063,27,-0.0026224065,28.479659977570332,24.814634799957275,0.11498832702636719,22.315490599452996,1.0696971416473389,21.846808660749907,100,14.027513027191162,688.545688867569,23.62925100326538,31.840230008019635
290000,-9.155274e-09,1.6768224103000469,8.913678407669067,28,-0.0010658203,28.397428844150408,24.771573305130005,0.12926912307739258,23.442990508621026,1.0661890506744385,21.85273410847331,100,13.961181879043579,713.3785059452057,23.575297355651855,31.784997478734837
300000,-0.002290149,1.7992150619229088,8.883310317993164,29,-0.0029856751,28.917770040469435,24.859827280044556,0.12518525123596191,24.70159353965555,1.0549919605255127,22.329222301274726,100,14.098451375961304,738.2980847358704,23.67886972427368,32.88537642773786
310000,9.155274e-09,1.4922915528486396,8.892947912216187,30,-0.0015325531,28.913215581160188,24.855811834335327,0.11598086357116699,24.794083108081796,1.067647933959961,22.341023998823744,100,14.087479829788208,763.2101340293884,23.671385765075684,32.14347644448553
320000,-6.1035155e-09,1.577420382236168,8.92507266998291,31,-0.0014031922,28.72641170566632,24.96406579017639,0.1068570613861084,24.820103875296258,1.0898637771606445,22.137884073473383,100,14.144858360290527,788.2418088912964,23.76667857170105,32.05361769725339
330000,-6.1035155e-09,1.5186200447398515,8.944502353668213,32,-0.001633657,28.606563852248645,24.89832639694214,0.11176371574401855,23.9694614021382,1.0879735946655273,22.015481394165157,100,14.055283784866333,813.199054479599,23.69797706604004,32.0798685289401
340000,-2.1362304e-08,1.5397625024930812,8.95518708229065,33,-0.0008511902,28.88357860895004,24.999171257019043,0.10389900207519531,25.440839039657693,1.0880436897277832,22.134903838897426,100,14.156323671340942,838.2562303543091,23.806512117385864,33.63824587160152
350000,-1.2207031e-08,1.6823883465742295,8.893902778625488,34,-0.0019423615,28.97982210571794,24.786010026931763,0.10922789573669434,24.622295948142447,1.0565307140350342,22.315045007792293,100,14.039431810379028,863.1035735607147,23.619626998901367,32.71722706514492
360000,6.1035155e-09,1.292374267518091,8.9769868850708,35,-0.0031014464,29.156108646172125,24.945600509643555,0.10817790031433105,25.78848781052403,1.07027268409729,22.60010507958538,100,14.098737716674805,888.1130654811859,23.76636028289795,32.58107314872705
370000,-7.6293943e-10,1.548415004431545,8.876801013946533,36,-0.00061562384,29.064505561761997,24.83603596687317,0.11516451835632324,25.702086774993827,1.0449771881103516,22.368113773235432,100,14.098037242889404,913.0097053050995,23.67526865005493,32.62623111207184
380000,6.1035155e-09,1.5769253182763685,8.93476152420044,37,-0.0010188156,29.11301866228048,24.81065797805786,0.11247134208679199,24.46771071258769,1.0617830753326416,22.453582446382992,100,14.00548505783081,937.8769452571869,23.635775804519653,32.52524766934328
390000,-3.0517577e-09,1.9054655069944475,8.91356897354126,38,-0.0020402984,29.20315030575437,24.832021951675415,0.11817598342895508,18.463272484342106,1.0975439548492432,22.56525662035658,100,14.012480735778809,962.7702531814575,23.615551948547363,32.91160909846419
400000,4.005432e-09,1.6229161257420315,8.933457612991333,39,-0.0016995681,29.324059248767377,24.850489139556885,0.1460871696472168,25.425960968755817,1.0809998512268066,22.65855134121244,100,13.98899507522583,987.6847882270813,23.622761726379395,33.401305917440894
410000,3.0517577e-09,1.5330967022659503,8.970755815505981,40,-0.0012111908,29.474480848673608,25.05569338798523,0.11432957649230957,25.855396100925,1.082268238067627,22.700228340192815,100,14.193233489990234,1012.8041367530823,23.858398914337158,33.92872934217054
420000,-3.8146974e-09,1.5204991749350893,8.980868577957153,41,-0.0021821556,29.71071778674383,24.95413088798523,0.11103296279907227,25.476221238590682,1.067317247390747,23.00780104477954,100,14.082594156265259,1037.8160846233368,23.775004625320435,33.07013266991801
430000,7.4386595e-09,1.719291989731984,8.925510883331299,42,-0.002446668,29.27169204932256,24.809038877487183,0.10604071617126465,25.005835368404547,1.0472233295440674,22.4605707436159,100,14.030780553817749,1062.6844308376312,23.6551296710968,34.215429096301456
440000,6.1035155e-09,1.4992757443544014,8.890654802322388,43,-0.0032514222,29.302518062077493,24.75636601448059,0.10363650321960449,24.7894195758825,1.0543403625488281,22.5233786725821,100,14.012797355651855,1087.503333568573,23.59777545928955,32.223703424986404
450000,6.1035155e-09,1.5159660407852837,8.921165227890015,44,-0.0025244777,29.861764224403828,24.843504190444946,0.11316967010498047,26.23356395209296,1.0597913265228271,23.032892165835605,100,14.053603410720825,1112.4090268611908,23.6698477268219,33.7194439496468
460000,1.5258789e-09,1.6714150508158925,8.97382140159607,45,-0.0017293076,29.759263100043356,25.024630308151245,0.15626192092895508,22.532492267610834,1.1294708251953125,23.063211680507848,100,14.054047107696533,1137.5014412403107,23.738100051879883,33.24415350285543
470000,3.0517577e-09,1.4868194101295367,9.166175842285156,46,0.0006841217,29.458984001580188,25.383625268936157,0.12284564971923828,25.070611220106013,1.0866198539733887,22.896329387465688,100,14.298476696014404,1162.9455552101135,24.17343807220459,33.107612972492696
480000,-0.00035074464,1.5778813689855617,8.831177711486816,47,-0.00063873903,29.816553335455264,24.698529481887817,0.11451578140258789,22.905551888284403,1.0635747909545898,23.159068255939218,100,13.991138696670532,1187.7056846618652,23.51979923248291,33.17579060402038
