train-MaxReturn,n_timesteps,train-PolicyExecTime,Time-Sampling,train-EnvExecTime,Time-Optimization,LossAfter,train-StdReturn,train-MinReturn,LossBefore,ItrTime,Time-SampleProc,train-AverageDiscountedReturn,Itr,Time,train-NumTrajs,train-AverageReturn
281.55796298729194,970000,19.30900001525879,26.264358520507812,6.444031000137329,0.4117262363433838,-0.003760263,14.543339399633682,154.57999230529327,-1.0448004e-05,26.815016269683838,0.1369490623474121,144.3064988736907,96,2390.046941280365,100,261.2817923330416
275.39391691577356,980000,17.594656944274902,24.498899459838867,6.4477174282073975,0.45957255363464355,-0.004332241,14.467630655997011,148.51711053644982,-1.0433765e-05,25.231477737426758,0.27111244201660156,144.00150615742876,97,2415.2944996356964,100,261.08470096557943
275.5711549670563,990000,19.46064591407776,26.567240715026855,6.653571605682373,0.4405512809753418,-0.002332955,15.1412722653339,147.39263530040472,-1.041635e-05,27.190170288085938,0.1813192367553711,144.5739267489672,98,2442.504164457321,100,262.51375346222335
275.60796001795615,1000000,16.476503610610962,23.17838430404663,6.243662357330322,0.49099254608154297,-0.0043216185,6.971929036406233,232.34372239415578,-1.0378116e-05,23.907521724700928,0.23745369911193848,144.82769079365792,99,2466.4250495433807,100,263.0005178216188
276.84757880578974,1010000,19.643457412719727,26.51728892326355,6.40146017074585,0.4490237236022949,-0.0035416458,8.074258716487817,236.48833814044517,-1.03584325e-05,27.124152898788452,0.15678858757019043,144.7843644220532,100,2493.5638675689697,100,262.9949859468866
274.585941111861,1020000,17.560136556625366,24.30984592437744,6.306376695632935,0.4094882011413574,-0.0045046606,6.317140504344733,240.99299451334036,-1.0320336e-05,24.903346061706543,0.18279314041137695,144.92359490235629,101,2518.488252878189,100,263.0466384211619
275.64294060198586,1030000,17.673242330551147,24.34198236465454,6.209052085876465,0.4268527030944824,-0.0011255558,6.720034229295307,236.555512889819,-1.0290638e-05,24.88096284866333,0.11064648628234863,145.63371416047607,102,2543.3835711479187,100,264.14855272358784
275.8576513678762,1040000,15.481763362884521,22.144572019577026,6.210221529006958,0.4173097610473633,-0.005078605,6.641322522543497,229.68039875653878,-1.0251095e-05,22.70923948287964,0.14637422561645508,146.1711334255589,103,2566.106704711914,100,265.5902507411155
278.6023710689222,1050000,17.11054754257202,23.6646146774292,6.120386362075806,0.3718099594116211,-0.0034611446,13.168005055575078,158.67105995367905,-1.0204961e-05,24.228190898895264,0.16507887840270996,145.55029553037298,104,2590.3472032546997,100,264.0325912754988
277.2415351135895,1060000,15.662249088287354,22.455289363861084,6.339722633361816,0.566105842590332,-0.003526255,7.07359030491397,237.05909525576897,-1.0165623e-05,23.159632205963135,0.13732314109802246,146.1686965230929,105,2613.518768310547,100,265.56475871434833
276.59900304034954,1070000,17.92723250389099,24.868055820465088,6.434338331222534,0.48111653327941895,-0.0021953396,8.272978005009936,207.74033663885808,-1.0125695e-05,25.579776763916016,0.2292194366455078,146.4164191987151,106,2639.117309808731,100,266.089878898433
275.67446602766,1080000,16.483790636062622,23.345070600509644,6.364753007888794,0.5054097175598145,-0.0034938238,14.772139801851004,150.06052710545666,-1.0086702e-05,23.975231409072876,0.12285161018371582,146.00426364788754,107,2663.1102204322815,100,265.6708248527787
