Time-Optimization,Time,n_timesteps,Itr,ItrTime,train-NumTrajs,train-PolicyExecTime,train-StdReturn,LossBefore,LossAfter,train-AverageDiscountedReturn,train-MaxReturn,Time-Sampling,Time-SampleProc,train-MinReturn,train-EnvExecTime,train-AverageReturn
1.9795782566070557,24.58658742904663,10000,0,24.586578369140625,100,13.815652132034302,7.826819733129531,0.011453287,-1.8171216,6.375429818631534,25.48546249308933,22.54684829711914,0.058812618255615234,-7.213638873107144,8.072140455245972,9.818919198849295
1.071930170059204,49.29853677749634,20000,1,24.6251003742218,100,14.061083555221558,5.574362846956112,0.015125507,-4.5976734,14.467205441240772,32.38759523111293,23.511375427246094,0.04114365577697754,-7.691972371562394,8.773316144943237,23.71793310253096
1.0799341201782227,74.03954100608826,30000,2,24.673458337783813,100,13.992809295654297,3.0969052350089923,0.013597388,-5.0912685,15.851649967107011,30.723446439042004,23.55122184753418,0.041602373123168945,16.6744173276104,8.874042987823486,25.025054372052054
1.0672023296356201,98.92438554763794,40000,3,24.824082374572754,100,14.073213815689087,1.8894775471918979,0.0043444154,-3.4689324,18.263286815702042,30.106697575907916,23.718200206756592,0.03791642189025879,21.71627691068087,8.962435245513916,26.132721834237167
1.0422532558441162,123.72237229347229,50000,4,24.73379397392273,100,14.010191202163696,2.0077937508631196,-0.009164658,-1.8881041,19.426341171676757,30.222419799503516,23.649500846862793,0.04125499725341797,20.878998183885084,8.9561288356781,26.55726212149697
1.0675718784332275,148.65624022483826,60000,5,24.870909690856934,100,14.046144962310791,3.1799933492383734,0.004755772,-1.0905316,19.25730469081421,30.360749408254726,23.767767429351807,0.03465914726257324,4.41191472710199,9.040998697280884,25.962169719462118
1.064474105834961,173.5073800086975,70000,6,24.790069818496704,100,13.969279050827026,2.7171491338222076,0.009764461,-0.7894447,19.544983568047506,30.774409668222475,23.689590454101562,0.03523659706115723,14.999727905666001,9.034087181091309,26.175513383255137
1.0882515907287598,198.39625883102417,80000,7,24.82684898376465,100,14.02002763748169,3.58553412610325,-0.0027105561,-0.67317206,19.281075648960094,30.93172765801061,23.699731826782227,0.03814244270324707,5.1145143930080055,8.99277138710022,25.729201784493522
1.0602478981018066,223.22654366493225,90000,8,24.768967628479004,100,13.92295241355896,2.4263952847966177,-0.007126893,-0.6311756,19.944562872003573,30.22169012437615,23.668979167938232,0.03897833824157715,9.037541006280897,9.051131248474121,26.613938836472247
1.055870532989502,247.97946763038635,100000,9,24.692431926727295,100,13.943265438079834,2.900204890205734,-0.005761403,-0.59769905,19.573803417974624,30.502196786976004,23.59943151473999,0.03623652458190918,6.003354318825242,8.97070598602295,26.424531905508264
1.0462923049926758,272.7621955871582,110000,10,24.726022720336914,100,13.95401120185852,2.4293727431191705,-0.0076325447,-0.5415867,19.903372448358382,30.123357707010328,23.642879962921143,0.03614401817321777,13.342562464014769,9.006131172180176,26.70946825736585
1.0731019973754883,297.6498427391052,120000,11,24.829965114593506,100,14.021953105926514,2.215320984761209,0.0073375893,-0.4630267,20.037666612952215,30.39615045971294,23.714561223983765,0.04166412353515625,15.519835106951794,8.998462200164795,26.882937149259533
1.0514826774597168,322.5665988922119,130000,12,24.86094307899475,100,14.002492189407349,2.561949517153137,-0.0060527567,-0.41590956,19.550732855772925,30.357067345369845,23.769784212112427,0.03906440734863281,14.077402042782612,9.078940391540527,26.328856415156547
1.0826025009155273,347.48583221435547,140000,13,24.85600471496582,100,14.020336389541626,1.6486782692562356,0.003410536,-0.34859076,20.214875684985046,30.250512436079664,23.733593463897705,0.039052486419677734,20.301053353365923,9.034981966018677,27.057122301089898
1.0604045391082764,372.37682580947876,150000,14,24.83275842666626,100,14.019355773925781,1.9047916466698245,0.0053747497,-0.32571465,20.187692343164528,30.774869874928477,23.734022855758667,0.03775930404663086,17.891046040744314,9.034514427185059,27.061479825875672
1.0786073207855225,397.2284653186798,160000,15,24.794455766677856,100,13.957552909851074,1.4321014747948824,-0.00439942,-0.3136232,20.307344032851983,30.08252347456116,23.67469024658203,0.040457725524902344,23.999796752959202,9.032465696334839,27.289935941292914
1.0411803722381592,422.1121666431427,170000,16,24.82000207901001,100,13.984778642654419,1.5691935481983692,0.0033179747,-0.2843666,19.97362843108277,29.830594841106468,23.740458250045776,0.037682533264160156,22.43315400678733,9.072200298309326,26.843835417769345
1.0839693546295166,447.0128197669983,180000,17,24.837993383407593,100,13.952145338058472,1.402727257146065,-0.00227257,-0.25987628,20.336409378631494,29.56069352287616,23.708202123641968,0.04526257514953613,23.17978743147727,9.072383880615234,27.229388284434137
1.0507307052612305,471.80260181427,190000,18,24.722487449645996,100,13.88997197151184,1.677923581416352,0.0036141258,-0.24475786,20.09878379199311,30.26767648190319,23.62926745414734,0.041822195053100586,21.508829260695414,9.052048206329346,27.024789137284564
1.0672333240509033,496.63722372055054,200000,19,24.777331113815308,100,14.004703044891357,1.586573828869759,0.0010964279,-0.24110202,19.977884851926795,30.02015116422818,23.671869039535522,0.03751516342163086,21.818584477938707,8.977782487869263,26.925334591127537
1.043524980545044,521.6368923187256,210000,20,24.942060470581055,100,14.090471982955933,2.2782007499145043,-0.0015996567,-0.23837939,19.86617154245465,30.34052845509114,23.85813546180725,0.03970694541931152,11.86008678563678,9.074166774749756,26.657041268769273
1.0557451248168945,546.542952299118,220000,21,24.85038685798645,100,13.985291242599487,3.2998715371978267,0.021700306,-0.19930075,20.09709100371534,30.93653038030397,23.759474515914917,0.03445124626159668,-1.3866443604240157,9.08985161781311,26.895829638254906
