LossAfter,train-EnvExecTime,Itr,Time-SampleProc,train-AverageReturn,train-StdReturn,LossBefore,n_timesteps,ItrTime,train-NumTrajs,train-AverageDiscountedReturn,Time-Optimization,Time-Sampling,train-MinReturn,train-PolicyExecTime,train-MaxReturn,Time
0.03094227,8.452738523483276,0,0.13975977897644043,-46.671405392015046,33.33757014015808,-1.4177178e-05,10000,26.231295347213745,100,-29.654859618146332,2.8051810264587402,23.28552532196045,-135.2378723894135,14.094614028930664,53.71399394344598,26.231300830841064
0.006277156,8.475759744644165,1,0.16156530380249023,-40.80668165494031,32.29922323201791,-1.422696e-05,20000,25.525075912475586,100,-25.614552027597387,2.2630677223205566,23.09817123413086,-116.14181290810441,13.880282402038574,31.82515338345617,51.91215777397156
-0.012221388,8.490041255950928,2,0.18174076080322266,-44.29935383616062,32.07284613745058,-1.4248629e-05,30000,25.74504065513611,100,-28.233172101172194,2.4643454551696777,23.096882581710815,-115.4161705539742,13.851389169692993,43.41414460879588,77.75965785980225
-0.010281202,8.487533807754517,3,0.24020028114318848,-44.037525769738956,30.082458324263584,-1.4263674e-05,40000,25.571847677230835,100,-27.65556952202652,2.1657018661499023,23.16443419456482,-121.68132620273384,13.931629180908203,30.022309298167354,103.39434623718262
-0.012848692,8.48943281173706,4,0.16470003128051758,-43.061920123277474,28.772247815004196,-1.4256972e-05,50000,25.43803858757019,100,-27.233167682715496,2.082613229751587,23.189520835876465,-106.51482988167501,13.95194411277771,56.41010702337857,128.9081153869629
-0.012889477,8.522463083267212,5,0.17936134338378906,-42.91498778525226,32.016123377027846,-1.4274794e-05,60000,25.405202388763428,100,-27.476055943765573,1.9037213325500488,23.319313049316406,-113.01275331740361,14.041279315948486,36.1260663666269,154.42236971855164
-0.0122980885,8.560311079025269,6,0.16127300262451172,-39.351147963940186,33.21708952484066,-1.42700765e-05,70000,25.484872579574585,100,-25.12045144043883,1.788332462310791,23.53448462486267,-126.42506403824396,14.219025135040283,26.893134817191463,180.0138680934906
-0.01268483,8.562985897064209,7,0.2152090072631836,-40.18507712324914,32.13343854910395,-1.4259882e-05,80000,25.424598693847656,100,-25.78226173965514,1.590331792831421,23.61715602874756,-130.22836983578287,14.300057411193848,42.36251827979051,205.52058601379395
-0.013346643,8.603395223617554,8,0.18688392639160156,-32.420372483136475,32.68085950631143,-1.4265662e-05,90000,25.40675687789917,100,-20.053678807196988,1.4320549964904785,23.784775495529175,-120.66228014715676,14.414023160934448,45.5370312348308,231.02748084068298
-0.012667345,8.672531843185425,9,0.1408519744873047,-36.52574363852022,31.57686431122521,-1.4242741e-05,100000,25.383833408355713,100,-22.94008943797025,1.3083021640777588,23.933942794799805,-118.690966140686,14.485780477523804,30.039210004497093,256.52830958366394
-0.013663945,8.713502883911133,10,0.15759515762329102,-30.095962837505343,27.78393448549335,-1.4246885e-05,110000,25.431361436843872,100,-18.87528410132746,1.2988154888153076,23.97422194480896,-146.6424620234366,14.494421482086182,28.889830751834328,282.04295682907104
-0.013377647,8.644531726837158,11,0.12975263595581055,-29.03029920140649,31.389487563925318,-1.4231157e-05,120000,25.28258752822876,100,-17.854901236140584,1.2482712268829346,23.903076887130737,-116.7621289386245,14.48923635482788,61.830302740086815,307.40971779823303
-0.011688635,8.616992712020874,12,0.14304661750793457,-33.22174026646831,30.075145036311966,-1.42482195e-05,130000,25.21895933151245,100,-21.009857871586775,1.1265602111816406,23.948633432388306,-122.58983692115319,14.54152250289917,33.56074173962623,332.74622344970703
-0.013281061,8.705268859863281,13,0.13483762741088867,-29.543438810757678,31.99433044801651,-1.4200974e-05,140000,25.279903173446655,100,-19.035449717141333,1.1362087726593018,24.00729537010193,-110.02412423991463,14.541894674301147,51.6881027518676,358.0992786884308
-0.014331892,8.776346921920776,14,0.12961339950561523,-27.873222023640896,27.87569850151313,-1.4192222e-05,150000,25.45617699623108,100,-17.649575499111293,1.1550929546356201,24.17073678970337,-100.84349931766016,14.618156433105469,39.84129373444018,383.62378668785095
-0.016037466,8.769165515899658,15,0.16154098510742188,-27.934339097731833,27.61145293056499,-1.4167889e-05,160000,25.671805143356323,100,-17.876367256137947,1.1746892929077148,24.334498405456543,-103.99256869401596,14.78093433380127,40.67487275185797,409.36924839019775
-0.015286916,8.770214080810547,16,0.14537310600280762,-26.609352834391046,30.184589049222218,-1.4172995e-05,170000,25.581563472747803,100,-17.070698697584458,1.1696646213531494,24.26574182510376,-116.13311467156355,14.71980881690979,71.98363485090844,435.0184259414673
-0.012810701,8.712270736694336,17,0.14720869064331055,-24.51928582264005,27.840559469752904,-1.4171219e-05,180000,25.594361305236816,100,-15.215097278720148,1.1640732288360596,24.282429456710815,-82.61530562390615,14.785108804702759,51.22315823166401,460.68075680732727
-0.015114662,8.74473786354065,18,0.12917494773864746,-25.723644794463947,29.60869580543913,-1.41284045e-05,190000,25.49379277229309,100,-16.87252427967107,1.1445436477661133,24.21936011314392,-91.49002855744733,14.712656021118164,39.65202938135197,486.25090980529785
-0.014921492,8.80074429512024,19,0.1447744369506836,-26.440305771762738,28.496706012635926,-1.4180307e-05,200000,25.65816378593445,100,-16.605508574804627,1.1417927742004395,24.370815753936768,-96.68860978465479,14.78719186782837,32.07733486551347,511.9853308200836
-0.013567633,8.751768589019775,20,0.12293410301208496,-25.653502777838394,29.264808585290915,-1.4142891e-05,210000,25.445403337478638,100,-16.48690385965511,1.1800768375396729,24.14158797264099,-91.80502295534227,14.61766529083252,44.29649056822352,537.5021970272064
