train-AverageReturn,train-AverageDiscountedReturn,LossBefore,Time,ItrTime,n_timesteps,Time-Optimization,Itr,Time-SampleProc,train-PolicyExecTime,train-MinReturn,LossAfter,train-MaxReturn,Time-Sampling,train-EnvExecTime,train-StdReturn,train-NumTrajs
-30.9877833675063,-19.736263275164067,-1.4171074e-05,5.999530792236328,5.999527454376221,10000,0.6475718021392822,0,0.09161543846130371,3.276812791824341,-107.95323500366746,0.029539106,24.022861860378907,5.260029315948486,1.815854787826538,29.643123994647425,100
-27.935499619623375,-17.97442283630282,-1.4161702e-05,11.94692325592041,5.904553174972534,20000,0.5012960433959961,1,0.06547069549560547,3.3281853199005127,-107.73954551334822,0.013431019,53.782436507236675,5.337300539016724,1.8409678936004639,32.9337586040307,100
-34.41415223193306,-21.883553789743118,-1.4153051e-05,17.906054973602295,5.941659688949585,30000,0.4379756450653076,2,0.046814680099487305,3.4032392501831055,-136.09595238735275,-0.011572972,44.867699540410435,5.456374406814575,1.8772611618041992,39.68454560367464,100
-25.72569311727069,-16.99519455906517,-1.4152641e-05,23.977489233016968,6.0476462841033936,40000,0.43196654319763184,3,0.03304314613342285,3.49593448638916,-108.14075668322018,-0.01412188,57.4969926882856,5.582396030426025,1.8978314399719238,32.02154142270802,100
-25.834965705561594,-16.63912127175576,-1.4138621e-05,30.47881531715393,6.482027292251587,50000,0.4022667407989502,4,0.033621788024902344,3.8654627799987793,-124.20778875922176,-0.014592008,58.20230451431219,6.04471755027771,1.9873707294464111,31.14935580020809,100
-21.539213779641628,-13.806224891948016,-1.4108308e-05,37.865450382232666,7.328761100769043,60000,0.42415428161621094,5,0.04082202911376953,4.424513578414917,-116.0400644294902,-0.013222913,47.56756655128483,6.863159656524658,2.2153921127319336,33.07490042442123,100
-20.937364233427953,-13.911463463516977,-1.408476e-05,46.24372577667236,8.30891466140747,70000,0.49773740768432617,6,0.04311084747314453,5.049262762069702,-95.6354881700953,-0.015359417,37.20058078136176,7.767248153686523,2.4810984134674072,29.124640342544467,100
-24.105596699557417,-14.79607342025649,-1.4088308e-05,56.001423358917236,9.69991397857666,80000,0.5116457939147949,7,0.06261849403381348,5.9755775928497314,-152.14327764813308,-0.014440289,68.8538979511892,9.124377727508545,2.877734422683716,37.975048050039184,100
-21.911238531631806,-13.98376912194243,-1.4070817e-05,64.78841042518616,8.75893759727478,90000,0.5347230434417725,8,0.04518270492553711,5.226617336273193,-119.715788481469,-0.015035302,59.691224413883646,8.178613662719727,2.6977217197418213,31.832188033731573,100
-22.55095909919328,-14.06364987518277,-1.4090833e-05,74.25255751609802,9.438442945480347,100000,0.4271199703216553,9,0.03187417984008789,5.834536075592041,-93.49079525836082,-0.01416519,51.275165513815395,8.97909927368164,2.858790636062622,25.675780990257326,100
-21.906430055149773,-13.963254800244702,-1.4071463e-05,81.86537003517151,7.595830917358398,110000,0.41088247299194336,10,0.06920981407165527,4.61186408996582,-128.70481447562068,-0.0140452655,66.08109358074701,7.110260248184204,2.266787528991699,32.85664928317783,100
-24.629600323322762,-15.963437141721437,-1.4082708e-05,89.74362874031067,7.860965967178345,120000,0.43732261657714844,11,0.03302597999572754,4.800241470336914,-115.83865193389622,-0.014714442,50.39880940382854,7.390333414077759,2.3572466373443604,31.723765098120364,100
-20.06122793137034,-12.314988294592418,-1.4090078e-05,97.7642195224762,8.00154709815979,130000,0.4577014446258545,12,0.0453643798828125,4.855518102645874,-80.99673499279726,-0.015944166,77.32374809311949,7.498241662979126,2.4098868370056152,29.012429277464005,100
-18.317463714330085,-11.517488659864242,-1.4066654e-05,110.95625138282776,13.166924476623535,140000,0.6502251625061035,13,0.05930185317993164,8.136196613311768,-122.16117892432757,-0.015630415,90.89190617740124,12.45682406425476,3.944399833679199,33.27684774557855,100
-21.005761335952183,-14.169795343037563,-1.4082321e-05,123.99264335632324,13.004466772079468,150000,0.3722832202911377,14,0.06647467613220215,8.297207355499268,-141.40683959850745,-0.015762169,59.640739535394964,12.565400838851929,3.9035580158233643,30.904612254639584,100
-17.56083826116476,-11.504795918531832,-1.4063825e-05,132.24792003631592,8.237272024154663,160000,0.47083330154418945,15,0.03100728988647461,5.090335130691528,-115.10294993017187,-0.014890725,42.085676729277424,7.735137224197388,2.4128429889678955,28.158337078998848,100
-15.8391811789854,-10.704021965098045,-1.4034343e-05,139.92615628242493,7.659341096878052,170000,0.39041709899902344,16,0.036718130111694336,4.649388551712036,-108.4360289099779,-0.015775846,57.295002567163394,7.231965065002441,2.3561153411865234,31.528220005056728,100
-19.57995300720288,-11.821248738529142,-1.4022728e-05,148.95856356620789,9.014852523803711,180000,0.5719923973083496,17,0.049936532974243164,5.468517780303955,-122.29992641265596,-0.017061394,48.04684940355188,8.392390489578247,2.6684651374816895,31.75191901565098,100
-19.589379457080064,-12.232135943749753,-1.4011789e-05,164.08826565742493,15.096779108047485,190000,0.8172523975372314,18,0.1364896297454834,9.40723466873169,-91.82927384371848,-0.016086513,55.39086427900251,14.140985012054443,4.32309365272522,29.393680235570514,100
-18.037788891167953,-11.581201696275947,-1.39720705e-05,174.9014208316803,10.767635822296143,200000,0.45317840576171875,19,0.08246564865112305,6.773455381393433,-87.49564256479424,-0.015083673,76.72116256163143,10.231046199798584,3.1449694633483887,32.83871358688526,100
-17.063193009603083,-10.295035284174658,-1.39530175e-05,184.33695793151855,9.41379189491272,210000,0.5720140933990479,20,0.08569908142089844,5.815474510192871,-81.63763628328127,-0.015834209,53.912871735763694,8.755815982818604,2.676637649536133,28.976372983901715,100
