LossAfter,ItrTime,n_timesteps,train-MaxReturn,Itr,Time-Sampling,Time,LossBefore,train-EnvExecTime,Time-Optimization,train-AverageDiscountedReturn,train-NumTrajs,train-PolicyExecTime,train-MinReturn,train-StdReturn,Time-SampleProc,train-AverageReturn
-0.51898235,6.098190784454346,10000,47.237587759510426,0,4.785207748413086,6.098194360733032,0.015627638,1.7565195560455322,1.25093412399292,-20.180894081821208,100,2.8655216693878174,-120.16136593162196,35.23046432698963,0.06174302101135254,-31.290260130391562
-0.23461416,6.88699197769165,20000,50.26636125817188,1,5.7216644287109375,13.041972398757935,-0.0016315674,2.130337715148926,1.129450798034668,-16.66711722930122,100,3.3971803188323975,-128.97300784927424,34.480887180383164,0.03514599800109863,-26.438215490773363
-0.17522751,15.23573899269104,30000,60.23162635467313,2,13.218264102935791,28.31153178215027,0.002131604,4.873462677001953,1.8942599296569824,-20.876249690025062,100,7.911292791366577,-197.97991852764937,40.264833175995555,0.12265849113464355,-32.800987043636844
-0.15334262,25.03714632987976,40000,67.59116010150237,3,23.165366411209106,53.45717096328735,0.00718479,8.425935506820679,1.726508378982544,-17.226878082956436,100,14.014711141586304,-132.06155318013305,38.88603341692363,0.14417648315429688,-25.633312097351777
-0.2240877,24.67606782913208,50000,122.07087491926646,4,23.177308082580566,78.2702112197876,-0.015886713,8.35562515258789,1.3812248706817627,11.986879693106328,100,14.094594240188599,-62.589924240506676,45.41267138275614,0.11552214622497559,26.01854507836344
0.0049959472,24.664717435836792,60000,107.5729605147484,5,23.42424249649048,103.01363897323608,0.03668518,8.383360624313354,1.1129884719848633,39.46187491295237,100,14.304412126541138,-50.861553302538546,28.0737953791631,0.12665271759033203,71.88033687522584
-0.041799244,24.851951599121094,70000,120.55973461391905,6,23.560343980789185,127.9262022972107,0.035344884,8.361647129058838,1.1378223896026611,44.8294335461687,100,14.457152605056763,-5.601746610280768,17.666149057420977,0.15175795555114746,80.04758209430165
-0.018687304,24.890738010406494,80000,109.77952697839336,7,23.615355491638184,152.8783106803894,0.0078505855,8.343009948730469,1.1458261013031006,44.04448379057379,100,14.534378051757812,-46.003066817456855,21.84380804186066,0.12879037857055664,78.76032199673548
-0.06477058,24.917126655578613,90000,111.53607768470589,8,23.651432275772095,177.86284494400024,-0.005259204,8.31157922744751,1.1205308437347412,40.9430339875506,100,14.602138757705688,-43.59841882411322,24.694113595141193,0.14441490173339844,74.69506647571883
-0.08228862,24.73210096359253,100000,101.26836105134208,9,23.45853304862976,202.65867280960083,-0.008064538,8.337711572647095,1.1253061294555664,39.218760161681885,100,14.383389949798584,-92.81516734201176,33.722796848694706,0.1475069522857666,71.51829517049809
-0.009046094,24.783416748046875,110000,109.49190473486854,10,23.561198949813843,227.50536108016968,0.025342846,8.37914776802063,1.1049373149871826,45.54257587621656,100,14.435481548309326,-49.0524760355579,22.479971890310228,0.11652684211730957,80.97295645568127
-0.052266333,24.934805870056152,120000,112.59756860946281,11,23.700383186340332,252.50613379478455,-0.014252399,8.357592105865479,1.1158480644226074,38.76864250521879,100,14.600603103637695,-19.767132276145254,27.221170416377962,0.11785149574279785,71.9127910412025
-0.08290958,24.795617818832397,130000,113.44736749758745,12,23.54501748085022,277.3689067363739,0.00029002686,8.311222314834595,1.1255464553833008,42.52346095813112,100,14.490452289581299,-14.468222788465287,24.41760931706005,0.1242835521697998,77.57166339190708
-0.005102539,24.912607192993164,140000,108.52240508708569,13,23.6703941822052,302.34127140045166,0.00919707,8.363725185394287,1.123410940170288,46.6197979257679,100,14.564552307128906,0.5170893384291064,16.877575843411716,0.1181187629699707,82.07122081936701
-0.048083667,24.89971351623535,150000,110.04172805273713,14,23.631538152694702,327.31229162216187,-0.03124707,8.325620412826538,1.1370351314544678,42.92589100808918,100,14.555204629898071,-47.78311070479729,26.924477019875717,0.13036847114562988,76.35125241744525
-0.057978857,24.90600562095642,160000,108.64441219883666,15,23.588408708572388,352.2853698730469,0.0066918214,8.324086427688599,1.1831142902374268,45.36926268543205,100,14.522352457046509,-24.883852019255837,21.04401930628672,0.13373732566833496,80.95031960570368
-0.06472551,24.99140214920044,170000,121.40498729538163,16,23.7653489112854,377.3571639060974,-0.019778077,8.418025493621826,1.1050481796264648,47.145028633800194,100,14.594566345214844,-10.753792495341784,23.745404761707174,0.12012910842895508,84.41256285412953
-0.053337988,24.955352544784546,180000,113.16642308377104,17,23.708934545516968,402.3795804977417,-0.032898046,8.552408456802368,1.0982136726379395,30.710200514344933,100,14.39577865600586,-32.02045918847993,26.468435584256728,0.1474006175994873,56.774175927328294
-0.118651025,24.981884479522705,190000,89.66838209016592,18,23.728052139282227,427.4252941608429,-0.045605958,8.482921123504639,1.1336760520935059,18.279797042461677,100,14.496068477630615,-19.56795574756969,22.961270599660477,0.11955738067626953,35.28929396217183
-0.123100534,24.78116512298584,200000,103.5237872458613,19,23.55896282196045,452.2738208770752,-0.02483562,8.419453144073486,1.1036267280578613,37.67512307636773,100,14.390607357025146,-22.978588162074836,22.014216444435277,0.11785507202148438,68.84831863961794
-0.07043029,25.164966821670532,210000,112.38343811399656,20,23.920896291732788,477.50079369544983,-0.017580926,8.4380464553833,1.1195907592773438,45.88308984434749,100,14.72942066192627,-49.92597299547046,23.108528002316756,0.12371683120727539,81.76032722650872
-0.04597361,25.18424391746521,220000,108.09375794052362,21,23.923303365707397,502.7478361129761,-0.0010606934,8.476247549057007,1.1454942226409912,43.82011915263545,100,14.687337636947632,-48.195116240335764,28.561980251525444,0.11478829383850098,77.5337525017339
