train-MaxReturn,n_timesteps,Time-Sampling,train-StdReturn,train-EnvExecTime,ItrTime,train-NumTrajs,train-PolicyExecTime,LossBefore,LossAfter,train-AverageReturn,Time-Optimization,Time,Time-SampleProc,Itr,train-MinReturn,train-AverageDiscountedReturn
42.672355134774904,10000,4.78833270072937,29.493247008019132,1.7352826595306396,6.064121723175049,100,2.895942211151123,0.022420207,-0.5166603,-39.17886247820545,1.233743667602539,6.064123153686523,0.0417325496673584,0,-108.36088693439562,-24.56874890126252
47.5648803116005,20000,5.79616904258728,47.063036514984844,2.1539535522460938,7.057307243347168,100,3.4567294120788574,0.005015027,-0.24221538,-56.626647222005566,1.142695665359497,13.147835969924927,0.1177222728729248,1,-156.51603332711446,-35.49837473728231
64.30734598910828,30000,13.950603008270264,44.625973659040454,5.085166692733765,15.940800905227661,100,8.429702043533325,-0.042258788,-0.25365195,-43.25874341288139,1.7336571216583252,29.10627841949463,0.25531005859375,2,-207.71420471841847,-27.632133032973602
91.16203609391009,40000,23.467346668243408,42.57245575911183,8.588459968566895,25.35581374168396,100,14.13063645362854,0.009622168,-0.19662698,-34.04810778683067,1.687885046005249,54.52757167816162,0.19667410850524902,3,-152.86483682122415,-22.380544108563573
71.99529001060637,50000,23.756596326828003,42.060411754952966,8.663595199584961,25.281524419784546,100,14.380188703536987,0.0021621094,-0.16596739,-33.136572010705706,1.3159937858581543,79.87140130996704,0.20761704444885254,4,-211.2601105541589,-21.890284959499397
77.31489013831383,60000,23.610215187072754,31.223400847900376,8.572859764099121,25.19686484336853,100,14.312429428100586,0.010889502,-0.107088864,-29.17740977448253,1.4189517498016357,105.12819051742554,0.1669023036956787,5,-126.47366662924361,-19.682043277746413
97.42840090049924,70000,23.624987602233887,42.96283663476272,8.577202796936035,25.22438931465149,100,14.339727878570557,0.025500305,-0.06867348,-43.068828399491146,1.3886775970458984,130.41593074798584,0.20937776565551758,6,-204.59835991228584,-28.627290361218687
30.738776517944782,80000,23.39935612678528,32.40251566526398,8.54881477355957,25.15848731994629,100,14.131460428237915,0.0016094864,-0.11512974,-38.01249934784278,1.5404236316680908,155.634437084198,0.21568059921264648,7,-131.6840012566507,-25.887481526346484
13.596450556019084,90000,23.33498215675354,32.162613020342334,8.540719509124756,25.219500064849854,100,14.084852457046509,-0.013466003,-0.10391228,-47.01231923037495,1.7420074939727783,180.91680645942688,0.14152002334594727,8,-153.80106729663208,-31.207492266195707
21.843936903946105,100000,23.395872592926025,36.63786635554793,8.551015377044678,25.24003267288208,100,14.124089002609253,-0.002550537,-0.14770313,-50.8175602174467,1.6563026905059814,206.22350907325745,0.1868124008178711,9,-142.53299641113307,-33.11515359059723
35.31023219091201,110000,23.371703386306763,39.96129985173709,8.586399555206299,25.240432500839233,100,14.076329708099365,0.016552703,-0.12883006,-52.3663938696185,1.7134983539581299,231.52283668518066,0.15457367897033691,10,-148.49534534617393,-34.66492447970214
31.61518623172469,120000,23.31670904159546,45.294182062290446,8.519307136535645,25.207294940948486,100,14.075437545776367,-0.014048963,-0.17967275,-60.781876343314714,1.7587668895721436,256.81045055389404,0.1310129165649414,11,-233.35295328077493,-40.30380954866349
24.83097760073587,130000,23.411349296569824,38.54655548889217,8.600272178649902,25.322800874710083,100,14.093002796173096,0.007131592,-0.13090786,-55.45479702207226,1.7907605171203613,282.2208821773529,0.11937785148620605,12,-185.7992942882156,-37.848305054759756
41.103757759149445,140000,23.3116135597229,38.74707309277305,8.525360345840454,24.982101917266846,100,14.084475994110107,0.033504017,-0.097106434,-52.90042810121141,1.5504100322723389,307.28530192375183,0.11932253837585449,13,-210.62852552312117,-36.08831587643994
30.077412801347716,150000,23.447969675064087,38.569336408056216,8.559346437454224,24.941211700439453,100,14.155558586120605,0.0043021482,-0.12939644,-50.16325758066069,1.3465158939361572,332.30887484550476,0.1457984447479248,14,-170.0584688301469,-33.54328958804192
54.47390547768389,160000,23.828672170639038,49.7075248538913,8.668953895568848,25.287772178649902,100,14.432911396026611,-0.0014377197,-0.15734959,-52.931360426194814,1.3372042179107666,357.69487285614014,0.12036490440368652,15,-245.9967796939552,-35.84097213512259
33.228841654304446,170000,23.65886926651001,44.275552926613074,8.606014490127563,24.91620135307312,100,14.334183692932129,0.008790381,-0.2052238,-51.28340274702069,1.139296293258667,382.69389963150024,0.11703300476074219,16,-235.17141281586152,-35.26076485518342
49.71683831312371,180000,23.78647017478943,41.066583092488145,8.633746147155762,25.012995958328247,100,14.429555416107178,0.0035336914,-0.19206992,-44.8327971045125,1.0981683731079102,407.79037404060364,0.12769556045532227,17,-284.8001618129371,-31.610189785131414
47.019916023957876,190000,24.031903982162476,42.521387645541374,8.66766881942749,25.261591911315918,100,14.638260126113892,-0.0021787353,-0.40796828,-38.551284252357384,1.1064338684082031,433.1116781234741,0.12256073951721191,18,-198.04997205368363,-27.357655919990922
90.85618222756924,200000,23.836693048477173,43.54149955253574,8.660777568817139,25.10149312019348,100,14.452218055725098,-0.017892163,-0.81002235,-37.32798644609976,1.1346259117126465,458.2783179283142,0.12947344779968262,19,-197.88856873834087,-26.38636599618175
57.22739220461721,210000,24.26160192489624,49.81874268600564,8.827649116516113,25.538151264190674,100,14.706488609313965,-0.000932666,-0.9706028,-38.47634191635379,1.150263786315918,483.8779435157776,0.12530946731567383,20,-235.91535444251667,-26.048919500069722
