LossBefore,Time-SampleProc,train-AverageReturn,train-EnvExecTime,n_timesteps,Time,train-MaxReturn,train-StdReturn,train-NumTrajs,LossAfter,train-PolicyExecTime,Time-Sampling,ItrTime,train-MinReturn,Time-Optimization,Itr,train-AverageDiscountedReturn
-1.4201592e-05,0.1318655014038086,-48.29127815361029,1.863375186920166,10000,6.166767835617065,23.299837356028565,34.73047109547159,100,0.031068498,3.4749884605407715,5.509060382843018,6.166765451431274,-127.36738729083034,0.5249714851379395,0,-30.398647275809395
-1.4216447e-05,0.0774223804473877,-41.183759142665075,1.8699982166290283,20000,12.166937589645386,27.940805520257946,30.012167289962793,100,0.019360928,3.492335557937622,5.529881477355957,5.977664947509766,-123.54718640116589,0.36972618103027344,1,-26.699285755845125
-1.4227851e-05,0.05562329292297363,-43.92713773254597,1.8880090713500977,30000,18.217540502548218,23.167100683555297,33.448298630572175,100,-0.011612809,3.5149388313293457,5.578684091567993,6.035146951675415,-129.08909336306382,0.40051889419555664,2,-27.37627713464565
-1.4216113e-05,0.04026937484741211,-43.1398355290386,1.8929476737976074,40000,24.338597297668457,32.87494764715447,34.892608501283306,100,-0.014810588,3.5193521976470947,5.587635517120361,6.106815576553345,-129.7180378880487,0.47865819931030273,3,-26.58923943032595
-1.42387335e-05,0.03705310821533203,-36.37802206695969,1.9798591136932373,50000,30.933858156204224,29.19878427558006,33.44853279043882,100,-0.014939021,3.695789098739624,5.87645411491394,6.579144716262817,-137.6151551434255,0.6652817726135254,4,-23.222482530059075
-1.4240927e-05,0.08463621139526367,-30.06761967296047,2.1851515769958496,60000,38.39276456832886,36.53114654109446,31.513441045942766,100,-0.014203493,4.315264940261841,6.718007326126099,7.443479061126709,-121.49019191645702,0.6404106616973877,5,-18.970338921136083
-1.4258891e-05,0.0834808349609375,-32.92445787756193,2.4102230072021484,70000,46.77200698852539,50.02084393925725,31.616374538575567,100,-0.015246337,4.945160865783691,7.590633153915405,8.358282804489136,-110.32770654400157,0.6817591190338135,6,-21.5400071491072
-1.4248833e-05,0.06588482856750488,-29.315631166436457,2.8417205810546875,80000,56.31752276420593,32.8000499129809,30.96834226838508,100,-0.014336382,5.711666822433472,8.823248386383057,9.507495164871216,-125.57317553853046,0.6175041198730469,7,-18.402686666807902
-1.42173185e-05,0.0868997573852539,-25.890471774082435,2.717658281326294,90000,65.3735990524292,40.918040302353816,34.87039320278438,100,-0.014960652,5.339548587799072,8.313399076461792,9.027028322219849,-103.62406805070877,0.6254186630249023,8,-16.114746680430258
-1.4194616e-05,0.03377842903137207,-27.645707311522738,2.8832242488861084,100000,74.67242169380188,52.35104794351918,35.35592682477796,100,-0.0138145415,5.682371616363525,8.827597379684448,9.272745609283447,-115.51119060537407,0.4109160900115967,9,-17.32161071168916
-1.4179834e-05,0.04553651809692383,-23.666118938838054,2.312448501586914,110000,82.38500308990479,55.74172023171862,33.35038516920293,100,-0.012568664,4.688503265380859,7.251160621643066,7.6939122676849365,-109.35827703832577,0.3968377113342285,10,-15.198199245301467
-1.4162427e-05,0.06272077560424805,-24.76370340818835,2.37026047706604,120000,90.33920502662659,31.411290862284762,28.163326957434787,100,-0.01584042,4.863421440124512,7.464173793792725,7.93592381477356,-110.16608461562839,0.4086129665374756,11,-15.080945860499176
-1.4117421e-05,0.035967111587524414,-22.338861870700566,2.471073627471924,130000,98.55147671699524,34.97056102784331,26.095656566274656,100,-0.015916074,4.983762741088867,7.6892409324646,8.193269729614258,-88.0197185812472,0.4677410125732422,12,-13.927164439665782
-1.4121075e-05,0.062224388122558594,-22.660790987448888,4.112292528152466,140000,111.92298865318298,42.198691724535685,27.652654108501142,100,-0.015043318,8.157161951065063,12.650344610214233,13.34142541885376,-93.33429108066701,0.6284213066101074,13,-14.25590269798539
-1.4113852e-05,0.030493974685668945,-22.03556772206814,3.764080047607422,150000,124.53742384910583,42.06185839308087,32.762576012486356,100,-0.016686942,8.050687074661255,12.158515453338623,12.583920240402222,-109.62866505243483,0.3945493698120117,14,-13.643249278798232
-1.41211185e-05,0.03847503662109375,-21.872382700735535,2.4442553520202637,160000,132.7618944644928,21.48850814488448,25.47085071761519,100,-0.016319705,5.081041574478149,7.762472152709961,8.204436779022217,-104.31276695898049,0.403090238571167,15,-13.739194167388757
