train-AverageDiscountedReturn,train-NumTrajs,Time,train-EnvExecTime,Itr,train-AverageReturn,train-MinReturn,ItrTime,Time-Sampling,LossAfter,train-StdReturn,n_timesteps,Time-SampleProc,LossBefore,Time-Optimization,train-MaxReturn,train-PolicyExecTime
132.2081616379874,100,664.814192533493,3.6962311267852783,69,232.07909998723434,216.2016906953232,9.083140850067139,8.66235065460205,-0.0036375974,4.15302624908124,700000,0.07786870002746582,-1.1415359e-05,0.3426196575164795,240.1542111806161,4.70172119140625
132.75339332427657,100,677.1763734817505,5.051462411880493,70,233.3842042458475,217.25710558293352,12.348665952682495,11.932195663452148,-0.0012085735,4.059518550459075,710000,0.04684877395629883,-1.1420827e-05,0.3693711757659912,241.61078077044905,6.5295090675354
132.6087782353417,100,686.0884039402008,3.5794496536254883,71,232.91596130258796,207.71462756221672,8.89765477180481,8.445672035217285,-0.004205413,6.417535221531824,720000,0.0943138599395752,-1.1365846e-05,0.3573901653289795,243.09802012028265,4.608758211135864
133.40662347087974,100,698.0305461883545,4.925173044204712,72,234.65176235610437,219.3149650691638,11.929219484329224,11.519574642181396,-0.0027831332,5.013492378317527,730000,0.05592918395996094,-1.130627e-05,0.3534204959869385,245.07631199960844,6.2584452629089355
132.60467027777807,100,708.682953119278,4.32438850402832,73,232.7816316994133,187.7356772649268,10.639576196670532,10.193713665008545,-0.003675308,8.749513249455337,740000,0.053917646408081055,-1.1306915e-05,0.39167261123657227,248.336806042302,5.572470664978027
133.28876041449178,100,719.5880913734436,4.451406002044678,74,234.45433944730343,192.36996199656252,10.885860443115234,10.435382604598999,-0.002736242,6.530468984008686,750000,0.08837246894836426,-1.1241666e-05,0.36185765266418457,245.7267236803958,5.675745010375977
133.3484189202796,100,729.9830434322357,4.2504284381866455,75,234.50639711774852,198.03324140627848,10.37911343574524,9.985888004302979,-0.0021245256,6.175818499980997,760000,0.04518747329711914,-1.1183375e-05,0.3475208282470703,244.0459046949954,5.436621427536011
133.45207267735233,100,740.6782894134521,4.348705291748047,76,234.81853335062888,184.9740472605448,10.67955207824707,10.216556310653687,-0.0011875286,9.727726050371459,770000,0.05182075500488281,-1.1155841e-05,0.41076231002807617,247.90475677839714,5.562147855758667
134.03268178342796,100,751.6341919898987,4.455225467681885,77,236.0424711450249,219.63849165404397,10.937613248825073,10.523244619369507,0.006315414,4.9123251068168,780000,0.05082988739013672,-1.1100422e-05,0.3631908893585205,245.53072865155661,5.75903844833374
135.00171689397877,100,761.9941139221191,4.209689378738403,78,238.13051736315185,210.01939047429605,10.346861124038696,9.913043737411499,0.0026804977,5.925029398420249,790000,0.08119344711303711,-1.1080395e-05,0.35233497619628906,247.84942590483314,5.401406288146973
