LossAfter,Time-SampleProc,n_timesteps,train-EnvExecTime,train-AverageDiscountedReturn,train-StdReturn,train-PolicyExecTime,train-NumTrajs,train-MinReturn,LossBefore,Itr,Time-Optimization,train-AverageReturn,Time,train-MaxReturn,ItrTime,Time-Sampling
-0.0031415536,0.08345580101013184,10000,1.7336924076080322,-1.2944434462621124,5.026507752558172,3.1637754440307617,100,-10.607416323415185,-7.094506e-05,0,0.4499533176422119,-1.8562175883724155,5.597538471221924,12.826201100967392,5.5975353717803955,5.0626373291015625
-0.006090316,0.07589888572692871,20000,1.7482762336730957,1.5632324539433846,7.866114534239846,3.1775946617126465,100,-10.306609688780364,-7.094461e-05,1,0.8598806858062744,2.117866862854047,11.646694898605347,25.964152071417615,6.030157566070557,5.094014883041382
-0.0058566416,0.04551577568054199,30000,2.1434078216552734,5.7436629313954795,9.829221779208577,3.807060480117798,100,-11.205615634035642,-7.098855e-05,2,0.2783384323120117,8.947971793547504,18.191707372665405,28.538802878687417,6.475398778915405,6.150619029998779
-0.005883897,0.06302905082702637,40000,1.7815804481506348,11.420774770795227,8.506311520560828,3.1391727924346924,100,-4.878044057337485,-7.091906e-05,3,0.2607920169830322,17.136030980600253,23.62103295326233,30.899514064107613,5.416150808334351,5.091869354248047
-0.005616596,0.08277702331542969,50000,3.8065953254699707,15.931970634224653,6.43705750654438,6.64075231552124,100,-10.817765114982123,-7.0772294e-05,4,0.3067493438720703,22.76646274609767,34.81010365486145,31.189208061160368,11.178694486618042,10.781589031219482
-0.005504585,0.06584906578063965,60000,1.8731319904327393,18.252202472723155,4.37612532887081,3.2579550743103027,100,3.0202210207188145,-7.055319e-05,5,0.2912256717681885,24.72753690342656,40.49367117881775,30.6775370399204,5.672757387161255,5.305291175842285
-0.0040267785,0.039078712463378906,70000,1.8772661685943604,18.912783730575995,3.4761430823187505,3.262904644012451,100,12.336391998658272,-7.03186e-05,6,0.24944806098937988,25.044139442645147,46.11384916305542,30.213671798550216,5.606014728546143,5.317000389099121
-0.004221476,0.044053077697753906,80000,1.9386045932769775,19.431104298618287,3.592553436080332,3.4339091777801514,100,10.762758484204571,-7.006579e-05,7,0.23920989036560059,25.755413653639952,51.97769236564636,31.697212093313194,5.8474531173706055,5.563547372817993
-0.0039329594,0.04768872261047363,90000,2.1141724586486816,20.30554329268809,2.1326510295709644,3.631141185760498,100,19.743485010349225,-6.9812675e-05,8,0.23537826538085938,26.75364826014803,58.215484380722046,30.939497930523792,6.222200393676758,5.938531875610352
-0.0053021433,0.08826899528503418,100000,2.3927230834960938,20.633990623750734,2.5461933981251748,4.1749279499053955,100,19.345526342091862,-6.957663e-05,9,0.21488595008850098,26.67127421604864,65.31947231292725,32.28308030542647,7.0923826694488525,6.788979530334473
-0.0023627854,0.10108113288879395,110000,2.401545524597168,21.37706006406609,2.539368336805143,4.05820369720459,100,16.73441577027001,-6.934248e-05,10,0.2132093906402588,27.183964236546654,72.32008147239685,32.12599451515315,6.988548040390015,6.672237157821655
-0.0047396333,0.09822845458984375,120000,2.382993698120117,21.35771421011173,2.3801570174027282,4.128869295120239,100,19.059889138895922,-6.911189e-05,11,0.212782621383667,27.14945111558862,79.36819386482239,31.11524784807632,7.036507844924927,6.725223779678345
-0.0039376672,0.04865097999572754,130000,2.393742084503174,21.980877167623845,1.7137216018385362,4.057586669921875,100,22.72861892002483,-6.8867776e-05,12,0.22977733612060547,27.802311007323752,86.3271951675415,31.15375591538397,6.947323799133301,6.668527841567993
-0.0032653247,0.052672624588012695,140000,2.6743054389953613,21.973700231786935,1.953807866719258,4.520907402038574,100,21.814842836280704,-6.8614434e-05,13,0.20719504356384277,27.66760268944281,94.02666687965393,31.50652030941682,7.688642263412476,7.428425550460815
-0.0016962978,0.08630776405334473,150000,1.8920588493347168,22.248074861240553,1.8891348458492194,3.2763848304748535,100,22.796944189642883,-6.8357236e-05,14,0.18837952613830566,27.98435763769463,99.65982866287231,32.55290463504419,5.624266624450684,5.346197843551636
-0.0027219765,0.07647562026977539,160000,1.929363489151001,22.08352524089327,2.234914322378363,3.2759344577789307,100,20.499563447922505,-6.8130605e-05,15,0.19944119453430176,27.813393977835744,105.32588601112366,33.015637870845545,5.6561408042907715,5.3800132274627686
-0.0016219697,0.03717803955078125,170000,1.9914238452911377,22.35510901688248,1.6365411377568928,3.4110376834869385,100,23.63840070345094,-6.7929e-05,16,0.21632742881774902,28.114130240185073,111.18103671073914,31.786009000848072,5.845722675323486,5.591936826705933
-0.0014322173,0.05045127868652344,180000,2.1008217334747314,22.741598104991134,1.7397825581037552,3.619560480117798,100,24.087282612933507,-6.7741326e-05,17,0.24262046813964844,28.456102417109413,117.39493680000305,31.890098571011297,6.20463490486145,5.911298513412476
-0.0019380748,0.05524253845214844,190000,2.8113412857055664,22.343494574504554,1.8551918774650948,4.805699586868286,100,22.002088013047153,-6.755563e-05,18,0.20758795738220215,28.03384289969639,125.53574872016907,32.01178993461431,8.130316495895386,7.867027044296265
-0.002651981,0.0528409481048584,200000,3.8991873264312744,22.85999154117399,1.6607264311647172,6.6205925941467285,100,23.84252047417375,-6.7343615e-05,19,0.1977372169494629,28.540837980619514,136.6419084072113,32.1676990158795,11.097308158874512,10.846409797668457
-0.0015551213,0.04519510269165039,210000,1.9171514511108398,23.049365158473165,1.550700377769482,3.294031858444214,100,23.37979756484654,-6.714474e-05,20,0.20721769332885742,28.722845483833865,142.28899240493774,31.643032704311334,5.638165712356567,5.385493755340576
