train-AverageReturn,train-NumTrajs,Time-SampleProc,ItrTime,Time-Sampling,n_timesteps,train-MaxReturn,train-MinReturn,LossBefore,Time,Itr,train-PolicyExecTime,Time-Optimization,train-StdReturn,train-AverageDiscountedReturn,train-EnvExecTime,LossAfter
-41.46743054072942,100,0.3371765613555908,27.433021068572998,25.218921661376953,10000,118.82514717809532,-206.7787374383133,1.5258789e-09,27.43302822113037,0,13.733736753463745,1.8719849586486816,79.58981319276457,-15.277559090822642,10.823892831802368,-0.37865758
99.10466854280044,100,0.24603605270385742,26.732393503189087,24.956427335739136,20000,175.6888102644199,-30.748907516827792,-1.525879e-08,54.25091886520386,1,13.797800540924072,1.5276074409484863,36.77205203307302,69.92074917306292,10.47852373123169,-1.0470922
123.37893710935319,100,0.1600816249847412,25.968249082565308,24.69004535675049,30000,224.31638333598664,-26.918052196497932,-3.0517577e-09,80.28436732292175,2,13.503130197525024,1.116532564163208,51.80633385356885,73.0435463879028,10.509414672851562,-0.2033196
108.1532471480637,100,0.14565348625183105,26.58458137512207,25.19247055053711,40000,244.39721128803717,-121.25693952868151,6.1035155e-09,106.92986679077148,3,13.927319049835205,1.2445993423461914,61.043396451902964,65.08782752185063,10.582415580749512,-0.53485435
128.48878161055256,100,0.1647803783416748,26.508455276489258,24.90547251701355,50000,235.4733441153457,-25.581457537060025,2.4414062e-08,133.4967818260193,4,13.744821786880493,1.437044620513916,50.57949702241876,78.27593270844228,10.482712984085083,0.018563656
148.13608527908048,100,0.16190385818481445,26.63662815093994,24.7660915851593,60000,219.8189558893947,59.47522895237524,6.1035155e-09,160.19415163993835,5,13.624687671661377,1.7078890800476074,35.83308440654377,88.1356158697209,10.458911418914795,-0.020881757
148.31563829723277,100,0.12697696685791016,26.633686065673828,24.793694734573364,70000,218.82828002356212,90.54718746835299,-1.8310548e-08,186.88671016693115,6,13.662112951278687,1.7121145725250244,33.68013224852723,89.3490092899617,10.44713830947876,-0.041317046
172.10462427043095,100,0.11780071258544922,26.66383647918701,24.858226537704468,80000,218.65404798880257,76.83682332191607,2.4414062e-08,213.63230967521667,7,13.609106302261353,1.6870598793029785,26.885958607990116,102.16877863598573,10.570967435836792,-0.08350392
165.72822117029457,100,0.16159462928771973,26.75871229171753,25.093121767044067,90000,209.27822070599353,-1.2225403329309081,-7.629395e-09,240.4473671913147,8,13.661617040634155,1.5019035339355469,41.55974955135224,98.02306687417764,10.747111558914185,-0.027901806
163.90599496494286,100,0.17245960235595703,26.98460626602173,25.717893362045288,100000,208.69292022204033,-111.87691350660292,-2.746582e-08,267.4946491718292,9,13.963088989257812,1.0921728610992432,57.14150932582844,98.04751599108228,11.05968689918518,-0.0071026282
178.5749175915991,100,0.10977458953857422,26.923476219177246,25.76021647453308,110000,209.4861625425877,-27.720527330307192,3.6621095e-08,294.48126339912415,10,13.979012727737427,1.0527620315551758,48.637179448833244,105.41624068875461,11.09745478630066,-0.009585083
192.11859579919192,100,0.1161491870880127,27.059516429901123,25.867488384246826,120000,211.30063642168994,9.516632835171238,9.155274e-09,321.6005961894989,11,13.983544111251831,1.075223445892334,32.27927688525373,112.67992474821189,11.19317626953125,-0.009076974
198.25905165536196,100,0.1502699851989746,27.29318141937256,26.06031894683838,130000,210.4367484087771,180.78672981959642,1.2207031e-08,348.9517822265625,12,14.08726453781128,1.081864595413208,6.595306378086256,116.45025461498544,11.281760215759277,-0.0076827453
198.80484247674053,100,0.12384033203125,27.27690362930298,25.93733859062195,140000,212.1980228899659,157.443818301162,1.2207031e-08,376.28703331947327,13,14.021922588348389,1.2150020599365234,8.192736990310474,116.67705353831917,11.22103476524353,-0.020833688
195.02556462351345,100,0.13219833374023438,27.040761470794678,25.84338355064392,150000,210.98235776210254,179.7766361427988,-6.1035155e-09,403.3927073478699,14,13.96237301826477,1.0644230842590332,6.792716679272739,115.55209060466144,11.193667650222778,-0.03502768
193.60211878165302,100,0.13447046279907227,26.88504457473755,25.684128761291504,160000,213.13530917739658,157.5388484034381,-6.1035155e-09,430.34192061424255,15,14.05855917930603,1.0656728744506836,12.627216649938854,114.91874318042277,10.938825607299805,-0.039433658
202.13463403744848,100,0.1393907070159912,27.325584411621094,26.094610691070557,170000,211.51702527909222,147.94303293312313,-6.1035155e-09,457.7336685657501,16,14.052669525146484,1.0909273624420166,6.830494550733714,117.54304790882269,11.352902889251709,0.002706842
200.31911703882454,100,0.11208057403564453,27.14774227142334,25.977935075759888,180000,207.080727060079,4.677623798540954,-0.0017291657,484.93803191185,17,13.906425714492798,1.0571274757385254,19.77417570356104,116.5258043094628,11.38444447517395,-0.028331308
202.9818282157317,100,0.1156320571899414,27.1326847076416,25.957237005233765,190000,210.2552556319691,195.8700365529977,-5.722046e-09,512.1382522583008,18,13.937756299972534,1.0591320991516113,2.6963416085184746,117.7506891161796,11.33425521850586,-0.007358493
202.2729116764839,100,0.12921500205993652,27.301310300827026,26.09305191040039,200000,210.49813795646455,191.36172686878598,-6.1035155e-09,539.5014324188232,19,14.031075716018677,1.0784199237823486,3.440795528803967,117.48503623263824,11.370113134384155,-0.039490655
203.262248341604,100,0.14821124076843262,27.200717210769653,26.003358602523804,210000,212.23706032778043,193.98257733412714,6.1035155e-09,566.7677755355835,20,13.932795763015747,1.048431396484375,3.406503808625514,118.40743827923187,11.370915651321411,-0.0404042
