Time-Optimization,train-AverageDiscountedReturn,n_timesteps,train-StdReturn,train-NumTrajs,Time-SampleProc,train-AverageReturn,Time-Sampling,Time,LossAfter,train-MinReturn,train-EnvExecTime,LossBefore,train-MaxReturn,Itr,ItrTime,train-PolicyExecTime
0.5180823802947998,-30.699705642821574,10000,36.18364419807192,100,0.054859161376953125,-49.11793240458347,5.815130949020386,6.388678550720215,0.027357921,-139.73477722613757,1.9181029796600342,-1.4185523e-05,30.033485891591035,0,6.388675212860107,3.7140309810638428
0.31650304794311523,-28.834593608152574,20000,36.1592496495901,100,0.0832674503326416,-45.747100209944946,5.777030944824219,12.590895891189575,0.015602232,-123.5235477498897,1.9811632633209229,-1.4212219e-05,23.9181546510789,1,6.177005290985107,3.61281156539917
0.34761953353881836,-28.42244518859224,30000,36.95590623553932,100,0.044385433197021484,-45.501962935160925,5.789065361022949,18.787717580795288,-0.010970702,-108.45160357234428,1.930053949356079,-1.4237207e-05,67.831552458209,2,6.181286573410034,3.669767141342163
0.32305264472961426,-27.776508660948675,40000,35.07539145267518,100,0.08310127258300781,-43.178043901595835,5.771123647689819,24.982892274856567,-0.015198602,-136.78644958901887,1.9136767387390137,-1.4268403e-05,63.69655356133746,3,6.179983615875244,3.659062385559082
0.3498189449310303,-30.783326638410895,50000,37.119663895172835,100,0.04814863204956055,-49.328573899898494,5.743967533111572,31.140390157699585,-0.012951611,-156.67063946738767,1.9140379428863525,-1.4254689e-05,30.824596785645866,4,6.142210960388184,3.6435675621032715
0.3324544429779053,-19.871908670950074,60000,34.53962324339445,100,0.038033485412597656,-30.16067204918404,5.728785753250122,37.256922245025635,-0.01405771,-134.91792613116215,1.9214003086090088,-1.42353065e-05,68.63499403686052,5,6.099465370178223,3.619436025619507
0.3384683132171631,-20.29189058474956,70000,33.07379552326642,100,0.043195247650146484,-31.914820076270853,5.642547845840454,43.29582476615906,-0.015213367,-117.05451019293491,1.9057426452636719,-1.4209131e-05,63.80085022773034,6,6.0245232582092285,3.5509626865386963
0.3883228302001953,-18.307738707175073,80000,34.96952463844313,100,0.053069353103637695,-30.011359378679803,6.258512496948242,50.01181244850159,-0.013734011,-123.83254947355904,2.1230733394622803,-1.4178734e-05,48.555243812134016,7,6.700180768966675,3.9332308769226074
0.369182825088501,-15.377725669010447,90000,31.24414750263083,100,0.05995297431945801,-23.9210719726099,7.0026726722717285,57.46204328536987,-0.01609179,-98.6515857634456,2.412959575653076,-1.4177745e-05,43.20159453313038,8,7.432091236114502,4.365709543228149
0.3890719413757324,-15.518181590805568,100000,32.32444814647792,100,0.047217607498168945,-24.731262986360438,6.967701196670532,64.88492846488953,-0.015169555,-134.41801007504407,2.364579677581787,-1.41582395e-05,49.598388284186036,9,7.4042885303497314,4.369201183319092
0.38024473190307617,-16.39049900798832,110000,29.829662737743956,100,0.05482983589172363,-25.16268587224077,6.999257326126099,72.33841395378113,-0.01624218,-109.26450928456126,2.358185052871704,-1.4137025e-05,41.810124049436965,10,7.434656381607056,4.416557788848877
0.4798409938812256,-12.9272633961543,120000,29.14262917529394,100,0.07465410232543945,-21.139087879676268,8.028996706008911,80.94051384925842,-0.014842344,-123.53044281449516,2.722193717956543,-1.4110018e-05,41.016200896820344,11,8.583900928497314,5.056050539016724
0.32916808128356934,-13.337928547212291,130000,29.81061932989839,100,0.04694867134094238,-20.7647660546912,7.725992202758789,89.07034516334534,-0.013684435,-129.72407215148263,2.646089553833008,-1.4109836e-05,51.287536485291994,12,8.102405309677124,4.836921453475952
0.3617284297943115,-15.276185436147495,140000,30.080794567758605,100,0.04744291305541992,-23.962849169798407,5.70530104637146,95.20113897323608,-0.013083966,-80.53450538304945,1.9310064315795898,-1.4103466e-05,39.42525663562036,13,6.1146931648254395,3.5894322395324707
0.35669636726379395,-10.429306842234555,150000,25.712750626111532,100,0.04632830619812012,-16.097045213111954,5.790551662445068,101.41089463233948,-0.0147914095,-85.48821955572573,1.9610393047332764,-1.4071612e-05,40.62564302260409,14,6.193830728530884,3.640418291091919
0.34644436836242676,-8.98034860572056,160000,27.99673435081783,100,0.04367327690124512,-13.794255344330832,5.863852500915527,107.68113231658936,-0.014829509,-103.25792529782827,1.9837815761566162,-1.4063095e-05,52.952841347701025,15,6.2543065547943115,3.6916379928588867
0.3564023971557617,-12.057931132394877,170000,24.16621261566716,100,0.09481287002563477,-19.335516772259368,6.484966516494751,114.63374090194702,-0.0152745275,-91.85615219882393,2.212239980697632,-1.4042244e-05,39.98483895556704,16,6.936377763748169,4.0640809535980225
0.4724421501159668,-12.045956181091949,180000,26.538884464770867,100,0.07686781883239746,-19.426164016371125,7.194375514984131,122.39692282676697,-0.015895946,-101.08909359572871,2.4690616130828857,-1.4034133e-05,42.486650822728585,17,7.743997097015381,4.497110605239868
0.35370588302612305,-9.191341504586068,190000,22.77606327459522,100,0.046979427337646484,-12.663327326039335,6.31650185585022,129.13989114761353,-0.016019415,-74.3185761390283,2.153153419494629,-1.4001289e-05,47.57674950450756,18,6.717658281326294,3.959397792816162
0.34993672370910645,-8.38935653329596,200000,24.652973042964298,100,0.04433941841125488,-13.955288365852871,5.86109733581543,135.41149234771729,-0.013370699,-89.15223746943124,1.998647689819336,-1.3976665e-05,44.17689504627668,19,6.25569748878479,3.6613266468048096
0.36074399948120117,-8.82980904759068,210000,24.262410590083338,100,0.0380556583404541,-15.019424180056328,6.019988298416138,141.84554624557495,-0.015563938,-87.81628190570467,2.04730486869812,-1.3992261e-05,36.79174168137869,20,6.419006109237671,3.7748970985412598
