train-EnvExecTime,Itr,n_timesteps,Time-Optimization,Time,train-AverageDiscountedReturn,train-StdReturn,Time-SampleProc,train-MaxReturn,train-AverageReturn,train-NumTrajs,train-PolicyExecTime,train-MinReturn,LossAfter,Time-Sampling,ItrTime,LossBefore
10.749219417572021,0,10000,1.8459484577178955,27.51052975654602,-13.002176281641505,99.77649416192155,0.18117904663085938,172.24473827126923,-43.17728294177341,100,14.034727573394775,-211.04977362763458,0.033330474,25.482621669769287,27.510518789291382,-1.4192532e-05
11.03436017036438,1,20000,1.1203148365020752,55.176661252975464,36.00418929762518,107.28522886526684,0.14554738998413086,200.4128263839217,49.92653931146733,100,14.499024152755737,-207.35628113750488,0.029696742,26.253743648529053,27.521679878234863,-1.420309e-05
11.115407705307007,2,30000,1.119734287261963,82.96330976486206,58.26959522103451,107.45862674327772,0.1525859832763672,205.34563597807323,91.67219896492843,100,14.57158899307251,-176.57756500750304,-0.009079292,26.43084144592285,27.703962564468384,-1.42097315e-05
11.137131929397583,3,40000,1.1305146217346191,110.78622913360596,87.83960690234915,86.60412143343106,0.16084694862365723,204.87048649196944,146.29829743617495,100,14.606607675552368,-167.23798859164017,-0.009381864,26.46538734436035,27.757507801055908,-1.4217041e-05
11.368014574050903,4,50000,1.1223735809326172,138.90126967430115,107.87770564874526,46.036102847246404,0.142242431640625,204.50072740982097,181.7023294035663,100,14.680393695831299,-172.6155812714493,-0.006526945,26.780020475387573,28.04725956916809,-1.4188488e-05
11.420825958251953,5,60000,1.0930688381195068,166.9515860080719,115.70169310353238,9.046158789522572,0.14685583114624023,208.25030344772696,194.60844740273453,100,14.590458393096924,166.62254344679954,-0.0050151907,26.734906911849976,27.97591519355774,-1.4155497e-05
11.454183578491211,6,70000,1.0777971744537354,195.0187165737152,116.40015584063717,8.30601999736711,0.16617417335510254,205.8013315140072,195.2384736218488,100,14.586878776550293,164.11123322631917,-0.005834958,26.755046129226685,27.999677181243896,-1.4099439e-05
11.208231687545776,7,80000,1.0765445232391357,222.29618644714355,117.18088194389321,7.708411574101719,0.13665342330932617,206.55207658756683,196.28336326861427,100,14.103901863098145,172.8298223048041,-0.0029176252,26.00345230102539,27.217251777648926,-1.4055233e-05
11.233330011367798,8,90000,1.0692486763000488,249.74510836601257,118.41507006630246,6.334369560273567,0.12778782844543457,206.10430259343207,199.39809162508521,100,14.232257604598999,162.728661943758,-0.0025482702,26.188164472579956,27.38589119911194,-1.4001733e-05
11.324361801147461,9,100000,1.0940098762512207,277.28735637664795,118.8494529055117,5.433696449908763,0.1461648941040039,206.5738157732913,199.85094552144471,100,14.214125633239746,178.88460914616945,-0.0029359024,26.235229015350342,27.47622036933899,-1.3953127e-05
11.262173175811768,10,110000,1.0491514205932617,304.7043538093567,119.01641324220216,5.261247174082431,0.14481139183044434,206.61876659070106,200.27055558089288,100,14.188941478729248,178.8292889344871,-0.004100204,26.16150689125061,27.3563289642334,-1.3898916e-05
11.26345419883728,11,120000,1.0793535709381104,332.0363357067108,119.27231160289394,4.054189743997623,0.13225460052490234,208.50049386196505,201.41800292515876,100,14.092602968215942,188.80609473902973,-0.0036083036,26.05478310585022,27.267166137695312,-1.3867743e-05
11.38717532157898,12,130000,1.0669476985931396,359.6844823360443,119.72467440562986,4.022839579277813,0.1414656639099121,209.171773435875,202.81200133279492,100,14.287323474884033,186.7011808618219,-0.0055027176,26.375856161117554,27.584851264953613,-1.382191e-05
11.416518211364746,13,140000,1.1019294261932373,387.2428388595581,119.74115563506616,4.930927769971892,0.12733793258666992,208.87516148005457,202.82927807800968,100,14.16168212890625,178.1387782877476,-0.005122255,26.267523527145386,27.4975905418396,-1.3782023e-05
11.3432035446167,14,150000,1.0837037563323975,414.8055534362793,119.76838890898657,4.599955962871324,0.13716435432434082,209.0610834386833,202.6092962159866,100,14.245173215866089,179.7121165874444,-0.0054163556,26.282100200653076,27.503718852996826,-1.3731407e-05
11.365259647369385,15,160000,1.067453384399414,442.2879710197449,119.96403448044286,3.7178551986305,0.13786816596984863,210.08463643791143,203.54953232723088,100,14.149534463882446,188.69250076112579,-0.006013969,26.206127405166626,27.41218090057373,-1.3696565e-05
11.298088073730469,16,170000,1.0994787216186523,469.8245429992676,120.57696277011901,2.762257961883956,0.13930559158325195,210.83349384981554,204.96371646848513,100,14.229602813720703,191.7748428017168,-0.0054979254,26.239290475845337,27.47871232032776,-1.3651905e-05
11.32907247543335,17,180000,1.0887794494628906,497.3190641403198,120.51803942704673,3.898936134787522,0.17268848419189453,217.15161717178484,204.96109589462114,100,14.137498617172241,195.82801873530138,-0.0036784506,26.162397146224976,27.424582719802856,-1.3612165e-05
11.256443738937378,18,190000,1.0864791870117188,524.679360628128,120.69764803563919,4.4495151978179335,0.13461732864379883,219.86504045706366,205.5983194264171,100,14.124746799468994,191.4370061551164,-0.0044877613,26.081616163253784,27.30340337753296,-1.35705595e-05
11.24049973487854,19,200000,1.0784871578216553,551.961864233017,121.08805742049509,3.3579960422033,0.1320209503173828,216.03052366872214,206.63744822015124,100,14.071946144104004,192.0378096089928,-0.0071050487,26.010766983032227,27.22198987007141,-1.3517624e-05
11.25702714920044,20,210000,1.0833652019500732,579.4019794464111,121.25450007900365,4.012456492017002,0.13548922538757324,216.4657696826467,207.75685359379403,100,14.197146892547607,194.93888007080295,-0.0045273113,26.158280849456787,27.377771854400635,-1.3459015e-05
