train-StdReturn,LossBefore,LossAfter,train-AverageReturn,n_timesteps,Itr,Time-Optimization,train-EnvExecTime,train-MinReturn,ItrTime,Time-Sampling,train-PolicyExecTime,train-MaxReturn,Time-SampleProc,train-NumTrajs,train-AverageDiscountedReturn,Time
62.52610813615172,-1.4189385e-05,0.021936685,-68.49117046842994,10000,0,2.8082187175750732,11.443754196166992,-155.86966379225163,30.143797397613525,27.12333607673645,14.936524868011475,133.29074092318254,0.211167573928833,100,-27.676103379992743,30.14380407333374
116.90473231587606,-1.4191023e-05,0.002848915,-41.822817278001985,20000,1,1.9334900379180908,11.570567607879639,-237.32171869239676,29.537535667419434,27.435084342956543,15.113547325134277,197.05350047717383,0.16668367385864258,100,-12.506206554207225,59.87652778625488
121.29858072249844,-1.41891e-05,0.0068990993,0.1501439728433795,30000,2,1.7975049018859863,11.74749207496643,-226.75669610943768,29.73495101928711,27.781938791275024,15.263546466827393,199.09615534381595,0.15406417846679688,100,9.385555539682077,89.70183181762695
93.24083103015978,-1.4194303e-05,-0.010694026,126.96635595391938,40000,3,1.4982993602752686,11.514096021652222,-165.25038038889997,28.633285522460938,26.915287494659424,14.659210443496704,206.94233908462422,0.218597412109375,100,77.25936399216761,118.40182304382324
42.18397020209355,-1.4170869e-05,-0.007997417,181.31453125978712,50000,4,1.1200008392333984,11.65408992767334,-79.0141490251851,28.40354013442993,27.14110827445984,14.746004104614258,204.87478862464164,0.1414499282836914,100,107.86010874993379,146.87699604034424
15.861118690474099,-1.4160075e-05,-0.0055066943,190.01220170616955,60000,5,1.1518151760101318,11.7075936794281,80.33797909397768,28.457329988479614,27.17302894592285,14.719029426574707,204.03092521771896,0.13164234161376953,100,113.6849092681647,175.4058816432953
10.05257191064241,-1.411044e-05,-0.0059708892,194.12543255837292,70000,6,1.118300437927246,11.813203811645508,125.68899237486143,28.66963815689087,27.41206979751587,14.858344316482544,203.56179837608198,0.1385023593902588,100,116.13591616821778,204.1501326560974
5.192764546977874,-1.4050315e-05,-0.0044251494,197.12121426984297,80000,7,1.139389991760254,11.928911685943604,178.8472771540168,28.830500841140747,27.550545930862427,14.88093113899231,203.84934203673527,0.13959383964538574,100,117.5957886535963,233.0469377040863
4.583559779327347,-1.3992072e-05,-0.002835848,197.842662236327,90000,8,1.135223150253296,11.973116874694824,182.28642672025816,29.064408540725708,27.780108213424683,15.051546573638916,204.59533287186548,0.1480858325958252,100,117.97416349245242,262.17573952674866
4.518948504770757,-1.3936382e-05,-0.007915009,198.35858219542047,100000,9,1.1284406185150146,11.938720226287842,179.78967087143513,28.70648956298828,27.456594467163086,14.7733793258667,204.0009337193953,0.11971640586853027,100,118.19711109871872,290.9527339935303
3.3928006783143245,-1.3868829e-05,-0.0053604245,199.73268902725366,110000,10,1.1317458152770996,11.896908044815063,180.5982661654967,28.857153177261353,27.560579538345337,14.917659759521484,205.54700274964344,0.16392278671264648,100,118.71263860508161,319.87946939468384
2.5345389869201984,-1.38164705e-05,-0.0027185455,200.71895006924996,120000,11,1.1518690586090088,11.95638918876648,188.46644249128676,28.73626136779785,27.448854207992554,14.752498149871826,205.51007774705263,0.1348567008972168,100,119.11319269992082,348.68968439102173
2.7911838298107456,-1.3744974e-05,-0.0028786159,200.90413644865882,130000,12,1.1487236022949219,12.0149507522583,189.44784964826246,28.79293417930603,27.520976781845093,14.760098934173584,205.15242940399736,0.12211060523986816,100,119.18647338804548,377.55156230926514
2.069121831305945,-1.3695694e-05,-0.0053242287,201.69226157619678,140000,13,1.12239408493042,11.990511894226074,194.40123092456886,28.848252296447754,27.568878173828125,14.836735486984253,206.75161198820865,0.15620851516723633,100,119.44603944651621,406.47363209724426
2.251666345312101,-1.3633671e-05,-0.003033538,201.88677715164664,150000,14,1.1203112602233887,12.050341129302979,193.53925352104434,28.98009157180786,27.721888780593872,14.925877094268799,205.97566505961527,0.1363213062286377,100,119.49459771260946,435.5215229988098
2.8588495783524235,-1.3579707e-05,-0.0057104193,201.75190583492423,160000,15,1.15205717086792,11.869171142578125,190.12557428508939,28.568474054336548,27.27240800857544,14.670608520507812,208.49638576591838,0.14327287673950195,100,119.55536248772472,464.15487694740295
2.0144263659847637,-1.35202345e-05,-0.007701299,202.6744688202689,170000,16,1.1829349994659424,11.954087257385254,197.46701294603614,28.823164701461792,27.48438596725464,14.762377977371216,207.71949529479164,0.15349745750427246,100,119.87767237705613,493.0536825656891
1.952396172241516,-1.3467895e-05,-0.006236886,203.30165721912306,180000,17,1.2842578887939453,11.955998659133911,194.35636544168128,28.929394006729126,27.517967224121094,14.805198431015015,207.50591306419184,0.12618041038513184,100,120.12790692774797,522.056319475174
2.044896785841373,-1.3419757e-05,-0.005362927,203.48445287111576,190000,18,1.1461992263793945,12.019244909286499,197.46729638731696,28.900597095489502,27.623685121536255,14.863072872161865,208.65397462936406,0.12997651100158691,100,120.22336250935321,551.0337083339691
1.9898117591824147,-1.336209e-05,-0.007394414,204.0997488544079,200000,19,1.110635757446289,12.045196056365967,197.5501237916494,28.92749810218811,27.683082818984985,14.883266925811768,209.0754647380633,0.1321399211883545,100,120.40457393853553,580.0323922634125
1.9754935982494457,-1.3295255e-05,-0.006447647,204.5213723511082,210000,20,1.1436212062835693,11.942353010177612,198.6635282919746,28.841302156448364,27.5346736907959,14.852237224578857,210.66310217704478,0.16218852996826172,100,120.58140746139284,608.9446709156036
