Iteration	TimestepsThisBatch	Time	PoolSize	TimestepsSoFar	Episodes	LastEpReturn	MaxEpReturn
41	1000	520.2851867675781	43000	43000	109	110.08149549311227	735.1890535673923
42	1000	531.6859159469604	44000	44000	110	578.2426942628093	735.1890535673923
43	1000	543.0142140388489	45000	45000	112	53.94373304776997	743.6684682372329
44	1000	554.9512181282043	46000	46000	113	518.9383321406552	743.6684682372329
45	1000	566.5665607452393	47000	47000	116	75.95561421690486	743.6684682372329
46	1000	577.480085849762	48000	48000	117	249.09737412154024	743.6684682372329
47	1000	588.9554245471954	49000	49000	118	575.1520853391714	743.6684682372329
48	1000	600.0214710235596	50000	50000	119	1093.790577239755	1093.790577239755
49	1000	611.0888080596924	51000	51000	120	451.58467211869834	1093.790577239755
50	1000	622.6286377906799	52000	52000	122	486.57811948708064	1093.790577239755
51	1000	634.3127698898315	53000	53000	123	619.3218898758896	1093.790577239755
52	1000	646.0184187889099	54000	54000	124	438.1966715135042	1093.790577239755
53	1000	657.4097504615784	55000	55000	126	359.72057726588747	1093.790577239755
54	1000	668.280579328537	56000	56000	127	779.6658513655468	1093.790577239755
55	1000	679.7283277511597	57000	57000	128	722.9865578751486	1093.790577239755
56	1000	691.30712890625	58000	58000	130	148.1052373558204	1093.790577239755
57	1000	703.1067223548889	59000	59000	131	774.4105551082845	1093.790577239755
58	1000	714.9027233123779	60000	60000	133	77.77109932445265	1093.790577239755
59	1000	726.4782531261444	61000	61000	134	484.99872402623174	1093.790577239755
60	1000	737.8774833679199	62000	62000	136	65.81941611325676	1093.790577239755
61	1000	749.123842716217	63000	63000	140	350.74482680836746	1093.790577239755
62	1000	760.160671710968	64000	64000	141	398.0128179790085	1093.790577239755
63	1000	771.5396876335144	65000	65000	142	1231.941180515577	1231.941180515577
64	1000	783.0125732421875	66000	66000	143	351.81919412555425	1231.941180515577
65	1000	794.8152949810028	67000	67000	144	414.03564525151427	1231.941180515577
66	1000	806.5353174209595	68000	68000	146	69.72856046675632	1231.941180515577
67	1000	818.319876909256	69000	69000	149	354.78286030974243	1231.941180515577
68	1000	829.9304234981537	70000	70000	150	280.1643626027183	1231.941180515577
69	1000	841.2086865901947	71000	71000	152	68.46471023125027	1231.941180515577
70	1000	852.402969121933	72000	72000	154	278.4777653726252	1231.941180515577
71	1000	863.88432097435	73000	73000	155	1316.7597638497775	1316.7597638497775
72	1000	875.0279321670532	74000	74000	156	353.56056487535193	1316.7597638497775
73	1000	886.6029546260834	75000	75000	157	516.5429765445258	1316.7597638497775
74	1000	898.4595122337341	76000	76000	158	721.9259650970574	1316.7597638497775
75	1000	909.9726445674896	77000	77000	159	338.9230638784584	1316.7597638497775
76	1000	921.0065121650696	78000	78000	160	499.3889264747288	1316.7597638497775
77	1000	932.4908792972565	79000	79000	161	456.63231348519855	1316.7597638497775
78	1000	944.2315096855164	80000	80000	162	336.6938675832194	1316.7597638497775
79	1000	955.6510045528412	81000	81000	163	358.743449556954	1316.7597638497775
80	1000	967.1783447265625	82000	82000	165	200.70621915178754	1316.7597638497775
