Time-Sampling,train-AverageReturn,Time-Optimization,train-NumTrajs,LossAfter,Itr,train-AverageDiscountedReturn,n_timesteps,train-MinReturn,train-PolicyExecTime,Time,ItrTime,train-EnvExecTime,train-MaxReturn,train-StdReturn,Time-SampleProc,LossBefore
27.366304874420166,-50.086338698681686,2.8743808269500732,100,0.038521122,0,-30.83845685475128,10000,-157.08322365827698,16.97014856338501,30.463523626327515,30.4635112285614,9.58749270439148,18.937511861395357,36.10508359083115,0.21615076065063477,-6.1035155e-09
25.164924383163452,-46.22016021192903,1.7893140316009521,100,-0.002992633,1,-29.646735099037027,20000,-121.49378754853933,15.401118040084839,57.82308912277222,27.248119115829468,9.027649879455566,27.72440267609408,36.298930709545054,0.2917168140411377,2.4414062e-08
24.91969108581543,-38.90545740197179,1.827070951461792,100,-0.012386898,2,-24.68592234504045,30000,-165.1095990617784,15.156828880310059,84.94619607925415,27.059122800827026,8.98938536643982,44.6794056643373,35.868509978714606,0.3090543746948242,-4.577637e-09
24.943859577178955,-31.998431208433043,1.8017432689666748,100,-0.013235525,3,-20.552242904061988,40000,-133.3571469743691,15.17408299446106,112.07993721961975,27.041306257247925,9.009057998657227,37.06854578801262,34.82174860620149,0.29387497901916504,-1.6117095e-08
24.372339010238647,-42.52961568807405,1.9804885387420654,100,-0.013597885,4,-27.19521980945815,50000,-132.9996651888556,14.786884546279907,138.80157780647278,26.653375148773193,8.844100952148438,24.663359710681195,35.587166170554,0.29816174507141113,1.2207031e-08
24.08398962020874,-36.1500976074432,2.1476972103118896,100,-0.014594788,5,-22.92659277975567,60000,-118.30491179329614,14.546727657318115,165.39754557609558,26.52358651161194,8.805505990982056,64.05686837843193,34.32948234652368,0.2901802062988281,-6.1035155e-09
24.094053030014038,-33.79761086035655,2.2549192905426025,100,-0.012980905,6,-21.119412973676926,70000,-118.38350097637824,14.530869722366333,192.00211763381958,26.53400707244873,8.832988023757935,35.283582515572355,31.49338412919894,0.18420886993408203,4.577637e-09
24.59177303314209,-32.51026293901537,2.250382423400879,100,-0.013083152,7,-20.355954962632936,80000,-172.83969768510755,14.912124156951904,219.1657338142395,27.041195392608643,8.929149150848389,55.20100993911533,36.233516803012044,0.19648265838623047,2.4414062e-08
22.577195167541504,-27.18444588401033,1.9777898788452148,100,-0.013701023,8,-16.687978541642245,90000,-122.66757526238214,13.577843427658081,243.92027378082275,24.674748420715332,8.318087339401245,45.684839023984885,30.5172702912237,0.11820745468139648,9.155274e-09
22.797524452209473,-27.416484384446495,1.9411749839782715,100,-0.013907547,9,-16.71358755569877,100000,-112.28380356675702,13.721673011779785,268.9224855899811,24.869317293167114,8.393028020858765,55.46756983204723,31.745614060357095,0.12904930114746094,3.0517577e-09
22.72917604446411,-26.396748579918597,1.8542993068695068,100,-0.014250116,10,-16.4880606320624,110000,-109.63822854093955,13.689451456069946,293.81122159957886,24.725377082824707,8.358370542526245,59.146213505507674,32.36430124738025,0.14111781120300293,-1.2207031e-08
22.994330406188965,-28.576617766201426,1.9586567878723145,100,-0.01482883,11,-17.919890018640782,120000,-111.54962884977196,13.853879451751709,318.9872725009918,25.08359146118164,8.453796625137329,42.547013557587015,30.048970275502448,0.12848258018493652,9.155274e-09
23.066335916519165,-25.277030607772907,1.6633996963500977,100,-0.01484258,12,-16.446175473878483,130000,-155.83465046476897,13.912662982940674,343.95441150665283,24.8504536151886,8.466728687286377,52.53395076732704,37.76757901837992,0.11879420280456543,7.629395e-09
23.048054933547974,-25.83931914327981,1.5007498264312744,100,-0.013582968,13,-17.074643426311294,140000,-116.76531364585352,13.874117851257324,368.7638111114502,24.67423987388611,8.482564449310303,32.12258749970057,26.632827333124816,0.12346220016479492,6.1035155e-09
23.30835223197937,-27.38627456241694,1.4158344268798828,100,-0.013652042,14,-16.919506288525188,150000,-104.72793306498383,14.039793014526367,393.70696687698364,24.84951376914978,8.56614351272583,69.02953199676953,35.097071494387315,0.12363123893737793,9.155274e-09
23.370628118515015,-20.204732136625733,1.222710371017456,100,-0.014309378,15,-13.25693380732524,160000,-95.37232910481714,14.141361951828003,418.50575828552246,24.713839769363403,8.523624897003174,44.882296206123804,29.261922104878675,0.11971640586853027,-4.9591065e-09
23.484016180038452,-23.369746418056355,1.139566421508789,100,-0.01472895,16,-15.013622302775534,170000,-112.72462889004453,14.254053115844727,443.33725452423096,24.744945764541626,8.536105155944824,52.08668439700325,32.45129446644729,0.12003135681152344,-2.5177002e-08
23.584888696670532,-23.73303468424056,1.1302709579467773,100,-0.01383942,17,-15.736439926937264,180000,-88.86324093311922,14.377485752105713,468.25211906433105,24.848018407821655,8.50672721862793,35.50078152821298,29.339316828411622,0.1315155029296875,1.2207031e-08
23.570332288742065,-16.171962613146537,1.1181132793426514,100,-0.015875766,18,-10.536280120130714,190000,-75.88634970454054,14.2940034866333,493.1662166118622,24.81344771385193,8.582296133041382,72.9920216225665,27.96955385940578,0.1226339340209961,-2.2888185e-09
23.71431279182434,-18.03676437247658,1.140364646911621,100,-0.013231894,19,-10.82799437996388,200000,-116.50508523546848,14.403358459472656,518.2277493476868,24.98444890975952,8.59677791595459,51.00073522903567,29.020258491044764,0.1290268898010254,-2.1362304e-08
23.695223093032837,-15.267771258978831,1.087585687637329,100,-0.01511857,20,-9.406437547210476,210000,-75.23852921041889,14.40329098701477,543.216032743454,24.916563987731934,8.601139068603516,45.007123208997086,25.24932227073031,0.13303470611572266,9.918213e-09
