Time-Sampling,train-NumTrajs,train-AverageDiscountedReturn,train-MaxReturn,ItrTime,Time-SampleProc,train-PolicyExecTime,LossBefore,train-StdReturn,train-AverageReturn,Time,train-MinReturn,Itr,LossAfter,Time-Optimization,train-EnvExecTime,n_timesteps
22.609928846359253,100,-32.33764890980176,57.768796635864156,25.525901079177856,0.12586331367492676,13.737933874130249,-1.4204644e-05,37.436595345161464,-50.59032822827134,25.525909662246704,-156.57955833702584,0,0.040658675,2.789405345916748,8.211484670639038,10000
22.76402759552002,100,-31.58088121777829,22.075965592477388,24.868165731430054,0.2473583221435547,13.817601442337036,-1.42136e-05,37.55746067450638,-50.0409704999082,50.48682188987732,-127.684288201264,1,0.012007247,1.841947317123413,8.281460285186768,20000
22.730661153793335,100,-30.4080862911027,15.465139109801358,24.77883791923523,0.2079906463623047,13.791764974594116,-1.4239544e-05,33.23416213601683,-48.944363752079965,75.33553171157837,-132.7209585680078,2,-0.013050387,1.8383655548095703,8.256658792495728,30000
22.73176145553589,100,-26.938736907465877,51.01037721240282,24.65009570121765,0.1405651569366455,13.747777700424194,-1.4239521e-05,32.67297901247521,-43.66682755515355,100.05146050453186,-120.72297096721013,3,-0.014566407,1.7769715785980225,8.300196647644043,40000
22.714905977249146,100,-28.675801157694327,47.33349701178258,24.40784192085266,0.17026376724243164,13.723665714263916,-1.4241424e-05,34.36150816709879,-44.18036722909253,124.54770183563232,-129.3953354569422,4,-0.014117012,1.521334171295166,8.305209159851074,50000
23.058876991271973,100,-24.41155096586415,40.13084916885552,24.530531883239746,0.1914362907409668,14.004244327545166,-1.4256367e-05,34.843240942627176,-38.45860248754744,149.189923286438,-127.42096103273323,5,-0.013376576,1.2787396907806396,8.370758295059204,60000
23.253234386444092,100,-26.750297915646687,29.714767208554814,24.532695770263672,0.16028881072998047,14.157991170883179,-1.42289955e-05,33.930430930598874,-41.91694192096491,173.80280184745789,-123.26056984710038,6,-0.012035115,1.1182758808135986,8.407261848449707,70000
23.391865491867065,100,-20.333871127318872,43.051631336605176,24.62375545501709,0.1192927360534668,14.257473468780518,-1.421553e-05,31.6276071409286,-32.40084838834544,198.5077841281891,-105.4183876941861,7,-0.013246508,1.1108427047729492,8.446339130401611,80000
23.467308282852173,100,-18.8026577983623,36.31037315010794,24.678051948547363,0.14557671546936035,14.328362703323364,-1.41894525e-05,31.141823530803414,-30.760460477161132,223.25971817970276,-109.8726283764303,8,-0.013437421,1.064317226409912,8.44399619102478,90000
23.425833463668823,100,-18.202337952615206,29.92949384272597,24.665424585342407,0.12989377975463867,14.236406326293945,-1.4170951e-05,31.581288425461835,-28.86373582634943,247.99047803878784,-104.93867799291563,9,-0.012578908,1.109039545059204,8.506270408630371,100000
23.526901721954346,100,-16.767645202175714,52.05590669973628,24.78524160385132,0.15611481666564941,14.303280353546143,-1.4126321e-05,29.92462873611117,-27.675109447387282,272.8394112586975,-112.54102134657658,10,-0.013252162,1.1015117168426514,8.519449472427368,110000
23.902742624282837,100,-17.03218085292968,28.24489655565015,25.128416776657104,0.1181797981262207,14.577300786972046,-1.4100781e-05,28.373507152454774,-26.65339843548457,298.0317540168762,-123.4621093363417,11,-0.013874903,1.106776475906372,8.614349126815796,120000
23.37819194793701,100,-15.064981817675644,50.45354881693434,24.62705683708191,0.13607072830200195,14.217113733291626,-1.4097762e-05,29.672047246865528,-24.353352758669487,322.7251627445221,-120.39421244709527,12,-0.0145502,1.1118156909942627,8.462064743041992,130000
23.41763925552368,100,-12.516746031247019,49.08608606537145,24.670434951782227,0.12749695777893066,14.243589878082275,-1.4086503e-05,27.391358314748167,-21.547757955314058,347.46122550964355,-84.47836783136076,13,-0.012161627,1.1243786811828613,8.467439651489258,140000
23.475523471832275,100,-12.736467035839066,52.21063174474121,24.722509622573853,0.12210226058959961,14.285279512405396,-1.4081513e-05,27.224032927182932,-20.64897915495601,372.25363636016846,-88.3489123899015,14,-0.015714006,1.1241185665130615,8.496885299682617,150000
23.505398273468018,100,-15.759464577601207,31.14082717510012,24.73916459083557,0.1258234977722168,14.302927017211914,-1.4067178e-05,25.745252158098914,-25.354448380129607,397.0662934780121,-102.84892545104063,15,-0.015967283,1.106635570526123,8.491800546646118,160000
23.501004934310913,100,-12.723777807668501,38.58673760833304,24.714322090148926,0.11791777610778809,14.298020601272583,-1.4089991e-05,28.338457625145978,-20.19871070788328,421.8411555290222,-125.49937783011471,16,-0.0162379,1.0946786403656006,8.511775016784668,170000
23.432815551757812,100,-12.437174557620235,35.21792924175985,24.670235872268677,0.12996530532836914,14.280407428741455,-1.402819e-05,21.36311050568864,-20.150448167367298,446.57592010498047,-85.0820752037532,17,-0.015086791,1.1067705154418945,8.455272912979126,180000
23.45120143890381,100,-11.36515218115772,44.90116517623727,24.745521783828735,0.12439465522766113,14.236659288406372,-1.4036518e-05,25.843975459730043,-17.75697218593552,471.38952565193176,-103.09271216619334,18,-0.014606902,1.1691865921020508,8.520798683166504,190000
23.58975911140442,100,-12.186892305441768,38.87683970787892,24.813602209091187,0.13461732864379883,14.35113525390625,-1.4006352e-05,22.841263651465148,-20.092830195056923,496.277072429657,-104.30091750841115,19,-0.016088488,1.0885310173034668,8.542516946792603,200000
23.588139057159424,100,-11.424260174222779,42.65021667718831,24.852174997329712,0.1484510898590088,14.355311155319214,-1.4012207e-05,26.044615918573037,-18.684387040989897,521.1917042732239,-119.0462627833803,20,-0.014693542,1.1150004863739014,8.517311811447144,210000
