Time,train-AverageDiscountedReturn,ItrTime,Time-SampleProc,train-NumTrajs,train-MinReturn,Itr,Time-Sampling,train-AverageReturn,LossBefore,LossAfter,train-PolicyExecTime,n_timesteps,train-StdReturn,train-MaxReturn,Time-Optimization,train-EnvExecTime
24.646756887435913,-1.1734650281548127,24.646748304367065,0.13371682167053223,100,-8.100351835674662,0,22.157148122787476,-1.3496097482460183,1.2207031e-08,-0.08460052,13.534790277481079,10000,3.3862415650148687,7.260855717683309,2.354332447052002,7.953396558761597
48.76801371574402,12.444185910556094,23.998656511306763,0.15295171737670898,100,3.369112452167004,1,22.149940967559814,19.070311258164466,-6.1035155e-09,-0.26127383,13.449513673782349,20000,5.004633584744929,28.90608281391467,1.6939918994903564,8.021864414215088
74.16745066642761,21.47652215149581,25.34062361717224,0.1976168155670166,100,20.50565983171433,2,23.637161016464233,27.23092826033734,2.0980835e-09,-0.10900571,13.89455509185791,30000,2.002471834900048,32.13063662392152,1.505030870437622,9.041821241378784
99.90093660354614,21.77125244523586,25.67233920097351,0.23820781707763672,100,24.684410136120693,3,23.68036413192749,27.71638094372888,7.6293943e-10,0.010213814,13.920305252075195,40000,1.271398537108912,30.595715512064096,1.7523629665374756,9.056524515151978
125.28292512893677,21.089035509172273,25.32370901107788,0.20047855377197266,100,25.033009858565116,4,23.502856969833374,27.359141228218014,6.1035155e-09,-0.049006637,13.776480436325073,50000,1.0264115228751725,29.526536872871606,1.6189053058624268,9.0305655002594
150.595805644989,21.238150388836434,25.255731344223022,0.16291117668151855,100,25.66934850913087,5,24.0322527885437,27.156417516998918,9.918213e-09,-0.16900262,14.171257257461548,60000,0.8449327973284042,29.460064754291484,1.0594727993011475,9.14711856842041
176.01157665252686,22.31092006453046,25.358277797698975,0.1042792797088623,100,25.71541518027831,6,24.201770067214966,27.274156437895826,1.3351441e-08,-0.015270088,14.278356075286865,70000,0.7264209760310113,28.618184609367937,1.0515668392181396,9.225826501846313
201.31120443344116,22.60842919703612,25.235378980636597,0.12324380874633789,100,25.192875905145595,7,24.058552265167236,27.53630204368478,5.340576e-09,-0.009175262,14.24354887008667,80000,0.8792357623301689,29.401128313134727,1.0529415607452393,9.110764503479004
226.64277625083923,22.08959319376217,25.25655746459961,0.12873554229736328,100,22.973279385074505,8,24.050721406936646,27.1277684028095,-5.2941894e-05,-0.022084167,14.210204839706421,90000,1.33613799095161,29.93034179225773,1.0763120651245117,9.124754190444946
251.91499042510986,22.31516076673959,25.20992112159729,0.11649680137634277,100,24.731206448898803,9,24.053333044052124,27.298218093478805,1.5258789e-09,0.004603822,14.252268314361572,100000,1.1276086393102642,29.931370661664854,1.0393993854522705,9.098759412765503
277.28618264198303,22.52541277327826,25.305878400802612,0.11861491203308105,100,24.776421709606673,10,24.10481333732605,27.550663084542588,-9.155274e-09,-0.020083131,14.205260515213013,110000,1.0266782501151752,30.414106674971038,1.081491470336914,9.195731401443481
302.65555596351624,22.383550529031513,25.306195497512817,0.13428735733032227,100,25.16208555422667,11,24.101516008377075,27.386903180707037,-5.1498414e-09,-0.0025167293,14.254556894302368,120000,0.9941309381235934,29.373125754563965,1.0697400569915771,9.136559009552002
327.85916805267334,22.707701869720196,25.1487820148468,0.10871195793151855,100,24.180587605723744,12,23.975038766860962,27.634700524098477,-1.2969971e-08,-0.04034828,14.200742483139038,130000,1.0940097660690353,30.32792265524324,1.064406394958496,9.066366910934448
353.0289614200592,22.230472569477865,25.1125807762146,0.13998675346374512,100,23.51556792545061,13,23.904949426651,27.403458940877428,3.8146974e-09,0.0007713669,14.205008745193481,140000,1.5642974812087598,31.47663527276197,1.06693434715271,8.992275953292847
378.27611231803894,22.31058361921807,25.187644958496094,0.13899898529052734,100,24.905420443003816,14,23.98656702041626,27.60649309806195,1.0681152e-08,-0.020425683,14.218079328536987,150000,1.3838280109391352,32.26455894251775,1.0615019798278809,9.050318717956543
403.3396096229553,22.857081739345528,25.003660917282104,0.1041722297668457,100,24.752853937675685,15,23.841867208480835,27.858678498415333,2.2125244e-08,-0.047170594,14.098593711853027,160000,1.1788483289657734,30.05562892342988,1.0570449829101562,9.017628908157349
428.5261561870575,22.237572780522147,25.12430453300476,0.11510443687438965,100,25.758351072104134,16,23.938222885131836,27.13513274439669,-8.392334e-09,0.0088321995,14.09829068183899,170000,0.6624665974054829,28.377314852375548,1.0703556537628174,9.115578651428223
453.7889451980591,21.775735193818395,25.20373821258545,0.10380125045776367,100,25.79668935209923,17,24.017101049423218,27.125643390203052,-0.0042382837,-0.30950812,14.168225049972534,180000,0.733690232036153,28.53978464544789,1.0821070671081543,9.137617588043213
478.98025155067444,22.162822952233714,25.13310694694519,0.1150369644165039,100,25.882965907481726,18,23.931408166885376,27.128195840907622,-2.1743775e-08,-0.0026385554,14.01871109008789,190000,0.6922366741376751,28.775493343567877,1.0858707427978516,9.188743352890015
504.07568311691284,22.21409050201784,25.0381178855896,0.11897468566894531,100,20.341917620099608,19,23.865331172943115,27.3952472057809,-1.1444092e-08,-0.001769448,14.057913780212402,200000,1.102769305748651,30.149595995310115,1.0530893802642822,9.0928795337677
528.882040977478,19.531969095130542,24.750914335250854,0.10752248764038086,100,10.295342353072265,20,23.577560663223267,29.28261407258322,6.1035155e-09,-0.18827851,14.093471050262451,210000,4.925163063384783,35.4783230611375,1.0651586055755615,8.779315948486328
