LossAfter,train-StdReturn,Time-SampleProc,Itr,train-MaxReturn,Time,train-AverageReturn,train-PolicyExecTime,train-NumTrajs,train-MinReturn,ItrTime,train-AverageDiscountedReturn,n_timesteps,train-EnvExecTime,Time-Sampling,Time-Optimization,LossBefore
0.09089657,100.11230046892824,0.16461658477783203,0,175.26711891267558,29.239084243774414,-41.29034682763638,14.673182249069214,100,-191.72649750659437,29.23907446861267,-12.162252982613449,10000,11.077031135559082,26.458949089050293,2.614494562149048,-1.4188241e-05
-0.0014499846,84.89600050757217,0.3617429733276367,1,192.62519227862754,58.25909614562988,-32.71868949183476,14.80413293838501,100,-191.55490739288624,28.928951025009155,-7.416656552634097,20000,11.195679187774658,26.71399760246277,1.8524718284606934,-1.42058425e-05
0.00022583522,113.37201670087585,0.17995381355285645,2,200.64714563727742,86.36222410202026,36.36801267324903,14.589014768600464,100,-175.24129762850043,28.03612470626831,29.965575061884564,30000,11.239524364471436,26.586349725723267,1.2686445713043213,-1.4213476e-05
-0.008790234,113.10570534361372,0.15446758270263672,3,207.98995744519772,114.20271921157837,83.2589865325608,14.645853996276855,100,-215.44960121787662,27.773864269256592,54.16047467859623,40000,11.133078575134277,26.508193016052246,1.1103475093841553,-1.4230547e-05
-0.007798786,78.97197917966497,0.12621402740478516,4,205.5926755823321,142.01775908470154,152.3588142096671,14.607125282287598,100,-170.46392136274608,27.744833946228027,92.14991669600775,50000,11.229813814163208,26.532949447631836,1.0849053859710693,-1.4204041e-05
-0.0057769674,15.424504505041698,0.13126444816589355,5,205.95544866106866,171.690514087677,189.80019024507766,15.754674911499023,100,102.4859245137674,29.612842798233032,112.91053657750143,60000,11.848482370376587,28.35655689239502,1.1242318153381348,-1.4180163e-05
-0.0045680804,9.795666124540217,0.1499936580657959,6,204.86834480952703,200.3456597328186,193.48640341652262,14.759371757507324,100,140.66308601927977,28.57200002670288,115.3466923322611,70000,11.460271120071411,26.931644916534424,1.489710807800293,-1.4162312e-05
-0.0042585423,9.879695623429301,0.1099848747253418,7,206.8676907301988,228.05002737045288,197.40292468376887,14.348798036575317,100,132.86913926018966,27.63775110244751,117.17664479987123,80000,11.382086038589478,26.43387508392334,1.0931262969970703,-1.40988495e-05
-0.003423701,7.256001696363686,0.12342047691345215,8,207.95318606879067,255.9204981327057,199.72759980769067,14.497390508651733,100,141.30418406167672,27.806549310684204,118.38427431939894,90000,11.419111728668213,26.62102460861206,1.0613353252410889,-1.4077224e-05
-0.002978548,4.539504889072427,0.11738061904907227,9,207.7618551810454,283.4391236305237,200.6974608131355,14.173747777938843,100,180.7094446550514,27.45607852935791,119.07823363190842,100000,11.406256914138794,26.273154497146606,1.0648581981658936,-1.4019254e-05
-0.0031085536,3.712807726374981,0.1138615608215332,10,207.0615695243687,310.837993144989,201.33446946521815,14.085416078567505,100,182.31570609662754,27.341453552246094,119.34471534900084,110000,11.375598192214966,26.148913145065308,1.078110933303833,-1.3969599e-05
-0.004414795,3.425250227131392,0.12638187408447266,11,208.52737146879699,338.324542760849,201.94580184839472,14.172330141067505,100,187.06417302381823,27.428058385849,119.44714428520543,120000,11.388375282287598,26.256808042526245,1.044111967086792,-1.3949658e-05
-0.0068299454,2.956930417757616,0.13038015365600586,12,212.7361793326817,365.9702339172363,203.6910676112852,14.31494426727295,100,188.13854593946706,27.585456609725952,120.13412765490975,130000,11.38651442527771,26.393917322158813,1.060408592224121,-1.3900901e-05
-0.0036241882,2.862833017125169,0.11382865905761719,13,210.31637483558245,393.4753420352936,204.1569499732814,14.183251142501831,100,195.15920267893173,27.44481635093689,120.30205841938394,140000,11.39902925491333,26.265086889266968,1.0651731491088867,-1.3846439e-05
-0.004415079,2.747491097473002,0.1170041561126709,14,212.01101166018276,421.1240613460541,204.5951382037061,14.260467767715454,100,193.73221538271497,27.58136487007141,120.43369009843028,150000,11.451172828674316,26.40909433364868,1.0546174049377441,-1.378975e-05
-0.004155801,2.816384262362452,0.10907435417175293,15,210.43238959278537,448.7758963108063,204.73235843774077,14.221858024597168,100,192.35409642733822,27.59040594100952,120.50357033427117,160000,11.47764801979065,26.389018535614014,1.091318130493164,-1.3766832e-05
-0.0043327864,2.764603170176453,0.12421250343322754,16,214.43552950538165,476.6884706020355,205.85977370065174,14.318375825881958,100,196.27947366368488,27.85195541381836,120.9875025395017,170000,11.58958888053894,26.607697248458862,1.1193416118621826,-1.3717216e-05
-0.0026047295,2.746574798805653,0.11499428749084473,17,215.9118563730983,504.3477199077606,206.32977234483454,14.246140003204346,100,198.5482558384837,27.592639207839966,121.05612135089912,180000,11.47120451927185,26.418375253677368,1.0584022998809814,-1.3694499e-05
-0.0036901352,3.04803921578678,0.11742949485778809,18,214.47166582695354,531.9982817173004,207.4437757620168,14.198040246963501,100,196.51599517873757,27.586548328399658,121.4596048999527,190000,11.50029182434082,26.384419441223145,1.0840766429901123,-1.364375e-05
-0.004309036,2.932773284092035,0.13817906379699707,19,215.10151751024293,559.7161710262299,207.54590555872403,14.300008296966553,100,198.40792593464826,27.655964851379395,121.50778740699951,200000,11.456336259841919,26.444885730743408,1.0721964836120605,-1.3627721e-05
-0.0041197473,3.2558699374061564,0.12205910682678223,20,218.31275558778427,587.3699939250946,208.50767947878433,14.22774887084961,100,200.436728069663,27.589929819107056,121.88688434941072,210000,11.47483777999878,26.4006769657135,1.0665700435638428,-1.3596477e-05
