train-EnvExecTime,train-AverageDiscountedReturn,LossBefore,train-MaxReturn,Time-SampleProc,n_timesteps,ItrTime,train-StdReturn,train-AverageReturn,Itr,LossAfter,train-MinReturn,train-PolicyExecTime,Time-Optimization,Time,train-NumTrajs,Time-Sampling
1.7252018451690674,-20.01335420404641,-0.030763311,43.878140679269315,0.011040449142456055,10000,6.3240065574646,35.22512345393667,-32.32872319197743,0,-0.72793525,-135.70983048715718,2.910583019256592,1.5259532928466797,6.324012041091919,100,4.786762475967407
1.7157011032104492,-42.04662867327023,0.035452563,44.83873279144779,0.018767833709716797,20000,5.763570308685303,39.854738473557795,-68.19131085638402,1,-0.9044419,-142.02251749959214,2.754493236541748,1.1200218200683594,12.105358123779297,100,4.623967170715332
1.7334082126617432,-30.40496550555165,-0.0025577391,23.691628922551857,0.021997690200805664,30000,5.726155996322632,35.47385725292407,-48.251102165202994,2,-0.9539475,-127.94552610061716,2.820422887802124,0.9817326068878174,17.850088834762573,100,4.721519708633423
1.7654516696929932,-31.01105571445939,-0.0056116697,37.40926557080988,0.01712656021118164,40000,5.85927414894104,35.31339741999488,-49.64132667725953,3,-0.96044844,-144.8109781975731,2.9210617542266846,0.9860794544219971,23.730660676956177,100,4.854907512664795
1.781651258468628,-20.304373826577567,-0.006326709,45.02953967691938,0.03125357627868652,50000,5.925831317901611,31.48766550185827,-29.592261522178145,4,-0.14848007,-98.33131783736796,3.0459985733032227,0.8945090770721436,29.677480220794678,100,4.999208450317383
1.802290916442871,-18.586489174558732,-0.007517871,110.12865665704106,0.018159866333007812,60000,5.814330816268921,42.587300374916744,-29.89222010264591,5,-0.07963562,-129.44465898017268,3.017395496368408,0.803917407989502,35.51450157165527,100,4.99125862121582
1.8228349685668945,-17.37873967846021,0.0029068359,109.71064675601038,0.015835046768188477,70000,5.636969804763794,42.05455833473615,-29.09205390814016,6,-0.15090778,-123.16504237359148,3.0618393421173096,0.5607292652130127,41.172951459884644,100,5.059631586074829
1.84747314453125,-13.986949971103142,-0.002794043,104.48682540733023,0.008401155471801758,80000,5.632596015930176,43.996244076717865,-24.14513792736425,7,-0.14908525,-125.5039170087762,3.1506102085113525,0.4455428123474121,46.83190727233887,100,5.178450345993042
1.8695545196533203,-11.352453655275301,0.011511621,110.80140718092241,0.008988618850708008,90000,5.763203144073486,46.972500177453185,-19.77302063496437,8,-0.2889952,-156.31999407236745,3.253683090209961,0.44463539123535156,52.60727787017822,100,5.309368133544922
1.8346226215362549,-14.009769164729681,0.015823437,150.59601109891113,0.008534669876098633,100000,5.687074661254883,41.617543340749826,-23.955668356846715,9,-0.21130157,-148.02012110305623,3.199641227722168,0.455913782119751,58.30716276168823,100,5.2224016189575195
1.8448338508605957,-18.274485178296104,-0.009667707,65.91519717296055,0.009119033813476562,110000,5.724740743637085,31.39933372993762,-31.90646561436132,10,-0.29539636,-109.76671032227539,3.249600410461426,0.4418160915374756,64.04431247711182,100,5.273621082305908
1.8559532165527344,-11.670041447823039,0.045813747,85.87702023810988,0.009027957916259766,120000,5.737491846084595,40.64974639659612,-19.025028775841605,11,-0.21222016,-123.17673671155882,3.248213529586792,0.44163012504577637,69.7940878868103,100,5.286654233932495
1.853337287902832,-13.28909143048368,0.015122473,73.81589014453527,0.00924539566040039,130000,5.737292289733887,43.331656579219796,-22.17098687039511,12,-0.2728753,-157.6868430005836,3.255835771560669,0.4390134811401367,75.54587841033936,100,5.288843154907227
1.8709015846252441,-17.382757479290923,0.0039591673,73.07900923281736,0.011902570724487305,140000,5.690845966339111,37.708373028902365,-26.6155258159421,13,-0.14926407,-113.23600598981491,3.196293830871582,0.4290151596069336,81.24887418746948,100,5.2497239112854
2.118337869644165,-7.962069639619768,-0.01570735,81.7881898601329,0.00923466682434082,150000,6.520155668258667,36.348338536367244,-11.60148578199087,14,-0.24771199,-104.20072451691554,3.6866202354431152,0.500291109085083,87.78210115432739,100,6.010334014892578
2.2989258766174316,-13.172260578594598,-0.026719946,102.50009998872704,0.013565540313720703,160000,7.358209609985352,43.85179016353051,-17.901603253223524,15,-0.73922384,-124.70919038872731,4.056865930557251,0.7682468891143799,95.15768766403198,100,6.575891733169556
3.0861966609954834,-9.561573873991255,-0.018349903,82.32389402058078,0.013278484344482422,170000,10.030385732650757,39.3036618148082,-12.694989294019432,16,-0.4011225,-168.44636094793603,5.95988130569458,0.663341760635376,105.2145984172821,100,9.353436946868896
3.3149547576904297,-8.035800573347872,-0.035727788,68.35384189648948,0.014342546463012695,180000,10.547290325164795,34.91089017115918,-11.169285894647444,17,-0.45377374,-140.59859660337713,6.1724090576171875,0.7149860858917236,115.77975606918335,100,9.817709684371948
3.162429094314575,-8.868328719241825,-0.016684668,83.12470064204311,0.014200448989868164,190000,9.894731998443604,30.82438524727511,-11.80158378148316,18,-0.09303009,-80.69645042876138,5.82577109336853,0.5760366916656494,125.69920301437378,100,9.303938627243042
2.5302555561065674,-6.379264713182334,-0.009578125,59.22153344846185,0.011291980743408203,200000,7.593372583389282,34.101975782972836,-8.873659830007469,19,-0.35413262,-104.34943172144867,4.317729949951172,0.4926767349243164,133.33754706382751,100,7.08771276473999
2.577287435531616,2.8562489408935297,0.0007161621,102.62331776386675,0.016824960708618164,210000,7.959709644317627,36.48786857731071,7.973902852707739,20,-0.522994,-71.06307330209066,4.463157892227173,0.6696550846099854,141.31736016273499,100,7.272852182388306
