Iteration	Time	TimestepsThisBatch	PoolSize	LastEpReturn	Episodes	MaxEpReturn	TimestepsSoFar
70	664.1733675003052	1000	72000	425.8337255213619	153	674.0595357765683	72000
71	675.146315574646	1000	73000	29.63309007436718	155	699.682402439732	73000
72	683.031765460968	1000	74000	43.645330929324935	156	699.682402439732	74000
73	691.1121611595154	1000	75000	153.9044307822489	158	699.682402439732	75000
74	699.1802680492401	1000	76000	462.27188131308014	159	699.682402439732	76000
75	708.4184746742249	1000	77000	502.46551460485415	160	699.682402439732	77000
76	719.519091129303	1000	78000	232.58003290867092	161	699.682402439732	78000
77	730.7494287490845	1000	79000	223.98537365033593	162	699.682402439732	79000
78	741.1218183040619	1000	80000	221.762624066763	163	699.682402439732	80000
79	749.017671585083	1000	81000	440.9523130236458	164	699.682402439732	81000
80	757.1825823783875	1000	82000	-8.448426795534663	166	699.682402439732	82000
81	765.7166700363159	1000	83000	267.0660566446803	167	699.682402439732	83000
82	774.8647537231445	1000	84000	530.0757958227699	168	699.682402439732	84000
83	785.991557598114	1000	85000	540.4713898392188	169	699.682402439732	85000
84	797.1577048301697	1000	86000	631.2647495058413	170	699.682402439732	86000
85	808.3407578468323	1000	87000	205.75937527771057	172	699.682402439732	87000
86	817.020494222641	1000	88000	544.2916022628289	173	699.682402439732	88000
87	825.0296821594238	1000	89000	312.47282602183367	174	699.682402439732	89000
88	832.8791537284851	1000	90000	33.65122598137229	177	699.682402439732	90000
89	841.9179263114929	1000	91000	714.676944031876	178	714.676944031876	91000
90	852.6092357635498	1000	92000	409.4098904222791	180	796.4152517887223	92000
91	863.7184681892395	1000	93000	1163.6681241822496	181	1163.6681241822496	93000
92	874.8107810020447	1000	94000	390.1851376318808	182	1163.6681241822496	94000
93	885.3684980869293	1000	95000	38.42853591523314	187	1163.6681241822496	95000
94	893.1389353275299	1000	96000	198.90276651383596	188	1163.6681241822496	96000
95	901.048985004425	1000	97000	233.90719873254633	190	1163.6681241822496	97000
96	909.5016350746155	1000	98000	368.87804611791256	191	1163.6681241822496	98000
97	918.7575736045837	1000	99000	423.2662528538578	192	1163.6681241822496	99000
98	929.7680287361145	1000	100000	-26.487338587052562	199	1163.6681241822496	100000
99	941.0574972629547	1000	101000	-913.4040628985077	200	1163.6681241822496	101000
100	951.8125615119934	1000	102000	-151.96410419419038	201	1163.6681241822496	102000
101	959.4884514808655	1000	103000	17.28999798099891	203	1163.6681241822496	103000
102	967.4152345657349	1000	104000	-16.413112470156857	205	1163.6681241822496	104000
103	975.5895581245422	1000	105000	-20.427332390321098	206	1163.6681241822496	105000
104	984.8104093074799	1000	106000	180.8068213426336	207	1163.6681241822496	106000
105	995.8439071178436	1000	107000	-11.554727269029396	214	1163.6681241822496	107000
106	1007.2517323493958	1000	108000	-276.58254076711745	215	1163.6681241822496	108000
