Time-Sampling,Time-Optimization,train-EnvExecTime,LossBefore,train-MinReturn,train-AverageReturn,train-PolicyExecTime,LossAfter,train-MaxReturn,Time-SampleProc,train-AverageDiscountedReturn,n_timesteps,train-StdReturn,Time,ItrTime,Itr,train-NumTrajs
27.177600383758545,3.0250589847564697,11.513988494873047,-1.4197015e-05,-207.1889806123998,-44.60181469022391,14.919431447982788,0.13760847,114.43735758518608,0.17784428596496582,-17.139736360857054,10000,80.15273760594935,30.381540298461914,30.381529569625854,0,100
27.281996250152588,1.7737958431243896,11.635178565979004,-1.4199243e-05,-225.25486488767433,-92.5076238220264,14.922974109649658,0.0029966284,119.43118309498202,0.26418018341064453,-44.08223815862965,20000,88.12400386665018,59.82068920135498,29.321906328201294,1,100
27.557339668273926,1.73687744140625,11.768661260604858,-1.4217691e-05,-253.9013323304619,-54.70966168085013,15.035391330718994,-0.0062152753,143.9251335546396,0.1276078224182129,-24.35141491139108,30000,99.03144231840832,89.31030535697937,29.42262363433838,2,100
26.44403338432312,1.5382325649261475,11.332228899002075,-1.4234171e-05,-249.8799962068194,-8.373066402633816,14.397604942321777,-0.0066885045,181.0017965569731,0.1405165195465088,4.478015862488065,40000,105.00328241079252,117.51826310157776,28.12355351448059,3,100
26.49538516998291,1.1258842945098877,11.323486566543579,-1.4212273e-05,-249.05196847589065,63.63515776171025,14.458853483200073,-0.009688981,201.08300358216317,0.11316990852355957,45.43633972301179,50000,93.8404151809237,145.33994054794312,27.73604154586792,4,100
26.601573705673218,1.0999314785003662,11.347822666168213,-1.4196848e-05,-202.81965295171818,122.89589376158023,14.53272271156311,-0.010157789,201.3559217027391,0.13263893127441406,78.56172711310006,60000,92.18405408239178,173.2762622833252,27.834834337234497,5,100
26.916080474853516,1.0890507698059082,11.538910627365112,-1.4181275e-05,-23.47549495596794,165.9496536310593,14.653611421585083,-0.008116394,206.7503433760207,0.11553168296813965,102.63413037698201,70000,43.906913749244765,201.46101474761963,28.1212956905365,6,100
27.012319803237915,1.1190884113311768,11.597482681274414,-1.4134527e-05,85.08407424584374,181.9760848894892,14.69128155708313,-0.0065880455,202.46864437426171,0.13219809532165527,111.06877057231837,80000,17.01844133000037,229.79056215286255,28.264497995376587,7,100
27.210127353668213,1.1112933158874512,11.697626829147339,-1.4107814e-05,149.82013582607144,186.2667398146512,14.787948369979858,-0.004509704,200.31142404137782,0.1352558135986328,113.34399444166597,90000,9.448281264062764,258.31395387649536,28.457942247390747,8,100
26.874488830566406,1.1935765743255615,11.615537643432617,-1.40898e-05,161.13644866128342,190.21292384916717,14.54592251777649,-0.004802269,204.1574840376672,0.20974159240722656,115.0362086419226,100000,8.215497026058683,286.65756726264954,28.27903723716736,9,100
27.20277237892151,1.1284921169281006,11.772576570510864,-1.4061058e-05,153.25020716922643,192.34880092601932,14.70474123954773,-0.0043333727,204.29778247015665,0.13992881774902344,115.82390768924947,110000,7.497023362608312,315.19092893600464,28.47212028503418,10,100
27.090373277664185,1.1590614318847656,11.729587078094482,-1.4022204e-05,165.92140887909142,193.61488684807816,14.643552541732788,-0.0061683822,203.70980932425329,0.1403508186340332,116.37410007265017,120000,7.443025828173472,343.6504957675934,28.39055824279785,11,100
27.2856342792511,1.1642951965332031,11.814461946487427,-1.39802705e-05,181.6629318157286,196.14850314968146,14.752056121826172,-0.002767002,202.95296355106106,0.1328437328338623,117.24764277101198,130000,4.33386664870722,372.3111002445221,28.58354091644287,12,100
27.141582250595093,1.1480052471160889,11.783116340637207,-1.3931827e-05,182.90371347689137,197.6760178761877,14.635613918304443,-0.00445561,203.91007687308257,0.12351512908935547,117.75130059180758,140000,4.147516216771281,400.80299615859985,28.414222717285156,13,100
27.15035581588745,1.1612327098846436,11.808203220367432,-1.3886532e-05,185.98336488097206,198.8523141687778,14.62637209892273,-0.003861618,204.59892903408743,0.12139511108398438,118.21161266610545,150000,3.4960445035685273,429.30568742752075,28.433841466903687,14,100
27.262418508529663,1.1284635066986084,11.83454942703247,-1.382594e-05,190.21581528564764,199.6190781633603,14.707046508789062,-0.0039849263,203.90414502028062,0.1517775058746338,118.47154359483649,160000,2.697407006479608,457.92386174201965,28.5434787273407,15,100
27.116737842559814,1.1584718227386475,11.890568494796753,-1.3774708e-05,174.89521113889654,199.94957646524483,14.516257286071777,-0.0043982016,205.1458264165106,0.12360787391662598,118.63054531620199,170000,3.612369833356451,486.39379501342773,28.39996576309204,16,100
27.44284152984619,1.196230411529541,11.922706365585327,-1.3722686e-05,194.79267829235815,200.96452725568528,14.7819504737854,-0.0027083457,205.26009439235483,0.16478180885314941,119.00562315052132,180000,1.7982415400178928,515.272397518158,28.805007457733154,17,100
27.404240608215332,1.139622449874878,12.028339862823486,-1.3655611e-05,185.8940392668039,200.52435834206221,14.659435749053955,-0.0033420036,204.6100125925835,0.13975286483764648,118.91745285393746,190000,2.515635875208263,544.0362544059753,28.684510469436646,18,100
27.550390481948853,1.1287798881530762,11.950048446655273,-1.3594753e-05,194.4966708661869,201.03757204724803,14.885640859603882,-0.0034111715,204.60982359668031,0.15163636207580566,119.1202970897681,200000,1.7121385975717238,572.9370653629303,28.831528186798096,19,100
27.390926361083984,1.1648874282836914,11.880938529968262,-1.3528264e-05,193.65661325066765,201.50051978363393,14.77624249458313,-0.008392994,204.70105864991592,0.12495064735412598,119.41990933047568,210000,1.7324281723053927,601.6901452541351,28.681683778762817,20,100
