LossBefore,LossAfter,Time-Sampling,train-MinReturn,Itr,Time-Optimization,train-AverageReturn,train-PolicyExecTime,train-StdReturn,train-MaxReturn,n_timesteps,Time,Time-SampleProc,train-AverageDiscountedReturn,train-EnvExecTime,ItrTime,train-NumTrajs
0.19497256,0.021015164,27.337859630584717,-122.73450604126313,0,2.9860737323760986,-37.307833704182215,16.998637676239014,34.93408789422467,43.26940605616301,10000,30.48057270050049,0.15571069717407227,-23.87677074066284,9.528366565704346,30.48056125640869,100
1.5258789e-09,0.011946191,24.954202890396118,-133.81059331052273,1,2.0572996139526367,-48.74172352038567,15.269295692443848,28.835519223889907,28.72046058620564,20000,57.825594902038574,0.1828925609588623,-30.119082729583152,8.92835545539856,27.19691228866577,100
6.1035155e-09,-0.012829675,24.28795027732849,-140.01054962892306,2,2.067758321762085,-45.0449032937574,14.795797109603882,34.00160975426695,19.456811447868812,30000,84.4579746723175,0.1933884620666504,-28.286273436222487,8.749439477920532,26.551650047302246,100
8.392334e-09,-0.0135886585,24.99262499809265,-145.40624283723562,3,2.125188112258911,-43.348774607202095,15.292359828948975,31.11696536160953,35.69828743274947,40000,111.8652114868164,0.1743912696838379,-26.634660852476856,8.939154148101807,27.29364776611328,100
-6.866455e-09,-0.014209645,24.26997685432434,-119.86394864292942,4,2.198418617248535,-32.39150930103068,14.755550622940063,31.142348973666355,54.29966333571087,50000,138.5438416004181,0.12651848793029785,-21.042561035375297,8.770402193069458,26.59594702720642,100
1.8310548e-08,-0.0143489055,24.127506494522095,-108.64484234192767,5,2.1210885047912598,-38.23426141220441,14.66214895248413,33.17333977113233,42.27834234658354,60000,165.141254901886,0.13649272918701172,-23.84159934479389,8.713049173355103,26.386373281478882,100
-4.386902e-08,-0.01451015,24.303995847702026,-110.19433816101198,6,2.069448947906494,-28.501751162535037,14.79088544845581,32.44772012354258,69.05209243055727,70000,191.8383765220642,0.17232131958007812,-17.913840213714458,8.763540029525757,26.54737949371338,100
-1.2207031e-08,-0.015677962,24.89855146408081,-116.37471506328376,7,2.1527271270751953,-30.277070156254673,15.214104890823364,34.22164138817781,47.05044503092868,80000,219.12418961524963,0.13465547561645508,-19.68228791561232,8.92337703704834,27.189857244491577,100
-9.155274e-09,-0.014564334,22.949446439743042,-126.60836799083754,8,2.0123043060302734,-29.99310796497358,13.931353330612183,33.61765565883128,65.3972480746213,90000,244.33427119255066,0.14991998672485352,-19.986013974893975,8.329477548599243,25.112639665603638,100
1.525879e-08,-0.012944021,22.894091844558716,-108.61895483006082,9,1.983410120010376,-28.205754049092135,13.870664596557617,29.32177646477102,29.9031324614152,100000,269.5065896511078,0.18542146682739258,-18.814910670887244,8.326457738876343,25.065611362457275,100
-1.2207031e-08,-0.01428373,22.7759428024292,-128.3399818325139,10,1.870441198348999,-27.441854697865686,13.768563270568848,27.44993978422311,43.16991233747411,110000,294.39550280570984,0.16064143180847168,-17.846999054044453,8.31739616394043,24.808860301971436,100
3.0517577e-09,-0.012503381,22.880594730377197,-102.29344333772542,11,1.9508345127105713,-19.32071570254902,13.853213787078857,26.87635537785621,33.416623510409934,120000,319.4868514537811,0.16193675994873047,-12.349927394758119,8.330870628356934,24.996676683425903,100
-2.4414062e-08,-0.013902332,23.146886825561523,-139.758545895831,12,1.8031222820281982,-24.676747582758768,13.998632431030273,29.89727220393867,51.25133104048687,130000,344.7464702129364,0.2053968906402588,-16.31045395389212,8.448537588119507,25.1566801071167,100
-6.1035155e-09,-0.0144997975,23.04899764060974,-95.69842633058047,13,1.6548120975494385,-19.60216818129155,13.944900274276733,25.865719339775538,28.472168049070962,140000,369.7352502346039,0.18271517753601074,-12.083892768150546,8.408300876617432,24.88775372505188,100
-6.1035155e-09,-0.015123575,23.390459299087524,-105.5120582462246,14,1.5857932567596436,-20.44492762287583,14.197652816772461,26.446343653466332,43.65657562130736,150000,394.9489314556122,0.15083527565002441,-13.503284829376947,8.494734048843384,25.128496170043945,100
-6.1035155e-09,-0.014689148,23.333450317382812,-87.23186293591247,15,1.52530837059021,-18.43583360341167,14.204965829849243,26.505368701534582,59.94891796895833,160000,420.0800111293793,0.18690252304077148,-11.696820055431635,8.427584648132324,25.047773122787476,100
1.0681152e-08,-0.013126338,23.37915277481079,-100.53181433034821,16,1.3934462070465088,-17.567781915029894,14.189825534820557,27.372763599996166,54.071018942291396,170000,445.1192901134491,0.17895007133483887,-11.412887672704919,8.479326009750366,24.95419669151306,100
-1.2207031e-08,-0.012967096,23.310961484909058,-80.48133386766119,17,1.4010534286499023,-17.056432293330783,14.188549041748047,25.256383261145626,41.22946380271698,180000,470.05294466018677,0.13689160346984863,-11.02045388898744,8.424723386764526,24.849875926971436,100
-1.2397766e-09,-0.01517282,23.48020648956299,-94.92056432975347,18,1.372147798538208,-18.70325932439363,14.312086582183838,25.061097856312184,39.022507409639275,190000,495.1094779968262,0.11988162994384766,-12.061416857016157,8.460109233856201,24.97325587272644,100
2.9754638e-08,-0.01380592,23.545531511306763,-87.463216008266,19,1.3978965282440186,-18.10065625327148,14.329650163650513,28.281642638667467,47.509707323596594,200000,520.2653548717499,0.13204240798950195,-11.846540791052073,8.51747441291809,25.07681179046631,100
7.629395e-09,-0.014727155,23.24592900276184,-97.34383079643418,20,1.2461192607879639,-12.757381017893527,14.094258069992065,29.027087285436114,59.31235266928249,210000,544.9861497879028,0.13174653053283691,-9.15173627789343,8.448819875717163,24.624509572982788,100
