Time-Sampling,Time-SampleProc,train-AverageDiscountedReturn,LossBefore,train-AverageReturn,train-MinReturn,n_timesteps,train-MaxReturn,ItrTime,LossAfter,Time-Optimization,Itr,Time,train-NumTrajs,train-PolicyExecTime,train-EnvExecTime,train-StdReturn
5.191768169403076,0.0423588752746582,72.08943249476607,-1.4195489e-05,119.92529387583329,-74.6539560014479,10000,208.08819474358557,5.788001298904419,0.0072421725,0.553264856338501,0,5.788008689880371,100,2.7998223304748535,2.2334866523742676,44.45225090891431
5.545457601547241,0.0361480712890625,77.88928652701118,-1.4154271e-05,129.83436289892703,-20.35087151756259,20000,216.50462950435332,6.035862684249878,-0.012260973,0.4538755416870117,1,11.844753503799438,100,3.029900074005127,2.3406238555908203,58.015446749006394
5.494308233261108,0.06278562545776367,98.27471153561069,-1.4139266e-05,166.54652720482522,-169.74471928224767,30000,208.03693295785624,5.939164876937866,-0.0071198987,0.3811612129211426,2,17.798739194869995,100,2.96002197265625,2.358243227005005,57.626883534491256
5.563745975494385,0.03791046142578125,114.90162668159708,-1.4094306e-05,194.73807548969785,116.63746389940226,40000,210.50525914133664,5.853131532669067,-0.007901848,0.25096583366394043,3,23.660752773284912,100,3.0335793495178223,2.3550148010253906,12.39943565682432
5.789504289627075,0.030269145965576172,117.57231672977429,-1.4058383e-05,198.66150757313378,153.55768539353525,50000,209.63767457287125,6.127272367477417,-0.0062694377,0.30726051330566406,4,29.795326471328735,100,3.1438286304473877,2.45919132232666,7.723021777830889
6.68225622177124,0.031651973724365234,119.21623506483019,-1.402372e-05,201.66486914620168,186.49744723586397,60000,209.45756680584486,7.021466016769409,-0.005616222,0.30730414390563965,5,36.827093839645386,100,3.6086277961730957,2.8602957725524902,4.686647292507401
6.752172470092773,0.030554533004760742,119.95062292171394,-1.3980137e-05,202.7984879922435,188.28902785578842,70000,212.95096685571545,7.068891763687134,-0.003970043,0.2857472896575928,6,43.908448696136475,100,3.650033712387085,2.8915493488311768,4.893780715083666
8.097976684570312,0.0358119010925293,120.42983982678983,-1.397267e-05,204.09975533291214,188.3673617454995,80000,212.81491665765395,8.444728374481201,-0.0037478535,0.31060791015625,7,52.36399006843567,100,4.3605897426605225,3.4934394359588623,4.702007673740896
7.29327130317688,0.06609916687011719,120.87290280897795,-1.3926915e-05,204.95062024367402,193.40688499822804,90000,213.25710254452278,7.666989326477051,-0.004604804,0.3073437213897705,8,60.041907787323,100,3.9447693824768066,3.1274752616882324,4.209722855595373
9.57865023612976,0.07965588569641113,121.6727443456111,-1.3893598e-05,207.171038009246,193.31371134516706,100000,217.7315600458004,10.015502214431763,-0.004244302,0.35663747787475586,9,70.06955552101135,100,5.109971761703491,4.162534475326538,3.7069434529446625
8.659157991409302,0.04348564147949219,121.69592155644197,-1.3839583e-05,207.19872796199235,198.45843792888056,110000,216.4939402515563,9.027116537094116,-0.004620311,0.3240993022918701,10,79.11120676994324,100,4.658384561538696,3.7452566623687744,3.7040632176761696
8.504619121551514,0.03646135330200195,122.21961012206995,-1.3819513e-05,208.54679755406235,198.87181377758745,120000,222.79694709877177,8.870939254760742,-0.0026469433,0.32950639724731445,11,87.9931230545044,100,4.5614166259765625,3.6841063499450684,3.7235391892132808
8.579431295394897,0.0651237964630127,122.03781466460511,-1.3778372e-05,208.20361035466718,191.86889899105722,130000,221.33781470105714,8.952643632888794,-0.005561179,0.3078148365020752,12,96.95816993713379,100,4.633146524429321,3.6872763633728027,4.461861152855345
8.620429515838623,0.06704974174499512,122.4632186993955,-1.37439e-05,209.16209428652243,201.92772149619043,140000,218.16562042323955,9.016786813735962,-0.0052701985,0.3231775760650635,13,105.9867217540741,100,4.649328708648682,3.7134933471679688,3.229897875865402
8.59236216545105,0.040036678314208984,122.54559990738773,-1.3703957e-05,209.7372524178658,201.75226357561823,150000,217.0540879265884,8.949830293655396,-0.003637311,0.31714797019958496,14,114.94824552536011,100,4.614908218383789,3.708298444747925,3.012969560710523
11.530215740203857,0.05839991569519043,122.96409697908389,-1.3675154e-05,210.51741324328344,195.8778099199564,160000,218.1608191067078,11.974793910980225,-0.004422109,0.3857295513153076,15,126.934805393219,100,6.178340911865234,5.015676259994507,3.673505177616995
10.303853750228882,0.05079197883605957,123.21377188804946,-1.3637371e-05,211.11819380072222,200.47705494937415,170000,218.3366051978697,10.700693845748901,-0.0048737293,0.3456456661224365,16,137.6531937122345,100,5.504870653152466,4.489818572998047,3.1167568157506675
8.670992374420166,0.04894208908081055,123.35524889691438,-1.3588352e-05,211.5766393539056,202.55115087347573,180000,220.07396162122225,9.08136534690857,-0.004073975,0.36078500747680664,17,146.74901795387268,100,4.656654596328735,3.756899118423462,3.347716247746002
8.897979021072388,0.07734441757202148,123.65857028706122,-1.3553313e-05,212.31509996445737,204.65040060019103,190000,220.5528592737691,9.457540035247803,-0.0041990806,0.4816780090332031,18,156.22045946121216,100,4.771630525588989,3.8613202571868896,3.0783404673170245
11.336477041244507,0.03279304504394531,123.63603730625793,-1.3516532e-05,212.35800931783535,203.53809990854694,200000,222.917966780586,11.687168836593628,-0.003685564,0.31737327575683594,19,167.93158555030823,100,6.096357822418213,4.913002252578735,2.8901116818548367
9.933010578155518,0.06866717338562012,124.18520590961643,-1.3440444e-05,213.55221331241862,205.705910054834,210000,220.25065193847541,10.455769062042236,-0.0029007508,0.45365047454833984,20,178.39764046669006,100,5.315247535705566,4.318752288818359,3.0730473247910908
