Iteration	TimestepsThisBatch	Time	PoolSize	MaxEpReturn	Episodes	TimestepsSoFar	LastEpReturn
32	1000	218.5119595527649	34000	134.18601882379323	34	34000	-0.05460875736938342
33	1000	224.82900023460388	35000	134.18601882379323	35	35000	102.5234492252528
34	1000	231.4967565536499	36000	134.18601882379323	36	36000	119.80068310121882
35	1000	238.7261414527893	37000	291.1357185114462	37	37000	291.1357185114462
36	1000	247.11620783805847	38000	300.34478323797345	38	38000	300.34478323797345
37	1000	255.8152244091034	39000	300.34478323797345	39	39000	269.00627035330945
38	1000	262.00181913375854	40000	300.34478323797345	40	40000	229.20521284568323
39	1000	268.0422103404999	41000	300.34478323797345	41	41000	-115.09135243844051
40	1000	274.1975636482239	42000	300.34478323797345	42	42000	253.8281185259653
41	1000	280.4471025466919	43000	434.03899688503896	43	43000	434.03899688503896
42	1000	287.5878252983093	44000	470.9907974344171	44	44000	470.9907974344171
43	1000	295.37455701828003	45000	525.3624750824661	45	45000	525.3624750824661
44	1000	303.8786745071411	46000	530.9511992823902	46	46000	530.9511992823902
45	1000	312.5207829475403	47000	530.9511992823902	47	47000	481.9563356026169
46	1000	321.18094992637634	48000	530.9511992823902	48	48000	431.9324874239388
47	1000	329.4614100456238	49000	530.9511992823902	49	49000	319.8711321710246
48	1000	335.44769263267517	50000	674.6656344796207	50	50000	674.6656344796207
49	1000	341.5721609592438	51000	674.6656344796207	51	51000	53.47339673020183
50	1000	347.7698493003845	52000	674.6656344796207	52	52000	-138.20850056992523
51	1000	353.8947288990021	53000	1003.3965329207616	53	53000	1003.3965329207616
52	1000	360.11267590522766	54000	1003.3965329207616	54	54000	856.7771482186081
53	1000	366.65208530426025	55000	1003.3965329207616	55	55000	91.23166001210548
54	1000	373.8405191898346	56000	1006.1669880807544	56	56000	1006.1669880807544
55	1000	381.4581582546234	57000	1006.1669880807544	57	57000	-128.38195611961376
56	1000	390.2926285266876	58000	1006.1669880807544	58	58000	862.4195666250589
57	1000	398.95661997795105	59000	1006.1669880807544	59	59000	992.6767180814106
58	1000	405.4483904838562	60000	1006.1669880807544	60	60000	685.2066582761216
59	1000	411.5429916381836	61000	1075.413741495919	61	61000	1075.413741495919
60	1000	417.7205755710602	62000	1075.413741495919	62	62000	537.491993040763
61	1000	424.0085074901581	63000	1075.413741495919	63	63000	150.38441860526652
62	1000	431.1296787261963	64000	1075.413741495919	64	64000	-129.76327079933415
63	1000	438.77784156799316	65000	1346.0291281961431	65	65000	1346.0291281961431
64	1000	447.4835596084595	66000	1346.0291281961431	66	66000	1042.3046298219544
65	1000	456.08057141304016	67000	1453.5540327961828	67	67000	1453.5540327961828
66	1000	464.588721036911	68000	1667.2967237340158	68	68000	1667.2967237340158
67	1000	470.53945875167847	69000	1667.2967237340158	69	69000	58.36041826853728
68	1000	476.6903111934662	70000	1667.2967237340158	70	70000	-14.051301453943095
69	1000	482.9713351726532	71000	1667.2967237340158	71	71000	1488.8885722800817
70	1000	489.37172079086304	72000	1714.947582574111	72	72000	1714.947582574111
71	1000	496.47433376312256	73000	1714.947582574111	73	73000	1606.1347868743483
72	1000	504.5370018482208	74000	1714.947582574111	74	74000	1568.099989917916
73	1000	513.3637194633484	75000	1714.947582574111	75	75000	1417.800728626118
74	1000	522.0159103870392	76000	1714.947582574111	76	76000	593.2578473712904
75	1000	529.9457538127899	77000	1714.947582574111	77	77000	1703.0542813006612
76	1000	535.9370601177216	78000	1714.947582574111	78	78000	1602.5716763411779
77	1000	542.0319309234619	79000	1926.795470162486	79	79000	1926.795470162486
78	1000	548.187656879425	80000	1926.795470162486	80	80000	1775.2247768383486
79	1000	554.6149852275848	81000	1926.795470162486	81	81000	1854.4846537031185
80	1000	561.7931687831879	82000	1929.8427614944862	82	82000	1929.8427614944862
81	1000	569.8041875362396	83000	1929.8427614944862	83	83000	1854.5632482487815
82	1000	578.6378984451294	84000	1929.8427614944862	84	84000	1602.2189174433938
83	1000	587.4684054851532	85000	1929.8427614944862	85	85000	-84.30798064259555
84	1000	596.0561077594757	86000	2025.4849711858355	86	86000	2025.4849711858355
85	1000	601.9996464252472	87000	2025.4849711858355	87	87000	1976.0685870660525
86	1000	608.0981979370117	88000	2025.4849711858355	88	88000	1956.3060641674986
87	1000	614.3160645961761	89000	2163.9667149527922	89	89000	2163.9667149527922
88	1000	620.696300983429	90000	2163.9667149527922	90	90000	1844.1260133165383
89	1000	628.0296506881714	91000	2163.9667149527922	91	91000	1962.2605508255253
90	1000	636.0705988407135	92000	2163.9667149527922	92	92000	408.4793379959422
91	1000	644.8368771076202	93000	2163.9667149527922	93	93000	2002.3569952434023
92	1000	653.5305912494659	94000	2163.9667149527922	94	94000	1947.4891671494318
93	1000	661.7474219799042	95000	2163.9667149527922	95	95000	1479.7809807963201
94	1000	667.8564388751984	96000	2163.9667149527922	96	96000	2149.868058403086
95	1000	674.1789090633392	97000	2163.9667149527922	97	97000	2092.115321401158
96	1000	680.2733948230743	98000	2163.9667149527922	98	98000	2076.9415393861464
97	1000	687.000780582428	99000	2163.9667149527922	99	99000	1124.7127750070395
98	1000	694.2808632850647	100000	2163.9667149527922	100	100000	222.48984404061244
99	1000	701.9646670818329	101000	2163.9667149527922	101	101000	13.01253553213602
100	1000	710.8141086101532	102000	2163.9667149527922	102	102000	2035.8936293899753
101	1000	719.4578430652618	103000	2173.1410003778547	103	103000	2173.1410003778547
102	1000	728.1824154853821	104000	2173.1410003778547	104	104000	2085.70267741506
103	1000	736.7295668125153	105000	2252.4297944342493	105	105000	2252.4297944342493
104	1000	745.1489963531494	106000	2252.4297944342493	106	106000	377.8626734344883
105	1000	751.405905008316	107000	2252.4297944342493	107	107000	2115.4855738638717
106	1000	757.5377767086029	108000	2252.4297944342493	108	108000	2066.1363380647285
107	1000	763.7090916633606	109000	2352.881689098979	109	109000	2352.881689098979
108	1000	770.2463450431824	110000	2352.881689098979	110	110000	2108.5265391321973
109	1000	777.4894733428955	111000	2352.881689098979	111	111000	2184.9227919312825
110	1000	785.4532172679901	112000	2352.881689098979	112	112000	2069.093588136152
111	1000	794.0400207042694	113000	2352.881689098979	113	113000	2231.9676062643157
112	1000	802.5678782463074	114000	2352.881689098979	114	114000	2135.8322225403776
113	1000	809.2753767967224	115000	2352.881689098979	115	115000	1290.021217611365
114	1000	815.3371076583862	116000	2352.881689098979	116	116000	136.83740976327374
115	1000	821.4875040054321	117000	2352.881689098979	117	117000	-395.8743746432731
116	1000	827.867418050766	118000	2352.881689098979	118	118000	-130.32892358803315
117	1000	834.7896730899811	119000	2352.881689098979	119	119000	-201.92573627365786
118	1000	842.0275263786316	120000	2352.881689098979	120	120000	136.59206193233143
119	1000	850.8066794872284	121000	2352.881689098979	121	121000	-193.29006746869956
120	1000	859.5078575611115	122000	2352.881689098979	122	122000	-239.36764717812463
121	1000	868.1508455276489	123000	2352.881689098979	123	123000	-462.45396897894926
122	1000	876.7262742519379	124000	2352.881689098979	124	124000	-448.2481046675338
123	1000	882.7028384208679	125000	2352.881689098979	125	125000	-499.9213142415826
124	1000	888.9087917804718	126000	2352.881689098979	126	126000	-470.7769292886932
125	1000	895.1328303813934	127000	2352.881689098979	127	127000	-626.5076652868735
126	1000	901.4687962532043	128000	2352.881689098979	128	128000	-507.9333287860901
127	1000	908.676472902298	129000	2352.881689098979	129	129000	-559.802223270309
128	1000	916.4156217575073	130000	2352.881689098979	130	130000	-638.4032637467365
129	1000	925.2417824268341	131000	2352.881689098979	131	131000	-740.6616038916317
130	1000	934.0948493480682	132000	2352.881689098979	132	132000	-406.2637783270145
131	1000	941.0842623710632	133000	2352.881689098979	133	133000	-557.7594786242421
132	1000	947.2235286235809	134000	2352.881689098979	134	134000	-479.1376205584492
133	1000	953.389570236206	135000	2352.881689098979	135	135000	-659.8152743331959
134	1000	959.7569768428802	136000	2352.881689098979	136	136000	-846.3910421328367
135	1000	966.822699546814	137000	2352.881689098979	137	137000	-657.4890954064562
136	1000	974.1313729286194	138000	2352.881689098979	138	138000	-695.5187602507486
137	1000	983.2243905067444	139000	2352.881689098979	139	139000	-699.6755309375949
138	1000	992.1202366352081	140000	2352.881689098979	140	140000	-32.65851376353835
139	1000	999.542989730835	141000	2352.881689098979	141	141000	-539.6900052295072
140	1000	1005.8636283874512	142000	2352.881689098979	142	142000	-855.8582107868644
141	1000	1012.1518995761871	143000	2352.881689098979	143	143000	-692.052496009751
142	1000	1018.4179532527924	144000	2352.881689098979	144	144000	-610.9342250277049
143	1000	1025.3355882167816	145000	2352.881689098979	145	145000	-578.7899400756236
144	1000	1032.5102598667145	146000	2352.881689098979	146	146000	-623.3996200846512
145	1000	1041.214273929596	147000	2352.881689098979	147	147000	-547.8908822555558
146	1000	1049.8312542438507	148000	2352.881689098979	148	148000	-526.7591180687622
147	1000	1058.7111148834229	149000	2352.881689098979	149	149000	-304.4962182703149
148	1000	1067.376267194748	150000	2352.881689098979	150	150000	-411.82363462866084
149	1000	1073.8935034275055	151000	2352.881689098979	151	151000	-361.8614302760298
150	1000	1080.0791568756104	152000	2352.881689098979	152	152000	-252.39008670862955
151	1000	1086.2460691928864	153000	2352.881689098979	153	153000	22.085402035938955
152	1000	1092.5688960552216	154000	2352.881689098979	154	154000	-323.7311234913652
153	1000	1099.8340775966644	155000	2352.881689098979	155	155000	-294.6420138797131
154	1000	1107.2297205924988	156000	2352.881689098979	156	156000	-543.5447547253051
155	1000	1115.8870975971222	157000	2352.881689098979	157	157000	-537.22974647794
156	1000	1124.4084026813507	158000	2352.881689098979	158	158000	-322.44864320281323
157	1000	1130.7974133491516	159000	2352.881689098979	159	159000	-839.071866526884
158	1000	1137.0615117549896	160000	2352.881689098979	160	160000	-747.3794594011619
159	1000	1143.2750573158264	161000	2352.881689098979	161	161000	-268.43567828101857
160	1000	1149.819832086563	162000	2352.881689098979	162	162000	-418.37501708916193
161	1000	1156.9553306102753	163000	2352.881689098979	163	163000	-341.3560402436022
162	1000	1164.271500825882	164000	2352.881689098979	164	164000	-377.47614854101107
163	1000	1172.9407234191895	165000	2352.881689098979	165	165000	-699.21282529332
164	1000	1181.6244297027588	166000	2352.881689098979	166	166000	-830.5794977417752
165	1000	1189.8928360939026	167000	2352.881689098979	167	167000	-884.2593853298562
166	1000	1195.9172763824463	168000	2352.881689098979	168	168000	-1079.990597120362
167	1000	1202.0957572460175	169000	2352.881689098979	169	169000	-819.8173694283488
168	1000	1208.203373670578	170000	2352.881689098979	170	170000	-794.6850134334935
169	1000	1214.6172268390656	171000	2352.881689098979	171	171000	-547.649854586178
170	1000	1221.9386994838715	172000	2352.881689098979	172	172000	-401.87327442104026
171	1000	1229.8894984722137	173000	2352.881689098979	173	173000	-248.53015477616594
172	1000	1238.747994184494	174000	2352.881689098979	174	174000	-189.91601892700388
173	1000	1247.3716983795166	175000	2352.881689098979	175	175000	-373.1288619959057
174	1000	1256.1796782016754	176000	2352.881689098979	176	176000	-384.4099702822246
175	1000	1263.6889219284058	177000	2352.881689098979	177	177000	-359.9918878174995
176	1000	1269.7378890514374	178000	2352.881689098979	178	178000	-320.82579926442446
177	1000	1275.8681371212006	179000	2352.881689098979	179	179000	-502.3906518945316
178	1000	1282.2617492675781	180000	2352.881689098979	180	180000	-547.1860562298858
179	1000	1289.0596277713776	181000	2352.881689098979	181	181000	-450.8905008190391
180	1000	1296.2827279567719	182000	2352.881689098979	182	182000	-289.9008723076835
181	1000	1304.8114988803864	183000	2352.881689098979	183	183000	-282.14062652978157
182	1000	1313.7131147384644	184000	2352.881689098979	184	184000	-121.74514685540919
183	1000	1322.440449476242	185000	2352.881689098979	185	185000	-273.43042874254644
184	1000	1330.6069707870483	186000	2352.881689098979	186	186000	-264.9480537275681
185	1000	1336.6905725002289	187000	2352.881689098979	187	187000	-87.5467075329141
186	1000	1342.9759876728058	188000	2352.881689098979	188	188000	-108.73653497838575
187	1000	1349.2694690227509	189000	2352.881689098979	189	189000	-380.9359466476112
188	1000	1355.8338539600372	190000	2352.881689098979	190	190000	-325.4256732877382
189	1000	1363.0771985054016	191000	2352.881689098979	191	191000	-409.42133002150985
190	1000	1371.0002646446228	192000	2352.881689098979	192	192000	-369.12003692582
191	1000	1379.5814876556396	193000	2352.881689098979	193	193000	-444.7940320564148
192	1000	1388.317847251892	194000	2352.881689098979	194	194000	-578.5559523424988
193	1000	1396.6988306045532	195000	2352.881689098979	195	195000	-649.4608383318595
194	1000	1405.2566101551056	196000	2352.881689098979	196	196000	-669.8124385923679
195	1000	1411.271036863327	197000	2352.881689098979	197	197000	-663.89155608445
196	1000	1417.4527342319489	198000	2352.881689098979	198	198000	-643.01198022821
197	1000	1423.851185798645	199000	2352.881689098979	199	199000	-676.4981121814554
198	1000	1430.2874143123627	200000	2352.881689098979	200	200000	-685.7044164581775
199	1000	1437.6157131195068	201000	2352.881689098979	201	201000	-668.4884733357155
200	1000	1445.0396978855133	202000	2352.881689098979	202	202000	-682.1357720059827
201	1000	1453.7675108909607	203000	2352.881689098979	203	203000	-658.6905984715343
202	1000	1462.3206758499146	204000	2352.881689098979	204	204000	-639.8436122599958
203	1000	1470.8617806434631	205000	2352.881689098979	205	205000	-571.1324410416622
204	1000	1477.7157337665558	206000	2352.881689098979	206	206000	-631.9648490102559
205	1000	1483.8563833236694	207000	2352.881689098979	207	207000	-611.178296870652
206	1000	1490.0374155044556	208000	2352.881689098979	208	208000	-515.8510842087879
207	1000	1496.3741698265076	209000	2352.881689098979	209	209000	-507.31192333539616
208	1000	1503.2130172252655	210000	2352.881689098979	210	210000	-529.4595919534528
209	1000	1510.4434714317322	211000	2352.881689098979	211	211000	-552.0585795052764
210	1000	1519.3208947181702	212000	2352.881689098979	212	212000	-539.1170202453096
211	1000	1528.0625398159027	213000	2352.881689098979	213	213000	-549.0885352642215
212	1000	1536.8841576576233	214000	2352.881689098979	214	214000	-427.80259445904676
213	1000	1545.3635790348053	215000	2352.881689098979	215	215000	-511.0660883541851
214	1000	1551.3636305332184	216000	2352.881689098979	216	216000	-488.72626724080027
215	1000	1557.4860813617706	217000	2352.881689098979	217	217000	-545.7721967599782
216	1000	1563.7266924381256	218000	2352.881689098979	218	218000	-583.1933063556995
217	1000	1570.1736121177673	219000	2352.881689098979	219	219000	-387.4059553423401
218	1000	1577.498722076416	220000	2352.881689098979	220	220000	-542.2248901085179
219	1000	1585.2330362796783	221000	2352.881689098979	221	221000	-603.0884838512758
220	1000	1594.033062696457	222000	2352.881689098979	222	222000	-601.0235393478981
221	1000	1602.6082730293274	223000	2352.881689098979	223	223000	-441.8346252922669
222	1000	1611.341826915741	224000	2352.881689098979	224	224000	-610.0377409744833
223	1000	1619.85058426857	225000	2352.881689098979	225	225000	-606.6824504027296
224	1000	1627.5841977596283	226000	2352.881689098979	226	226000	-627.4661023115503
225	1000	1633.8061954975128	227000	2352.881689098979	227	227000	-601.6402500591637
226	1000	1640.0132462978363	228000	2352.881689098979	228	228000	-597.7589880586894
227	1000	1646.2114021778107	229000	2352.881689098979	229	229000	-595.9262267164818
228	1000	1652.9199590682983	230000	2352.881689098979	230	230000	-595.8930936324589
229	1000	1659.9301946163177	231000	2352.881689098979	231	231000	-588.6586463602738
230	1000	1668.3521473407745	232000	2352.881689098979	232	232000	-587.2266775869151
231	1000	1676.9086244106293	233000	2352.881689098979	233	233000	-560.4155896365947
232	1000	1685.5962886810303	234000	2352.881689098979	234	234000	-591.9672084818334
233	1000	1691.714699268341	235000	2352.881689098979	235	235000	-592.1952899387875
234	1000	1697.943811416626	236000	2352.881689098979	236	236000	-587.7906990065661
235	1000	1704.2122933864594	237000	2352.881689098979	237	237000	-578.546365205799
236	1000	1710.652941942215	238000	2352.881689098979	238	238000	-570.6796196931786
237	1000	1717.9140498638153	239000	2352.881689098979	239	239000	-582.814207188495
238	1000	1725.408391237259	240000	2352.881689098979	240	240000	-585.9632329726155
239	1000	1734.131273984909	241000	2352.881689098979	241	241000	-587.9022936366337
240	1000	1742.7833743095398	242000	2352.881689098979	242	242000	-596.6275341548679
241	1000	1751.2244646549225	243000	2352.881689098979	243	243000	-583.40595242103
242	1000	1759.2152552604675	244000	2352.881689098979	244	244000	-590.2544075207315
243	1000	1765.226261138916	245000	2352.881689098979	245	245000	-589.6858412790924
244	1000	1771.582340478897	246000	2352.881689098979	246	246000	-589.9840835213614
245	1000	1777.8049879074097	247000	2352.881689098979	247	247000	-590.6355794859993
246	1000	1784.5177793502808	248000	2352.881689098979	248	248000	-596.8255992305687
247	1000	1791.8507659435272	249000	2352.881689098979	249	249000	-589.2886899273158
248	1000	1799.6940393447876	250000	2352.881689098979	250	250000	-590.9807331330267
249	1000	1808.508730173111	251000	2352.881689098979	251	251000	-592.9465911143731
250	1000	1817.2368512153625	252000	2352.881689098979	252	252000	-591.7520901544442
251	1000	1823.5397720336914	253000	2352.881689098979	253	253000	-591.0648553097585
252	1000	1829.699630498886	254000	2352.881689098979	254	254000	-592.9696303089677
253	1000	1835.9162092208862	255000	2352.881689098979	255	255000	-590.3338308993073
254	1000	1842.2673046588898	256000	2352.881689098979	256	256000	-590.7100963585856
255	1000	1849.4861586093903	257000	2352.881689098979	257	257000	-589.9682708322297
256	1000	1856.8627643585205	258000	2352.881689098979	258	258000	-588.4455260028083
257	1000	1865.6149642467499	259000	2352.881689098979	259	259000	-604.3000773751438
258	1000	1874.2261273860931	260000	2352.881689098979	260	260000	-959.6306305779839
259	1000	1882.9173407554626	261000	2352.881689098979	261	261000	-1239.0919985188277
260	1000	1891.5914409160614	262000	2352.881689098979	262	262000	-791.1041741630332
261	1000	1898.320317029953	263000	2352.881689098979	263	263000	-591.364313607804
262	1000	1904.5287473201752	264000	2352.881689098979	264	264000	-590.9583300664366
263	1000	1910.7991545200348	265000	2352.881689098979	265	265000	-1155.1661183796916
264	1000	1917.1506118774414	266000	2352.881689098979	266	266000	-951.2503536788416
265	1000	1924.181759595871	267000	2352.881689098979	267	267000	-1001.9038112052815
266	1000	1931.406798362732	268000	2352.881689098979	268	268000	-1023.2216182758482
267	1000	1940.28884100914	269000	2352.881689098979	269	269000	-911.4507589468681
268	1000	1948.9101874828339	270000	2352.881689098979	270	270000	-629.5599733701127
269	1000	1957.6865043640137	271000	2352.881689098979	271	271000	-982.4503412758426
270	1000	1966.307245016098	272000	2352.881689098979	272	272000	-954.3349124933487
271	1000	1974.8166151046753	273000	2352.881689098979	273	273000	-1030.5154770461509
272	1000	1981.982745885849	274000	2352.881689098979	274	274000	-1108.6459431188052
273	1000	1988.1480224132538	275000	2352.881689098979	275	275000	-874.0393896519823
274	1000	1994.379316329956	276000	2352.881689098979	276	276000	-880.0963309577454
275	1000	2000.6093378067017	277000	2352.881689098979	277	277000	-1063.6779103039134
276	1000	2006.9940822124481	278000	2352.881689098979	278	278000	-1158.0609274527656
277	1000	2013.3725154399872	279000	2352.881689098979	279	279000	-854.7870843508291
278	1000	2019.9727926254272	280000	2352.881689098979	280	280000	-1241.7626492921975
279	1000	2027.2486236095428	281000	2352.881689098979	281	281000	-1023.4766422791412
280	1000	2035.9341468811035	282000	2352.881689098979	282	282000	-725.5545122397273
281	1000	2044.6036729812622	283000	2352.881689098979	283	283000	-606.4443262574569
282	1000	2053.281155347824	284000	2352.881689098979	284	284000	-595.095760425903
283	1000	2061.8547945022583	285000	2352.881689098979	285	285000	-608.8094092483332
284	1000	2070.525331020355	286000	2352.881689098979	286	286000	-594.556038405638
285	1000	2078.9634187221527	287000	2352.881689098979	287	287000	-591.7000314236413
286	1000	2085.1627118587494	288000	2352.881689098979	288	288000	-593.3090699652423
287	1000	2091.2560300827026	289000	2352.881689098979	289	289000	-587.9230371580092
288	1000	2097.5893824100494	290000	2352.881689098979	290	290000	-588.4781671187854
289	1000	2104.130818605423	291000	2352.881689098979	291	291000	-590.8331824533789
290	1000	2111.153130531311	292000	2352.881689098979	292	292000	-588.5537427402403
291	1000	2119.3572087287903	293000	2352.881689098979	293	293000	-587.6117799608141
292	1000	2128.1225860118866	294000	2352.881689098979	294	294000	-586.1306750691143
293	1000	2136.7759392261505	295000	2352.881689098979	295	295000	-589.6038902497812
294	1000	2145.3261156082153	296000	2352.881689098979	296	296000	-589.3676202530125
295	1000	2152.7349717617035	297000	2352.881689098979	297	297000	-582.0315157025805
296	1000	2158.849829673767	298000	2352.881689098979	298	298000	-586.4231977544276
297	1000	2165.0964698791504	299000	2352.881689098979	299	299000	-549.0290421780248
298	1000	2171.4457862377167	300000	2352.881689098979	300	300000	-591.6292809472048
299	1000	2178.2890527248383	301000	2352.881689098979	301	301000	-592.827593534862
300	1000	2185.5952854156494	302000	2352.881689098979	302	302000	-591.8833145087615
301	1000	2194.2351911067963	303000	2352.881689098979	303	303000	-593.5497992174153
302	1000	2202.982157230377	304000	2352.881689098979	304	304000	-612.6190087342897
303	1000	2211.581807613373	305000	2352.881689098979	305	305000	-591.0212377896315
304	1000	2220.2257690429688	306000	2352.881689098979	306	306000	-592.038229793402
305	1000	2228.1142058372498	307000	2352.881689098979	307	307000	-590.3755699706813
306	1000	2234.073632955551	308000	2352.881689098979	308	308000	-591.6199511538472
307	1000	2240.0665814876556	309000	2352.881689098979	309	309000	-591.4343622064368
308	1000	2246.3280148506165	310000	2352.881689098979	310	310000	-591.7022193761084
309	1000	2252.9329183101654	311000	2352.881689098979	311	311000	-595.2720184721774
310	1000	2260.047463655472	312000	2352.881689098979	312	312000	-595.0191221845064
311	1000	2268.5426938533783	313000	2352.881689098979	313	313000	-590.6221219033473
312	1000	2277.4534051418304	314000	2352.881689098979	314	314000	-588.6775027489591
313	1000	2283.6710884571075	315000	2352.881689098979	315	315000	-589.3965042723426
314	1000	2289.831528902054	316000	2352.881689098979	316	316000	-591.4682553418064
315	1000	2296.0467677116394	317000	2352.881689098979	317	317000	-589.630235478405
316	1000	2302.5157029628754	318000	2352.881689098979	318	318000	-591.5168868421866
317	1000	2309.816244840622	319000	2352.881689098979	319	319000	-589.4701110293557
318	1000	2317.306462287903	320000	2352.881689098979	320	320000	-592.6669477517783
319	1000	2326.0351169109344	321000	2352.881689098979	321	321000	-592.015141050146
320	1000	2334.7442479133606	322000	2352.881689098979	322	322000	-590.3368183308743
321	1000	2343.256863594055	323000	2352.881689098979	323	323000	-593.3633296982844
322	1000	2351.8501970767975	324000	2352.881689098979	324	324000	-591.8950476333562
323	1000	2359.733774662018	325000	2352.881689098979	325	325000	-589.5723582462892
324	1000	2365.847277879715	326000	2352.881689098979	326	326000	-589.6998976070578
325	1000	2372.1122603416443	327000	2352.881689098979	327	327000	-597.1297327352527
326	1000	2378.3189508914948	328000	2352.881689098979	328	328000	-592.019000511519
327	1000	2384.982947587967	329000	2352.881689098979	329	329000	-601.9235110586917
328	1000	2392.1803138256073	330000	2352.881689098979	330	330000	-591.1843467387948
329	1000	2400.025626182556	331000	2352.881689098979	331	331000	-594.6269185138486
330	1000	2408.7686874866486	332000	2352.881689098979	332	332000	-601.9731559783604
331	1000	2417.1565561294556	333000	2352.881689098979	333	333000	-580.8029652324557
332	1000	2425.895146369934	334000	2352.881689098979	334	334000	-590.8674765730179
333	1000	2434.48885345459	335000	2352.881689098979	335	335000	-606.4029003391837
334	1000	2440.6976733207703	336000	2352.881689098979	336	336000	-613.5142168204655
335	1000	2446.952293395996	337000	2352.881689098979	337	337000	-617.1769209560931
336	1000	2453.362954378128	338000	2352.881689098979	338	338000	-658.8696948657408
337	1000	2459.689071893692	339000	2352.881689098979	339	339000	-676.8221171483983
338	1000	2467.0689735412598	340000	2352.881689098979	340	340000	-631.1688821488689
339	1000	2475.0173647403717	341000	2352.881689098979	341	341000	-638.0914513332533
340	1000	2483.885739326477	342000	2352.881689098979	342	342000	-635.6654769381572
341	1000	2492.5009660720825	343000	2352.881689098979	343	343000	-602.9780319174504
342	1000	2501.30477142334	344000	2352.881689098979	344	344000	-596.1808246960875
343	1000	2509.9933195114136	345000	2352.881689098979	345	345000	-593.3663652010664
344	1000	2516.2065980434418	346000	2352.881689098979	346	346000	-594.8360657956827
345	1000	2522.385542154312	347000	2352.881689098979	347	347000	-591.8817626247447
346	1000	2528.542868375778	348000	2352.881689098979	348	348000	-593.6150676447406
347	1000	2535.021684885025	349000	2352.881689098979	349	349000	-593.0987449633008
348	1000	2542.349591732025	350000	2352.881689098979	350	350000	-584.0896569870179
349	1000	2550.059271812439	351000	2352.881689098979	351	351000	-592.3187388630938
350	1000	2559.0659399032593	352000	2352.881689098979	352	352000	-592.9668085544248
351	1000	2567.7659842967987	353000	2352.881689098979	353	353000	-599.2595734987719
352	1000	2576.594449520111	354000	2352.881689098979	354	354000	-593.4198085448116
353	1000	2585.2347197532654	355000	2352.881689098979	355	355000	-546.9751634366567
354	1000	2591.605207681656	356000	2352.881689098979	356	356000	-397.4344083181889
355	1000	2597.8679492473602	357000	2352.881689098979	357	357000	-368.12424172548407
356	1000	2604.157953262329	358000	2352.881689098979	358	358000	-410.99867902920136
357	1000	2610.594511270523	359000	2352.881689098979	359	359000	-555.0412095546457
358	1000	2617.866940498352	360000	2352.881689098979	360	360000	-402.75178303317006
359	1000	2625.5118131637573	361000	2352.881689098979	361	361000	-515.4377452438476
360	1000	2634.2116091251373	362000	2352.881689098979	362	362000	-574.977498499407
