Iteration	TimestepsThisBatch	Time	PoolSize	MaxEpReturn	Episodes	TimestepsSoFar	LastEpReturn
0	1000	6.311262130737305	2000	-180.411390502518	2	2000	-180.411390502518
1	1000	12.162426710128784	3000	-180.411390502518	3	3000	-223.29718226358426
2	1000	18.109562397003174	4000	-175.46843406217658	4	4000	-175.46843406217658
3	1000	24.034980297088623	5000	-175.46843406217658	5	5000	-207.52533256745028
4	1000	29.932275533676147	6000	-175.46843406217658	6	6000	-240.85777969913056
5	1000	35.9605507850647	7000	-173.51247836923156	7	7000	-173.51247836923156
6	1000	43.137314796447754	8000	-146.13670070038978	8	8000	-146.13670070038978
7	1000	50.152631998062134	9000	-146.13670070038978	9	9000	-272.95958533049674
8	1000	57.248368978500366	10000	-146.13670070038978	10	10000	-196.52129949270784
9	1000	64.39377689361572	11000	-90.20631189764565	11	11000	-90.20631189764565
10	1000	71.50614333152771	12000	-90.20631189764565	12	12000	-214.69494990731766
11	1000	78.54742479324341	13000	-90.20631189764565	13	13000	-111.18523912573087
12	1000	84.5031487941742	14000	-43.109318225390524	14	14000	-43.109318225390524
13	1000	90.5513117313385	15000	-43.109318225390524	15	15000	-226.38398447879257
14	1000	96.53021240234375	16000	-43.109318225390524	16	16000	-135.14920724469343
15	1000	103.02061915397644	17000	-43.109318225390524	17	17000	-154.03683983403735
16	1000	110.69725322723389	18000	-43.109318225390524	18	18000	-101.26434503236533
17	1000	117.2063205242157	19000	-43.109318225390524	19	19000	-110.00034466553281
18	1000	123.16017007827759	20000	-43.109318225390524	20	20000	-67.97491355678395
19	1000	129.34738755226135	21000	102.33290476525063	21	21000	102.33290476525063
20	1000	135.37615990638733	22000	102.33290476525063	22	22000	-123.45991433417727
21	1000	142.49033617973328	23000	110.86829892806026	23	23000	110.86829892806026
22	1000	150.45590162277222	24000	110.86829892806026	24	24000	96.67175415917644
23	1000	158.25443506240845	25000	110.86829892806026	25	25000	-42.05797614111001
24	1000	164.38913559913635	26000	110.86829892806026	26	26000	-96.11691945856015
25	1000	170.35087418556213	27000	110.86829892806026	27	27000	87.18225062437186
26	1000	176.5786328315735	28000	110.86829892806026	28	28000	-119.15231287542937
27	1000	183.1272578239441	29000	110.86829892806026	29	29000	81.0450748538058
28	1000	190.15311312675476	30000	110.86829892806026	30	30000	34.2177886196211
29	1000	198.77611684799194	31000	110.86829892806026	31	31000	-79.26268244534205
30	1000	206.17432832717896	32000	134.18601882379323	32	32000	134.18601882379323
31	1000	212.30027198791504	33000	134.18601882379323	33	33000	52.34450557536834
