train-MaxReturn,ItrTime,train-NumTrajs,LossAfter,Time,train-StdReturn,train-AverageReturn,n_timesteps,Time-Optimization,Time-SampleProc,Itr,train-EnvExecTime,train-AverageDiscountedReturn,train-MinReturn,LossBefore,Time-Sampling,train-PolicyExecTime
50.17463828734483,25.821093320846558,100,-2.3444529,25.82110905647278,30.389686530641136,-27.31246475331126,10000,2.711139440536499,0.1376636028289795,0,8.368955612182617,-17.35734270666161,-98.56847226387326,-0.076802306,22.971566677093506,13.930528402328491
114.82271193411113,25.24475073814392,100,-0.1253415,51.17860436439514,48.58466841976652,-58.349169660048666,20000,1.3924999237060547,0.3172926902770996,1,8.48480224609375,-36.46108433326331,-202.03079339797767,-2.2888185e-09,23.53376317024231,14.359759330749512
86.55772286329555,25.259435176849365,100,-0.044871278,76.50411939620972,48.037925221802844,-52.85022053850008,30000,1.1261565685272217,0.1250166893005371,2,8.597634077072144,-33.609019929941354,-170.5615807282927,9.155274e-09,24.007417917251587,14.694014072418213
65.10341670440924,25.033326864242554,100,-0.06876759,101.6066997051239,42.61553986849696,-45.56950449296227,40000,1.1334972381591797,0.12463164329528809,3,8.458922147750854,-29.507840817612223,-155.52231699622988,9.918213e-09,23.774430751800537,14.612034797668457
38.260211659815276,25.494543075561523,100,-0.0894535,127.16598320007324,38.73407537811538,-40.15195790618731,50000,1.1264910697937012,0.1227264404296875,4,8.626397132873535,-25.958803660413796,-142.55366172442788,3.0517577e-09,24.24411106109619,14.890801906585693
83.80833867035852,25.32083821296692,100,-0.06142985,152.5520305633545,41.81737192959355,-30.774608531453353,60000,1.1492834091186523,0.12435460090637207,5,8.560755252838135,-20.333813376399963,-125.54491117010184,-1.5258789e-09,24.046399116516113,14.780132055282593
76.67167687347663,25.32882833480835,100,-0.046828385,177.95103693008423,41.897617407758375,-27.479180808382857,70000,1.1114599704742432,0.12155961990356445,6,8.644147157669067,-17.61714861744453,-132.69097447689535,-7.629395e-09,24.09512233734131,14.724387645721436
69.78487729467106,25.728655099868774,100,-0.051869445,203.74916100502014,36.985731687652326,-25.233187659583027,80000,1.1600468158721924,0.13217544555664062,7,8.767677545547485,-17.135212400093994,-108.31917227139768,-1.525879e-08,24.43579339981079,14.946069717407227
56.55341616524137,25.285711526870728,100,-0.049647365,229.10864663124084,34.40882744435806,-20.387377378563226,90000,1.1206917762756348,0.12291884422302246,8,8.597514152526855,-13.340361504305195,-106.79877853743386,1.525879e-08,24.04093599319458,14.71358585357666
107.89622525947114,25.114983081817627,100,-0.05262912,254.29553985595703,42.943268864130914,-9.987621760235886,100000,1.1136174201965332,0.12051129341125488,9,8.58436632156372,-7.0535942989845015,-96.1953396059351,1.9836426e-08,23.880113124847412,14.592906713485718
128.35720240005764,25.31947946548462,100,-0.056188915,279.68207001686096,42.93159839485092,-16.015531338386907,110000,1.101280927658081,0.1254127025604248,10,8.67612600326538,-9.969103008450451,-130.70724431564068,4.577637e-09,24.092036247253418,14.705301761627197
118.03375192677626,25.248206615447998,100,-0.0431404,304.99920296669006,42.5767658138316,-10.717000349123502,120000,1.1251733303070068,0.12314009666442871,11,8.55935287475586,-7.434739754577229,-107.89178957394343,2.4414062e-08,23.999047994613647,14.727786302566528
84.61586456169115,25.265501976013184,100,-0.056825995,330.3280301094055,35.89838826683919,-6.302918397767692,130000,1.1420161724090576,0.1247708797454834,12,8.57314133644104,-3.415197346560954,-141.70394256722287,3.0517577e-09,23.997889518737793,14.707228183746338
122.77790114342082,25.22399091720581,100,-0.11356082,355.6186773777008,45.2017703035382,-2.0463747156322936,140000,1.1293730735778809,0.12320399284362793,13,8.61216926574707,-2.3424701262444496,-125.86063088144525,1.373291e-08,23.970772981643677,14.64411735534668
131.26224176178377,25.228338479995728,100,-0.1645802,380.9104812145233,44.289029472258996,1.691624773655799,150000,1.1273236274719238,0.12435102462768555,14,8.579653263092041,0.6689588247340589,-142.15465950068034,3.0517577e-09,23.975883722305298,14.687214374542236
117.49532480703293,25.168359756469727,100,-0.053029113,406.13860177993774,48.67598644049458,10.904505328968014,160000,1.1415815353393555,0.12382769584655762,15,8.58747148513794,4.446261180998117,-157.26337937634662,-0.010095678,23.901991605758667,14.617318868637085
133.5238049471046,25.22274947166443,100,-0.23092984,431.4266939163208,48.76439435836848,9.885105243432491,170000,1.1307249069213867,0.14885306358337402,16,8.659644365310669,4.151353424543098,-91.246034935981,3.8146974e-09,23.94243025779724,14.576085805892944
110.06278709995158,25.129114866256714,100,-29.371056,456.61866426467896,46.37808768170444,-10.535175298237107,180000,1.1443068981170654,0.1269073486328125,17,8.630347967147827,-6.5098777827778385,-134.5494979396699,6.1035155e-09,23.857174396514893,14.52180290222168
103.41040778414335,25.300117015838623,100,-3.5269418,481.9894986152649,44.50320975006383,-22.433431665206886,190000,1.1146783828735352,0.12062454223632812,18,8.721420049667358,-15.339914234348473,-156.29992075564044,-6.1035155e-09,24.064039945602417,14.638168811798096
83.39742844955099,25.317394971847534,100,-0.07097941,507.36768889427185,42.48447205807779,-17.872146971435527,200000,1.1153905391693115,0.12896990776062012,19,8.69830846786499,-11.679728696527427,-167.414965332349,1.1444092e-08,24.072468280792236,14.65775179862976
80.65678556911206,25.211230516433716,100,-0.26042068,532.6520617008209,51.99805232568391,-32.522370135267835,210000,1.124746561050415,0.12763714790344238,20,8.616273641586304,-22.02791477992193,-167.78119081525776,1.2207031e-08,23.958157062530518,14.6367506980896
