train-PolicyExecTime,ItrTime,train-MaxReturn,train-EnvExecTime,LossBefore,train-MinReturn,train-AverageDiscountedReturn,n_timesteps,train-StdReturn,Time-Sampling,LossAfter,train-NumTrajs,train-AverageReturn,Time,Time-SampleProc,Time-Optimization,Itr
14.680295944213867,27.745763778686523,290.23040706149754,11.070884704589844,-8.298369e-06,251.21746070950337,155.55708734614626,1560000,4.910501161753697,26.495441913604736,-0.0015572238,100,283.98484450930965,4381.606063365936,0.11834478378295898,1.1312086582183838,155
14.846790552139282,27.893366813659668,290.9529336162575,11.089034795761108,-8.279788e-06,226.62894228548294,154.65107320059965,1570000,7.991363165183894,26.669400453567505,-0.0019308068,100,282.3203665317406,4409.57008433342,0.15851640701293945,1.064650297164917,156
14.773799896240234,27.966110706329346,289.03553670847805,11.181018352508545,-8.230641e-06,270.20435249682976,154.9567265257244,1580000,3.8453618867062005,26.691049575805664,0.001695188,100,282.9459551119145,4437.604750871658,0.1387958526611328,1.1355712413787842,157
14.73759388923645,27.859567165374756,290.76751826371094,11.121293544769287,-8.175734e-06,268.3942192431705,155.00195073678893,1590000,4.1905384519306255,26.5902361869812,0.0030032606,100,283.3223505878769,4465.537016391754,0.12944817543029785,1.1385345458984375,158
14.70494556427002,27.789759397506714,290.5233417228572,11.08406138420105,-8.125622e-06,269.8606198022612,155.37925799382106,1600000,4.1593262152601875,26.521670818328857,0.0042541367,100,283.57269726853707,4493.39155459404,0.1305980682373047,1.1367614269256592,159
14.773699760437012,27.924834966659546,290.8703174931103,11.12556505203247,-8.0734e-06,99.99279376334347,154.56690639093384,1610000,18.82612881811147,26.644973039627075,0.001920194,100,281.9868418624001,4521.386531114578,0.1439347267150879,1.1350927352905273,160
14.837507486343384,27.954302072525024,292.5903587683555,11.08775281906128,-8.043932e-06,271.7530078992722,155.30992602585255,1620000,3.6933856144296597,26.656988859176636,0.0014020903,100,283.8080162950994,4549.41010093689,0.14139747619628906,1.155106782913208,161
14.756049871444702,27.94656801223755,288.82384821135093,11.176537990570068,-8.000543e-06,272.76044031029267,155.40843732340443,1630000,3.0952500356245762,26.667173862457275,-0.0015887037,100,283.9053377361668,4577.426842451096,0.13961338996887207,1.1383533477783203,162
14.737803936004639,27.76356029510498,291.31227204337677,11.04647421836853,-7.954564e-06,109.47490678402949,155.03481465967727,1640000,17.76083792627152,26.520745754241943,-0.0010890226,100,283.34659090948423,4605.264097690582,0.12018346786499023,1.1218149662017822,163
14.859131097793579,27.961572885513306,291.76007425947324,11.094594955444336,-7.924571e-06,220.8106696727975,155.33394767014542,1650000,7.310206693872451,26.688729286193848,0.0015321425,100,284.0206698150903,4633.301819086075,0.12674212455749512,1.1452064514160156,164
14.829011678695679,27.89096736907959,291.49916455271114,11.048112630844116,-7.886356e-06,236.19392323413402,155.26852408191593,1660000,7.131864138589477,26.6258385181427,-0.0024618309,100,283.46430096999035,4661.2620639801025,0.13094520568847656,1.132986068725586,165
14.719589710235596,27.833371877670288,292.9310500300565,11.097980499267578,-7.854323e-06,128.5341595660784,155.5097541727572,1670000,16.010085949077684,26.570377349853516,-0.0018069645,100,283.6755661405006,4689.161691665649,0.1199789047241211,1.1422243118286133,166
14.942960977554321,27.972501516342163,291.2745123211127,11.014085292816162,-7.803757e-06,264.1535546192617,155.566528573448,1680000,4.08755128960641,26.70781373977661,-0.0032619643,100,283.7915761136527,4717.208220481873,0.11865830421447754,1.145204782485962,167
14.774359703063965,27.92251467704773,291.2890217882798,11.113848447799683,-7.777286e-06,250.50585256867862,155.64275960976045,1690000,5.479729018765779,26.63091516494751,-0.0013765583,100,283.728318221642,4745.198273897171,0.12929368019104004,1.1615276336669922,168
14.823793172836304,27.951224327087402,291.6785666163842,11.11696457862854,-7.744244e-06,235.27826470285993,155.27632827591106,1700000,7.521667026365762,26.679543256759644,0.0011419896,100,283.9078210844633,4773.221776008606,0.14120221138000488,1.1292684078216553,169
14.758054494857788,27.81989550590515,291.4127652624689,11.072319269180298,-7.717439e-06,257.6990427581306,155.88956819783073,1710000,4.519077616545891,26.577866554260254,-0.0035254473,100,284.3273280856391,4801.116797924042,0.13045716285705566,1.1107566356658936,170
14.792683124542236,27.835082054138184,293.86686875814127,11.030751705169678,-7.679914e-06,260.4962153784906,156.19650187398165,1720000,4.285697538952041,26.563354969024658,0.003729688,100,284.9616982564596,4829.02646946907,0.15639591217041016,1.1145098209381104,171
14.759252309799194,27.82831311225891,291.34844325147805,11.062458038330078,-7.643964e-06,269.49385857501386,156.16772116303292,1730000,3.7831647425458086,26.56632709503174,0.0045648403,100,285.1929064562187,4856.927101612091,0.11856722831726074,1.1424379348754883,172
15.023677825927734,28.332767963409424,293.2733633873916,11.243405818939209,-7.634075e-06,262.2183728763833,156.06931936828772,1740000,4.828689010802664,27.03832483291626,-0.0022859594,100,284.37727313083036,4885.330900430679,0.11396551132202148,1.1796870231628418,173
14.772156000137329,27.846718788146973,291.6469097583679,11.055440187454224,-7.5902813e-06,146.359011424827,154.50674727515738,1750000,16.438739687820455,26.56636905670166,-0.0019190912,100,281.349711281498,4913.256170272827,0.14521026611328125,1.134352207183838,174
15.072422981262207,28.24109983444214,291.9218274198634,11.128595352172852,-7.538771e-06,134.92836580076613,154.60510026482996,1760000,17.73527848290335,26.961756229400635,-0.0038123808,100,281.47882031159145,4941.566648244858,0.13113951683044434,1.1470859050750732,175
15.000394582748413,28.06019115447998,290.2066124679834,11.08486795425415,-7.5238872e-06,131.9073309006128,154.6422200570508,1770000,21.580999455340635,26.82655692100525,-0.0061183413,100,280.8772436411849,4969.697821378708,0.12275958061218262,1.1100270748138428,176
