train-MaxReturn,Time-Optimization,n_timesteps,train-PolicyExecTime,train-NumTrajs,train-AverageDiscountedReturn,train-StdReturn,Time-Sampling,Time,LossBefore,ItrTime,train-AverageReturn,Time-SampleProc,LossAfter,Itr,train-MinReturn,train-EnvExecTime
127.29903662633629,2.3622562885284424,10000,13.575555801391602,100,-17.543534833868364,82.36651333309402,25.151363849639893,27.69007420539856,-0.014581577,27.690062046051025,-45.65757283683128,0.1750655174255371,-1.1955224,0,-209.16940511428095,10.909938097000122
193.41188543751036,1.5223236083984375,20000,13.735422849655151,100,105.03201304906757,12.233662047965069,25.386138916015625,54.81122708320618,-0.034770995,27.02297353744507,173.04219899471303,0.11328458786010742,-0.26385427,1,121.71543285374817,10.969841241836548
187.987827969373,1.1763091087341309,30000,13.86017656326294,100,99.0645375773979,14.722597437886941,25.774333238601685,81.98655080795288,-0.014565943,27.078884601593018,166.9374361431046,0.12378501892089844,-0.266243,2,123.27820878640634,11.226900815963745
173.46689738519362,1.0642304420471191,40000,13.998402118682861,100,96.86677623699579,8.230595703388072,25.90669083595276,109.15098595619202,-0.02133551,27.08408284187317,157.19321998636863,0.11176800727844238,-0.030647034,3,141.42976296736256,11.22074842453003
176.6304082805228,1.062208652496338,50000,14.016302824020386,100,100.7528732853249,7.055930280319637,25.996352672576904,136.38348269462585,0.012864575,27.168610095977783,164.9345688055986,0.10949349403381348,-0.22687466,4,148.5272540141129,11.284928560256958
194.03161496235933,1.0868642330169678,60000,14.144153833389282,100,113.09095856835901,1.0755676365552438,26.344234943389893,163.99055099487305,-0.0017826416,27.546128273010254,192.05191293107382,0.11436581611633301,-0.14564961,5,188.9085705287378,11.505717754364014
196.2217993552888,1.0709879398345947,70000,14.007999658584595,100,113.95751370356601,1.119858421408427,26.232998609542847,191.47574138641357,-0.0005906372,27.421594858169556,193.7527175725961,0.11688065528869629,0.0023712157,6,190.7016060596576,11.524284839630127
194.98338149273462,1.057880163192749,80000,14.066712379455566,100,113.22444693868107,0.923475575412012,26.336663722991943,219.04465866088867,0.01962983,27.507437229156494,192.65700444928785,0.11187314987182617,-0.04229568,7,190.06957830386727,11.57060194015503
197.53608362515945,1.0921788215637207,90000,14.005061388015747,100,114.4971171958026,0.9349314540619466,26.161505699157715,246.48557901382446,-0.018260755,27.3762264251709,194.5967952219652,0.12169647216796875,-0.09233247,8,192.65042061650402,11.458244562149048
197.24034813897038,1.0509777069091797,100000,14.063526153564453,100,115.29464228434814,0.9432737957874525,26.259568452835083,273.9951009750366,-0.01071145,27.450685262680054,195.2773184382656,0.13953804969787598,-0.08528451,9,192.05037126604424,11.487287044525146
196.13260703564646,1.07843017578125,110000,14.627885341644287,100,114.41147762083406,3.0508624961108413,27.06649088859558,302.31276750564575,0.004517743,28.257411003112793,191.31730659919464,0.1111137866973877,-0.025264276,10,179.66473993036647,11.712799310684204
203.56262757760112,1.0771229267120361,120000,14.088693141937256,100,116.95632864166286,2.8246854573510762,25.933984518051147,329.49358320236206,-0.008899194,27.12284564971924,197.37803039629497,0.11102533340454102,-0.088438526,11,189.17703290635066,11.150750637054443
208.20022569060671,1.0647575855255127,130000,14.066833019256592,100,117.1640340624165,4.732638669548351,25.978015899658203,356.71120834350586,-0.016272303,27.15244197845459,199.00133655147536,0.10870695114135742,-0.0016077057,12,181.71163522780634,11.223338603973389
201.95574434779724,1.100135087966919,140000,13.92374300956726,100,113.683013774477,7.43269406904463,25.85425305366516,383.9433329105377,-0.008149145,27.16927480697632,191.82644410849377,0.2125871181488037,-0.12804168,13,159.18345136858755,11.236514806747437
207.82137203556124,1.100843906402588,150000,13.994066715240479,100,118.73353053661269,2.330005496657663,26.00578284263611,411.3085105419159,-0.026874207,27.299810886383057,202.7544062850344,0.19144153594970703,-0.11277722,14,194.65599006571816,11.314815998077393
201.73910510319308,1.3889973163604736,160000,14.148236274719238,100,116.49831249868012,1.4726563267149075,26.382638454437256,439.28979539871216,-0.023944555,27.920565366744995,197.80221972626322,0.14829087257385254,-0.01961543,15,193.43658845986414,11.53668761253357
199.6621556132532,1.3495526313781738,170000,14.11903429031372,100,116.20905076792116,0.965109843239437,26.430891275405884,467.3778762817383,-0.0034628052,27.98630952835083,197.4662531065134,0.2042384147644043,-0.14926481,16,194.96297678161375,11.613720178604126
206.151383850273,1.0908102989196777,180000,14.019598960876465,100,118.52860984529845,1.1031472086160006,26.057273149490356,494.7387185096741,-0.0061747315,27.302626609802246,203.36549259213018,0.15348529815673828,-0.15199222,17,199.90446137447668,11.338484525680542
198.3686928255226,1.0551040172576904,190000,14.257890462875366,100,111.44096205158435,5.041302277429279,26.23764681816101,522.2182447910309,-0.014483551,27.412824153900146,189.92970373313187,0.11939549446105957,0.004591809,18,171.23499079000337,11.267064809799194
192.29915856095118,1.060321569442749,200000,14.215630054473877,100,106.75040400767088,5.477093813354332,26.11629366874695,549.5663986206055,0.0034807008,27.286702632904053,180.1656881534608,0.1093440055847168,-0.25904858,19,166.65436991033883,11.191255569458008
199.55427171062368,1.046250343322754,210000,14.061646938323975,100,113.63201746201729,2.855382114888997,26.15825128555298,576.95068359375,-0.010581738,27.320428371429443,193.60122661418566,0.11522626876831055,-0.16376479,20,183.45948750601713,11.399057865142822
205.29936742058163,1.069239854812622,220000,14.07713007926941,100,117.19036395838731,1.5688543205720924,26.227015018463135,604.4240701198578,0.0058995117,27.412214517593384,201.54120984104102,0.11527347564697266,-0.075571775,21,196.94981743966213,11.457333087921143
