ItrTime,train-AverageDiscountedReturn,train-StdReturn,train-NumTrajs,Time-Sampling,train-PolicyExecTime,train-MinReturn,LossBefore,LossAfter,Time,train-MaxReturn,n_timesteps,Itr,Time-Optimization,train-AverageReturn,train-EnvExecTime,Time-SampleProc
6.189905166625977,-28.172667838509916,36.379556155903416,100,4.7531046867370605,2.857154369354248,-175.18054602302374,-0.015370434,-0.5793957,6.189909934997559,28.52255799123666,10000,0,1.267702579498291,-44.236130736252036,1.7409312725067139,0.16847467422485352
7.003023862838745,-16.88984149053649,45.20746051494365,100,5.722092390060425,3.416254758834839,-165.2595823528789,0.020244678,-0.2258937,13.239254236221313,107.8596573599451,20000,1,1.1872191429138184,-26.01499475945578,2.118326187133789,0.09340548515319824
15.513341426849365,-22.127968678247434,52.60568940035059,100,13.370688676834106,8.056039094924927,-180.67818942805454,-0.018681152,-0.2928165,28.790172576904297,118.58431044548941,30000,2,1.959047555923462,-32.575527591335394,4.896838903427124,0.18302488327026367
25.254929542541504,-21.3165937175609,51.84818149238324,100,23.08691692352295,13.934943675994873,-166.5382979119488,-0.000768457,-0.27435294,54.151148080825806,125.3700208325964,40000,3,1.9603309631347656,-30.83706106993012,8.443959474563599,0.2056412696838379
25.032450437545776,-24.235916658210737,52.16682620182268,100,23.24218225479126,14.031182050704956,-186.01687131958735,-0.02108485,-0.21048976,79.2969720363617,137.99188415506163,50000,4,1.5849292278289795,-37.59620077752843,8.502209663391113,0.2042555809020996
25.282581567764282,-27.637429219780188,41.62773527698676,100,23.69088125228882,14.343730926513672,-177.8579057656442,0.009013965,-0.25322622,104.65843272209167,50.939709993399596,60000,5,1.4329860210418701,-41.81187740473213,8.622151613235474,0.15744614601135254
25.220930576324463,-28.577500619541848,46.9414854822459,100,23.65438747406006,14.276426792144775,-285.01862918211646,0.012315186,-0.08329238,129.96376514434814,66.25065953706468,70000,6,1.4403862953186035,-43.5698984817419,8.666750192642212,0.1244819164276123
25.32996106147766,-24.481203122063256,40.10745851135088,100,23.656280517578125,14.273146867752075,-173.1760164010481,0.006693799,-0.1435748,155.38469099998474,41.94442411371644,80000,7,1.552619457244873,-36.863042371312375,8.671827793121338,0.11934638023376465
25.50999116897583,-24.75440283462126,40.355562613047844,100,23.54821538925171,14.195733785629272,-180.45747528356694,-0.010163061,-0.17513874,180.9850025177002,35.694054126530204,90000,8,1.792311668395996,-38.49003802035668,8.642574071884155,0.16838622093200684
25.13488745689392,-22.812448176651664,38.39330605532045,100,23.344711780548096,14.043272972106934,-203.83324627602858,0.010230615,-0.107459664,206.20337438583374,58.625975939516685,100000,9,1.6649560928344727,-35.2411341740251,8.597574949264526,0.12425398826599121
25.438133478164673,-25.532339415077928,40.27244416362545,100,23.511351823806763,14.19460129737854,-182.3556365186893,-0.004799836,-0.1876147,231.76247644424438,45.778849968629466,110000,10,1.7909824848175049,-39.0916050816628,8.605792999267578,0.1349484920501709
25.263728618621826,-18.83925341243245,32.73133756924412,100,23.42603826522827,14.071482181549072,-166.1562748928514,-0.0024679077,-0.2523615,257.08668208122253,57.33925621807483,120000,11,1.6849515438079834,-28.240019797786882,8.64177918434143,0.15196824073791504
25.272013187408447,-19.050034936602277,33.7452326945767,100,23.444470167160034,14.123530864715576,-110.1949452823193,0.002025354,-0.16197647,282.41969180107117,67.23950688783515,130000,12,1.6822950839996338,-29.028970909710093,8.617138862609863,0.14421343803405762
25.377471923828125,-25.967366687443878,37.95823006532013,100,23.640003204345703,14.242235660552979,-199.91258470119382,-0.009176416,-0.18554941,307.86990690231323,24.427609108500228,140000,13,1.5605216026306152,-39.098210121033475,8.676416635513306,0.1755359172821045
25.298699140548706,-30.139948078960497,32.65588743158757,100,23.84565281867981,14.395766973495483,-182.34303516337692,0.011685742,-0.12761989,333.230539560318,52.45184876188566,150000,14,1.2969722747802734,-43.98817866592571,8.724374294281006,0.154555082321167
25.35968518257141,-30.001994273117656,32.14225813577507,100,23.910730600357056,14.42212200164795,-146.93165490924088,0.014184668,-0.15975422,358.66025972366333,38.808793368289514,160000,15,1.2533001899719238,-43.43762484446237,8.770440101623535,0.1948699951171875
25.360661506652832,-27.068340244376277,36.426818257973814,100,24.072930574417114,14.516030073165894,-198.64559442714358,-0.008003888,-0.2795535,384.08267283439636,35.64628480130727,170000,16,1.111170768737793,-39.412957060076415,8.83756947517395,0.17585444450378418
25.31636667251587,-28.4558155984929,28.347635105747518,100,24.067672967910767,14.55126142501831,-128.73069532018366,-0.0032980286,-0.26577035,409.47013449668884,91.85221633760614,180000,17,1.1287446022033691,-40.93052968355685,8.799302101135254,0.11913061141967773
25.284230947494507,-27.36910676562962,29.866838619969315,100,24.019259691238403,14.474600076675415,-152.8498650996033,-0.0037273925,-0.22527549,434.8208773136139,38.0234294968766,190000,18,1.115659475326538,-40.5074651122449,8.82001805305481,0.14857220649719238
25.294333696365356,-26.95089339627728,28.621422285442165,100,24.01118803024292,14.564986228942871,-162.96998456343096,0.0038376953,-0.2016685,460.1830687522888,6.95872504322069,200000,19,1.1288635730743408,-39.12308860607879,8.732988834381104,0.15346980094909668
25.750884771347046,-22.267567021972823,24.80335352352136,100,24.477060317993164,14.866581201553345,-110.24605034841886,-0.025812622,-0.13790478,485.99714398384094,31.286362044001788,210000,20,1.1508269309997559,-32.27766316021811,8.879489421844482,0.12224555015563965
