train-PolicyExecTime,Itr,n_timesteps,ItrTime,Time-SampleProc,Time,LossAfter,train-EnvExecTime,train-NumTrajs,train-StdReturn,Time-Optimization,train-AverageReturn,LossBefore,train-MaxReturn,Time-Sampling,train-MinReturn,train-AverageDiscountedReturn
14.42211103439331,0,10000,25.896722555160522,0.1316390037536621,25.896734952926636,0.0032715276,8.44773268699646,100,3.927404006338653,2.1814465522766113,-2.531973751089185,-1.4189385e-05,7.919513161092259,23.582700490951538,-10.89473789364106,-1.9646685150167658
14.109247922897339,1,20000,25.061833381652832,0.15100598335266113,51.20217037200928,0.005229666,8.389020681381226,100,5.19667487912824,1.7226285934448242,-1.6621236840205293,-1.4251339e-05,11.187584152360998,23.18612790107727,-11.929973744507853,-1.3552026186836692
14.213073015213013,2,30000,25.18960952758789,0.17263031005859375,76.53409051895142,-0.0025636314,8.363194942474365,100,8.372842880971008,1.738976240158081,3.1240443566088825,-1.4265757e-05,25.072460868110248,23.27626609802246,-11.660139778861385,1.481005884965251
14.309555292129517,3,40000,25.188360691070557,0.19579362869262695,101.78284072875977,-0.0092094075,8.416224241256714,100,8.280987409482083,1.5516135692596436,12.350869492313537,-1.4267569e-05,27.73677881679747,23.43847393989563,-4.681780884713526,7.002161888360154
14.439189434051514,4,50000,25.201545476913452,0.19765281677246094,127.04314947128296,-0.00541671,8.665676832199097,100,5.422218315438579,1.1756110191345215,21.79515150247143,-1.4254843e-05,29.875567188086162,23.825100421905518,3.932041997326134,13.73453153408504
14.877566576004028,5,60000,25.97239089012146,0.12279033660888672,153.0856957435608,-0.0044287904,9.121079444885254,100,3.814026247750511,1.1226794719696045,25.428854366277776,-1.4204068e-05,31.338628812888153,24.725813150405884,6.702258554413624,17.45397711345313
14.606034994125366,6,70000,25.60508155822754,0.15486526489257812,178.7577610015869,-0.006225572,9.029439210891724,100,3.2152296175396438,1.0944998264312744,26.050007115258182,-1.4160268e-05,31.312548193578944,24.35501980781555,12.901605889203282,18.87074156237933
14.52898383140564,7,80000,25.531304836273193,0.12107253074645996,204.3555805683136,-0.0034186873,9.037342071533203,100,2.560590985702227,1.1139342784881592,26.6147684012944,-1.4127179e-05,30.74170769645542,24.294291019439697,11.986952403176282,19.450320216545073
14.597645998001099,8,90000,25.62313461303711,0.12786221504211426,230.05467867851257,-0.0045141033,9.094213008880615,100,1.9958198929974929,1.0845470428466797,27.345080166854128,-1.4085812e-05,31.8382312841827,24.409876823425293,21.951375214445846,20.26181572415689
14.528736352920532,9,100000,25.574042081832886,0.14306330680847168,255.69594883918762,-0.003151579,9.041597843170166,100,1.9717185672578053,1.1410105228424072,27.398992206810487,-1.4023213e-05,32.18177364890832,24.289186716079712,19.952014762266554,20.840552045330227
