ItrTime,Time-Optimization,train-MinReturn,train-StdReturn,train-EnvExecTime,train-MaxReturn,LossAfter,n_timesteps,Time-SampleProc,train-AverageReturn,Time-Sampling,LossBefore,Itr,train-PolicyExecTime,Time,train-AverageDiscountedReturn,train-NumTrajs
25.33531665802002,2.5977678298950195,-123.2056711413753,32.128701345313864,8.096309423446655,55.85647091634833,-0.5553592,10000,0.18778634071350098,-42.1660639289256,22.548637866973877,1.373291e-08,0,13.770785570144653,25.33533239364624,-26.070611435761055,100
24.559993028640747,1.8063039779663086,-114.4704289258909,33.31853095892098,8.180290222167969,28.737138515010592,-0.28480688,20000,0.18941879272460938,-44.982569305011296,22.562906980514526,-5.340576e-09,1,13.689060926437378,49.983497858047485,-27.34908566061595,100
24.570776224136353,1.5506360530853271,-124.26655040984159,32.56164668582517,8.197527647018433,37.97811924628101,-0.19566147,30000,0.20952773094177246,-42.16208875904376,22.807546854019165,-6.1035155e-09,2,13.903871774673462,74.65569138526917,-26.773313776130625,100
24.741888999938965,1.6660056114196777,-124.041602590411,29.40604594458322,8.135021686553955,14.726843957383176,-0.06032737,40000,0.19590234756469727,-45.55190196524075,22.879342079162598,1.8310548e-08,3,14.035198450088501,99.45776700973511,-27.817475674422738,100
24.920394897460938,1.696150541305542,-110.05622715839301,31.501033067122183,8.215591430664062,38.10875410128155,-0.077743605,50000,0.1979074478149414,-40.938524453812136,23.023321866989136,-4.577637e-09,4,14.09480595588684,124.44063758850098,-25.489348128514994,100
24.659706592559814,1.6539585590362549,-112.75901439256988,32.95476474841977,8.147980690002441,48.03843089690472,-0.07734193,60000,0.19547152519226074,-35.858136768878744,22.80953097343445,1.2207031e-08,5,13.962021589279175,149.16976833343506,-22.289213920756104,100
24.743703603744507,1.7505853176116943,-98.13844460695445,28.757310333421266,8.146274089813232,39.39041340018057,-0.093361154,70000,0.1600487232208252,-40.61405256115688,22.83227801322937,-7.629395e-09,6,13.97258710861206,173.98080205917358,-26.77115595421459,100
24.851802349090576,1.8453845977783203,-118.83079448260747,26.7016551972549,8.13420295715332,43.92530135486859,-0.67384607,80000,0.1776900291442871,-43.20701498938774,22.81925106048584,-0.005795438,7,13.977209568023682,198.89746189117432,-27.371474964476235,100
25.00515651702881,1.6625125408172607,-172.10447318941073,32.94764407232213,8.239275932312012,5.236539180887306,-0.1984927,90000,0.11664581298828125,-53.7181739435913,23.225155353546143,3.0517577e-09,8,14.268984317779541,223.97692441940308,-33.457222065136854,100
24.475831031799316,1.5782134532928467,-128.41891447630252,27.392638370299647,8.106639623641968,9.772306121667018,-0.31056273,100000,0.14743971824645996,-49.41602709951324,22.748854160308838,-0.010389392,9,13.936816453933716,248.5929479598999,-30.900331756165198,100
24.81108283996582,1.668534278869629,-127.1439377474065,29.292117065858697,8.19244933128357,15.550026421263588,-0.9345383,110000,0.15273475646972656,-58.57610978731089,22.989042043685913,1.2207031e-08,10,14.086881875991821,273.4882113933563,-36.93973118025348,100
24.971829175949097,1.7646780014038086,-170.64664805255708,39.722229878381256,8.243877172470093,5.527363190535593,-0.19519918,120000,0.16347336769104004,-66.59535705617084,23.04229211807251,1.8310548e-08,11,14.088062763214111,298.5420069694519,-41.09889136571127,100
24.7444908618927,1.7253320217132568,-130.0142283412477,30.40175656540972,8.16863465309143,3.987585784579128,-1.3473462,130000,0.18578338623046875,-55.34099411955965,22.831775903701782,-7.6293943e-10,12,13.943065166473389,323.34791684150696,-34.41659811896015,100
24.698126554489136,1.6184666156768799,-94.36577036119897,21.55623019751715,8.147726774215698,3.792941784624321,-0.042246986,140000,0.17754411697387695,-45.48635757748493,22.90069007873535,-2.4414062e-08,13,14.044648170471191,348.1161398887634,-28.97647347490062,100
24.64867854118347,1.7425997257232666,-158.07002533641838,25.9959240679515,8.056296586990356,-4.608309110237105,-0.022536289,150000,0.14139580726623535,-50.547295474924965,22.76312017440796,3.051758e-08,14,13.998249769210815,372.83184576034546,-31.227111957697353,100
24.475143671035767,1.7073431015014648,-116.29323756692122,25.289547594822295,7.999667167663574,10.3648506864644,-0.027633594,160000,0.13578104972839355,-44.60300156306673,22.631346940994263,-1.6021728e-08,15,13.93307113647461,397.36885690689087,-28.51862193986773,100
24.295594692230225,1.3950207233428955,-94.01762924760907,23.850686319566844,8.07734751701355,16.76431131178795,-0.6068517,170000,0.14766454696655273,-41.40499556861407,22.751882076263428,1.2207031e-08,16,13.968724489212036,421.76804065704346,-26.207888451436745,100
24.125346899032593,1.2812979221343994,-150.64714973717113,27.93440635186668,8.01359748840332,18.65194466856828,-0.07930289,180000,0.14042282104492188,-45.641205198273774,22.702205181121826,-6.1035155e-09,17,13.982765197753906,446.04628586769104,-28.94869904925643,100
24.38737940788269,1.1247951984405518,-135.75187914370503,25.193835991778545,8.115890741348267,25.31045460139147,-0.026555182,190000,0.13269877433776855,-45.135912605539296,23.12921380996704,-4.9591065e-09,18,14.299107551574707,470.51664996147156,-27.919908793302035,100
24.446209192276,1.111203670501709,-118.39210867809649,25.83998896394745,8.150613784790039,28.14553416081723,-0.03659797,200000,0.11905407905578613,-39.57568604700546,23.215089321136475,1.6784668e-08,19,14.347367286682129,495.0334951877594,-25.5193261355348,100
24.489627838134766,1.1010286808013916,-111.93192085619366,27.70125733455325,8.120800018310547,35.471164904478265,-0.026895037,210000,0.14284944534301758,-33.23036939346508,23.2449471950531,-1.8310548e-08,20,14.404687881469727,519.5883369445801,-21.89382084192823,100
