train-StdReturn,train-NumTrajs,LossAfter,train-AverageReturn,train-PolicyExecTime,n_timesteps,Time-Sampling,train-MinReturn,train-AverageDiscountedReturn,train-MaxReturn,LossBefore,train-EnvExecTime,ItrTime,Time-SampleProc,Time-Optimization,Time,Itr
33.96415007360853,100,0.05260222,-40.985165766680375,3.375568389892578,10000,5.408862829208374,-139.57343658288278,-26.21601490686083,23.686935181223784,-1.417508e-05,1.8637876510620117,6.156594753265381,0.04997563362121582,0.6973440647125244,6.156597137451172,0
30.93058607054243,100,0.008317405,-36.61774099343754,3.471048355102539,20000,5.532098770141602,-106.43508050342221,-22.9386643006628,54.73259240862778,-1.4216461e-05,1.8881983757019043,6.170990467071533,0.08214163780212402,0.5565447807312012,12.390478372573853,1
32.846327581284825,100,-0.012965495,-32.33878061906925,3.482745885848999,30000,5.548265218734741,-123.592264105066,-20.55493731416327,48.31425952328767,-1.42357785e-05,1.88785719871521,6.102446794509888,0.050351858139038086,0.503129243850708,18.508075714111328,2
31.66633903933656,100,-0.013495813,-27.791103249476365,3.490764617919922,40000,5.558482885360718,-101.40891373975164,-18.129492131346037,64.26271204013901,-1.4225071e-05,1.8925862312316895,6.182613134384155,0.14144325256347656,0.47669267654418945,24.708608150482178,3
29.76052190151869,100,-0.012973092,-28.13132352739983,3.547214984893799,50000,5.6517369747161865,-108.6683230396519,-18.17114652039106,43.14956485180968,-1.4237991e-05,1.9108238220214844,6.137895107269287,0.04303169250488281,0.44289660453796387,30.861390829086304,4
30.622383327254788,100,-0.013479929,-26.001362780639166,3.5405943393707275,60000,5.628068923950195,-119.92201649450563,-16.71669655686674,35.23614950895345,-1.4196792e-05,1.911255121231079,6.078404426574707,0.07998132705688477,0.34996771812438965,36.95541477203369,5
27.409006711064713,100,-0.011226674,-24.423621675776694,3.5583813190460205,70000,5.667434930801392,-87.57196567971269,-15.280056500745463,63.628854311892745,-1.4199555e-05,1.9320423603057861,6.061427354812622,0.0710153579711914,0.32280540466308594,43.03215503692627,6
29.50744153063042,100,-0.013245034,-18.837187768922202,3.864062547683716,80000,6.146866083145142,-106.64124985608635,-12.240444635197305,44.2824355715773,-1.4171405e-05,2.0888209342956543,6.592077970504761,0.06554865837097168,0.3793478012084961,49.63981509208679,7
30.378292935111322,100,-0.012979156,-17.52179006696597,4.352870464324951,90000,6.967235088348389,-94.1722118938272,-11.563441728870878,47.48242055361158,-1.4174428e-05,2.399125814437866,7.388563394546509,0.04779624938964844,0.3731808662414551,57.0459508895874,8
23.09827573203008,100,-0.012748647,-16.502201305162636,4.357053995132446,100000,6.999211072921753,-68.58557540782787,-11.522492020478174,55.24951672101234,-1.4157454e-05,2.4260878562927246,7.431697368621826,0.05125021934509277,0.38089895248413086,64.49552774429321,9
25.025160734781522,100,-0.012808595,-17.511308033551096,4.309072732925415,110000,6.9369752407073975,-83.1406949869422,-11.570913991541117,55.44983192484122,-1.4132858e-05,2.4006683826446533,7.363123416900635,0.04821157455444336,0.37764835357666016,71.8764054775238,10
31.554254002025303,100,-0.012351866,-12.095922134043091,4.79368257522583,120000,7.682744026184082,-93.76240437273803,-8.029654619780974,56.68988491041262,-1.4113582e-05,2.6547186374664307,8.284160375595093,0.08829259872436523,0.5128073692321777,80.17969250679016,11
27.473506140615196,100,-0.014126335,-15.453843087309492,5.037920236587524,130000,8.083461046218872,-79.09545488487679,-10.04672926423459,61.675790749592096,-1.4078044e-05,2.796884536743164,8.487418174743652,0.08059191703796387,0.32311081886291504,88.69479703903198,12
28.725547486995715,100,-0.013809681,-13.618626709065774,3.5573220252990723,140000,5.653832197189331,-93.1178418582288,-8.258532862547032,56.24058613967742,-1.4059753e-05,1.9188222885131836,6.061971664428711,0.08071565628051758,0.3272085189819336,94.77224397659302,13
27.702328784890398,100,-0.012899491,-11.517868501137018,3.6292073726654053,150000,5.776714324951172,-82.6226782864045,-7.25700624744845,62.350674639277486,-1.4033046e-05,1.9663269519805908,6.180129528045654,0.042310237884521484,0.36087846755981445,100.96847724914551,14
25.423076313213546,100,-0.014243934,-11.462484792435426,3.6354081630706787,160000,5.795638561248779,-95.07344770422023,-7.566839392565658,39.98546610474938,-1.3996089e-05,1.9777116775512695,6.1834094524383545,0.03966641426086426,0.34768152236938477,107.1670069694519,15
25.435129467375944,100,-0.013951684,-7.820060858888942,3.9831392765045166,170000,6.35449481010437,-84.27745066401434,-5.148001355394715,44.36721137135482,-1.3956478e-05,2.1711761951446533,6.826146125793457,0.09673166275024414,0.37253713607788086,114.01064205169678,16
27.565853166604857,100,-0.016021017,-9.146899028140178,4.350629568099976,180000,6.985140562057495,-77.17452787441371,-6.3365809539420495,78.44846475211223,-1.3934122e-05,2.4173223972320557,7.478513240814209,0.06247448921203613,0.4305095672607422,121.50680303573608,17
29.112964770394196,100,-0.013512201,-11.738023961610741,4.174472808837891,190000,6.670283317565918,-79.14218454938622,-7.708177412067977,57.218054044454895,-1.3896897e-05,2.289714813232422,7.062459230422974,0.030112504959106445,0.36181020736694336,128.59636116027832,18
27.91454767788429,100,-0.013399539,-12.978822966309476,3.6726441383361816,200000,5.85146164894104,-101.90617836611595,-9.012962023961432,69.43246486876987,-1.3845849e-05,1.9948346614837646,6.267900228500366,0.07759356498718262,0.338625431060791,134.88176655769348,19
29.162151525742328,100,-0.013302777,-4.9672707345250595,3.7380318641662598,210000,5.975415229797363,-97.17849678572625,-3.811586717056305,67.85910634974451,-1.38294035e-05,2.046158790588379,6.369143009185791,0.03235363960266113,0.36110830307006836,141.26848912239075,20
