train-EnvExecTime,LossAfter,train-StdReturn,Itr,Time,Time-SampleProc,ItrTime,train-AverageDiscountedReturn,Time-Sampling,train-AverageReturn,Time-Optimization,train-MaxReturn,train-MinReturn,LossBefore,train-NumTrajs,train-PolicyExecTime,n_timesteps
11.134721517562866,-3.312093,85.55263756153799,0,28.48397707939148,0.06137204170227051,28.483967304229736,-15.24842115853074,26.23609757423401,-41.672004794929414,2.1856164932250977,129.28201927974922,-211.4722087494231,-0.023376636,100,14.411101579666138,10000
10.850815534591675,-5.120926,53.67988590718017,1,55.90490388870239,0.038262128829956055,27.258800983428955,68.28391074825792,25.631638526916504,104.32800198060113,1.5881283283233643,188.2474027041285,-83.21146855555612,-0.0006210205,100,14.082406044006348,20000
10.767239332199097,-2.0595672,41.02047953912305,2,82.86720252037048,0.039792537689208984,26.829055547714233,88.49852875081058,25.233236074447632,140.59267097139747,1.555307149887085,175.38827873252166,-144.43295378502313,0.025072025,100,13.7773118019104,30000
10.843027114868164,-3.4977782,17.60068559872246,3,109.64864253997803,0.03645730018615723,26.687029361724854,87.41171800232718,25.33696413040161,138.02628312820912,1.3115921020507812,177.80176829282473,67.45618973047124,-0.010541421,100,13.805149793624878,40000
10.835803508758545,-6.1358376,28.138106107396673,4,136.39421463012695,0.03659534454345703,26.64960026741028,70.37176166832369,25.48001718521118,114.11985690090863,1.1307179927825928,162.40426209495507,60.16039450320159,0.015854156,100,13.959848165512085,50000
10.520846843719482,-0.11630326,50.673879275222504,5,162.87548995018005,0.0903313159942627,26.39703345298767,45.582264096915964,25.178635597229004,76.40136348438169,1.1268627643585205,178.2859611418511,-46.34182024459112,-0.004068277,100,13.968079566955566,60000
10.754108667373657,-1.6612375,79.62234805973284,6,190.1531994342804,0.06244802474975586,27.212255001068115,24.924634202734577,25.572472095489502,39.44352396075211,1.5754992961883545,138.40453048808018,-328.977593550729,0.008558899,100,14.120131492614746,70000
10.378529787063599,-4.867894,32.147024504628504,7,216.18303036689758,0.04554247856140137,25.970909118652344,57.61530226853054,24.859527111053467,89.20990667548793,1.0650954246520996,144.84114224808005,-15.769646444188972,-0.0023641968,100,13.79997205734253,80000
10.369091272354126,-5.7875123,44.701163142402244,8,242.50257539749146,0.04137396812438965,26.227407932281494,69.93945552917847,25.1295485496521,113.53047703076903,1.0549776554107666,177.22083557680423,-96.90410303834042,-0.0075810854,100,14.063222169876099,90000
10.715988636016846,-0.3329255,64.40613309492961,9,269.2884690761566,0.04038238525390625,26.724859714508057,7.298807341179204,25.610638856887817,1.461289445367369,1.0731441974639893,136.3230113413208,-163.21359068019225,0.0021404175,100,14.194324493408203,100000
10.807910442352295,-3.0784173,22.100952146763174,10,296.08198070526123,0.04019045829772949,26.734328746795654,-55.825660751169465,25.624271631240845,-119.95751300767779,1.0691535472869873,-30.458617869199134,-202.41198476806167,0.002268251,100,14.122210264205933,110000
10.815016984939575,-3.9392335,47.3601801929656,11,322.8317289352417,0.04249167442321777,26.689424753189087,-52.46731523254678,25.559906244277954,-111.62200314553655,1.0862596035003662,40.70296479420794,-246.32735154969973,0.011748006,100,14.054160356521606,120000
10.794766187667847,-2.417149,72.00599888495509,12,349.6366939544678,0.045619964599609375,26.73414397239685,-42.113783908311625,25.602069854736328,-83.21725919849963,1.0857720375061035,99.05710293685621,-228.6884194457496,0.01565893,100,14.111847400665283,130000
10.950770378112793,-2.0512278,59.3014238456914,13,376.6200785636902,0.0475466251373291,26.91218400001526,-59.479338808781165,25.7946720123291,-122.21503803734232,1.0693178176879883,31.059304081462468,-260.9564808659088,0.018980494,100,14.136029481887817,140000
11.250129461288452,-3.7704527,42.83473567864016,14,403.89991307258606,0.03779125213623047,27.21593403816223,-58.51985685667591,26.106539011001587,-122.39125667358945,1.0706496238708496,-29.200115206512557,-180.0300470395964,0.015326318,100,14.142952919006348,150000
11.457379579544067,-6.087751,52.485907834106946,15,431.4139516353607,0.04599261283874512,27.456520557403564,-45.0700232917494,26.333688497543335,-103.06461131311954,1.075690746307373,-27.75645181710921,-200.4977903359823,0.022960547,100,14.182159662246704,160000
11.414345026016235,0.5567832,20.585741536986166,16,458.9019100666046,0.04599499702453613,27.429317951202393,-11.756744759042087,26.321237325668335,-41.8937559017287,1.061389446258545,-18.050758111745385,-89.65399733051548,-0.012322,100,14.22792649269104,170000
11.39068341255188,-0.45261505,22.019328567989103,17,486.3830406665802,0.04141092300415039,27.423961400985718,-7.660236746894243,26.300142765045166,-37.62725739497253,1.0817320346832275,25.26420049211772,-89.90886632615407,-0.005253641,100,14.202854633331299,180000
11.365158796310425,-0.5194873,25.288967816419095,18,513.7994072437286,0.040730953216552734,27.352200746536255,-4.636615872336609,26.236056566238403,-30.80175092369399,1.0746855735778809,42.63401126439397,-93.04385210882745,0.0124323,100,14.17580533027649,190000
11.433688402175903,-0.52703136,33.26717346612062,19,541.278956413269,0.0423283576965332,27.42154622077942,3.096857841869155,26.300348043441772,-15.573590127626247,1.0782527923583984,43.606602363428735,-89.3908895465998,-0.009707654,100,14.177265405654907,200000
11.385751962661743,-0.55399406,35.10994161846037,20,568.6689083576202,0.03410458564758301,27.332437753677368,6.947670324642238,26.241657972335815,-6.782671175889581,1.0561304092407227,43.68309236530206,-90.26728672319574,0.007564624,100,14.169790267944336,210000
11.276211738586426,-0.6607336,37.96124373244797,21,596.054247379303,0.03933262825012207,27.3230037689209,9.317468341808562,26.22465991973877,-0.3704752023319225,1.0583786964416504,45.66943134752531,-89.298954179778,0.008808113,100,14.267201900482178,220000
