train-AverageReturn,train-StdReturn,train-NumTrajs,Itr,ItrTime,Time-Optimization,train-PolicyExecTime,Time-Sampling,train-MaxReturn,Time-SampleProc,train-AverageDiscountedReturn,train-EnvExecTime,Time,n_timesteps,LossBefore,train-MinReturn,LossAfter
42.97723485375849,73.06453987932262,100,0,5.651402950286865,0.5283181667327881,2.7608251571655273,5.086807489395142,143.30649672046593,0.0359654426574707,32.88396240632594,2.1720733642578125,5.651405096054077,10000,-1.4182185e-05,-201.4557171483316,0.017080843
71.2593751824527,59.70638667460098,100,1,5.5350377559661865,0.2921016216278076,2.856383800506592,5.216858625411987,184.80837551382396,0.025836706161499023,48.50763712559224,2.1922216415405273,11.232851266860962,20000,-1.4235115e-05,-160.0217824490198,0.005205753
86.37951107512535,52.25668452909893,100,2,5.795992612838745,0.26696252822875977,3.0364325046539307,5.5037829875946045,159.17375688595433,0.02464914321899414,56.18595916525045,2.2908973693847656,17.03657293319702,30000,-1.4232534e-05,-121.27227559454708,-0.0048532556
106.094299546575,31.0500994696328,100,3,5.727812051773071,0.25246500968933105,2.9940617084503174,5.449606895446777,192.99298735360034,0.02548980712890625,68.47762506358372,2.275353193283081,22.773134469985962,40000,-1.4222388e-05,-25.27388971046606,-0.004364886
122.40187339034009,28.364044322523192,100,4,5.696434497833252,0.311138391494751,2.9653544425964355,5.356942892074585,182.54950235152006,0.027921438217163086,76.93693254616258,2.2214584350585938,28.476479291915894,50000,-1.4242354e-05,-14.164638433087408,-0.005627891
132.59459497072822,33.171276286013786,100,5,6.783750772476196,0.30277442932128906,3.5494930744171143,6.44873309135437,199.31188317957512,0.03197669982910156,81.79413701564631,2.6972410678863525,35.27146506309509,60000,-1.4200764e-05,-30.925398458789587,-0.0050824564
139.70338828200428,34.428887040956724,100,6,6.895975589752197,0.30615735054016113,3.602698802947998,6.5581488609313965,200.11360458740717,0.031430721282958984,85.83154611274325,2.749667167663574,42.177613496780396,70000,-1.41796745e-05,13.331334992327154,-0.0056964513
156.1488509875989,29.798085043378837,100,7,7.738306045532227,0.34394335746765137,4.045134544372559,7.350459814071655,213.7430993039983,0.04355192184448242,93.98412122772137,3.079925537109375,49.92628884315491,80000,-1.4146229e-05,39.634952786545014,-0.005986868
163.59029942137954,27.839348782595955,100,8,7.7077014446258545,0.2851245403289795,4.040887117385864,7.390739917755127,213.0615003519376,0.03159284591674805,97.72232962220716,3.120743989944458,57.64837694168091,90000,-1.4124941e-05,90.71795485978197,-0.0066623217
178.80359852832575,23.801611680880526,100,9,8.794415950775146,0.38578152656555176,4.554425954818726,8.349956035614014,221.2009366759472,0.05837059020996094,104.89430018210071,3.5410778522491455,66.45343565940857,100000,-1.4133729e-05,88.33206458753214,-0.00410468
183.89108238132695,17.132991759117022,100,10,8.888912916183472,0.33930420875549316,4.63592791557312,8.46923303604126,216.42370786114836,0.08000564575195312,108.14793870456192,3.577645778656006,75.35993504524231,110000,-1.4080813e-05,98.1046437664891,-0.0065672
190.02629503912348,13.962679696855808,100,11,8.742024183273315,0.34743380546569824,4.539992094039917,8.313154458999634,221.93715389407996,0.08102011680603027,111.33992239624033,3.514528751373291,84.11708045005798,120000,-1.4054565e-05,137.07816868798434,-0.0036222676
196.73709895171055,10.192416791238475,100,12,8.813473463058472,0.3386709690093994,4.559326648712158,8.400801420211792,226.4284492558967,0.07314062118530273,115.54672434818795,3.583691120147705,92.94575262069702,130000,-1.403401e-05,167.18301726144637,-0.0036968007
198.56110976885583,12.7298342709157,100,13,8.785885095596313,0.3307335376739502,4.565277814865112,8.411035060882568,218.24083009871754,0.04378509521484375,115.96115658285278,3.591413974761963,101.74650931358337,140000,-1.3991412e-05,145.64391959324513,-0.004560378
199.43769527528326,9.537978296705855,100,14,8.883808851242065,0.35587120056152344,4.624721050262451,8.480193376541138,219.240903542652,0.0473475456237793,116.41517176084393,3.59993577003479,110.644944190979,150000,-1.4018445e-05,170.536779186632,-0.0032168545
202.07112594831017,9.167339592515898,100,15,9.066107511520386,0.49169063568115234,4.60921049118042,8.503582954406738,222.4933883444384,0.07046246528625488,117.58594451574253,3.628074884414673,119.72554278373718,160000,-1.3979573e-05,175.82619826790832,-0.0038325558
202.5645116727383,9.2257432123046,100,16,11.666390895843506,0.3864119052886963,6.032229423522949,11.234585762023926,223.06257551235302,0.0449221134185791,118.33223355134388,4.865627765655518,131.4144914150238,170000,-1.3953739e-05,161.8534254379672,-0.005602114
203.58106732195063,9.236789257581888,100,17,9.864507675170898,0.3048980236053467,5.141439199447632,9.52333378791809,224.4033792215918,0.03589320182800293,118.5309889247233,4.085498809814453,141.2976598739624,180000,-1.3931494e-05,173.25290868123835,-0.0057633943
206.09422029069913,9.97154145194634,100,18,8.680309534072876,0.3071024417877197,4.507386922836304,8.334055423736572,228.63840116067746,0.03872537612915039,119.42204809806547,3.5663349628448486,149.98991227149963,190000,-1.3908933e-05,146.1324984517695,-0.0037749566
206.31303615227773,9.007653350216962,100,19,11.35823941230774,0.4155864715576172,5.896367073059082,10.860871315002441,222.4524385713126,0.08125710487365723,119.6788140439547,4.647714376449585,161.36111974716187,200000,-1.3867963e-05,178.47846164644866,-0.0041383887
209.17723443335774,9.076932437559606,100,20,9.302244424819946,0.3084735870361328,4.850270509719849,8.956237554550171,225.05287539109761,0.03714418411254883,120.44292509706443,3.8413827419281006,170.67920541763306,210000,-1.3864441e-05,186.54583824630666,-0.003307179
