LossAfter,Time-Sampling,train-StdReturn,Time-SampleProc,n_timesteps,train-AverageReturn,Time,Itr,ItrTime,LossBefore,train-AverageDiscountedReturn,train-NumTrajs,train-PolicyExecTime,Time-Optimization,train-MaxReturn,train-EnvExecTime,train-MinReturn
-0.0025870546,15.869037866592407,4.765107196240025,0.12546896934509277,10000,2.2095430251281347,16.628608465194702,0,16.62860417366028,-1.4188813e-05,2.06826942982561,100,12.36143708229065,0.6286334991455078,21.944792237640595,3.188441038131714,-5.766810586813568
-0.0051960424,17.393275022506714,4.788232389001982,0.07282018661499023,20000,3.046623983712532,34.40494132041931,1,17.742692708969116,-1.423383e-05,2.338536556831178,100,12.945271015167236,0.2696678638458252,18.189242312215953,4.020487070083618,-8.03310664667345
-0.0041691912,20.057512760162354,5.998705441063304,0.1312270164489746,30000,5.0216673432814,54.88370609283447,2,20.47209072113037,-1.4253792e-05,3.4861819655977473,100,15.356096744537354,0.2760612964630127,24.898518508966365,4.274230241775513,-6.891854061907457
-0.009086965,14.029184818267822,8.61195472454071,0.13775873184204102,40000,15.815492957981423,69.30721640586853,3,14.416269063949585,-1.4241218e-05,9.939646597620694,100,10.574025392532349,0.2456834316253662,31.42237091659911,3.1429526805877686,-2.798844715941475
-0.008270092,14.220861673355103,6.829098900437344,0.06354403495788574,50000,20.98186779695859,83.90898585319519,4,14.595508337020874,-1.41997025e-05,13.567380003484843,100,10.749586820602417,0.30859994888305664,30.028407733245615,3.160228967666626,-0.9352957814369403
-0.010327436,23.330496549606323,4.472426273238214,0.11602139472961426,60000,24.940483930887275,107.84778022766113,5,23.93057680130005,-1.4152596e-05,17.031617085055,100,17.756879806518555,0.4833860397338867,31.44372300071805,5.093132257461548,1.059580534552392
-0.009941518,21.02553963661194,3.9155472598621186,0.08391213417053223,70000,25.297276853304023,129.46805882453918,6,21.607271432876587,-1.4117842e-05,17.736306347082404,100,15.550806760787964,0.49523496627807617,32.73214848509928,5.025305509567261,7.336477220297631
-0.007038506,21.47312045097351,2.9828699328197077,0.13973665237426758,80000,26.710044941836312,151.5885193347931,7,22.105292797088623,-1.4075798e-05,19.80845056179175,100,15.824151277542114,0.49170970916748047,31.75890595978352,5.192222833633423,8.317982289579337
-0.0058356132,20.961832761764526,2.8091456075828902,0.17256641387939453,90000,26.713227886519693,173.2443561553955,8,21.64170002937317,-1.4042139e-05,20.214005500324035,100,15.349179744720459,0.4962308406829834,31.015079272847615,5.1556243896484375,18.644101495784806
-0.006583768,22.079402208328247,2.582508471030751,0.1578962802886963,100000,27.198381029012054,196.0434548854828,9,22.763833045959473,-1.3996202e-05,20.9764731062456,100,16.48135805130005,0.5258545875549316,32.43565531466966,5.163297176361084,17.99569701274632
-0.006243613,22.395221710205078,1.655509622680058,0.15607190132141113,110000,27.95228477220139,218.97857975959778,10,22.923713445663452,-1.3946144e-05,21.737610396559354,100,16.623568058013916,0.37176084518432617,32.34166555608485,5.309268236160278,23.25130813851339
-0.005499312,20.580190658569336,1.7841957093274305,0.2019200325012207,120000,28.390360708672862,240.20699882507324,11,21.212180137634277,-1.3902501e-05,22.254413790197674,100,15.021900653839111,0.42450404167175293,32.25797457735912,5.091695547103882,24.444547805986183
-0.0038651414,22.796905994415283,1.8628284151277472,0.1420736312866211,130000,28.599161629407412,263.6135804653168,12,23.393051147460938,-1.3857934e-05,22.411504157580662,100,17.038597345352173,0.44791150093078613,32.02202083772349,5.305583477020264,20.814283010691437
-0.0050883903,21.312609672546387,1.536911251999639,0.14853358268737793,140000,29.263410182041465,285.653546333313,13,22.024277687072754,-1.3801265e-05,23.150106829317018,100,15.737450122833252,0.5619838237762451,33.60496232366444,5.128236770629883,24.843137103207063
-0.003578559,22.08728265762329,1.5632562489167756,0.1989443302154541,150000,29.135455753966685,308.3481373786926,14,22.667479276657104,-1.3758176e-05,23.090119463104767,100,16.365605354309082,0.380387544631958,33.42654417676651,5.251108407974243,25.02969310289125
-0.0035457592,22.14982771873474,1.630075154383023,0.18788671493530273,160000,28.990440385735898,331.25804138183594,15,22.896976947784424,-1.3696989e-05,23.064275582778595,100,16.573663473129272,0.5569565296173096,32.86830214754083,5.106981992721558,24.892218185906017
-0.003718652,23.41021752357483,1.8065312906523459,0.1784827709197998,170000,29.37932886648022,355.264933347702,16,23.993828296661377,-1.36429e-05,23.346610755426546,100,17.755626916885376,0.4032711982727051,33.602234867191314,5.1989665031433105,23.916812227945304
-0.003907974,21.484294176101685,1.6257217398218977,0.21938657760620117,180000,29.294794269870103,377.40908646583557,17,22.131696462631226,-1.3579409e-05,23.18453029396941,100,15.86454176902771,0.4083092212677002,32.42984949362233,5.153623104095459,24.53071796078199
-0.0029261673,22.030497312545776,1.6724387580969933,0.15028810501098633,190000,29.68410576477722,400.0445156097412,18,22.620448112487793,-1.3527977e-05,23.68514020089205,100,16.316404819488525,0.4369032382965088,32.82946450316304,5.269608736038208,25.806855795869847
-0.00505316,23.318207025527954,1.6547238608222345,0.19275736808776855,200000,29.68342167616371,423.9975383281708,19,23.940119981765747,-1.3475013e-05,23.597819127493896,100,17.58885955810547,0.42834901809692383,33.63159965644064,5.26301121711731,24.814767038227245
-0.0047216783,21.753564596176147,1.410722166084465,0.25559115409851074,210000,30.50998107209638,446.55270648002625,20,22.542449235916138,-1.3429603e-05,24.386816386065973,100,16.064497232437134,0.506913423538208,33.36355377789931,5.209214925765991,26.063542732906445
