train-AverageReturn,train-NumTrajs,train-PolicyExecTime,Itr,train-AverageDiscountedReturn,train-MinReturn,LossBefore,LossAfter,train-StdReturn,n_timesteps,train-MaxReturn,Time-Optimization,ItrTime,Time-Sampling,Time,Time-SampleProc,train-EnvExecTime
-1.2972829662117533,100,14.44759225845337,0,-1.1640223905645326,-9.82203671531307,-1.4183282e-05,0.010855896,3.363228045395673,10000,10.442502064416503,2.597107172012329,26.28370761871338,23.565608501434326,26.283716917037964,0.12016773223876953,8.403321743011475
-0.6417018269305594,100,13.809056520462036,1,-1.1101270925085711,-8.174097948012138,-1.4218909e-05,0.023416528,3.7457395227336687,20000,12.599634312175377,1.7353558540344238,24.626389503479004,22.67054581642151,51.05312943458557,0.21911859512329102,8.165540218353271
-2.18919238637136,100,14.062750101089478,2,-1.9738826354227874,-9.2697289760141,-1.42517965e-05,-0.00640818,2.7895041170296553,30000,6.008268344766157,1.7853288650512695,24.973838090896606,23.016120672225952,76.12706303596497,0.17154884338378906,8.242399454116821
-1.2244929778638227,100,14.170169591903687,3,-1.153402645594891,-7.080055532762797,-1.4268481e-05,-0.0074547566,2.8017242272822296,40000,9.109925050745876,1.5533850193023682,24.7852840423584,23.10864782333374,100.97601413726807,0.12249064445495605,8.227429151535034
-0.4326807831046042,100,14.19707727432251,4,-0.7609591143880796,-9.202558025739457,-1.42585495e-05,-0.0048175724,3.0952075030155606,50000,9.74877360059765,1.185877799987793,24.491907358169556,23.15701413154602,125.55622720718384,0.14812088012695312,8.249709129333496
0.566248855352563,100,14.829248905181885,5,0.23325071026408678,-5.952482488354629,-1.4279353e-05,-0.0077273534,3.163751040678259,60000,8.607683828290872,1.1328394412994385,25.336135387420654,24.077982902526855,150.98376893997192,0.12335371971130371,8.504568338394165
4.547542978897251,100,14.516025304794312,6,2.9537217872769475,-5.320342555126998,-1.4269227e-05,-0.0055958503,4.790206827778143,70000,17.06238515661427,1.127213954925537,24.897955894470215,23.633906841278076,175.951828956604,0.13591623306274414,8.376711130142212
10.315495495656753,100,14.477349996566772,7,6.666062478767236,-1.4472264969604942,-1.4239117e-05,-0.009091203,6.212884698272298,80000,25.323388785710893,1.087357997894287,24.907689332962036,23.69269061088562,200.93603086471558,0.12685060501098633,8.47458529472351
15.044859751197912,100,14.503369331359863,8,10.259050682850635,-0.880942075988649,-1.4212548e-05,-0.010447159,6.380957232577973,90000,27.652823362966483,1.0885610580444336,25.04886031150818,23.823923587799072,226.0540647506714,0.13564419746398926,8.591626167297363
20.071861968183264,100,14.4968843460083,9,14.111568108703993,0.19757787317090114,-1.4167647e-05,-0.013563134,5.8367650909331275,100000,29.657938765702788,1.1142401695251465,25.17001700401306,23.914791584014893,251.29405522346497,0.13991951942443848,8.68296480178833
23.28110200141559,100,14.448491096496582,10,16.816706718366056,8.009044179248313,-1.4129283e-05,-0.0103853475,4.364057648765259,110000,29.813237677294158,1.0941848754882812,25.256282567977905,24.034432649612427,276.618723154068,0.12639427185058594,8.850952625274658
24.664281377846645,100,14.523844957351685,11,18.133974843770606,15.457284808758768,-1.4084258e-05,-0.01061043,3.083449626805361,120000,30.784637156257432,1.1185941696166992,25.39168405532837,24.146294116973877,302.0791404247284,0.12565350532531738,8.901834487915039
26.478653892099402,100,14.536998510360718,12,19.386082469507386,17.70812889726395,-1.4026387e-05,-0.0046323827,2.3552775784089217,130000,31.776907323800707,1.1261451244354248,25.502058744430542,24.231778144836426,327.6461205482483,0.14307880401611328,8.961544752120972
27.11723710218129,100,14.46973204612732,13,20.409172760618855,20.747879356900494,-1.39705435e-05,-0.00421224,2.0630975342463906,140000,31.880533686264002,1.1204018592834473,25.455532789230347,24.196857213974,353.1720600128174,0.1374683380126953,8.99732780456543
27.249522482360163,100,14.551623344421387,14,20.696763898414314,10.227456486506226,-1.3912468e-05,-0.0065250844,2.8202868972034416,150000,32.30497073259359,1.1417090892791748,25.671571016311646,24.401013135910034,378.91733026504517,0.1278836727142334,9.11300277709961
27.886432119302725,100,14.679405927658081,15,21.390457652194215,22.7391549161198,-1.3852219e-05,-0.004215031,2.1120485101599686,160000,32.623274150303956,1.1002402305603027,25.783740520477295,24.559641122817993,404.77291560173035,0.12302565574645996,9.151602268218994
28.454488382999997,100,14.556551933288574,16,22.0315339762661,22.442992171495906,-1.3789656e-05,-0.00402544,2.0012052180312683,170000,32.352162242568745,1.1366312503814697,25.647029638290405,24.37400531768799,430.484655380249,0.1356034278869629,9.092415571212769
28.2854964001206,100,14.46484112739563,17,21.930186506278442,23.33790201280305,-1.3731328e-05,-0.0026378047,1.7908930767581581,180000,31.976640517666382,1.097771167755127,25.545806646347046,24.32210898399353,456.09323930740356,0.12516999244689941,9.13767957687378
28.272226866458983,100,14.692435026168823,18,21.906349027331395,22.86706285894304,-1.3685329e-05,-0.0016251496,1.71351938269855,190000,31.224950094979707,1.0952789783477783,25.73284101486206,24.51920437812805,481.89015650749207,0.11761283874511719,9.096739053726196
28.63682410247122,100,14.698095560073853,19,22.180195168841774,24.661521198034862,-1.36384115e-05,-0.0028975478,1.742781544999069,200000,32.462510456940024,1.122527837753296,25.863372802734375,24.593597412109375,507.83131194114685,0.14634943008422852,9.166584968566895
28.788726378511647,100,14.587893962860107,20,22.286842477179313,23.47930233833801,-1.359396e-05,-0.0046559335,1.8828488235231127,210000,32.82783594182269,1.0985665321350098,25.689775705337524,24.477057933807373,533.5918769836426,0.11275815963745117,9.140509366989136
