Iteration	Time	TimestepsThisBatch	PoolSize	LastEpReturn	Episodes	MaxEpReturn	TimestepsSoFar
0	9.16260814666748	1000	2000	161.40283704531868	63	178.87366034578295	2000
1	17.179444074630737	1000	3000	233.80071292426942	75	233.80071292426942	3000
2	24.647337436676025	1000	4000	220.75758870761751	86	258.1172426089719	4000
3	32.25898194313049	1000	5000	188.54315401981214	99	258.1172426089719	5000
4	40.23555278778076	1000	6000	207.44767556400575	109	258.1172426089719	6000
5	48.167449951171875	1000	7000	228.68041571298707	120	258.1172426089719	7000
6	56.34535312652588	1000	8000	243.56635332041537	130	258.1172426089719	8000
7	64.41678643226624	1000	9000	254.80812383383665	142	273.12629788641857	9000
8	72.5340530872345	1000	10000	37.14716897856027	159	273.12629788641857	10000
9	80.2222249507904	1000	11000	68.51679486051819	184	273.12629788641857	11000
10	88.07259225845337	1000	12000	70.76554450453023	207	273.12629788641857	12000
11	96.19269633293152	1000	13000	218.09435416170894	222	273.12629788641857	13000
12	103.9022901058197	1000	14000	213.61950306062582	232	273.12629788641857	14000
13	111.40182423591614	1000	15000	209.53132645348416	243	273.12629788641857	15000
14	119.35935997962952	1000	16000	183.15878739146893	257	288.42382341518896	16000
15	127.34807395935059	1000	17000	226.0102510850348	269	288.42382341518896	17000
16	135.06770157814026	1000	18000	216.31422891649845	279	288.42382341518896	18000
17	142.8554265499115	1000	19000	239.0197502724397	289	288.42382341518896	19000
18	150.58882188796997	1000	20000	277.6658326770881	299	288.42382341518896	20000
19	158.88708114624023	1000	21000	299.08496158599553	308	306.2513102681065	21000
20	167.32872557640076	1000	22000	293.0066449990757	317	311.5870939956416	22000
21	175.63854956626892	1000	23000	253.86173642485412	326	311.5870939956416	23000
22	183.79503917694092	1000	24000	247.48601841590173	335	311.5870939956416	24000
23	191.8385066986084	1000	25000	248.8225032260343	345	311.5870939956416	25000
24	199.7969992160797	1000	26000	299.3209417095124	354	311.5870939956416	26000
25	207.53191328048706	1000	27000	301.33045907535563	362	311.5870939956416	27000
26	215.29461789131165	1000	28000	287.00266357566636	371	311.5870939956416	28000
27	223.3268711566925	1000	29000	289.2284928583823	380	319.71735901859455	29000
28	231.3904104232788	1000	30000	288.07052901472406	388	319.71735901859455	30000
29	239.3025827407837	1000	31000	297.81419117716933	397	331.2013937243681	31000
30	247.38812279701233	1000	32000	305.53592231828435	404	331.2013937243681	32000
31	255.32644176483154	1000	33000	344.58303539758197	412	344.58303539758197	33000
32	263.9380261898041	1000	34000	317.20484899184413	420	344.58303539758197	34000
33	272.001788854599	1000	35000	325.58293655045935	427	352.8499217498582	35000
34	279.75231409072876	1000	36000	346.84485170455645	435	352.8499217498582	36000
35	287.4353275299072	1000	37000	328.3482786793405	443	352.8499217498582	37000
36	295.2054591178894	1000	38000	318.5678019345037	451	352.8499217498582	38000
37	303.3652548789978	1000	39000	299.03032039873136	459	352.8499217498582	39000
38	311.3180310726166	1000	40000	315.4023600757615	467	357.13943566952383	40000
39	318.8351459503174	1000	41000	347.8125068887629	475	357.13943566952383	41000
40	326.70770239830017	1000	42000	175.11340372918036	483	357.13943566952383	42000
41	334.50555777549744	1000	43000	303.30256123625105	492	357.13943566952383	43000
42	342.2232310771942	1000	44000	160.74781763257562	505	357.13943566952383	44000
