train-EnvExecTime,train-PolicyExecTime,train-AverageReturn,Time-SampleProc,train-NumTrajs,train-MinReturn,train-AverageDiscountedReturn,Itr,n_timesteps,train-MaxReturn,Time-Sampling,Time,ItrTime,LossBefore,Time-Optimization,LossAfter,train-StdReturn
8.91947317123413,14.241913318634033,31.95395765753174,0.15559697151184082,100,27.46594483856318,25.19119423464693,55,560000,35.608453230013886,23.87522053718567,1397.5807020664215,25.113539457321167,-1.2028086e-05,1.082073450088501,-0.0024584339,1.8538232344630174
8.874690532684326,14.06791615486145,32.01946905162402,0.14577150344848633,100,26.55527569001231,25.251591587855795,56,570000,36.19867387083081,23.655223846435547,1422.5008742809296,24.857659578323364,-1.1997303e-05,1.0559923648834229,-0.0034394308,1.8433485433334689
8.917932271957397,14.120847463607788,31.78873356708893,0.1621103286743164,100,27.23746577096169,24.959165738144858,57,580000,36.49176155967509,23.74810218811035,1447.5491771697998,24.986260890960693,-1.1944796e-05,1.0753962993621826,0.002396288,1.8608639754973295
8.931877136230469,14.279908895492554,31.781275946465662,0.13294672966003418,100,25.14602470001042,25.02665437736973,58,590000,35.79645967442063,23.917693376541138,1472.713814496994,25.10874629020691,-1.1910477e-05,1.057422161102295,-0.00023364925,2.0565993167623104
8.948795795440674,14.2106192111969,31.908615871825067,0.1351022720336914,100,25.068333158328098,25.0716914963577,59,600000,35.58251282536766,23.885560989379883,1497.878581047058,25.10225510597229,-1.187964e-05,1.0809903144836426,-0.0006674315,2.169888487488029
8.928427696228027,14.131426572799683,32.12990753301947,0.14887642860412598,100,25.13488820823798,25.28585955070972,60,610000,35.760073994413226,23.781906843185425,1522.9629123210907,25.026580333709717,-1.1849515e-05,1.095127820968628,-0.0002411118,1.9497548672168212
8.942131757736206,14.184576749801636,32.02789715396018,0.1345658302307129,100,26.368457079486834,25.17583763289781,61,620000,35.91995530779319,23.850207328796387,1548.0913286209106,25.068488121032715,-1.1804912e-05,1.0829002857208252,-0.0027450346,2.1340145834406585
8.94503664970398,14.116925716400146,32.043085209134084,0.14847183227539062,100,26.553822098141566,25.168360873651537,62,630000,36.86267714760209,23.77534055709839,1573.1396219730377,24.985018730163574,-1.1771075e-05,1.0605933666229248,-0.0033488977,1.9709027347808443
8.91684341430664,14.042064428329468,32.144576151295276,0.14755511283874512,100,27.078325009353165,25.213924452342145,63,640000,35.82185090932935,23.66705083847046,1598.0815114974976,24.880303382873535,-1.1731323e-05,1.0650410652160645,-0.0016586271,1.8121015374932146
8.947977542877197,14.132534503936768,32.198781492983024,0.15808463096618652,100,27.636643257167016,25.218109019762792,64,650000,36.581056783291835,23.797752380371094,1623.1663842201233,25.025350332260132,-1.1695322e-05,1.068770408630371,-0.0017904886,2.033845591710272
8.986135244369507,14.184633731842041,32.20365578177324,0.15066838264465332,100,28.43077568594587,25.16651968120755,65,660000,35.2870392266866,23.88263487815857,1648.3513624668121,25.121492385864258,-1.1656748e-05,1.0875484943389893,-0.00042666728,1.7249274599686126
8.949825525283813,14.219454050064087,32.40587169244261,0.12618088722229004,100,26.095730153874896,25.358038480570897,66,670000,36.42270602782851,23.885480403900146,1673.508712530136,25.096597909927368,-1.1616962e-05,1.084193468093872,-0.002324069,1.8897739219079859
8.986874103546143,14.268709421157837,32.55311904098144,0.12936186790466309,100,27.795930047311234,25.478863437561326,67,680000,35.80979450332765,23.969055652618408,1698.730102777481,25.16145896911621,-1.1589385e-05,1.0624182224273682,-0.0017977811,1.7803809019321695
8.95785403251648,14.167781352996826,32.74396305069321,0.155259370803833,100,28.04172450252869,25.643656808194837,68,690000,36.26142796795038,23.83136510848999,1723.8445477485657,25.055772066116333,-1.1542095e-05,1.0684220790863037,-0.001651157,1.843393230006545
8.943927764892578,14.106853246688843,32.52354832261361,0.13185477256774902,100,26.107598413015584,25.39303107262849,69,700000,36.07108081139721,23.773873805999756,1748.8888716697693,24.978557348251343,-1.1504564e-05,1.072239875793457,-0.0023620003,1.748515862518166
9.004467248916626,14.128834247589111,32.797408030665004,0.127838134765625,100,25.56427462698554,25.665618316456875,70,710000,36.60198330258806,23.845622062683105,1774.022950410843,25.0745108127594,-1.1447462e-05,1.100219488143921,-0.0037729603,1.9503070849738098
8.94431447982788,14.072007656097412,33.008736055882395,0.13994240760803223,100,28.831662002149542,25.823594525507445,71,720000,36.51937350226565,23.734121561050415,1799.0160381793976,24.93533706665039,-1.1394245e-05,1.060434341430664,-0.0035676768,1.8416290404498386
8.967029333114624,14.212496757507324,32.835274556375566,0.1415424346923828,100,28.70034960324357,25.625089816950748,72,730000,36.987206573581496,23.894248962402344,1824.219289779663,25.140039682388306,-1.1345734e-05,1.10322904586792,-0.0024084284,1.799704753935668
8.908492088317871,14.186684846878052,32.89392942794133,0.1423346996307373,100,26.8686305987369,25.72178907931259,73,740000,36.863638323693216,23.812074422836304,1849.2962880134583,25.017576694488525,-1.1294343e-05,1.062488079071045,-0.0022326175,1.8945023181058986
8.962403535842896,14.299635648727417,32.877575259715336,0.1288166046142578,100,28.592160226711147,25.609766986355016,74,750000,36.570229632672714,23.97760558128357,1874.5228323936462,25.16761064529419,-1.1259091e-05,1.0604605674743652,-0.0017817223,1.8310113930623686
8.969958305358887,14.179356098175049,33.03039154309982,0.12797808647155762,100,29.247388808037282,25.74073842436184,75,760000,36.150051941076946,23.86671018600464,1899.6530547142029,25.06828498840332,-1.1215859e-05,1.0729396343231201,-0.0014463591,1.7634655201303364
8.961177349090576,14.053160905838013,33.17877755251551,0.1346111297607422,100,27.093870685640283,25.916689033180074,76,770000,37.568310315000026,23.72790026664734,1924.6771357059479,24.961304426193237,-1.1168868e-05,1.098055362701416,-0.0018882806,1.988444675166719
8.993638515472412,14.051411628723145,32.99415096387631,0.13263630867004395,100,25.260669317190764,25.769573565620316,77,780000,37.19899904165112,23.75968289375305,1949.6902377605438,24.954660654067993,-1.1138758e-05,1.0616402626037598,0.0025158313,1.7830746515447677
8.936641454696655,14.215745687484741,33.15302738815535,0.13017845153808594,100,28.462317265270492,25.887063718857643,78,790000,37.13042174872223,23.860669374465942,1974.8033239841461,25.055367469787598,-1.1098702e-05,1.0638108253479004,-0.00043221106,2.0218499347756596
8.952370882034302,14.137252569198608,33.276623613832285,0.12901663780212402,100,28.5453854246838,25.963538203833703,79,800000,37.53270014791034,23.803733587265015,1999.8776755332947,25.0135440826416,-1.1068103e-05,1.0802311897277832,-0.0017017858,1.7872000961105323
8.934857368469238,14.138683795928955,32.75026115372262,0.16815614700317383,100,23.655499410941214,25.53113722790286,80,810000,37.97748115424232,23.784562349319458,2024.995992898941,25.0581955909729,-1.1052546e-05,1.1048457622528076,0.00031072172,1.9883302829499807
8.922586441040039,14.087237119674683,32.9976294241937,0.13040423393249512,100,25.47994252638178,25.831364965930575,81,820000,37.82389284756533,23.723278045654297,2049.9814796447754,24.92685604095459,-1.1030547e-05,1.0723896026611328,0.017435156,2.136051114245358
9.002113103866577,14.26886773109436,33.143780166806124,0.1222383975982666,100,26.99124318363382,25.901513593221072,82,830000,37.12992934970797,23.98329520225525,2075.228265762329,25.18697500228882,-1.1002431e-05,1.080651044845581,0.0005301279,1.8540129790268818
8.941118478775024,14.202788829803467,32.98831992707212,0.13329792022705078,100,28.539109995501004,25.76651129093834,83,840000,38.15071249903663,23.85996723175049,2100.3533222675323,25.061861038208008,-1.0961753e-05,1.0680201053619385,-0.0031616706,1.8516207407638148
