train-MaxReturn,n_timesteps,Time-Sampling,train-AverageDiscountedReturn,Time-SampleProc,train-PolicyExecTime,train-StdReturn,ItrTime,train-NumTrajs,train-EnvExecTime,LossBefore,train-MinReturn,Time-Optimization,Itr,LossAfter,Time,train-AverageReturn
10.326970746640741,10000,11.543386220932007,0.23995258317509308,0.06940460205078125,8.548677921295166,3.8943415231346106,12.271513938903809,100,2.719003200531006,-1.4193867e-05,-6.883994151452801,0.6466178894042969,0,0.011974712,12.27151870727539,1.1753865358339193
13.116706951884384,20000,16.273290157318115,-0.2706284044242802,0.1510312557220459,12.124587535858154,3.4977311672335683,16.676939964294434,100,3.7945752143859863,-1.4205085e-05,-9.598341396867637,0.25214648246765137,1,-0.0026315614,28.974148988723755,0.3638625176255367
12.388020971400561,30000,19.169549703598022,0.5346986656889959,0.2552502155303955,14.11274242401123,4.285988691370315,20.24447274208069,100,4.619228839874268,-1.4215042e-05,-7.663773248113466,0.8180992603302002,2,-0.002888541,49.22547769546509,1.2192193637058577
20.539004862142367,40000,14.573992252349854,2.0040640003067627,0.11255097389221191,11.046382665634155,5.019689329117173,14.976500511169434,100,3.2026360034942627,-1.4211023e-05,-7.293121203562398,0.2886044979095459,3,-0.00786251,64.23467493057251,3.456777621336499
27.450325178017764,50000,14.069101572036743,3.9310046821219737,0.10115623474121094,10.806521654129028,6.298732309162314,14.477412939071655,100,2.972710371017456,-1.4198298e-05,-4.37094194948578,0.3017396926879883,4,-0.004543678,78.71913719177246,6.25709199925467
30.780676604997215,60000,21.044965267181396,9.183029672156941,0.16121220588684082,16.208724975585938,8.624548037953646,21.63521647453308,100,4.4231650829315186,-1.4177258e-05,-3.773383559520628,0.4281649589538574,5,-0.011455503,100.3634524345398,12.994758115132345
35.1075747221631,70000,21.698445796966553,14.869417940438941,0.20390534400939941,16.211533784866333,7.397240252594934,22.398953914642334,100,5.0341973304748535,-1.4152927e-05,-6.723470213228692,0.49564242362976074,6,-0.008411448,122.7773814201355,21.218461756126157
30.759270946863737,80000,21.177635431289673,17.995650505425182,0.10548901557922363,15.712781429290771,4.402640298634104,21.73766851425171,100,5.006123065948486,-1.4118433e-05,4.086453465785981,0.45090436935424805,7,-0.0062085395,144.53182172775269,24.349344368256812
30.91061503657912,90000,21.55744695663452,19.93701113819741,0.08853745460510254,16.009312629699707,2.6987593673966157,22.0303475856781,100,5.101263523101807,-1.4085966e-05,18.17223775195383,0.3828709125518799,8,-0.00432845,166.5804145336151,26.420319571432515
31.096648457812456,100000,23.172905206680298,20.385447369470196,0.15674734115600586,17.570788383483887,2.215588549846535,23.812492609024048,100,5.133800268173218,-1.4024275e-05,19.123152691624068,0.48139238357543945,9,-0.0041167466,190.40715336799622,26.561013531301395
32.56530759652956,110000,21.86757755279541,20.242823348526098,0.12317800521850586,16.23983120918274,2.665160807278051,22.43442463874817,100,5.165334224700928,-1.3981952e-05,12.191803135707797,0.44227004051208496,10,-0.0031169448,212.85872197151184,26.514283915552124
31.228562579564084,120000,20.77891254425049,20.658940675052662,0.2706925868988037,15.377104043960571,2.663039639595769,21.450846433639526,100,4.948587894439697,-1.3939778e-05,16.590510609968025,0.3967595100402832,11,-0.004593103,234.3229033946991,26.53007739522678
31.909291036081697,130000,21.98350763320923,21.241721008458725,0.1469571590423584,16.273279190063477,2.4118044234519247,22.53920578956604,100,5.227816104888916,-1.3880444e-05,21.184817520575432,0.40378427505493164,12,-0.0032364829,256.87742614746094,27.18868277494144
31.377106326096644,140000,21.618186712265015,21.360148175259507,0.0717623233795166,16.10339641571045,2.6631403020636903,22.107499837875366,100,5.074711322784424,-1.3826134e-05,12.30893142523474,0.4152510166168213,13,-0.0033633811,279.0034513473511,26.835505846367997
32.006820380878295,150000,23.496031761169434,21.471585171545872,0.1264035701751709,17.680917978286743,2.973149089467448,24.06992769241333,100,5.34009313583374,-1.3762734e-05,17.46826793457224,0.4463374614715576,14,-0.0021994,303.0919282436371,26.964962083821252
31.42871090377698,160000,22.518515825271606,21.75726359839513,0.21490120887756348,16.956426858901978,2.430882192051727,23.272075176239014,100,5.116453409194946,-1.3703776e-05,15.532297795985825,0.5364561080932617,15,-0.0027520703,326.37764382362366,27.43065102259805
31.76455448846621,170000,21.83687424659729,22.176055423753024,0.09597134590148926,16.057968616485596,2.1795852808741687,22.317753314971924,100,5.298949480056763,-1.3649065e-05,20.665838058768887,0.37728166580200195,16,-0.0020448694,348.71312713623047,27.95796906224237
31.350369331104574,180000,23.24588108062744,22.217839842331202,0.08972907066345215,17.528423070907593,1.7713240741430025,23.910534381866455,100,5.195794105529785,-1.3606424e-05,23.17029877421663,0.5738856792449951,17,-0.0031436088,372.6385192871094,27.832611061192996
31.946313551583888,190000,24.03788137435913,21.88427828416241,0.1604785919189453,18.375218629837036,2.4504735465015104,24.683077096939087,100,5.187153100967407,-1.3553724e-05,18.39611835186129,0.48145174980163574,18,-0.002967688,397.33746790885925,27.48290210011381
32.285423597545716,200000,21.80438470840454,22.302626536318904,0.20369410514831543,15.946695804595947,2.200512261062955,22.41839575767517,100,5.384316682815552,-1.3514423e-05,21.00678132292131,0.40720415115356445,19,-0.0037450714,419.7691113948822,27.960314690692826
31.526986408863575,210000,22.23203182220459,22.528530293792528,0.1741619110107422,16.571227073669434,1.833576284449528,22.882750034332275,100,5.19727087020874,-1.3460505e-05,21.451997035946757,0.47505998611450195,20,-0.003216764,442.66466546058655,28.265360419674643
