train-AverageDiscountedReturn,Time-Optimization,n_timesteps,Time-SampleProc,Time-Sampling,ItrTime,Itr,LossAfter,train-EnvExecTime,train-NumTrajs,train-MaxReturn,train-MinReturn,LossBefore,train-StdReturn,train-PolicyExecTime,train-AverageReturn,Time
-29.862135780680045,2.725416421890259,10000,0.19909071922302246,23.22372055053711,26.149413108825684,0,0.029766515,8.412781953811646,100,22.460090176376426,-121.25816507574235,-1.4181946e-05,34.56908011789087,14.117219686508179,-46.922804866994966,26.149424076080322
-27.39678225348978,2.0454089641571045,20000,0.25263071060180664,23.218497276306152,25.524930715560913,1,0.0033659078,8.44106411933899,100,28.599922021260813,-136.23839748797332,-1.4204883e-05,33.603597368883584,14.084195137023926,-43.744130941907834,51.76862955093384
-29.077812626820055,2.3373515605926514,30000,0.1527249813079834,22.799291610717773,25.290616512298584,2,-0.012201301,8.351281881332397,100,20.15370201317232,-145.9111211502715,-1.4230765e-05,34.169451570924444,13.75162124633789,-46.964361593739255,77.12616872787476
-25.4310603396151,2.03646183013916,40000,0.14335346221923828,22.82390809059143,25.0048611164093,3,-0.0116774365,8.356386661529541,100,56.59674312551221,-120.41605904937823,-1.4229546e-05,37.59694318373943,13.774882793426514,-40.86442078016236,102.2831609249115
-35.45814169693156,1.9411733150482178,50000,0.13718152046203613,23.28507709503174,25.365769863128662,4,-0.013105263,8.476282596588135,100,15.07983536830966,-194.8365135620241,-1.42029885e-05,36.459579509413544,14.097848176956177,-56.813399978108556,127.79257726669312
-29.494230676768797,1.6324739456176758,60000,0.1315929889678955,23.44600009918213,25.212419033050537,5,-0.014258543,8.531223058700562,100,38.79706813506517,-180.4815584901542,-1.42046965e-05,39.32315625667664,14.205519914627075,-47.4287875546016,153.11943078041077
-28.531395493916985,1.4060513973236084,70000,0.12342715263366699,23.641844511032104,25.17365002632141,6,-0.011435533,8.551756381988525,100,13.457900446055572,-130.51906141996673,-1.4186139e-05,30.890825049502087,14.372298240661621,-45.55866738279119,178.4167182445526
-30.738269255031085,1.2759296894073486,80000,0.128753662109375,23.844067335128784,25.251328229904175,7,-0.016489897,8.613370180130005,100,29.090957758758986,-153.73261675550805,-1.4158539e-05,42.94143753110107,14.52049446105957,-48.04652609573259,203.7485008239746
-27.77971303733011,1.1368582248687744,90000,0.1340198516845703,23.8855402469635,25.158194065093994,8,-0.013632554,8.552165746688843,100,34.89695176101814,-124.98872222997124,-1.4160733e-05,36.39828011026769,14.609490156173706,-44.8237276833735,228.98763704299927
-26.26092616045009,1.1405975818634033,100000,0.14921998977661133,24.044692039489746,25.335726976394653,9,-0.014661803,8.6261568069458,100,47.419142433943584,-131.61931329416635,-1.4142745e-05,34.937909216347265,14.692843198776245,-42.31879545273698,254.39719939231873
