train-MaxReturn,Time-Sampling,Time,train-PolicyExecTime,ItrTime,Itr,n_timesteps,Time-SampleProc,train-EnvExecTime,train-AverageDiscountedReturn,LossAfter,train-MinReturn,Time-Optimization,train-StdReturn,LossBefore,train-AverageReturn,train-NumTrajs
145.06593978610184,25.850764751434326,28.136094570159912,14.31818151473999,28.13608193397522,0,10000,0.2611663341522217,10.826124429702759,-26.952698918278333,0.038316593,-154.98206796580013,2.0231523513793945,66.00959229846005,-1.4181064e-05,-66.93482775175211,100
199.5544190966078,26.837087392807007,56.39812397956848,14.804160118103027,28.130425214767456,1,20000,0.16028475761413574,11.310514688491821,23.38407138944093,0.011426925,-229.44802528928565,1.131575107574463,132.41564110763343,-1.4201494e-05,24.228221764141434,100
201.9599768541513,26.78614616394043,84.57035779953003,14.765771389007568,28.101834058761597,2,30000,0.18712592124938965,11.289377450942993,58.867524915934716,0.0006064491,-184.0577917936215,1.1272265911102295,112.67517462289078,-1.4206313e-05,93.09689357277325,100
202.3100958358963,26.94819712638855,112.87775588035583,14.853073596954346,28.238016843795776,3,40000,0.17072486877441406,11.36086630821228,101.65968334812173,-0.009301196,-121.82327566126479,1.1175291538238525,51.00500882844361,-1.4194213e-05,170.7465110005573,100
203.13504586936682,27.00222373008728,141.25401139259338,14.818953037261963,28.307029247283936,4,50000,0.14281105995178223,11.443096399307251,114.85170747730145,-0.0038548098,109.14135866905447,1.161269187927246,11.65740741064309,-1.4152685e-05,192.44138894695917,100
202.82012468248064,27.072482585906982,169.75957942008972,14.808948993682861,28.438400506973267,5,60000,0.16150951385498047,11.52400016784668,115.98596555950657,-0.007503683,154.14110815320984,1.1789226531982422,8.539152567418355,-1.4111008e-05,193.94760708698652,100
203.84232700443263,26.73822832107544,198.12471222877502,14.597025871276855,28.23826503753662,6,70000,0.1387941837310791,11.42147707939148,117.24889647357475,-0.00482919,170.93694499824417,1.3589563369750977,5.795053549065719,-1.4060673e-05,196.8644184203593,100
203.82000434471863,26.080862998962402,225.93908166885376,14.101573467254639,27.713948249816895,7,80000,0.13169527053833008,11.278347253799438,118.25546780094544,-0.009524323,188.33409907082353,1.4980974197387695,3.0623022969911906,-1.4003678e-05,199.25815347176686,100
204.41286089359002,26.10369300842285,253.98043727874756,14.115556001663208,27.94714903831482,8,90000,0.16469788551330566,11.290060758590698,118.87352024489344,-0.008903374,190.41166197873252,1.676741600036621,2.262147533485789,-1.3957605e-05,200.54143427806287,100
204.4835199933935,25.87972068786621,281.79878211021423,13.951800107955933,27.759480476379395,9,100000,0.1374509334564209,11.235546588897705,119.07898947623671,-0.006719371,190.23410680343454,1.7415618896484375,2.3626055989582695,-1.3903052e-05,201.0157363734722,100
205.33744763408055,25.781994581222534,309.4904088973999,13.897153377532959,27.633530616760254,10,110000,0.14328479766845703,11.192917108535767,119.4149706106024,-0.0062459707,194.2040207308138,1.7074484825134277,1.8733349143078748,-1.3848136e-05,201.67000505516444,100
207.22166280400194,25.918721199035645,337.4085748195648,14.020854234695435,27.826385498046875,11,120000,0.16679739952087402,11.200403690338135,119.64609313432835,-0.0032845023,196.676919206556,1.7395484447479248,1.9818833501222197,-1.3775814e-05,202.18017851629017,100
205.36193274826385,25.942368745803833,365.23157382011414,13.962223529815674,27.761804580688477,12,130000,0.17178773880004883,11.285449743270874,119.75266299865281,-0.003753896,191.03601429364312,1.6468303203582764,2.173170513695394,-1.3719682e-05,202.14948087775457,100
208.8568174395494,25.818336486816406,392.99137783050537,13.909756422042847,27.693798065185547,13,140000,0.1832437515258789,11.20915412902832,119.98725214285503,-0.00213392,195.54366607938513,1.691260576248169,1.9564150118945574,-1.3666557e-05,202.77073628849982,100
206.5534746555404,25.91572594642639,420.7899205684662,13.977683544158936,27.730442762374878,14,150000,0.1517183780670166,11.240518569946289,119.88984565426205,-0.0033633106,193.51071655712207,1.6623308658599854,2.1575679267875256,-1.3608621e-05,202.64955504229462,100
210.5754042618761,25.842743396759033,448.36735105514526,13.968016386032104,27.499842643737793,15,160000,0.15364289283752441,11.176927328109741,120.03297891326898,-0.0072434084,187.36823405421913,1.5023398399353027,2.866252167052221,-1.3555078e-05,202.6912855353173,100
210.99749938774195,25.8877854347229,475.88328218460083,13.978604793548584,27.414209842681885,16,170000,0.13124990463256836,11.215327501296997,120.405704833436,-0.0065524285,197.85723059698677,1.3846421241760254,2.3512605564431825,-1.3503016e-05,203.77013269199043,100
210.17900997716512,26.029699563980103,503.25527477264404,14.1264009475708,27.288273572921753,17,180000,0.1387186050415039,11.211901903152466,120.51800208615077,-0.0072799413,183.5216577022975,1.1188921928405762,3.5582950385342795,-1.3443006e-05,204.056527444545,100
214.3185759978597,26.147747039794922,530.7305810451508,14.139283418655396,27.380207300186157,18,190000,0.14332032203674316,11.309101581573486,120.85751823844447,-0.006785865,196.72202399535269,1.0882418155670166,2.933632084633019,-1.3389275e-05,204.86655487228393,100
214.00268804083112,26.309244632720947,558.3313546180725,14.317986249923706,27.540111541748047,19,200000,0.14539766311645508,11.29025936126709,121.30583151892829,-0.0052219667,195.91001241430774,1.0847704410552979,3.1391478611745116,-1.3334732e-05,206.17576739752812,100
212.31023296789917,26.232930660247803,585.860100030899,14.225168943405151,27.46936559677124,20,210000,0.1658775806427002,11.296288013458252,121.25730943274975,-0.0050193304,194.82634110728978,1.0698466300964355,3.0853804258466324,-1.3298531e-05,206.1331877049159,100
