Time-SampleProc,train-NumTrajs,train-MinReturn,train-AverageDiscountedReturn,train-EnvExecTime,LossBefore,train-PolicyExecTime,train-MaxReturn,train-StdReturn,n_timesteps,Time-Optimization,Time-Sampling,Time,ItrTime,LossAfter,train-AverageReturn,Itr
0.07207918167114258,100,196.62139535082613,120.7591073520857,6.731028318405151,-1.3670234e-05,16.725019693374634,211.16685904880535,2.6511764833357776,140000,0.4317305088043213,23.922059059143066,313.3636202812195,24.426610231399536,-0.0044856593,204.56202378426497,13
0.1519784927368164,100,193.10939188148674,121.29168666183989,6.696244716644287,-1.3611317e-05,17.62759780883789,214.84353255595735,3.0941841213773915,150000,0.5666942596435547,24.81274676322937,338.91184067726135,25.532836437225342,-0.0054134987,205.76292239782018,14
0.19206619262695312,100,198.1278519891676,121.37253540887633,6.808350563049316,-1.3558548e-05,18.12036371231079,213.08814571628332,3.4491192488708795,160000,0.3754255771636963,25.388251781463623,364.88008522987366,25.956823587417603,-0.003214851,205.78544946971968,15
0.20194363594055176,100,195.00972963132244,121.89919039246921,6.614961624145508,-1.3504124e-05,16.651671409606934,219.46287100497588,3.9532204987141455,170000,0.4073503017425537,23.75404715538025,389.2796404361725,24.381518125534058,-0.006033889,207.5020269531845,16
0.20005416870117188,100,194.42451394145772,122.13423877457262,6.837489128112793,-1.3458823e-05,18.896318912506104,217.58499139097987,3.644712474876011,180000,0.5383212566375732,26.23987102508545,416.27398467063904,26.98137378692627,-0.0070968373,208.06167130755912,17
0.15825319290161133,100,202.27088625727714,123.16763267108018,6.6890833377838135,-1.342296e-05,16.863353490829468,218.81083878906392,3.8769369566336134,190000,0.4773523807525635,24.056123971939087,440.9843966960907,24.693241834640503,-0.0034625353,210.42410989393437,18
0.15072035789489746,100,201.7629685148522,123.30483590773294,6.7753822803497314,-1.3368443e-05,17.73415517807007,219.10552271179802,3.5021435969218686,200000,0.502443790435791,24.959044456481934,466.61572265625,25.61313533782959,-0.005412315,210.7837654683685,19
0.160416841506958,100,201.41630483389054,123.62396086162991,6.686115741729736,-1.33129515e-05,18.163934230804443,221.10658965614684,3.775486919020261,210000,0.44919896125793457,25.32682967185974,492.56668972969055,25.938812971115112,-0.0046561323,211.63988404736517,20
0.14336681365966797,100,200.86650514957913,124.05567227807353,6.7239062786102295,-1.3251039e-05,19.75873827934265,220.2570669305736,3.969443090400247,220000,0.38312506675720215,26.950111627578735,520.0621016025543,27.47818899154663,-0.0031426693,212.59230132369353,21
0.14056968688964844,100,205.5468159608012,124.4521254886257,6.662995100021362,-1.3196373e-05,17.36489224433899,223.34337787204666,3.562829158573272,230000,0.41887760162353516,24.484142065048218,545.1212894916534,25.045478105545044,-0.0045410437,213.57446144875775,22
0.1255357265472412,100,205.00473249192532,124.75047160769391,6.7448461055755615,-1.31516235e-05,18.14735198020935,225.53786197022117,3.930528338845698,240000,0.5019755363464355,25.346603631973267,571.110976934433,25.977402448654175,-0.0041445876,214.59092581878826,23
0.11094212532043457,100,207.19551863009744,125.07781472662224,6.553018808364868,-1.3105636e-05,17.125715255737305,223.69897752754247,3.325005831512251,250000,0.38872623443603516,24.13449454307556,595.7621865272522,24.635628938674927,-0.00516653,215.23383132505586,24
0.1791837215423584,100,203.1426215951196,125.08393288871657,6.703215599060059,-1.3053726e-05,20.799378156661987,223.33703316998367,3.7266365585456582,260000,0.3642280101776123,27.984334707260132,624.3057200908661,28.528564453125,-0.0036900449,215.27178777797036,25
0.13709616661071777,100,208.99863938737084,125.44468132833518,6.6904213428497314,-1.299839e-05,18.08702778816223,223.2152873990942,3.3115431749038233,270000,0.4353768825531006,25.23831868171692,650.1349558830261,25.81188416481018,-0.004151261,216.2712993721296,26
0.1875758171081543,100,208.79649245987628,125.5715370084066,6.409237623214722,-1.2943247e-05,16.208925247192383,223.58399198147714,3.290811494784391,280000,0.40070343017578125,23.090014934539795,673.829362154007,23.679508924484253,-0.0036702692,216.7168235163885,27
0.1035318374633789,100,210.7586668780344,126.01028867958743,6.6462953090667725,-1.2880143e-05,17.805498838424683,225.87415595913157,3.3004570565885785,290000,0.47284555435180664,24.921905994415283,699.354709148407,25.499634504318237,-0.002606516,217.91303736745846,28
0.1526660919189453,100,209.3788391005143,126.07978889216804,6.677546501159668,-1.2825542e-05,18.356765747070312,230.03053885030783,3.474586349243646,300000,0.548210859298706,25.51127028465271,725.5847442150116,26.213167905807495,-0.0038840403,218.24351658934526,29
0.20438218116760254,100,211.24238756021686,126.336708280925,6.495092868804932,-1.2775837e-05,16.996843576431274,226.79854300128764,3.1909275828922747,310000,0.49465036392211914,23.97716522216797,750.284740447998,24.687147855758667,-0.00265764,218.71488941942278,30
