LossAfter,train-EnvExecTime,train-AverageDiscountedReturn,train-AverageReturn,train-StdReturn,train-MaxReturn,train-PolicyExecTime,Time-Sampling,n_timesteps,Time,Time-SampleProc,train-NumTrajs,Itr,LossBefore,ItrTime,train-MinReturn,Time-Optimization
0.07201332,2.3287172317504883,34.0715866117345,45.68907113736821,70.68919251621232,154.97761170836563,3.2298967838287354,5.722535133361816,10000,6.358288049697876,0.061980485916137695,100,0,-1.4188527e-05,6.3582844734191895,-196.31895761074819,0.5729310512542725
0.02318412,2.318500280380249,53.54801599572391,79.4322159836906,56.50980976667056,151.62515881394802,3.1576008796691895,5.640912771224976,20000,12.463380575180054,0.10344171524047852,100,1,-1.4243646e-05,6.082185745239258,-145.9693290744301,0.32877397537231445
-0.0047510634,2.333867073059082,61.6688541814753,94.17728249225961,54.71349580566169,170.33289963329645,3.195131778717041,5.700904369354248,30000,18.58945870399475,0.09828734397888184,100,2,-1.4281964e-05,6.116985082626343,-120.00743926733172,0.31726574897766113
-0.002907801,2.3341925144195557,73.49187482477294,116.0645324971033,47.320315677789594,209.2660002678984,3.183192253112793,5.685677528381348,40000,24.70833921432495,0.12149763107299805,100,3,-1.42965955e-05,6.110088586807251,-143.1294854124462,0.30213189125061035
-0.00617913,2.3492026329040527,86.06616474748799,141.35799408859842,29.987486159046618,192.61556734046312,3.2529091835021973,5.778754234313965,50000,30.909690141677856,0.11215400695800781,100,4,-1.4298183e-05,6.192622661590576,26.109028222279758,0.30130982398986816
-0.009285374,2.3443922996520996,88.69214323108996,146.987238029045,40.708939355510495,209.46179348109715,3.2549173831939697,5.770034313201904,60000,37.038674116134644,0.057826995849609375,100,5,-1.4296964e-05,6.1203293800354,-85.54014661228572,0.2824413776397705
-0.0049091084,2.3289854526519775,92.74747115447396,153.59667298650058,40.742330326067645,217.33925753840626,3.215303421020508,5.7157251834869385,70000,43.10539484024048,0.07093143463134766,100,6,-1.42847975e-05,6.056922435760498,-87.53775123631719,0.2537202835083008
-0.008141003,2.3461406230926514,100.56028399810266,170.27005235670356,28.3453042863717,223.96997619734685,3.2155520915985107,5.734187841415405,80000,49.16219711303711,0.06841468811035156,100,7,-1.4268248e-05,6.042819261550903,21.87201176955717,0.23973441123962402
-0.004996823,2.3902390003204346,102.80879587755214,172.78205957967174,34.109758614417245,218.2453443468467,3.3663599491119385,5.931590795516968,90000,55.43328809738159,0.04860091209411621,100,8,-1.4233082e-05,6.262653112411499,-29.823368545318818,0.28204989433288574
-0.009394457,2.375692367553711,106.67328931339593,182.0706504156387,16.548933614905476,213.90647068954667,3.27628231048584,5.82619833946228,100000,61.60042333602905,0.04403328895568848,100,9,-1.4183268e-05,6.15700364112854,136.3637920293454,0.2863609790802002
-0.0047134017,2.3556723594665527,108.71316533381506,183.71445460797588,20.909672737510267,227.61232776837807,3.2629246711730957,5.789595365524292,110000,67.75855851173401,0.039124250411987305,100,10,-1.413615e-05,6.149247169494629,123.80123217617596,0.3201608657836914
-0.003196167,2.448408365249634,112.08481707629522,189.48231474895059,16.122357640581985,222.0033964349609,3.3917582035064697,6.01699423789978,120000,74.17544484138489,0.06656932830810547,100,11,-1.4105272e-05,6.404691696166992,137.41016298897986,0.3128194808959961
-0.003893164,2.5012190341949463,114.00124921142866,193.29485045690126,15.952642379100618,229.11690787809715,3.4379215240478516,6.119461536407471,130000,80.68506622314453,0.06634092330932617,100,12,-1.4077714e-05,6.4983649253845215,134.19371118982846,0.31235313415527344
-0.0037170297,2.5323381423950195,114.39132352100141,193.9964007085183,18.804074975261305,234.0127623625266,3.5863099098205566,6.30411696434021,140000,87.41034078598022,0.08435487747192383,100,13,-1.4043803e-05,6.711304187774658,139.31443006776001,0.3115532398223877
-0.0057108956,2.831200361251831,115.8086014788554,197.86016813028115,17.429407030332403,227.8163549359843,4.257135629653931,7.308420181274414,150000,95.1827700138092,0.13420605659484863,100,14,-1.40182865e-05,7.7632269859313965,135.48630683312706,0.32016873359680176
-0.005024778,4.008706092834473,119.78112193479384,207.29269460730083,13.089103746626538,235.5238100695643,7.091758489608765,11.43554425239563,160000,107.08973908424377,0.08285927772521973,100,15,-1.40068005e-05,11.89632511138916,174.66147058191197,0.36892008781433105
-0.0059161275,3.386826753616333,120.81204226353664,209.7375208248678,16.05325242234893,233.28719740174932,5.677398920059204,9.317291021347046,170000,116.83488011360168,0.0775456428527832,100,16,-1.3963477e-05,9.730528831481934,159.68895196754343,0.3324160575866699
-0.0049011917,2.736269474029541,122.57722813600047,213.48327359509506,13.463104708899214,234.6959994817332,3.9614193439483643,6.8953776359558105,180000,124.18518829345703,0.0809779167175293,100,17,-1.3922744e-05,7.331295490264893,169.19595587022818,0.3547232151031494
-0.005638378,2.657447576522827,124.05877084565944,217.9279876113482,13.065960242241008,240.74758907518262,3.6542813777923584,6.502798080444336,190000,131.07920861244202,0.04311180114746094,100,18,-1.3869425e-05,6.8781421184539795,167.417945763732,0.331646203994751
-0.0059842644,2.6278326511383057,125.54787252775787,221.93383850340976,8.857943533812694,239.82903621458587,3.6576592922210693,6.474259376525879,200000,137.99981951713562,0.05965542793273926,100,19,-1.3795525e-05,6.905201435089111,194.0766409855908,0.3670215606689453
-0.004333113,2.6017682552337646,126.67181756894863,224.1991697132683,8.916508730003603,241.37983199297204,3.5948874950408936,6.384980916976929,210000,144.80238151550293,0.09667658805847168,100,20,-1.37218e-05,6.788187503814697,193.66175364967404,0.30565476417541504
