ItrTime,Time-Optimization,LossAfter,LossBefore,Time-SampleProc,train-AverageDiscountedReturn,Time-Sampling,train-MinReturn,train-AverageReturn,train-MaxReturn,Itr,train-StdReturn,Time,n_timesteps,train-PolicyExecTime,train-NumTrajs,train-EnvExecTime
24.881636142730713,2.3491098880767822,0.020532463,-1.4191007e-05,0.17836642265319824,6.125895839671411,22.353175401687622,-8.254273099106385,9.64083236184478,27.189686208295903,0,8.336906661220384,24.881651401519775,10000,13.698508739471436,100,7.982460021972656
24.398202180862427,1.8207674026489258,-0.0058393627,-1.4171616e-05,0.24941682815551758,7.0529455187021775,22.326890468597412,-4.312360044179199,12.203457884997722,29.154148476924014,1,8.361451004219264,49.437371015548706,20000,13.667802810668945,100,7.976905345916748
24.659287214279175,1.6017534732818604,-0.009788602,-1.4153721e-05,0.20121312141418457,13.144537486764264,22.8525869846344,-3.319265036619009,20.796657090958526,29.837406885281847,2,6.156250732929638,74.19021916389465,30000,13.847898960113525,100,8.308063507080078
24.75983953475952,1.5568647384643555,-0.007792546,-1.4110713e-05,0.22439098358154297,14.708169545046887,22.975776195526123,-0.40709110536151527,22.95619873656001,32.22886120565251,3,4.9505371434756285,99.02846598625183,40000,13.887787818908691,100,8.3982994556427
24.77277374267578,1.701035499572754,-0.010768699,-1.4062145e-05,0.13480281829833984,16.95013821220796,22.935999870300293,13.020782009776433,24.91358550548216,30.852864762875754,4,3.530346087551893,123.91840267181396,50000,13.782460689544678,100,8.462493181228638
24.70982599258423,1.5822229385375977,-0.008845974,-1.401601e-05,0.12806177139282227,17.54968737375691,22.99889850616455,13.301387584332675,24.5351390552145,33.42640749647915,5,3.6455644203715725,148.70780992507935,60000,13.80426287651062,100,8.509917974472046
24.830796718597412,1.4920098781585693,-0.0073262816,-1.3967523e-05,0.13600969314575195,19.123329960880252,23.200689792633057,17.550802617351845,25.700981588290027,31.3726832780385,6,2.5177398751113604,173.63179683685303,70000,13.836158514022827,100,8.676189422607422
24.918699264526367,1.4602470397949219,-0.0068400186,-1.39120075e-05,0.16545748710632324,19.385429823385444,23.290860891342163,11.193091417158744,25.66537802817602,31.761497823710553,7,3.3078481009957454,198.6707260608673,80000,13.93236756324768,100,8.667340755462646
25.293124437332153,1.6807162761688232,-0.005601579,-1.3859203e-05,0.15888166427612305,20.192807366832437,23.45271635055542,19.144886436289063,26.30293996877932,30.891156068877322,8,2.5462732675525594,224.06080746650696,90000,13.988701581954956,100,8.779911279678345
25.094680786132812,1.518648624420166,-0.0037806912,-1.3795804e-05,0.22388100624084473,20.591892149614452,23.351045608520508,18.30434201772172,26.754383513505086,31.945312005972717,9,2.932079370874116,249.2148416042328,100000,13.886716842651367,100,8.77127981185913
25.08433508872986,1.2712514400482178,-0.008466281,-1.3734064e-05,0.2113349437713623,20.730907113934695,23.60036039352417,0.3567276383231961,26.460232829903536,33.807619465455346,10,4.411463528156049,274.3578534126282,110000,14.069381713867188,100,8.840382099151611
25.036769151687622,1.2193388938903809,-0.008535864,-1.3680543e-05,0.22374367713928223,21.25103169640247,23.592276096343994,2.0358628995050054,27.38989588053597,34.04717874304006,11,3.43015445221525,299.4561245441437,120000,14.02891230583191,100,8.867385387420654
24.94784665107727,1.0724716186523438,3.0652354e-06,-1.3636243e-05,0.1678018569946289,21.365165051712943,23.70602512359619,20.291931292605888,27.48473659378777,33.415210751128136,12,2.3447630696146406,324.4647903442383,130000,14.122518539428711,100,8.88368558883667
25.11642837524414,1.0494425296783447,-0.006222674,-1.3587062e-05,0.13576102256774902,21.67120238949719,23.930391311645508,21.094449234605978,27.602262445625097,32.104914064566934,13,2.4886206425979616,349.6434555053711,140000,14.273578643798828,100,8.950339317321777
25.056997537612915,1.0515153408050537,-0.0057419846,-1.3538508e-05,0.13584566116333008,21.951616041115354,23.868879318237305,22.28564485452723,27.936887961302595,33.111314299338446,14,2.2508167974668343,374.76015186309814,150000,14.198903322219849,100,8.971988201141357
25.149402856826782,1.0647871494293213,-0.0056962855,-1.34892525e-05,0.1546494960784912,22.623873488947243,23.92930293083191,22.611843025355448,28.70399341348294,34.1958053577572,15,2.4327323553445206,399.96716499328613,160000,14.240237712860107,100,8.987245321273804
25.08809471130371,1.0828053951263428,-0.0046629123,-1.3449619e-05,0.13094472885131836,22.407494904977735,23.873672008514404,22.3236442807263,28.44879410442292,33.95256258669773,16,2.1080290437486315,425.1171007156372,170000,14.180977821350098,100,8.993592500686646
25.140342235565186,1.076836109161377,-0.0069497284,-1.3380951e-05,0.13496708869934082,23.110690907458466,23.927807331085205,23.08956401304626,29.248743406104087,34.34716174720348,17,2.2443848522452647,450.31657338142395,180000,14.266456842422485,100,8.966577768325806
25.126769065856934,1.0555529594421387,-0.010411886,-1.3328748e-05,0.14300203323364258,23.13527856752993,23.927590131759644,20.724310214965996,29.244352673946484,35.518647911871575,18,2.205044299373487,475.5019836425781,190000,14.295910358428955,100,8.933419466018677
25.420563220977783,1.083451271057129,-0.007179536,-1.327799e-05,0.16536879539489746,23.285256844935518,24.171038389205933,22.873062434160826,29.5726171020633,33.81703785881732,19,2.1125763594176634,500.9836049079895,200000,14.377133131027222,100,9.089425325393677
25.07024335861206,1.0858094692230225,-0.008365198,-1.3217422e-05,0.16447687149047852,23.516818275313423,23.819122076034546,25.232034042506655,29.992266496423003,35.127565337892094,20,1.897766810085872,526.1188952922821,210000,14.122814655303955,100,8.993770360946655
