train-NumTrajs,Time-Sampling,train-MinReturn,train-PolicyExecTime,train-EnvExecTime,train-StdReturn,Itr,LossAfter,LossBefore,Time-SampleProc,n_timesteps,Time,ItrTime,Time-Optimization,train-MaxReturn,train-AverageReturn,train-AverageDiscountedReturn
100,26.22057032585144,-157.60095886190996,14.458580255508423,11.07627272605896,66.46085135577742,0,0.020847134,-1.4189385e-05,0.12324738502502441,10000,28.28457999229431,28.284570455551147,1.939812421798706,154.99186390818568,-66.834153883495,-26.799928360334597
100,26.955318450927734,-236.51922016707994,14.810773611068726,11.400368213653564,104.09132870567989,1,0.0023175937,-1.41648325e-05,0.1204981803894043,20000,57.49152183532715,28.97931957244873,1.9011454582214355,196.8069914395636,-71.0815679452318,-27.87824649684369
100,26.043421268463135,-215.49869306662032,14.267809867858887,11.075097560882568,113.70480983072784,2,0.004313878,-1.4179654e-05,0.1387956142425537,30000,85.33961939811707,27.652698516845703,1.4695549011230469,199.199472882896,-24.056788792743294,-4.082097562285007
100,26.18239450454712,-136.3557465510007,14.253661632537842,11.228866577148438,108.44160637827378,3,-0.006972017,-1.4166504e-05,0.1350545883178711,40000,113.27551889419556,27.819986581802368,1.5018506050109863,201.56884277989803,82.89529069119789,53.57098909198714
100,25.988167762756348,-131.18968221652898,14.095695495605469,11.197809219360352,73.19020399965457,4,-0.0063569346,-1.4143824e-05,0.1697068214416504,50000,141.22729182243347,27.84980320930481,1.6906154155731201,203.6995446055778,154.68419198357978,91.7141391158151
100,28.098580837249756,-142.93672459442968,15.463474750518799,11.873039245605469,56.137969026536304,5,-0.0064136432,-1.4126173e-05,0.17296528816223145,60000,170.73864603042603,29.444480419158936,1.1711983680725098,203.51000486303658,179.12735196814734,107.079243851637
100,26.893538236618042,-50.57564391963469,14.555850505828857,11.624993562698364,26.3797811637889,6,-0.0058943364,-1.4107398e-05,0.11717629432678223,70000,199.02435970306396,28.22009563446045,1.208387851715088,202.9969063992418,191.1594647586754,113.7528073029457
100,26.809295654296875,175.4556699826849,14.50911259651184,11.597888231277466,4.299521966004224,7,-0.00411308,-1.4081129e-05,0.13962984085083008,80000,227.1343686580658,28.030795097351074,1.0810720920562744,203.0547002870064,197.3280570636208,117.39919763998829
100,26.422796487808228,188.83322186487723,14.146519899368286,11.572885513305664,2.9569210875789924,8,-0.006100281,-1.4026052e-05,0.13978338241577148,90000,254.8804647922516,27.6856427192688,1.1224138736724854,202.96925242761864,198.81015663035757,118.15127495112966
100,26.27480721473694,192.11694587243048,14.089643955230713,11.490605115890503,1.9319503533521882,9,-0.0041401177,-1.3962168e-05,0.10998415946960449,100000,282.4330470561981,27.48858952522278,1.1030023097991943,203.34643318941062,200.20147728653737,118.66959340865779
100,26.362489938735962,192.0522788969314,14.11173152923584,11.55491590499878,1.9930053957636202,10,-0.005804166,-1.3897234e-05,0.1111140251159668,110000,310.04260087013245,27.54794955253601,1.073615550994873,204.68706236831656,200.5878822631104,118.92695073658723
100,26.233457803726196,195.2967270558907,14.027140140533447,11.5153329372406,1.8537014142452153,11,-0.0049169078,-1.3838143e-05,0.11088895797729492,120000,337.52758502960205,27.418492555618286,1.073413610458374,204.11824166247135,201.3280049862122,119.29786289053338
100,26.203532934188843,194.32682903150243,13.982677936553955,11.534472227096558,1.6618525165611977,12,-0.0058489596,-1.3776776e-05,0.14015674591064453,130000,365.0198640823364,27.42639398574829,1.0819649696350098,204.34916827751925,201.64378605588428,119.46034663528759
100,26.382787466049194,198.26123753325888,14.14724087715149,11.54996657371521,1.2429998788387047,13,-0.0039024772,-1.3705668e-05,0.10721778869628906,140000,392.67063641548157,27.589935541152954,1.099318265914917,205.06700028932664,201.9601112545653,119.66963013030276
100,26.52228856086731,196.3317370920806,14.274519205093384,11.552321434020996,1.5998072252410624,14,-0.003487161,-1.3667974e-05,0.10694670677185059,150000,420.4391074180603,27.70774745941162,1.0777931213378906,205.56088150202436,202.3112062747965,119.76113341537217
100,26.381380558013916,190.6944668169696,14.151779174804688,11.53171992301941,2.104549018394657,15,-0.005406086,-1.3590641e-05,0.1153111457824707,160000,448.07000708580017,27.568318367004395,1.0709800720214844,205.64423338222045,201.91893718468344,119.74804166958953
100,26.452028274536133,198.5349480692926,14.197399854660034,11.557377099990845,1.3663368442871309,16,-0.003770721,-1.353797e-05,0.11121392250061035,170000,475.74835896492004,27.617268562316895,1.0532944202423096,206.3532843804419,202.792382837087,119.9995028511226
100,26.19018030166626,195.12475997667406,14.090630531311035,11.41380786895752,1.729007989576667,17,-0.0047127577,-1.3478287e-05,0.11410355567932129,180000,503.20911622047424,27.39534091949463,1.090369462966919,206.52237136565648,202.83459229193974,120.07741633215026
100,26.225722312927246,194.4034166426171,14.020657300949097,11.504359006881714,1.8321708074519718,18,-0.0039383024,-1.3419192e-05,0.11126232147216797,190000,530.7104432582855,27.44451332092285,1.1068716049194336,205.85465461893114,202.89523936267418,120.15540507422533
100,26.25463318824768,198.87364481374766,14.072513580322266,11.501256704330444,1.3531812480265137,19,-0.005008,-1.3375477e-05,0.11844682693481445,200000,558.1918015480042,27.41716194152832,1.043414831161499,207.05621414225388,203.5474970873887,120.3887891879388
100,26.188324213027954,199.7513572762963,14.005496740341187,11.496167421340942,1.2590229195201563,20,-0.0037858065,-1.3325257e-05,0.12503433227539062,210000,585.6738877296448,27.419572353363037,1.1054370403289795,206.51040579157774,203.6151224295571,120.38609036585792
100,26.231332302093506,200.56626749817335,14.055767297744751,11.487246751785278,1.4012241633400875,21,-0.005982571,-1.326023e-05,0.1203606128692627,220000,613.1525444984436,27.416720390319824,1.0643031597137451,207.36689029262362,203.91897001845962,120.52516535135314
100,26.230082511901855,201.50711973692816,14.108475923538208,11.426690816879272,1.4420436567101689,22,-0.0029650729,-1.321051e-05,0.11564135551452637,230000,640.6567287445068,27.44566535949707,1.098869800567627,207.4389621934172,204.44454277475185,120.78937433167398
100,26.25157594680786,199.81702370524783,14.083443403244019,11.480170965194702,1.2600153565927803,23,-0.002723665,-1.3153243e-05,0.11630392074584961,240000,668.1608929634094,27.445749521255493,1.0770983695983887,207.46032271679957,204.75495162952757,120.88986540867025
100,26.301104068756104,201.0200785163598,14.103835105895996,11.495855569839478,1.3010178380558362,24,-0.0026563515,-1.3097952e-05,0.11937832832336426,250000,695.7075209617615,27.48206663131714,1.0609662532806396,208.7858095088408,204.6035111507996,120.84704316270175
100,26.185553073883057,198.24230229603205,14.055496454238892,11.44223141670227,1.717578691099655,25,-0.0046315286,-1.3043863e-05,0.11352205276489258,260000,723.1315643787384,27.365449905395508,1.0656428337097168,210.9135973510054,204.8200580496442,120.93774779779244
100,26.257362842559814,201.41841826694426,14.094354391098022,11.472829103469849,1.4536968170710545,26,-0.004748116,-1.2974199e-05,0.13998985290527344,270000,750.6727564334869,27.48334765434265,1.085313081741333,209.24783075047492,205.06807455911712,120.96533646338949
100,26.399441480636597,202.4997196357687,14.227323293685913,11.466277599334717,1.3266322434871445,27,-0.0052985456,-1.2932109e-05,0.1246802806854248,280000,778.3647439479828,27.625272750854492,1.1003773212432861,208.15008401124507,205.29744239643713,121.18139874530718
100,26.681838274002075,201.2687854522251,14.267747163772583,11.708954572677612,1.7881288890096738,28,-0.004376688,-1.28901465e-05,0.11588048934936523,290000,806.3005857467651,27.876625537872314,1.078117847442627,212.51836866357888,205.96199186909766,121.42351623350326
100,26.225196838378906,202.67856095216183,14.129210472106934,11.415357828140259,1.5594567724350739,29,-0.0048823524,-1.2839774e-05,0.13471651077270508,300000,833.8027169704437,27.441700220108032,1.0811336040496826,210.39939803476466,205.88695715157465,121.4283773646503
100,26.444854974746704,202.8430901076821,14.199856758117676,11.554766416549683,2.124127357650629,30,-0.004621158,-1.2778534e-05,0.13116002082824707,310000,861.5074889659882,27.636362314224243,1.0595190525054932,213.9482668869843,207.13680881361952,121.94983809594231
100,26.29082179069519,202.54232299837622,14.129403591156006,11.478051662445068,2.3562559456091208,31,-0.004250035,-1.2728731e-05,0.13057327270507812,320000,889.0661585330963,27.49609684944153,1.0740673542022705,214.1889193732131,208.12404437500408,122.29055926661647
100,26.316051721572876,204.31999479193607,14.135660409927368,11.473949909210205,2.4011845042829996,32,-0.005007721,-1.2686201e-05,0.11173057556152344,330000,916.6352388858795,27.51173233985901,1.0832068920135498,215.5734716959872,209.0335531508163,122.65434215463847
