ItrTime,n_timesteps,train-NumTrajs,Time-Optimization,LossAfter,Time-Sampling,train-PolicyExecTime,LossBefore,Itr,Time-SampleProc,train-MinReturn,train-AverageReturn,train-MaxReturn,Time,train-StdReturn,train-EnvExecTime,train-AverageDiscountedReturn
26.974241018295288,10000,100,2.0637853145599365,-0.20111574,24.779489040374756,13.580477237701416,6.1035155e-09,0,0.1295473575592041,-158.56594030867026,-68.24271158176019,138.95310747879415,26.974250555038452,63.4943694993794,10.517486333847046,-27.548207189486103
27.348330974578857,20000,100,1.8543202877044678,-0.33628654,25.310906887054443,13.738245964050293,-1.6593933e-08,1,0.18174004554748535,153.4125840622097,183.79419623404988,199.5774036986311,54.486637592315674,9.190706818984419,10.876769065856934,110.93295808545922
27.8217453956604,30000,100,1.0669136047363281,-0.13573508,26.590596914291382,14.286566495895386,2.2888185e-09,2,0.1624610424041748,139.22329164052974,173.44260911572485,197.41411200926856,82.40297937393188,12.259734831062383,11.572011709213257,103.5190197070203
27.502965450286865,40000,100,1.0702483654022217,-0.047103737,26.27669930458069,14.171181917190552,-1.2207031e-08,3,0.15538859367370605,189.17525287171438,199.6788860275433,208.25399272127683,109.96736788749695,3.831108910489529,11.389909029006958,116.81074497898275
27.23457646369934,50000,100,1.0695488452911377,-0.02964278,26.05087924003601,14.244523525238037,1.8310548e-08,4,0.11329007148742676,156.7356057659016,178.32763829435345,201.58361205085657,137.26142287254333,6.874892228582383,11.081200361251831,108.9737730381212
27.11230993270874,60000,100,1.060743808746338,-0.01921752,25.936761140823364,14.184333801269531,-1.8310548e-08,5,0.11416268348693848,165.75429727484735,181.00592701719503,205.0497128055745,164.4360475540161,6.347263268207107,11.02522349357605,109.50253351225447
27.107155084609985,70000,100,1.0575535297393799,-0.26578555,25.942656993865967,14.158518075942993,3.0517577e-09,6,0.1062467098236084,150.84932722363214,184.69377590398798,205.2244812507205,191.6090009212494,9.63160885061691,11.063119888305664,111.03677065361771
27.15773868560791,80000,100,1.1043617725372314,-0.114732765,25.943767547607422,14.217341423034668,-1.2969971e-08,7,0.10888791084289551,183.50574233575225,200.5587373629948,212.15206973896377,218.82652378082275,7.426427107521091,11.01054048538208,117.81791120064844
26.573567628860474,90000,100,1.0459191799163818,-0.2975125,25.416780948638916,14.25055742263794,7.629395e-09,8,0.1102132797241211,79.27964424534244,134.18453613566132,182.98641563368307,245.45951056480408,22.938649355725666,10.459868907928467,81.99691465546206
26.577406406402588,100000,100,1.1033642292022705,-2.15771,25.336970567703247,14.08321762084961,-1.8310548e-08,9,0.13647055625915527,118.32887319612227,148.56900444307067,202.74965706645156,272.1058540344238,16.527405600258792,10.54135775566101,88.38712044543387
26.84486484527588,110000,100,1.088817834854126,-0.0016652085,25.64734983444214,14.151186466217041,6.1035155e-09,10,0.10808324813842773,130.92404151752126,192.49641675132935,207.18752289828288,299.01032543182373,14.560347060248288,10.777119398117065,112.48621490617896
26.758933782577515,120000,100,1.0682399272918701,-0.08072562,25.57489538192749,14.095873594284058,-4.577637e-09,11,0.11503100395202637,185.83821703351924,193.16432397460713,199.6797416701907,325.83044934272766,2.7846013216751744,10.762901782989502,113.9257630540567
27.014846324920654,130000,100,1.0586318969726562,-0.06476072,25.83590817451477,14.061293840408325,1.8310548e-08,12,0.1196756362915039,191.0013730920219,196.78957258674208,204.28982649952516,352.9055290222168,2.737936068319251,11.055142641067505,116.22108927577086
27.522903442382812,140000,100,1.0606956481933594,-0.060688097,26.340954303741455,14.322382926940918,-0.007981802,13,0.1205592155456543,198.60422696376574,202.75955238047115,207.81085280714225,380.48893308639526,2.019738759509936,11.289096117019653,118.27330810297872
27.239762783050537,150000,100,1.0423541069030762,-0.027906198,26.074849843978882,14.064579963684082,-3.0517577e-09,14,0.12187838554382324,199.46003553488637,204.7851860776005,209.10592487016416,407.78812170028687,1.750188469057413,11.28312373161316,118.66236677465542
27.435510873794556,160000,100,1.096381425857544,-0.0431539,26.21663236618042,14.062458992004395,0.001938916,15,0.12173151969909668,199.4514790745482,204.74749754882114,209.28918486821715,435.28383803367615,1.909259282945107,11.42828917503357,118.56837684851071
27.337603330612183,170000,100,1.0841658115386963,-0.023070456,26.135975122451782,14.034054040908813,-6.1035155e-09,16,0.11673259735107422,201.97663331430698,207.79981603773612,212.25868771026782,462.684894323349,2.092168306897281,11.38400411605835,119.69664105197529
27.39555025100708,180000,100,1.0763022899627686,-0.09947625,26.204238414764404,14.150319576263428,-0.016499972,17,0.11433267593383789,201.58977144566006,207.15132598043732,212.5479561863544,490.1428372859955,2.350158977043867,11.34070372581482,119.494733519706
27.44714665412903,190000,100,1.0381996631622314,-0.003938385,26.30018901824951,14.125521898269653,-2.822876e-08,18,0.10810470581054688,194.77176372203954,200.95690727109522,205.3506505826394,517.6528127193451,1.9381051355812073,11.467336177825928,116.95225336133693
27.456001043319702,200000,100,1.0561389923095703,-0.1451659,26.272445917129517,14.128894090652466,-3.0517577e-09,19,0.12679147720336914,196.13735418738415,201.31514121640544,204.84683973527993,545.164225101471,1.5452827185831546,11.419023513793945,117.02140247716005
27.294313430786133,210000,100,1.0736844539642334,0.0076047424,26.10398578643799,14.137621879577637,-5.722046e-10,20,0.1158902645111084,206.31670718615092,211.36163927673616,216.93539479090344,572.5191829204559,2.3076542730329197,11.2457275390625,121.24361256955729
26.80624771118164,220000,100,1.0612537860870361,-0.009568976,25.602416276931763,14.071374893188477,-6.1035155e-09,21,0.1418001651763916,203.91820166643245,213.500647435699,221.53054538534022,599.3838491439819,3.8152908035836663,10.80852198600769,122.43466746073175
